year,nuts_id,nuts_year_spec,r&d_private_eur_hab
2015,AT1,2016,658.2
2017,AT1,2016,643.4
2015,AT2,2016,1251.6
2017,AT2,2016,1244.3
2015,AT3,2016,915.2
2017,AT3,2016,1012.9
2014,BE1,2016,574.0
2015,BE1,2016,629.8
2016,BE1,2016,723.4
2017,BE1,2016,840.3
2014,BE2,2016,659.3
2015,BE2,2016,701.3
2016,BE2,2016,725.7
2017,BE2,2016,802.1
2014,BE3,2016,493.2
2015,BE3,2016,501.5
2016,BE3,2016,515.3
2017,BE3,2016,576.6
2014,BG3,2016,6.8
2015,BG3,2016,15.8
2016,BG3,2016,16.1
2017,BG3,2016,17.0
2018,BG3,2016,17.3
2014,BG4,2016,55.5
2015,BG4,2016,73.2
2016,BG4,2016,61.1
2017,BG4,2016,60.0
2018,BG4,2016,69.2
2015,CH0,2016,1780.2
2017,CH0,2016,1671.9
2014,CY0,2016,23.3
2015,CY0,2016,23.0
2016,CY0,2016,43.1
2017,CY0,2016,47.9
2018,CY0,2016,62.4
2014,CZ0,2016,164.5
2015,CZ0,2016,167.5
2016,CZ0,2016,171.7
2017,CZ0,2016,204.0
2018,CZ0,2016,233.9
2015,DE1,2016,1727.3
2017,DE1,2016,2130.2
2015,DE2,2016,1052.6
2017,DE2,2016,1096.5
2015,DE3,2016,524.1
2017,DE3,2016,533.7
2015,DE4,2016,161.7
2017,DE4,2016,162.3
2015,DE5,2016,480.1
2017,DE5,2016,428.3
2015,DE6,2016,774.2
2017,DE6,2016,794.5
2015,DE7,2016,925.9
2017,DE7,2016,994.1
2015,DE8,2016,150.1
2017,DE8,2016,156.9
2015,DE9,2016,830.9
2017,DE9,2016,796.5
2015,DEA,2016,416.9
2017,DEA,2016,471.4
2015,DEB,2016,604.0
2017,DEB,2016,628.6
2015,DEC,2016,225.0
2017,DEC,2016,305.4
2015,DED,2016,332.0
2017,DED,2016,361.9
2015,DEE,2016,94.7
2017,DEE,2016,112.9
2015,DEF,2016,237.1
2017,DEF,2016,268.6
2015,DEG,2016,263.9
2017,DEG,2016,315.9
2014,DK0,2016,877.6
2015,DK0,2016,935.4
2016,DK0,2016,998.3
2017,DK0,2016,1003.0
2014,EE0,2016,94.9
2015,EE0,2016,106.1
2016,EE0,2016,105.8
2017,EE0,2016,109.2
2018,EE0,2016,117.4
2015,EL3,2016,118.5
2017,EL3,2016,200.3
2018,EL3,2016,213.2
2015,EL4,2016,8.9
2017,EL4,2016,11.8
2018,EL4,2016,13.1
2015,EL5,2016,15.8
2017,EL5,2016,50.1
2018,EL5,2016,44.0
2015,EL6,2016,17.7
2017,EL6,2016,25.5
2018,EL6,2016,35.9
2014,ES1,2016,80.1
2015,ES1,2016,75.7
2016,ES1,2016,80.3
2017,ES1,2016,98.5
2018,ES1,2016,105.7
2014,ES2,2016,315.0
2015,ES2,2016,300.4
2016,ES2,2016,311.8
2017,ES2,2016,330.7
2018,ES2,2016,351.3
2014,ES3,2016,288.6
2015,ES3,2016,313.1
2016,ES3,2016,310.2
2017,ES3,2016,328.4
2018,ES3,2016,352.1
2014,ES4,2016,75.4
2015,ES4,2016,72.8
2016,ES4,2016,91.6
2017,ES4,2016,107.3
2018,ES4,2016,119.5
2014,ES5,2016,155.4
2015,ES5,2016,163.4
2016,ES5,2016,165.6
2017,ES5,2016,179.0
2018,ES5,2016,200.3
2014,ES6,2016,62.9
2015,ES6,2016,60.7
2016,ES6,2016,62.2
2017,ES6,2016,65.5
2018,ES6,2016,69.1
2014,ES7,2016,16.8
2015,ES7,2016,16.9
2016,ES7,2016,15.5
2017,ES7,2016,15.8
2018,ES7,2016,19.8
2015,FI1,2016,743.1
2016,FI1,2016,714.1
2017,FI1,2016,735.2
2018,FI1,2016,769.9
2015,FI2,2016,100.3
2016,FI2,2016,138.0
2017,FI2,2016,123.2
2018,FI2,2016,166.2
2014,HR0,2016,38.6
2015,HR0,2016,45.4
2016,HR0,2016,44.3
2017,HR0,2016,49.3
2018,HR0,2016,58.7
2014,HU1,2016,227.7
2015,HU1,2016,242.7
2016,HU1,2016,237.8
2017,HU1,2016,283.0
2018,HU1,2016,360.1
2014,HU2,2016,51.6
2015,HU2,2016,48.7
2016,HU2,2016,47.6
2017,HU2,2016,66.7
2018,HU2,2016,89.8
2014,HU3,2016,49.1
2015,HU3,2016,61.6
2016,HU3,2016,42.3
2017,HU3,2016,46.2
2018,HU3,2016,53.0
2015,IE0,2016,477.4
2017,IE0,2016,579.0
2014,IS0,2016,489.1
2015,IS0,2016,690.9
2016,IS0,2016,768.7
2017,IS0,2016,868.4
2018,IS0,2016,821.4
2014,ITC,2016,361.5
2015,ITC,2016,363.0
2016,ITC,2016,388.8
2017,ITC,2016,400.1
2018,ITC,2016,427.0
2014,ITF,2016,61.2
2015,ITF,2016,71.3
2016,ITF,2016,69.5
2017,ITF,2016,77.6
2018,ITF,2016,83.7
2014,ITG,2016,34.9
2015,ITG,2016,41.1
2016,ITG,2016,39.5
2017,ITG,2016,39.2
2018,ITG,2016,46.6
2014,ITH,2016,284.6
2015,ITH,2016,308.8
2016,ITH,2016,361.2
2017,ITH,2016,381.6
2018,ITH,2016,409.1
2014,ITI,2016,173.5
2015,ITI,2016,177.2
2016,ITI,2016,196.6
2017,ITI,2016,215.6
2018,ITI,2016,233.5
2014,LT0,2016,39.5
2015,LT0,2016,36.5
2016,LT0,2016,39.7
2017,LT0,2016,49.0
2018,LT0,2016,63.5
2014,LU0,2016,603.8
2015,LU0,2016,635.0
2016,LU0,2016,685.5
2017,LU0,2016,680.6
2018,LU0,2016,623.1
2014,LV0,2016,28.9
2015,LV0,2016,18.9
2016,LV0,2016,13.7
2017,LV0,2016,19.2
2018,LV0,2016,23.9
2014,ME0,2016,7.8
2015,ME0,2016,6.7
2016,ME0,2016,3.4
2017,ME0,2016,4.5
2018,ME0,2016,14.5
2015,MK0,2016,3.4
2016,MK0,2016,4.8
2017,MK0,2016,4.5
2018,MK0,2016,5.8
2014,MT0,2016,77.9
2015,MT0,2016,83.5
2016,MT0,2016,80.7
2017,MT0,2016,93.6
2018,MT0,2016,98.8
2014,NL1,2016,
2015,NL1,2016,
2016,NL1,2016,
2017,NL1,2016,
2018,NL1,2016,
2014,NL2,2016,
2015,NL2,2016,
2016,NL2,2016,
2017,NL2,2016,
2018,NL2,2016,
2014,NL3,2016,
2015,NL3,2016,
2016,NL3,2016,
2017,NL3,2016,
2018,NL3,2016,
2014,NL4,2016,
2015,NL4,2016,
2016,NL4,2016,
2017,NL4,2016,
2018,NL4,2016,
2014,NO0,2016,678.1
2015,NO0,2016,701.7
2016,NO0,2016,697.0
2017,NO0,2016,742.0
2018,NO0,2016,737.7
2014,PL1,2016,101.7
2015,PL1,2016,100.4
2014,PL2,2016,43.5
2015,PL2,2016,51.3
2016,PL2,2016,95.0
2017,PL2,2016,86.3
2018,PL2,2016,111.5
2014,PL3,2016,33.0
2015,PL3,2016,38.2
2014,PL4,2016,17.1
2015,PL4,2016,24.1
2016,PL4,2016,26.8
