,year,nuts_id,nuts_year_spec,ai_covid_count
0,2020.0,AT1,2016,2
1,2020.0,AT2,2016,1
2,2020.0,AT3,2016,3
3,2020.0,CH0,2016,9
4,2020.0,CZ0,2016,1
5,2020.0,DE2,2016,2
6,2020.0,DE3,2016,1
7,2020.0,DE6,2016,2
8,2020.0,DE9,2016,2
9,2020.0,DEA,2016,3
10,2020.0,DEB,2016,1
11,2020.0,DED,2016,2
12,2020.0,DK0,2016,1
13,2020.0,EL3,2016,1
14,2020.0,ES3,2016,1
15,2020.0,ES4,2016,1
16,2020.0,ES6,2016,4
17,2020.0,FR1,2016,2
18,2020.0,FRF,2016,2
19,2020.0,FRI,2016,1
20,2020.0,HU1,2016,1
21,2020.0,IE0,2016,2
22,2020.0,ITC,2016,2
23,2020.0,ITH,2016,2
24,2020.0,ITI,2016,4
25,2020.0,LU0,2016,2
26,2020.0,NL3,2016,1
27,2020.0,NL4,2016,1
28,2020.0,NO0,2016,1
29,2020.0,PL9,2016,1
30,2020.0,PT1,2016,1
31,2020.0,RO1,2016,1
32,2020.0,RO3,2016,1
33,2020.0,SE1,2016,1
34,2020.0,SE2,2016,1
35,2020.0,TR1,2016,3
36,2020.0,TR5,2016,1
37,2020.0,TR8,2016,3
38,2020.0,UKC,2016,1
39,2020.0,UKD,2016,3
40,2020.0,UKE,2016,4
41,2020.0,UKF,2016,3
42,2020.0,UKG,2016,6
43,2020.0,UKH,2016,7
44,2020.0,UKI,2016,5
45,2020.0,UKJ,2016,6
46,2020.0,UKK,2016,1
47,2020.0,UKL,2016,1
48,2020.0,UKM,2016,3
49,2021.0,AT2,2016,1
50,2021.0,CH0,2016,1
51,2021.0,CY0,2016,1
52,2021.0,DE3,2016,1
53,2021.0,ES6,2016,1
54,2021.0,ITC,2016,2
55,2021.0,ITH,2016,1
56,2021.0,PT1,2016,1
57,2021.0,SK0,2016,2
58,2021.0,UKD,2016,1
59,2021.0,UKE,2016,1
60,2021.0,UKG,2016,2
61,2021.0,UKI,2016,4
