,year,nuts_id,nuts_year_spec,airborne_count
0,2020.0,AT1,2016,2
1,2020.0,BE2,2016,2
2,2020.0,BE3,2016,6
3,2020.0,BG4,2016,1
4,2020.0,CH0,2016,8
5,2020.0,CY0,2016,1
6,2020.0,DE1,2016,4
7,2020.0,DE2,2016,5
8,2020.0,DE3,2016,7
9,2020.0,DE6,2016,1
10,2020.0,DE7,2016,3
11,2020.0,DEA,2016,3
12,2020.0,DED,2016,1
13,2020.0,DEE,2016,1
14,2020.0,EE0,2016,1
15,2020.0,EL5,2016,1
16,2020.0,ES4,2016,1
17,2020.0,ES5,2016,1
18,2020.0,FR1,2016,4
19,2020.0,FRI,2016,1
20,2020.0,FRJ,2016,1
21,2020.0,FRL,2016,1
22,2020.0,IS0,2016,2
23,2020.0,ITC,2016,9
24,2020.0,ITF,2016,2
25,2020.0,ITH,2016,2
26,2020.0,ITI,2016,7
27,2020.0,LU0,2016,1
28,2020.0,NL2,2016,2
29,2020.0,NL3,2016,8
30,2020.0,NL4,2016,2
31,2020.0,NO0,2016,2
32,2020.0,SE2,2016,1
33,2020.0,UKC,2016,2
34,2020.0,UKD,2016,6
35,2020.0,UKE,2016,3
36,2020.0,UKG,2016,2
37,2020.0,UKH,2016,7
38,2020.0,UKI,2016,12
39,2020.0,UKJ,2016,5
40,2020.0,UKK,2016,5
41,2020.0,UKL,2016,3
42,2020.0,UKM,2016,8
43,2021.0,BE2,2016,1
44,2021.0,BE3,2016,2
45,2021.0,CH0,2016,1
46,2021.0,DE1,2016,1
47,2021.0,DE2,2016,1
48,2021.0,DEG,2016,1
49,2021.0,FRH,2016,1
50,2021.0,FRL,2016,1
51,2021.0,IS0,2016,1
52,2021.0,ITI,2016,1
53,2021.0,NL3,2016,2
54,2021.0,UKH,2016,1
55,2021.0,UKI,2016,1
56,2021.0,UKJ,2016,1
57,2021.0,UKK,2016,3
