,year,nuts_id,nuts_year_spec,antibodies_count
0,2020.0,AT124,2016,1
1,2020.0,AT130,2016,2
2,2020.0,BE211,2016,3
3,2020.0,CH011,2016,4
4,2020.0,CH013,2016,2
5,2020.0,CH021,2016,1
6,2020.0,CH031,2016,3
7,2020.0,CH040,2016,4
8,2020.0,DE125,2016,5
9,2020.0,DE131,2016,2
10,2020.0,DE142,2016,2
11,2020.0,DE212,2016,5
12,2020.0,DE300,2016,5
13,2020.0,DE600,2016,1
14,2020.0,DE712,2016,1
15,2020.0,DE731,2016,1
16,2020.0,DE91C,2016,1
17,2020.0,DE929,2016,3
18,2020.0,DEA13,2016,5
19,2020.0,DEA22,2016,2
20,2020.0,DEA23,2016,3
21,2020.0,DEA26,2016,1
22,2020.0,DEA33,2016,1
23,2020.0,DEA51,2016,3
24,2020.0,DEC01,2016,2
25,2020.0,DED41,2016,1
26,2020.0,DK011,2016,2
27,2020.0,DK012,2016,1
28,2020.0,DK042,2016,2
29,2020.0,EL522,2016,1
30,2020.0,EL632,2016,1
31,2020.0,ES220,2016,2
32,2020.0,ES300,2016,9
33,2020.0,ES511,2016,4
34,2020.0,ES523,2016,2
35,2020.0,FI1B1,2016,2
36,2020.0,FR101,2016,3
37,2020.0,FR104,2016,4
38,2020.0,FRB04,2016,1
39,2020.0,FRE23,2016,1
40,2020.0,FRF11,2016,1
41,2020.0,FRL04,2016,1
42,2020.0,FRY40,2016,1
43,2020.0,IS001,2016,3
44,2020.0,ITC47,2016,1
45,2020.0,ITC48,2016,1
46,2020.0,ITC4C,2016,8
47,2020.0,ITH35,2016,1
48,2020.0,ITH36,2016,1
49,2020.0,ITH55,2016,1
50,2020.0,ITI19,2016,2
51,2020.0,ITI43,2016,3
52,2020.0,NL226,2016,1
53,2020.0,NL310,2016,4
54,2020.0,NL329,2016,1
55,2020.0,NL33C,2016,5
56,2020.0,NL414,2016,2
57,2020.0,SE110,2016,13
58,2020.0,SE224,2016,1
59,2020.0,SE232,2016,2
60,2020.0,SE331,2016,2
61,2020.0,UKD33,2016,4
62,2020.0,UKD72,2016,6
63,2020.0,UKE21,2016,1
64,2020.0,UKE32,2016,3
65,2020.0,UKF14,2016,2
66,2020.0,UKF16,2016,1
67,2020.0,UKG13,2016,1
68,2020.0,UKG31,2016,4
69,2020.0,UKH12,2016,3
70,2020.0,UKH23,2016,8
71,2020.0,UKI31,2016,11
72,2020.0,UKI32,2016,2
73,2020.0,UKI33,2016,7
74,2020.0,UKI34,2016,2
75,2020.0,UKI42,2016,2
76,2020.0,UKJ11,2016,1
77,2020.0,UKJ14,2016,11
78,2020.0,UKJ27,2016,1
79,2020.0,UKJ32,2016,1
80,2020.0,UKJ41,2016,2
81,2020.0,UKJ44,2016,2
82,2020.0,UKL22,2016,2
83,2020.0,UKM71,2016,1
84,2020.0,UKM75,2016,6
85,2020.0,UKM84,2016,1
86,2021.0,AT127,2016,1
87,2021.0,AT130,2016,3
88,2021.0,AT332,2016,2
89,2021.0,CH040,2016,1
90,2021.0,CY000,2016,1
91,2021.0,DE142,2016,2
92,2021.0,DE600,2016,1
93,2021.0,DEA23,2016,2
94,2021.0,DK011,2016,1
95,2021.0,ES511,2016,1
96,2021.0,ES523,2016,1
97,2021.0,FI1B1,2016,1
98,2021.0,IE061,2016,1
99,2021.0,NL226,2016,1
100,2021.0,NL310,2016,2
101,2021.0,NL329,2016,1
102,2021.0,SE110,2016,4
103,2021.0,SE121,2016,1
104,2021.0,UKG31,2016,1
105,2021.0,UKH12,2016,1
106,2021.0,UKI33,2016,1
107,2021.0,UKJ14,2016,1
