,year,nuts_id,nuts_year_spec,artificial_intelligence_count
0,2000.0,AT1,2016,4
1,2000.0,BE1,2016,1
2,2000.0,BE2,2016,2
3,2000.0,CH0,2016,1
4,2000.0,CY0,2016,2
5,2000.0,CZ0,2016,2
6,2000.0,DE1,2016,1
7,2000.0,DE2,2016,2
8,2000.0,DE3,2016,1
9,2000.0,DE4,2016,1
10,2000.0,DEA,2016,3
11,2000.0,DED,2016,4
12,2000.0,EL3,2016,2
13,2000.0,ES6,2016,3
14,2000.0,FRF,2016,1
15,2000.0,FRG,2016,3
16,2000.0,ITH,2016,2
17,2000.0,ITI,2016,6
18,2000.0,NL2,2016,6
19,2000.0,NL3,2016,11
20,2000.0,UKD,2016,6
21,2000.0,UKI,2016,4
22,2000.0,UKJ,2016,1
23,2000.0,UKM,2016,2
24,2001.0,AT1,2016,4
25,2001.0,BE1,2016,1
26,2001.0,BE2,2016,3
27,2001.0,CH0,2016,7
28,2001.0,CY0,2016,1
29,2001.0,DE1,2016,2
30,2001.0,DE2,2016,1
31,2001.0,DEA,2016,4
32,2001.0,DED,2016,1
33,2001.0,ES6,2016,1
34,2001.0,FI1,2016,1
35,2001.0,FR1,2016,1
36,2001.0,FRG,2016,1
37,2001.0,IE0,2016,2
38,2001.0,IS0,2016,1
39,2001.0,ITF,2016,3
40,2001.0,ITH,2016,4
41,2001.0,NL1,2016,1
42,2001.0,NL2,2016,3
43,2001.0,NL3,2016,1
44,2001.0,PL9,2016,3
45,2001.0,PT2,2016,1
46,2001.0,UKE,2016,3
47,2001.0,UKG,2016,1
48,2001.0,UKI,2016,6
49,2002.0,AT1,2016,5
50,2002.0,BE1,2016,2
51,2002.0,BE2,2016,1
52,2002.0,BE3,2016,1
53,2002.0,CH0,2016,4
54,2002.0,CY0,2016,1
55,2002.0,CZ0,2016,1
56,2002.0,DE1,2016,3
57,2002.0,DE4,2016,2
58,2002.0,DE9,2016,1
59,2002.0,DEA,2016,5
60,2002.0,DED,2016,3
61,2002.0,DK0,2016,1
62,2002.0,ES1,2016,1
63,2002.0,FR1,2016,2
64,2002.0,FRB,2016,1
65,2002.0,IE0,2016,1
66,2002.0,IS0,2016,1
67,2002.0,ITC,2016,2
68,2002.0,ITF,2016,3
69,2002.0,ITH,2016,1
70,2002.0,ITI,2016,6
71,2002.0,NL2,2016,3
72,2002.0,NL3,2016,5
73,2002.0,PL9,2016,2
74,2002.0,SK0,2016,2
75,2002.0,UKC,2016,1
76,2002.0,UKD,2016,1
77,2002.0,UKG,2016,2
78,2002.0,UKH,2016,1
79,2002.0,UKI,2016,4
80,2002.0,UKJ,2016,10
81,2002.0,UKL,2016,1
82,2003.0,AT2,2016,1
83,2003.0,BE1,2016,1
84,2003.0,BE2,2016,1
85,2003.0,CH0,2016,10
86,2003.0,CZ0,2016,2
87,2003.0,DE2,2016,3
88,2003.0,DE4,2016,1
89,2003.0,DE5,2016,1
90,2003.0,DE6,2016,3
91,2003.0,DE9,2016,1
92,2003.0,DEA,2016,2
93,2003.0,DED,2016,5
94,2003.0,DK0,2016,1
95,2003.0,EL3,2016,1
96,2003.0,FRK,2016,1
97,2003.0,ITF,2016,4
98,2003.0,ITG,2016,1
99,2003.0,ITH,2016,2
100,2003.0,ITI,2016,1
101,2003.0,NL2,2016,1
102,2003.0,NL3,2016,2
103,2003.0,SE1,2016,8
104,2003.0,SK0,2016,1
105,2003.0,UKD,2016,1
106,2003.0,UKF,2016,1
107,2003.0,UKH,2016,1
108,2003.0,UKJ,2016,5
109,2003.0,UKL,2016,4
110,2004.0,BE1,2016,4
111,2004.0,CH0,2016,12
112,2004.0,CZ0,2016,1
113,2004.0,DE1,2016,1
114,2004.0,DE2,2016,2
115,2004.0,DE9,2016,1
116,2004.0,DEA,2016,2
117,2004.0,DED,2016,3
118,2004.0,EL4,2016,3
119,2004.0,EL5,2016,1
120,2004.0,ES3,2016,3
121,2004.0,ES5,2016,2
122,2004.0,FI1,2016,1
123,2004.0,FR1,2016,4
124,2004.0,FRG,2016,1
125,2004.0,HU1,2016,3
126,2004.0,IE0,2016,1
127,2004.0,ITF,2016,3
128,2004.0,ITG,2016,1
129,2004.0,ITH,2016,4
130,2004.0,ITI,2016,2
131,2004.0,NL2,2016,1
132,2004.0,NL3,2016,4
133,2004.0,PL4,2016,1
134,2004.0,PT1,2016,10
135,2004.0,RS2,2016,1
136,2004.0,SE1,2016,2
137,2004.0,SE2,2016,1
138,2004.0,SI0,2016,1
139,2004.0,TR5,2016,1
140,2004.0,UKD,2016,1
141,2004.0,UKI,2016,2
142,2004.0,UKJ,2016,1
143,2004.0,UKM,2016,1
144,2005.0,AT1,2016,4
145,2005.0,BE1,2016,1
146,2005.0,BG4,2016,1
147,2005.0,CH0,2016,13
148,2005.0,DE1,2016,1
149,2005.0,DE2,2016,2
150,2005.0,DE3,2016,2
151,2005.0,DE4,2016,1
152,2005.0,DEA,2016,1
153,2005.0,DED,2016,2
154,2005.0,DEE,2016,3
155,2005.0,EL3,2016,1
156,2005.0,EL5,2016,1
157,2005.0,EL6,2016,1
158,2005.0,ES3,2016,6
159,2005.0,ES5,2016,1
160,2005.0,ES6,2016,1
161,2005.0,FR1,2016,13
162,2005.0,FRE,2016,1
163,2005.0,FRK,2016,1
164,2005.0,HU1,2016,1
165,2005.0,IE0,2016,1
166,2005.0,ITF,2016,1
167,2005.0,ITG,2016,1
168,2005.0,ITH,2016,3
169,2005.0,ITI,2016,5
170,2005.0,LU0,2016,1
171,2005.0,NL2,2016,4
172,2005.0,NL3,2016,2
173,2005.0,NO0,2016,1
174,2005.0,PL9,2016,2
175,2005.0,PT1,2016,1
176,2005.0,SE1,2016,1
177,2005.0,TR7,2016,1
178,2005.0,UKD,2016,1
179,2005.0,UKE,2016,1
180,2005.0,UKH,2016,2
181,2005.0,UKI,2016,3
182,2005.0,UKJ,2016,8
183,2005.0,UKK,2016,9
184,2005.0,UKL,2016,2
185,2005.0,UKM,2016,2
186,2006.0,AT1,2016,2
187,2006.0,BE1,2016,3
188,2006.0,BG4,2016,3
189,2006.0,CH0,2016,14
190,2006.0,CY0,2016,1
191,2006.0,CZ0,2016,1
192,2006.0,DE1,2016,1
193,2006.0,DE2,2016,4
194,2006.0,DE3,2016,1
195,2006.0,DEC,2016,1
196,2006.0,DED,2016,8
197,2006.0,DK0,2016,1
198,2006.0,EL4,2016,2
199,2006.0,EL6,2016,3
200,2006.0,ES3,2016,2
201,2006.0,ES5,2016,1
202,2006.0,ES6,2016,1
203,2006.0,FI1,2016,1
204,2006.0,FR1,2016,23
205,2006.0,FRJ,2016,1
206,2006.0,FRK,2016,1
207,2006.0,HU1,2016,1
208,2006.0,ITC,2016,1
209,2006.0,ITF,2016,2
210,2006.0,ITH,2016,3
211,2006.0,ITI,2016,2
212,2006.0,NL2,2016,3
213,2006.0,NL3,2016,4
214,2006.0,NL4,2016,1
215,2006.0,NO0,2016,1
216,2006.0,RO1,2016,2
217,2006.0,SE1,2016,1
218,2006.0,SI0,2016,2
219,2006.0,TR7,2016,1
220,2006.0,TR8,2016,1
221,2006.0,UKC,2016,1
222,2006.0,UKD,2016,2
223,2006.0,UKF,2016,1
224,2006.0,UKG,2016,3
225,2006.0,UKH,2016,3
226,2006.0,UKI,2016,5
227,2006.0,UKJ,2016,15
228,2006.0,UKK,2016,2
229,2007.0,AT1,2016,3
230,2007.0,BE1,2016,4
231,2007.0,BE2,2016,1
232,2007.0,BE3,2016,7
233,2007.0,CH0,2016,14
234,2007.0,CY0,2016,1
235,2007.0,CZ0,2016,1
236,2007.0,DE1,2016,3
237,2007.0,DE2,2016,5
238,2007.0,DE3,2016,3
239,2007.0,DE5,2016,1
240,2007.0,DE7,2016,2
241,2007.0,DEA,2016,2
242,2007.0,DEC,2016,2
243,2007.0,DED,2016,7
244,2007.0,DK0,2016,1
245,2007.0,EL6,2016,1
246,2007.0,ES2,2016,1
247,2007.0,ES3,2016,8
248,2007.0,ES4,2016,1
249,2007.0,ES5,2016,2
250,2007.0,ES6,2016,6
251,2007.0,ES7,2016,1
252,2007.0,FI1,2016,1
253,2007.0,FR1,2016,51
254,2007.0,FRB,2016,1
255,2007.0,FRE,2016,1
256,2007.0,FRH,2016,1
257,2007.0,FRJ,2016,1
258,2007.0,FRK,2016,2
259,2007.0,FRL,2016,1
260,2007.0,HU1,2016,1
261,2007.0,IE0,2016,1
262,2007.0,ITC,2016,4
263,2007.0,ITF,2016,2
264,2007.0,ITG,2016,1
265,2007.0,ITH,2016,8
266,2007.0,ITI,2016,7
267,2007.0,LU0,2016,1
268,2007.0,MT0,2016,1
269,2007.0,NL1,2016,2
270,2007.0,NL2,2016,4
271,2007.0,NL3,2016,4
272,2007.0,PL4,2016,1
273,2007.0,PT1,2016,3
274,2007.0,SE1,2016,1
275,2007.0,SE2,2016,2
276,2007.0,SI0,2016,3
277,2007.0,TR1,2016,1
278,2007.0,UKD,2016,2
279,2007.0,UKF,2016,3
280,2007.0,UKG,2016,1
281,2007.0,UKH,2016,3
282,2007.0,UKI,2016,4
283,2007.0,UKJ,2016,5
284,2007.0,UKK,2016,1
285,2007.0,UKM,2016,3
286,2007.0,UKN,2016,1
287,2008.0,AT1,2016,6
288,2008.0,AT2,2016,1
289,2008.0,AT3,2016,1
290,2008.0,BE1,2016,4
291,2008.0,BE2,2016,3
292,2008.0,BE3,2016,1
293,2008.0,CH0,2016,18
294,2008.0,CZ0,2016,1
295,2008.0,DE1,2016,5
296,2008.0,DE2,2016,11
297,2008.0,DE3,2016,5
298,2008.0,DE5,2016,2
299,2008.0,DE9,2016,1
300,2008.0,DEA,2016,2
301,2008.0,DEB,2016,1
302,2008.0,DEC,2016,2
303,2008.0,DED,2016,4
304,2008.0,DK0,2016,4
305,2008.0,EE0,2016,1
306,2008.0,EL3,2016,3
307,2008.0,EL4,2016,2
308,2008.0,ES2,2016,2
309,2008.0,ES3,2016,8
310,2008.0,ES4,2016,1
311,2008.0,ES5,2016,2
312,2008.0,ES6,2016,4
313,2008.0,FI1,2016,2
314,2008.0,FR1,2016,30
315,2008.0,FRD,2016,2
316,2008.0,FRI,2016,2
317,2008.0,FRJ,2016,2
318,2008.0,HR0,2016,1
319,2008.0,HU1,2016,3
320,2008.0,IE0,2016,2
321,2008.0,ITC,2016,6
322,2008.0,ITF,2016,1
323,2008.0,ITG,2016,1
324,2008.0,ITH,2016,3
325,2008.0,ITI,2016,5
326,2008.0,LU0,2016,5
327,2008.0,NL2,2016,2
328,2008.0,NL3,2016,5
329,2008.0,NL4,2016,1
330,2008.0,PL9,2016,1
331,2008.0,PT1,2016,5
332,2008.0,SE1,2016,2
333,2008.0,SE2,2016,1
334,2008.0,SI0,2016,3
335,2008.0,TR5,2016,1
336,2008.0,TRB,2016,1
337,2008.0,UKC,2016,1
338,2008.0,UKD,2016,4
339,2008.0,UKE,2016,8
340,2008.0,UKF,2016,32
341,2008.0,UKH,2016,6
342,2008.0,UKI,2016,9
343,2008.0,UKJ,2016,11
344,2008.0,UKK,2016,9
345,2008.0,UKL,2016,2
346,2008.0,UKM,2016,3
347,2009.0,AT1,2016,7
348,2009.0,AT3,2016,2
349,2009.0,BE2,2016,1
350,2009.0,BE3,2016,2
351,2009.0,CH0,2016,10
352,2009.0,CZ0,2016,5
353,2009.0,DE1,2016,3
354,2009.0,DE2,2016,13
355,2009.0,DE3,2016,7
356,2009.0,DE5,2016,2
357,2009.0,DE6,2016,2
358,2009.0,DE7,2016,4
359,2009.0,DE9,2016,7
360,2009.0,DEA,2016,3
361,2009.0,DEB,2016,1
362,2009.0,DEC,2016,6
363,2009.0,DED,2016,3
364,2009.0,DK0,2016,3
365,2009.0,EE0,2016,1
366,2009.0,EL3,2016,4
367,2009.0,EL4,2016,1
368,2009.0,EL6,2016,2
369,2009.0,ES1,2016,1
370,2009.0,ES2,2016,2
371,2009.0,ES3,2016,5
372,2009.0,ES5,2016,3
373,2009.0,ES6,2016,4
374,2009.0,FI1,2016,3
375,2009.0,FR1,2016,46
376,2009.0,FRD,2016,3
377,2009.0,FRE,2016,3
378,2009.0,FRG,2016,1
379,2009.0,FRH,2016,3
380,2009.0,FRI,2016,1
381,2009.0,FRJ,2016,1
382,2009.0,FRK,2016,1
383,2009.0,FRL,2016,1
384,2009.0,HU1,2016,1
385,2009.0,HU2,2016,1
386,2009.0,IE0,2016,10
387,2009.0,IS0,2016,1
388,2009.0,ITC,2016,4
389,2009.0,ITG,2016,1
390,2009.0,ITH,2016,9
391,2009.0,ITI,2016,4
392,2009.0,LU0,2016,3
393,2009.0,MT0,2016,1
394,2009.0,NL2,2016,3
395,2009.0,NL3,2016,12
396,2009.0,NO0,2016,2
397,2009.0,PL2,2016,1
398,2009.0,PL7,2016,1
399,2009.0,PL9,2016,5
400,2009.0,PT1,2016,4
401,2009.0,RS2,2016,1
402,2009.0,SE1,2016,7
403,2009.0,SI0,2016,2
404,2009.0,SK0,2016,1
405,2009.0,TR3,2016,3
406,2009.0,TR5,2016,1
407,2009.0,UKC,2016,1
408,2009.0,UKD,2016,3
409,2009.0,UKE,2016,5
410,2009.0,UKF,2016,11
411,2009.0,UKG,2016,5
412,2009.0,UKH,2016,12
413,2009.0,UKI,2016,7
414,2009.0,UKJ,2016,10
415,2009.0,UKK,2016,3
416,2009.0,UKL,2016,1
417,2009.0,UKM,2016,7
418,2010.0,AT1,2016,3
419,2010.0,AT2,2016,1
420,2010.0,AT3,2016,1
421,2010.0,BE1,2016,2
422,2010.0,BE2,2016,2
423,2010.0,BE3,2016,1
424,2010.0,BG4,2016,1
425,2010.0,CH0,2016,15
426,2010.0,DE1,2016,5
427,2010.0,DE2,2016,17
428,2010.0,DE3,2016,7
429,2010.0,DE4,2016,4
430,2010.0,DE5,2016,5
431,2010.0,DE6,2016,1
432,2010.0,DE7,2016,2
433,2010.0,DE9,2016,4
434,2010.0,DEA,2016,5
435,2010.0,DEB,2016,1
436,2010.0,DEC,2016,2
437,2010.0,DED,2016,2
438,2010.0,DEE,2016,1
439,2010.0,DEG,2016,1
440,2010.0,DK0,2016,2
441,2010.0,EE0,2016,1
442,2010.0,EL3,2016,4
443,2010.0,EL4,2016,5
444,2010.0,EL5,2016,2
445,2010.0,ES2,2016,3
446,2010.0,ES3,2016,10
447,2010.0,ES5,2016,5
448,2010.0,ES6,2016,6
449,2010.0,FI1,2016,4
450,2010.0,FR1,2016,50
451,2010.0,FRB,2016,1
452,2010.0,FRC,2016,1
453,2010.0,FRF,2016,1
454,2010.0,FRG,2016,4
455,2010.0,FRH,2016,2
456,2010.0,FRI,2016,2
457,2010.0,FRJ,2016,2
458,2010.0,FRK,2016,2
459,2010.0,FRL,2016,2
460,2010.0,HU1,2016,3
461,2010.0,HU3,2016,2
462,2010.0,IE0,2016,4
463,2010.0,IS0,2016,2
464,2010.0,ITC,2016,6
465,2010.0,ITF,2016,8
466,2010.0,ITG,2016,4
467,2010.0,ITH,2016,12
468,2010.0,ITI,2016,4
469,2010.0,LU0,2016,1
470,2010.0,MT0,2016,1
471,2010.0,NL2,2016,6
472,2010.0,NL3,2016,10
473,2010.0,NL4,2016,1
474,2010.0,PL4,2016,1
475,2010.0,PL5,2016,1
476,2010.0,PL6,2016,3
477,2010.0,PL7,2016,3
478,2010.0,PL9,2016,3
479,2010.0,PT1,2016,7
480,2010.0,PT3,2016,1
481,2010.0,RO1,2016,2
482,2010.0,RS1,2016,2
483,2010.0,RS2,2016,1
484,2010.0,SE1,2016,6
485,2010.0,SI0,2016,1
486,2010.0,TR1,2016,1
487,2010.0,TR5,2016,3
