year,region_type,region_year_spec,region_id,region_level,arxiv_count
0,2010,NUTS,2010,AT,0,763
1,2010,NUTS,2010,AT1,1,577
2,2010,NUTS,2010,AT12,2,26
3,2010,NUTS,2010,AT126,3,18
4,2010,NUTS,2010,AT127,3,8
5,2010,NUTS,2010,AT13,2,551
6,2010,NUTS,2010,AT130,3,551
7,2010,NUTS,2010,AT2,1,90
8,2010,NUTS,2010,AT21,2,2
9,2010,NUTS,2010,AT211,3,2
10,2010,NUTS,2010,AT22,2,88
11,2010,NUTS,2010,AT221,3,85
12,2010,NUTS,2010,AT223,3,3
13,2010,NUTS,2010,AT3,1,96
14,2010,NUTS,2010,AT31,2,24
15,2010,NUTS,2010,AT312,3,24
16,2010,NUTS,2010,AT32,2,12
17,2010,NUTS,2010,AT323,3,12
18,2010,NUTS,2010,AT33,2,58
19,2010,NUTS,2010,AT332,3,58
20,2010,NUTS,2010,AT34,2,2
21,2010,NUTS,2010,AT342,3,2
22,2010,NUTS,2010,BE,0,851
23,2010,NUTS,2010,BE1,1,254
24,2010,NUTS,2010,BE10,2,254
25,2010,NUTS,2010,BE100,3,254
26,2010,NUTS,2010,BE2,1,335
27,2010,NUTS,2010,BE21,2,141
28,2010,NUTS,2010,BE211,3,76
29,2010,NUTS,2010,BE213,3,65
30,2010,NUTS,2010,BE22,2,13
31,2010,NUTS,2010,BE221,3,13
32,2010,NUTS,2010,BE23,2,130
33,2010,NUTS,2010,BE234,3,130
34,2010,NUTS,2010,BE24,2,51
35,2010,NUTS,2010,BE242,3,51
36,2010,NUTS,2010,BE3,1,262
37,2010,NUTS,2010,BE31,2,82
38,2010,NUTS,2010,BE310,3,82
39,2010,NUTS,2010,BE32,2,33
40,2010,NUTS,2010,BE323,3,33
41,2010,NUTS,2010,BE33,2,147
42,2010,NUTS,2010,BE332,3,147
43,2010,NUTS,2010,BG,0,115
44,2010,NUTS,2010,BG3,1,3
45,2010,NUTS,2010,BG33,2,3
46,2010,NUTS,2010,BG333,3,3
47,2010,NUTS,2010,BG4,1,112
48,2010,NUTS,2010,BG41,2,112
49,2010,NUTS,2010,BG411,3,112
50,2010,NUTS,2010,CH,0,1733
51,2010,NUTS,2010,CH0,1,1733
52,2010,NUTS,2010,CH01,2,720
53,2010,NUTS,2010,CH011,3,263
54,2010,NUTS,2010,CH013,3,457
55,2010,NUTS,2010,CH02,2,165
56,2010,NUTS,2010,CH021,3,107
57,2010,NUTS,2010,CH022,3,51
58,2010,NUTS,2010,CH024,3,7
59,2010,NUTS,2010,CH03,2,135
60,2010,NUTS,2010,CH031,3,68
61,2010,NUTS,2010,CH033,3,67
62,2010,NUTS,2010,CH04,2,708
63,2010,NUTS,2010,CH040,3,708
64,2010,NUTS,2010,CH07,2,5
65,2010,NUTS,2010,CH070,3,5
66,2010,NUTS,2010,CY,0,70
67,2010,NUTS,2010,CY0,1,70
68,2010,NUTS,2010,CY00,2,70
69,2010,NUTS,2010,CY000,3,70
70,2010,NUTS,2010,CZ,0,553
71,2010,NUTS,2010,CZ0,1,553
72,2010,NUTS,2010,CZ01,2,407
73,2010,NUTS,2010,CZ010,3,407
74,2010,NUTS,2010,CZ03,2,12
75,2010,NUTS,2010,CZ031,3,11
76,2010,NUTS,2010,CZ032,3,1
77,2010,NUTS,2010,CZ05,2,9
78,2010,NUTS,2010,CZ051,3,3
79,2010,NUTS,2010,CZ052,3,5
80,2010,NUTS,2010,CZ053,3,1
81,2010,NUTS,2010,CZ06,2,114
82,2010,NUTS,2010,CZ064,3,114
83,2010,NUTS,2010,CZ07,2,3
84,2010,NUTS,2010,CZ071,3,3
85,2010,NUTS,2010,CZ08,2,8
86,2010,NUTS,2010,CZ080,3,8
87,2010,NUTS,2010,DE,0,8367
88,2010,NUTS,2010,DE1,1,1131
89,2010,NUTS,2010,DE11,2,134
90,2010,NUTS,2010,DE111,3,132
91,2010,NUTS,2010,DE113,3,1
92,2010,NUTS,2010,DE115,3,1
93,2010,NUTS,2010,DE12,2,636
94,2010,NUTS,2010,DE122,3,246
95,2010,NUTS,2010,DE125,3,386
96,2010,NUTS,2010,DE126,3,4
97,2010,NUTS,2010,DE13,2,170
98,2010,NUTS,2010,DE131,3,146
99,2010,NUTS,2010,DE138,3,24
100,2010,NUTS,2010,DE14,2,191
101,2010,NUTS,2010,DE142,3,144
102,2010,NUTS,2010,DE144,3,46
103,2010,NUTS,2010,DE147,3,1
104,2010,NUTS,2010,DE2,1,3452
105,2010,NUTS,2010,DE21,2,3080
106,2010,NUTS,2010,DE212,3,2933
107,2010,NUTS,2010,DE21H,3,146
108,2010,NUTS,2010,DE21I,3,1
109,2010,NUTS,2010,DE23,2,62
110,2010,NUTS,2010,DE232,3,62
111,2010,NUTS,2010,DE24,2,41
112,2010,NUTS,2010,DE242,3,41
113,2010,NUTS,2010,DE25,2,151
114,2010,NUTS,2010,DE252,3,151
115,2010,NUTS,2010,DE26,2,70
116,2010,NUTS,2010,DE263,3,70
117,2010,NUTS,2010,DE27,2,48
118,2010,NUTS,2010,DE271,3,48
119,2010,NUTS,2010,DE3,1,454
120,2010,NUTS,2010,DE30,2,454
121,2010,NUTS,2010,DE300,3,454
122,2010,NUTS,2010,DE4,1,98
123,2010,NUTS,2010,DE40,2,98
124,2010,NUTS,2010,DE402,3,2
125,2010,NUTS,2010,DE404,3,96
126,2010,NUTS,2010,DE5,1,88
127,2010,NUTS,2010,DE50,2,88
128,2010,NUTS,2010,DE501,3,88
129,2010,NUTS,2010,DE6,1,226
130,2010,NUTS,2010,DE60,2,226
131,2010,NUTS,2010,DE600,3,226
132,2010,NUTS,2010,DE7,1,445
133,2010,NUTS,2010,DE71,2,349
134,2010,NUTS,2010,DE711,3,86
135,2010,NUTS,2010,DE712,3,261
136,2010,NUTS,2010,DE713,3,1
137,2010,NUTS,2010,DE714,3,1
138,2010,NUTS,2010,DE72,2,58
