,year,nuts_id,nuts_year_spec,arxiv_count
0,2000.0,AT,2016,227
1,2000.0,BE,2016,235
2,2000.0,BG,2016,57
3,2000.0,CH,2016,494
4,2000.0,CY,2016,26
5,2000.0,CZ,2016,122
6,2000.0,DE,2016,3136
7,2000.0,DK,2016,138
8,2000.0,EE,2016,19
9,2000.0,EL,2016,169
10,2000.0,ES,2016,1170
11,2000.0,FI,2016,181
12,2000.0,FR,2016,1342
13,2000.0,HR,2016,28
14,2000.0,HU,2016,206
15,2000.0,IE,2016,85
16,2000.0,IS,2016,17
17,2000.0,IT,2016,1893
18,2000.0,LT,2016,2
19,2000.0,LU,2016,4
20,2000.0,LV,2016,15
21,2000.0,ME,2016,4
22,2000.0,NL,2016,651
23,2000.0,NO,2016,83
24,2000.0,PL,2016,360
25,2000.0,PT,2016,93
26,2000.0,RO,2016,39
27,2000.0,RS,2016,10
28,2000.0,SE,2016,299
29,2000.0,SI,2016,43
30,2000.0,SK,2016,106
31,2000.0,TR,2016,88
32,2000.0,UK,2016,2606
33,2001.0,AT,2016,212
34,2001.0,BE,2016,303
35,2001.0,BG,2016,50
36,2001.0,CH,2016,463
37,2001.0,CY,2016,25
38,2001.0,CZ,2016,156
39,2001.0,DE,2016,3440
40,2001.0,DK,2016,158
41,2001.0,EE,2016,19
42,2001.0,EL,2016,208
43,2001.0,ES,2016,1258
44,2001.0,FI,2016,200
45,2001.0,FR,2016,1590
46,2001.0,HR,2016,26
47,2001.0,HU,2016,248
48,2001.0,IE,2016,88
49,2001.0,IS,2016,28
50,2001.0,IT,2016,2125
51,2001.0,LT,2016,5
52,2001.0,LU,2016,3
53,2001.0,LV,2016,6
54,2001.0,ME,2016,4
55,2001.0,MT,2016,2
56,2001.0,NL,2016,708
57,2001.0,NO,2016,89
58,2001.0,PL,2016,411
59,2001.0,PT,2016,105
60,2001.0,RO,2016,27
61,2001.0,RS,2016,11
62,2001.0,SE,2016,344
63,2001.0,SI,2016,46
64,2001.0,SK,2016,122
65,2001.0,TR,2016,140
66,2001.0,UK,2016,3139
67,2002.0,AT,2016,256
68,2002.0,BE,2016,350
69,2002.0,BG,2016,68
70,2002.0,CH,2016,516
71,2002.0,CY,2016,32
72,2002.0,CZ,2016,177
73,2002.0,DE,2016,3895
74,2002.0,DK,2016,164
75,2002.0,EE,2016,33
76,2002.0,EL,2016,232
77,2002.0,ES,2016,1426
78,2002.0,FI,2016,181
79,2002.0,FR,2016,1698
80,2002.0,HR,2016,38
81,2002.0,HU,2016,233
82,2002.0,IE,2016,106
83,2002.0,IS,2016,28
84,2002.0,IT,2016,2289
85,2002.0,LT,2016,8
86,2002.0,LU,2016,4
87,2002.0,LV,2016,6
88,2002.0,ME,2016,4
89,2002.0,NL,2016,737
90,2002.0,NO,2016,86
91,2002.0,PL,2016,555
92,2002.0,PT,2016,122
93,2002.0,RO,2016,32
94,2002.0,RS,2016,16
95,2002.0,SE,2016,403
96,2002.0,SI,2016,61
97,2002.0,SK,2016,131
98,2002.0,TR,2016,167
99,2002.0,UK,2016,3282
100,2003.0,AT,2016,296
101,2003.0,BE,2016,413
102,2003.0,BG,2016,82
103,2003.0,CH,2016,724
104,2003.0,CY,2016,28
105,2003.0,CZ,2016,169
106,2003.0,DE,2016,4133
107,2003.0,DK,2016,212
108,2003.0,EE,2016,16
109,2003.0,EL,2016,182
110,2003.0,ES,2016,1525
111,2003.0,FI,2016,205
112,2003.0,FR,2016,1872
113,2003.0,HR,2016,29
114,2003.0,HU,2016,290
115,2003.0,IE,2016,141
116,2003.0,IS,2016,12
117,2003.0,IT,2016,2649
118,2003.0,LT,2016,17
119,2003.0,LU,2016,6
120,2003.0,LV,2016,10
121,2003.0,ME,2016,2
122,2003.0,MT,2016,1
123,2003.0,NL,2016,862
124,2003.0,NO,2016,139
125,2003.0,PL,2016,582
126,2003.0,PT,2016,167
127,2003.0,RO,2016,46
128,2003.0,RS,2016,20
129,2003.0,SE,2016,450
130,2003.0,SI,2016,73
131,2003.0,SK,2016,113
132,2003.0,TR,2016,179
133,2003.0,UK,2016,3782
