,year,nuts_id,nuts_year_spec,biorxiv_count
0,2011.0,SE12,2016,1
1,2011.0,UKJ2,2016,1
2,2012.0,ITH4,2016,1
3,2012.0,SE23,2016,1
4,2013.0,CH01,2016,1
5,2013.0,DE12,2016,2
6,2013.0,DE21,2016,3
7,2013.0,DE26,2016,1
8,2013.0,DE30,2016,1
9,2013.0,DEA2,2016,1
10,2013.0,DED4,2016,1
11,2013.0,ES30,2016,1
12,2013.0,FR10,2016,3
13,2013.0,IE06,2016,1
14,2013.0,ITC4,2016,1
15,2013.0,ITH2,2016,1
16,2013.0,ITI1,2016,2
17,2013.0,SE22,2016,2
18,2013.0,TR62,2016,1
19,2013.0,UKC2,2016,1
20,2013.0,UKE2,2016,1
21,2013.0,UKE3,2016,2
22,2013.0,UKF1,2016,1
23,2013.0,UKH1,2016,4
24,2013.0,UKH3,2016,1
25,2013.0,UKI3,2016,4
26,2013.0,UKI4,2016,1
27,2013.0,UKJ1,2016,2
28,2013.0,UKJ2,2016,1
29,2013.0,UKK1,2016,1
30,2013.0,UKM7,2016,2
31,2014.0,AT12,2016,2
32,2014.0,AT13,2016,4
33,2014.0,AT31,2016,1
34,2014.0,BE21,2016,1
35,2014.0,BE23,2016,2
36,2014.0,BE31,2016,1
37,2014.0,BE33,2016,1
38,2014.0,CH01,2016,33
39,2014.0,CH02,2016,4
40,2014.0,CH03,2016,2
41,2014.0,CH04,2016,10
42,2014.0,CZ01,2016,1
43,2014.0,CZ06,2016,1
44,2014.0,DE11,2016,3
45,2014.0,DE12,2016,4
46,2014.0,DE13,2016,1
47,2014.0,DE14,2016,4
48,2014.0,DE21,2016,40
49,2014.0,DE30,2016,2
50,2014.0,DE71,2016,1
51,2014.0,DE73,2016,3
52,2014.0,DEA2,2016,3
53,2014.0,DEA3,2016,1
54,2014.0,DED4,2016,7
55,2014.0,DED5,2016,1
56,2014.0,DK01,2016,5
57,2014.0,DK04,2016,5
58,2014.0,EE00,2016,7
59,2014.0,ES11,2016,6
60,2014.0,ES12,2016,1
61,2014.0,ES30,2016,7
62,2014.0,ES41,2016,4
63,2014.0,ES42,2016,1
64,2014.0,ES51,2016,16
65,2014.0,ES52,2016,3
66,2014.0,ES61,2016,1
67,2014.0,ES62,2016,1
68,2014.0,FI1B,2016,6
69,2014.0,FI1C,2016,2
70,2014.0,FI1D,2016,3
71,2014.0,FR10,2016,7
72,2014.0,FRF1,2016,1
73,2014.0,FRG0,2016,4
74,2014.0,FRH0,2016,1
75,2014.0,FRJ1,2016,3
76,2014.0,HR03,2016,1
77,2014.0,HR04,2016,2
78,2014.0,HU11,2016,4
79,2014.0,HU22,2016,1
80,2014.0,HU23,2016,1
81,2014.0,HU32,2016,1
82,2014.0,HU33,2016,1
83,2014.0,IE06,2016,1
84,2014.0,IS00,2016,5
85,2014.0,ITC1,2016,2
86,2014.0,ITC4,2016,5
87,2014.0,ITF1,2016,1
88,2014.0,ITH2,2016,1
89,2014.0,ITH3,2016,2
90,2014.0,ITH4,2016,1
91,2014.0,ITH5,2016,1
92,2014.0,ITI1,2016,9
93,2014.0,ITI2,2016,1
94,2014.0,LT01,2016,1
95,2014.0,NL11,2016,6
96,2014.0,NL22,2016,6
97,2014.0,NL31,2016,2
98,2014.0,NL32,2016,2
99,2014.0,NL33,2016,3
100,2014.0,NL42,2016,1
101,2014.0,NO01,2016,2
102,2014.0,NO04,2016,1
103,2014.0,NO05,2016,1
104,2014.0,PT11,2016,2
105,2014.0,PT16,2016,1
106,2014.0,PT17,2016,3
107,2014.0,RO11,2016,1
108,2014.0,SE11,2016,11
109,2014.0,SE12,2016,13
110,2014.0,SE22,2016,2
111,2014.0,SE23,2016,6
112,2014.0,SK01,2016,1
113,2014.0,TR10,2016,1
114,2014.0,TR51,2016,2
115,2014.0,TR62,2016,1
116,2014.0,TR72,2016,1
117,2014.0,TR82,2016,1
118,2014.0,UKC1,2016,1
119,2014.0,UKD3,2016,2
120,2014.0,UKD4,2016,1
121,2014.0,UKD7,2016,3
122,2014.0,UKE2,2016,2
123,2014.0,UKE3,2016,1
124,2014.0,UKE4,2016,1
125,2014.0,UKF2,2016,6
126,2014.0,UKF3,2016,1
127,2014.0,UKG1,2016,9
128,2014.0,UKG3,2016,4
129,2014.0,UKH1,2016,66
130,2014.0,UKI3,2016,15
131,2014.0,UKI4,2016,3
132,2014.0,UKJ1,2016,24
133,2014.0,UKJ2,2016,2
134,2014.0,UKJ3,2016,1
135,2014.0,UKK1,2016,5
136,2014.0,UKK4,2016,6
137,2014.0,UKL1,2016,9
138,2014.0,UKM5,2016,1
139,2014.0,UKM7,2016,10
140,2014.0,UKM8,2016,3
141,2014.0,UKN0,2016,1
142,2015.0,AT12,2016,6
143,2015.0,AT13,2016,16
144,2015.0,AT22,2016,1
