,year,nuts_id,nuts_year_spec,deep_learning_count
0,2000.0,DED,2016,1
1,2000.0,EL3,2016,1
2,2000.0,FRF,2016,1
3,2000.0,UKD,2016,1
4,2000.0,UKI,2016,1
5,2001.0,BE2,2016,2
6,2001.0,CH0,2016,1
7,2001.0,DE1,2016,1
8,2001.0,IE0,2016,1
9,2001.0,NL2,2016,1
10,2002.0,DEA,2016,1
11,2002.0,FR1,2016,2
12,2002.0,ITF,2016,1
13,2002.0,ITI,2016,1
14,2002.0,UKH,2016,1
15,2003.0,DE2,2016,3
16,2003.0,DED,2016,1
17,2003.0,ITH,2016,2
18,2003.0,UKD,2016,1
19,2003.0,UKF,2016,1
20,2003.0,UKJ,2016,2
21,2004.0,CH0,2016,1
22,2004.0,DEA,2016,1
23,2004.0,ITH,2016,2
24,2004.0,PT1,2016,1
25,2004.0,SE1,2016,1
26,2004.0,SE2,2016,1
27,2004.0,UKD,2016,1
28,2005.0,ES3,2016,1
29,2005.0,FR1,2016,1
30,2005.0,ITH,2016,2
31,2005.0,ITI,2016,1
32,2005.0,UKE,2016,1
33,2005.0,UKI,2016,1
34,2005.0,UKK,2016,4
35,2006.0,DE1,2016,1
36,2006.0,EL6,2016,2
37,2006.0,FRK,2016,1
38,2006.0,UKD,2016,1
39,2006.0,UKH,2016,2
40,2007.0,BE2,2016,1
41,2007.0,BE3,2016,2
42,2007.0,CH0,2016,3
43,2007.0,DE3,2016,1
44,2007.0,ES3,2016,2
45,2007.0,ES5,2016,1
46,2007.0,ES6,2016,1
47,2007.0,ES7,2016,1
48,2007.0,FR1,2016,13
49,2007.0,FRE,2016,1
50,2007.0,IE0,2016,1
51,2007.0,ITC,2016,4
52,2007.0,ITH,2016,1
53,2007.0,UKF,2016,3
54,2007.0,UKG,2016,1
55,2007.0,UKH,2016,1
56,2008.0,AT1,2016,1
57,2008.0,CH0,2016,2
58,2008.0,DE2,2016,1
59,2008.0,DE5,2016,1
60,2008.0,EL3,2016,1
61,2008.0,EL4,2016,1
62,2008.0,FR1,2016,7
63,2008.0,FRD,2016,1
64,2008.0,HU1,2016,1
65,2008.0,ITC,2016,1
66,2008.0,ITI,2016,1
67,2008.0,LU0,2016,1
68,2008.0,NL3,2016,1
69,2008.0,SI0,2016,1
70,2008.0,UKF,2016,5
71,2008.0,UKH,2016,2
72,2008.0,UKJ,2016,1
73,2009.0,AT1,2016,1
74,2009.0,CZ0,2016,1
75,2009.0,DE5,2016,1
76,2009.0,DED,2016,1
77,2009.0,EL3,2016,1
78,2009.0,EL4,2016,1
79,2009.0,EL6,2016,1
80,2009.0,ES3,2016,1
81,2009.0,ES5,2016,1
82,2009.0,FR1,2016,8
83,2009.0,ITH,2016,2
84,2009.0,ITI,2016,1
85,2009.0,NL3,2016,1
86,2009.0,PL9,2016,1
87,2009.0,SE1,2016,1
88,2009.0,SI0,2016,1
