,year,nuts_id,nuts_year_spec,detection_sequencing_count
0,2020.0,AT130,2016,1
1,2020.0,BE234,2016,1
2,2020.0,BE332,2016,1
3,2020.0,CH011,2016,5
4,2020.0,CH013,2016,5
5,2020.0,CH031,2016,2
6,2020.0,CH040,2016,2
7,2020.0,CY000,2016,1
8,2020.0,DE131,2016,1
9,2020.0,DE212,2016,3
10,2020.0,DE232,2016,1
11,2020.0,DE300,2016,1
12,2020.0,DE712,2016,2
13,2020.0,DEA22,2016,3
14,2020.0,DEA23,2016,1
15,2020.0,DEA56,2016,1
16,2020.0,DEB3F,2016,1
17,2020.0,DED51,2016,2
18,2020.0,EL303,2016,1
19,2020.0,ES111,2016,2
20,2020.0,ES114,2016,1
21,2020.0,ES300,2016,3
22,2020.0,ES511,2016,1
23,2020.0,ES523,2016,2
24,2020.0,ES709,2016,1
25,2020.0,FI1B1,2016,1
26,2020.0,FR101,2016,3
27,2020.0,FR103,2016,1
28,2020.0,FR104,2016,4
29,2020.0,FRF11,2016,1
30,2020.0,FRK26,2016,1
31,2020.0,HU110,2016,4
32,2020.0,ITC47,2016,1
33,2020.0,ITC48,2016,1
34,2020.0,ITC4C,2016,6
35,2020.0,ITF47,2016,1
36,2020.0,ITG25,2016,1
37,2020.0,ITH36,2016,1
38,2020.0,ITH42,2016,1
39,2020.0,ITH44,2016,1
40,2020.0,ITH52,2016,1
41,2020.0,ITH55,2016,1
42,2020.0,ITI14,2016,2
43,2020.0,ITI43,2016,2
44,2020.0,LT011,2016,2
45,2020.0,NL310,2016,3
46,2020.0,NL337,2016,1
47,2020.0,NL33C,2016,1
48,2020.0,NL423,2016,1
49,2020.0,NO011,2016,1
50,2020.0,NO043,2016,2
51,2020.0,NO060,2016,1
52,2020.0,PL213,2016,2
53,2020.0,RO321,2016,1
54,2020.0,SE110,2016,2
55,2020.0,SE224,2016,1
56,2020.0,SI041,2016,1
57,2020.0,TR100,2016,3
58,2020.0,TR721,2016,1
59,2020.0,TRA22,2016,1
60,2020.0,UKD33,2016,2
61,2020.0,UKD44,2016,1
62,2020.0,UKD61,2016,1
63,2020.0,UKD72,2016,1
64,2020.0,UKE32,2016,1
65,2020.0,UKG13,2016,1
66,2020.0,UKG31,2016,4
67,2020.0,UKH23,2016,4
68,2020.0,UKI31,2016,2
69,2020.0,UKI32,2016,4
70,2020.0,UKI33,2016,5
71,2020.0,UKI42,2016,1
72,2020.0,UKJ14,2016,2
73,2020.0,UKJ25,2016,2
74,2020.0,UKK11,2016,2
75,2020.0,UKK43,2016,1
76,2020.0,UKL22,2016,1
77,2020.0,UKM75,2016,3
78,2020.0,UKM82,2016,1
79,2021.0,AT332,2016,1
80,2021.0,CH013,2016,2
81,2021.0,CH021,2016,1
82,2021.0,CH031,2016,1
83,2021.0,DE212,2016,1
84,2021.0,DE300,2016,2
85,2021.0,ES220,2016,2
86,2021.0,ES300,2016,2
87,2021.0,ES523,2016,1
88,2021.0,FR101,2016,1
89,2021.0,FRL04,2016,1
90,2021.0,NL221,2016,1
91,2021.0,NL310,2016,2
92,2021.0,NL329,2016,1
93,2021.0,NL33C,2016,1
94,2021.0,SK010,2016,2
95,2021.0,TR100,2016,1
96,2021.0,TR211,2016,1
97,2021.0,TR310,2016,1
98,2021.0,TR411,2016,1
99,2021.0,TR424,2016,1
100,2021.0,TR510,2016,2
101,2021.0,TR611,2016,1
102,2021.0,TR811,2016,1
103,2021.0,UKD33,2016,1
104,2021.0,UKH23,2016,1
105,2021.0,UKI31,2016,1
106,2021.0,UKI33,2016,1
107,2021.0,UKI42,2016,2
108,2021.0,UKM75,2016,1
109,2021.0,UKM77,2016,1
110,2021.0,UKM82,2016,1
