year,region_type,region_year_spec,region_id,region_level,detection_sequencing_lq
0,2020,NUTS,2016,AL,0,0.0
1,2020,NUTS,2016,AT,0,0.4
2,2020,NUTS,2016,BE,0,0.73
3,2020,NUTS,2016,BG,0,0.0
4,2020,NUTS,2016,CH,0,2.26
5,2020,NUTS,2016,CY,0,2.63
6,2020,NUTS,2016,CZ,0,0.0
7,2020,NUTS,2016,DE,0,0.97
8,2020,NUTS,2016,DK,0,0.0
9,2020,NUTS,2016,EE,0,0.0
10,2020,NUTS,2016,EL,0,0.49
11,2020,NUTS,2016,ES,0,1.11
12,2020,NUTS,2016,FI,0,0.67
13,2020,NUTS,2016,FR,0,1.16
14,2020,NUTS,2016,HR,0,0.0
15,2020,NUTS,2016,HU,0,5.28
16,2020,NUTS,2016,IE,0,0.0
17,2020,NUTS,2016,IS,0,0.0
18,2020,NUTS,2016,IT,0,0.94
19,2020,NUTS,2016,LI,0,0.0
20,2020,NUTS,2016,LT,0,10.42
21,2020,NUTS,2016,LU,0,0.0
22,2020,NUTS,2016,LV,0,0.0
23,2020,NUTS,2016,ME,0,0.0
24,2020,NUTS,2016,MK,0,0.0
25,2020,NUTS,2016,MT,0,0.0
26,2020,NUTS,2016,NL,0,0.76
27,2020,NUTS,2016,NO,0,2.1
28,2020,NUTS,2016,PL,0,0.67
29,2020,NUTS,2016,PT,0,0.0
30,2020,NUTS,2016,RO,0,2.07
31,2020,NUTS,2016,RS,0,0.0
32,2020,NUTS,2016,SE,0,0.67
33,2020,NUTS,2016,SI,0,2.89
34,2020,NUTS,2016,SK,0,0.0
35,2020,NUTS,2016,TR,0,1.82
36,2020,NUTS,2016,UK,0,0.97
37,2020,NUTS,2016,AL0,1,0.0
38,2020,NUTS,2016,AT1,1,0.61
39,2020,NUTS,2016,AT2,1,0.0
40,2020,NUTS,2016,AT3,1,0.0
41,2020,NUTS,2016,BE1,1,0.0
42,2020,NUTS,2016,BE2,1,0.68
43,2020,NUTS,2016,BE3,1,1.86
44,2020,NUTS,2016,BG3,1,0.0
45,2020,NUTS,2016,BG4,1,0.0
46,2020,NUTS,2016,CH0,1,2.26
47,2020,NUTS,2016,CY0,1,2.63
48,2020,NUTS,2016,CZ0,1,0.0
49,2020,NUTS,2016,DE1,1,0.42
50,2020,NUTS,2016,DE2,1,1.09
51,2020,NUTS,2016,DE3,1,0.47
52,2020,NUTS,2016,DE4,1,0.0
53,2020,NUTS,2016,DE5,1,0.0
54,2020,NUTS,2016,DE6,1,0.0
55,2020,NUTS,2016,DE7,1,1.68
56,2020,NUTS,2016,DE8,1,0.0
57,2020,NUTS,2016,DE9,1,0.0
58,2020,NUTS,2016,DEA,1,1.78
59,2020,NUTS,2016,DEB,1,4.64
60,2020,NUTS,2016,DEC,1,0.0
61,2020,NUTS,2016,DED,1,1.52
62,2020,NUTS,2016,DEE,1,0.0
63,2020,NUTS,2016,DEF,1,0.0
64,2020,NUTS,2016,DEG,1,0.0
65,2020,NUTS,2016,DK0,1,0.0
66,2020,NUTS,2016,EE0,1,0.0
67,2020,NUTS,2016,EL3,1,1.11
68,2020,NUTS,2016,EL4,1,0.0
69,2020,NUTS,2016,EL5,1,0.0
70,2020,NUTS,2016,EL6,1,0.0
71,2020,NUTS,2016,ES1,1,7.09
72,2020,NUTS,2016,ES2,1,0.0
73,2020,NUTS,2016,ES3,1,0.91
74,2020,NUTS,2016,ES4,1,0.0
75,2020,NUTS,2016,ES5,1,1.07
76,2020,NUTS,2016,ES6,1,0.0
77,2020,NUTS,2016,ES7,1,5.59
78,2020,NUTS,2016,FI1,1,0.67
79,2020,NUTS,2016,FR1,1,1.76
80,2020,NUTS,2016,FRB,1,0.0
81,2020,NUTS,2016,FRC,1,0.0
82,2020,NUTS,2016,FRD,1,0.0
83,2020,NUTS,2016,FRE,1,0.0
84,2020,NUTS,2016,FRF,1,1.64
85,2020,NUTS,2016,FRG,1,0.0
86,2020,NUTS,2016,FRH,1,0.0
87,2020,NUTS,2016,FRI,1,0.0
88,2020,NUTS,2016,FRJ,1,0.0
89,2020,NUTS,2016,FRK,1,1.74
90,2020,NUTS,2016,FRL,1,0.0
91,2020,NUTS,2016,FRM,1,0.0
92,2020,NUTS,2016,FRY,1,0.0
93,2020,NUTS,2016,HR0,1,0.0
94,2020,NUTS,2016,HU1,1,8.5
95,2020,NUTS,2016,HU2,1,0.0
96,2020,NUTS,2016,HU3,1,0.0
97,2020,NUTS,2016,IE0,1,0.0
98,2020,NUTS,2016,IS0,1,0.0
99,2020,NUTS,2016,ITC,1,1.08
100,2020,NUTS,2016,ITF,1,0.37
101,2020,NUTS,2016,ITG,1,1.0
102,2020,NUTS,2016,ITH,1,1.21
103,2020,NUTS,2016,ITI,1,0.79
104,2020,NUTS,2016,LI0,1,0.0
105,2020,NUTS,2016,LT0,1,10.42
106,2020,NUTS,2016,LU0,1,0.0
107,2020,NUTS,2016,LV0,1,0.0
108,2020,NUTS,2016,ME0,1,0.0
109,2020,NUTS,2016,MK0,1,0.0
110,2020,NUTS,2016,MT0,1,0.0
111,2020,NUTS,2016,NL1,1,0.0
112,2020,NUTS,2016,NL2,1,0.0
113,2020,NUTS,2016,NL3,1,1.17
114,2020,NUTS,2016,NL4,1,1.2
115,2020,NUTS,2016,NO0,1,2.1
116,2020,NUTS,2016,PL2,1,3.5
117,2020,NUTS,2016,PL4,1,0.0
118,2020,NUTS,2016,PL5,1,0.0
119,2020,NUTS,2016,PL6,1,0.0
120,2020,NUTS,2016,PL7,1,0.0
121,2020,NUTS,2016,PL8,1,0.0
122,2020,NUTS,2016,PL9,1,0.0
123,2020,NUTS,2016,PT1,1,0.0
124,2020,NUTS,2016,PT2,1,0.0
125,2020,NUTS,2016,PT3,1,0.0
126,2020,NUTS,2016,RO1,1,0.0
127,2020,NUTS,2016,RO2,1,0.0
128,2020,NUTS,2016,RO3,1,4.38
129,2020,NUTS,2016,RO4,1,0.0
130,2020,NUTS,2016,RS1,1,0.0
131,2020,NUTS,2016,RS2,1,0.0
132,2020,NUTS,2016,SE1,1,0.69
133,2020,NUTS,2016,SE2,1,0.81
134,2020,NUTS,2016,SE3,1,0.0
135,2020,NUTS,2016,SI0,1,2.89
136,2020,NUTS,2016,SK0,1,0.0
137,2020,NUTS,2016,TR1,1,5.88
138,2020,NUTS,2016,TR2,1,0.0
139,2020,NUTS,2016,TR3,1,0.0
140,2020,NUTS,2016,TR4,1,0.0
141,2020,NUTS,2016,TR5,1,0.0
142,2020,NUTS,2016,TR6,1,0.0
143,2020,NUTS,2016,TR7,1,7.73
144,2020,NUTS,2016,TR8,1,0.0
145,2020,NUTS,2016,TR9,1,0.0
146,2020,NUTS,2016,TRA,1,11.79
147,2020,NUTS,2016,TRB,1,0.0
148,2020,NUTS,2016,TRC,1,0.0
149,2020,NUTS,2016,UKC,1,0.0
150,2020,NUTS,2016,UKD,1,1.47
151,2020,NUTS,2016,UKE,1,0.44
152,2020,NUTS,2016,UKF,1,0.0
153,2020,NUTS,2016,UKG,1,2.03
154,2020,NUTS,2016,UKH,1,0.81
155,2020,NUTS,2016,UKI,1,1.14
156,2020,NUTS,2016,UKJ,1,0.64
157,2020,NUTS,2016,UKK,1,1.34
158,2020,NUTS,2016,UKL,1,0.84
159,2020,NUTS,2016,UKM,1,1.11
160,2020,NUTS,2016,UKN,1,0.0
161,2020,NUTS,2016,AL02,2,0.0
162,2020,NUTS,2016,AL03,2,0.0
163,2020,NUTS,2016,AT12,2,0.0
164,2020,NUTS,2016,AT13,2,0.7
165,2020,NUTS,2016,AT21,2,0.0
166,2020,NUTS,2016,AT22,2,0.0
167,2020,NUTS,2016,AT31,2,0.0
168,2020,NUTS,2016,AT32,2,0.0
169,2020,NUTS,2016,AT33,2,0.0
170,2020,NUTS,2016,BE10,2,0.0
171,2020,NUTS,2016,BE21,2,0.0
172,2020,NUTS,2016,BE22,2,0.0
173,2020,NUTS,2016,BE23,2,1.65
174,2020,NUTS,2016,BE24,2,0.0
175,2020,NUTS,2016,BE25,2,0.0
176,2020,NUTS,2016,BE31,2,0.0
177,2020,NUTS,2016,BE32,2,0.0
178,2020,NUTS,2016,BE33,2,6.16
179,2020,NUTS,2016,BE35,2,0.0
180,2020,NUTS,2016,BG31,2,0.0
181,2020,NUTS,2016,BG32,2,0.0
182,2020,NUTS,2016,BG33,2,0.0
183,2020,NUTS,2016,BG34,2,0.0
184,2020,NUTS,2016,BG41,2,0.0
185,2020,NUTS,2016,BG42,2,0.0
186,2020,NUTS,2016,CH01,2,4.16
187,2020,NUTS,2016,CH02,2,0.0
188,2020,NUTS,2016,CH03,2,2.52
189,2020,NUTS,2016,CH04,2,0.98
190,2020,NUTS,2016,CH05,2,0.0
191,2020,NUTS,2016,CH06,2,0.0
192,2020,NUTS,2016,CH07,2,0.0
193,2020,NUTS,2016,CY00,2,2.63
194,2020,NUTS,2016,CZ01,2,0.0
195,2020,NUTS,2016,CZ02,2,0.0
196,2020,NUTS,2016,CZ03,2,0.0
197,2020,NUTS,2016,CZ04,2,0.0
198,2020,NUTS,2016,CZ05,2,0.0
199,2020,NUTS,2016,CZ06,2,0.0
200,2020,NUTS,2016,CZ07,2,0.0
201,2020,NUTS,2016,CZ08,2,0.0
