,year,nuts_id,nuts_year_spec,genetic_analysis_count
0,2015.0,UKM,2016,1
1,2017.0,UKJ,2016,1
2,2017.0,UKM,2016,1
3,2018.0,NL3,2016,1
4,2019.0,FR1,2016,1
5,2020.0,AT1,2016,6
6,2020.0,AT3,2016,2
7,2020.0,BE1,2016,1
8,2020.0,BE2,2016,3
9,2020.0,BE3,2016,1
10,2020.0,BG4,2016,1
11,2020.0,CH0,2016,20
12,2020.0,CY0,2016,2
13,2020.0,CZ0,2016,2
14,2020.0,DE1,2016,5
15,2020.0,DE2,2016,13
16,2020.0,DE3,2016,14
17,2020.0,DE4,2016,1
18,2020.0,DE7,2016,11
19,2020.0,DE9,2016,4
20,2020.0,DEA,2016,9
21,2020.0,DED,2016,3
22,2020.0,DEE,2016,3
23,2020.0,DK0,2016,8
24,2020.0,EE0,2016,3
25,2020.0,EL3,2016,3
26,2020.0,EL4,2016,2
27,2020.0,EL6,2016,1
28,2020.0,ES2,2016,5
29,2020.0,ES3,2016,9
30,2020.0,ES5,2016,4
31,2020.0,ES6,2016,1
32,2020.0,FI1,2016,1
33,2020.0,FR1,2016,9
34,2020.0,FRB,2016,1
35,2020.0,FRE,2016,1
36,2020.0,FRF,2016,2
37,2020.0,FRG,2016,2
38,2020.0,FRJ,2016,1
39,2020.0,FRL,2016,1
40,2020.0,FRY,2016,1
41,2020.0,HU1,2016,1
42,2020.0,IE0,2016,3
43,2020.0,ITC,2016,9
44,2020.0,ITF,2016,3
45,2020.0,ITG,2016,2
46,2020.0,ITH,2016,13
47,2020.0,ITI,2016,16
48,2020.0,NL1,2016,3
49,2020.0,NL2,2016,1
50,2020.0,NL3,2016,17
51,2020.0,NO0,2016,3
52,2020.0,PL2,2016,2
53,2020.0,PL9,2016,3
54,2020.0,RS1,2016,1
55,2020.0,SE1,2016,9
56,2020.0,SI0,2016,2
57,2020.0,TR1,2016,2
58,2020.0,TR3,2016,7
59,2020.0,TR5,2016,1
60,2020.0,TR6,2016,1
61,2020.0,UKD,2016,6
62,2020.0,UKE,2016,1
63,2020.0,UKF,2016,4
64,2020.0,UKG,2016,3
65,2020.0,UKH,2016,31
66,2020.0,UKI,2016,18
67,2020.0,UKJ,2016,24
68,2020.0,UKK,2016,4
69,2020.0,UKL,2016,1
70,2020.0,UKM,2016,11
71,2021.0,AT1,2016,1
72,2021.0,AT3,2016,1
73,2021.0,BG4,2016,1
74,2021.0,CH0,2016,6
75,2021.0,DE1,2016,2
76,2021.0,DE2,2016,2
77,2021.0,DE3,2016,2
78,2021.0,DE7,2016,2
79,2021.0,DE9,2016,2
80,2021.0,DEA,2016,3
81,2021.0,DK0,2016,2
82,2021.0,ES5,2016,1
83,2021.0,FR1,2016,4
84,2021.0,ITC,2016,1
85,2021.0,ITF,2016,1
86,2021.0,ITH,2016,1
87,2021.0,NL1,2016,1
88,2021.0,NL2,2016,1
89,2021.0,NL3,2016,5
90,2021.0,PL9,2016,1
91,2021.0,SE1,2016,1
92,2021.0,TR1,2016,1
93,2021.0,TR3,2016,2
94,2021.0,UKD,2016,2
95,2021.0,UKH,2016,3
96,2021.0,UKI,2016,10
97,2021.0,UKJ,2016,2
98,2021.0,UKM,2016,3
