,year,nuts_id,nuts_year_spec,hospitalisation_count
0,2020.0,AT13,2016,2
1,2020.0,AT22,2016,2
2,2020.0,AT31,2016,1
3,2020.0,AT33,2016,1
4,2020.0,BE21,2016,4
5,2020.0,BE23,2016,2
6,2020.0,BE32,2016,1
7,2020.0,CH01,2016,8
8,2020.0,CH02,2016,5
9,2020.0,CH03,2016,2
10,2020.0,CH04,2016,5
11,2020.0,CH05,2016,2
12,2020.0,CY00,2016,2
13,2020.0,CZ01,2016,3
14,2020.0,DE12,2016,2
15,2020.0,DE13,2016,3
16,2020.0,DE21,2016,1
17,2020.0,DE25,2016,1
18,2020.0,DE30,2016,5
19,2020.0,DE60,2016,2
20,2020.0,DE72,2016,1
21,2020.0,DE92,2016,1
22,2020.0,DEA3,2016,2
23,2020.0,DED4,2016,2
24,2020.0,DED5,2016,1
25,2020.0,DK01,2016,10
26,2020.0,DK03,2016,2
27,2020.0,DK04,2016,2
28,2020.0,EL30,2016,4
29,2020.0,EL54,2016,1
30,2020.0,ES22,2016,1
31,2020.0,ES30,2016,13
32,2020.0,ES41,2016,6
33,2020.0,ES51,2016,12
34,2020.0,ES52,2016,2
35,2020.0,ES61,2016,2
36,2020.0,ES62,2016,2
37,2020.0,FI1B,2016,2
38,2020.0,FI1C,2016,3
39,2020.0,FI1D,2016,2
40,2020.0,FR10,2016,2
41,2020.0,FRK2,2016,1
42,2020.0,HR03,2016,1
43,2020.0,IE05,2016,2
44,2020.0,IE06,2016,1
45,2020.0,IS00,2016,1
46,2020.0,ITC1,2016,1
47,2020.0,ITC4,2016,5
48,2020.0,ITF6,2016,1
49,2020.0,ITG1,2016,1
50,2020.0,ITH5,2016,4
51,2020.0,ITI1,2016,8
52,2020.0,ITI4,2016,2
53,2020.0,LT01,2016,3
54,2020.0,LV00,2016,1
55,2020.0,NL11,2016,3
56,2020.0,NL22,2016,2
57,2020.0,NL31,2016,3
58,2020.0,NL32,2016,1
59,2020.0,NL33,2016,8
60,2020.0,NL42,2016,4
61,2020.0,NO01,2016,1
62,2020.0,NO07,2016,1
63,2020.0,PL91,2016,4
64,2020.0,PT16,2016,1
65,2020.0,PT17,2016,2
66,2020.0,RS11,2016,3
67,2020.0,SE11,2016,14
68,2020.0,SE12,2016,6
69,2020.0,SE22,2016,2
70,2020.0,SE23,2016,4
71,2020.0,SE33,2016,2
72,2020.0,SI04,2016,1
73,2020.0,TR10,2016,1
74,2020.0,TR51,2016,1
75,2020.0,UKC2,2016,2
76,2020.0,UKD3,2016,13
77,2020.0,UKD4,2016,6
78,2020.0,UKD7,2016,16
79,2020.0,UKE1,2016,1
80,2020.0,UKE3,2016,5
81,2020.0,UKE4,2016,7
82,2020.0,UKF1,2016,10
83,2020.0,UKF2,2016,8
84,2020.0,UKG1,2016,4
85,2020.0,UKG3,2016,8
86,2020.0,UKH1,2016,9
87,2020.0,UKH2,2016,7
88,2020.0,UKI3,2016,73
89,2020.0,UKI4,2016,8
90,2020.0,UKI6,2016,2
91,2020.0,UKJ1,2016,31
92,2020.0,UKJ2,2016,3
93,2020.0,UKJ3,2016,8
94,2020.0,UKK1,2016,1
95,2020.0,UKK3,2016,1
96,2020.0,UKK4,2016,6
97,2020.0,UKL2,2016,3
98,2020.0,UKM7,2016,15
99,2020.0,UKM8,2016,6
100,2020.0,UKN0,2016,3
101,2021.0,BE22,2016,1
102,2021.0,CH01,2016,4
103,2021.0,CH02,2016,1
104,2021.0,DE13,2016,1
105,2021.0,DE30,2016,1
106,2021.0,DE71,2016,1
107,2021.0,DEA2,2016,1
108,2021.0,DEA5,2016,1
109,2021.0,DED4,2016,1
110,2021.0,DED5,2016,1
111,2021.0,DK01,2016,3
112,2021.0,EL30,2016,1
113,2021.0,ES24,2016,2
114,2021.0,ES51,2016,1
115,2021.0,ITC4,2016,1
116,2021.0,ITF2,2016,1
117,2021.0,NL11,2016,1
118,2021.0,NL22,2016,1
119,2021.0,NL33,2016,2
120,2021.0,NL42,2016,1
121,2021.0,PT11,2016,1
122,2021.0,SE11,2016,1
123,2021.0,SE33,2016,1
124,2021.0,TR31,2016,1
125,2021.0,UKD7,2016,1
126,2021.0,UKF2,2016,1
127,2021.0,UKG3,2016,4
128,2021.0,UKH1,2016,3
129,2021.0,UKI3,2016,3
130,2021.0,UKI4,2016,1
131,2021.0,UKJ1,2016,1
132,2021.0,UKJ3,2016,3
133,2021.0,UKL1,2016,3
134,2021.0,UKL2,2016,5
135,2021.0,UKM7,2016,1
136,2021.0,UKM8,2016,1
