,year,nuts_id,nuts_year_spec,image_detection_count
0,2019.0,ES30,2016,1
1,2019.0,NO06,2016,1
2,2020.0,CH01,2016,3
3,2020.0,CH04,2016,4
4,2020.0,CY00,2016,2
5,2020.0,CZ06,2016,1
6,2020.0,DE12,2016,2
7,2020.0,DE92,2016,1
8,2020.0,DEB2,2016,1
9,2020.0,DEC0,2016,1
10,2020.0,DED4,2016,1
11,2020.0,DEG0,2016,1
12,2020.0,DK01,2016,2
13,2020.0,EL30,2016,3
14,2020.0,ES11,2016,3
15,2020.0,ES51,2016,1
16,2020.0,ES61,2016,2
17,2020.0,FR10,2016,4
18,2020.0,FRF1,2016,2
19,2020.0,FRI1,2016,1
20,2020.0,FRJ1,2016,1
21,2020.0,HU11,2016,3
22,2020.0,ITC4,2016,2
23,2020.0,ITF1,2016,1
24,2020.0,ITG1,2016,2
25,2020.0,ITH3,2016,2
26,2020.0,ITH4,2016,1
27,2020.0,ITI1,2016,1
28,2020.0,LU00,2016,1
29,2020.0,NL32,2016,1
30,2020.0,NL41,2016,1
31,2020.0,NL42,2016,1
32,2020.0,NO01,2016,1
33,2020.0,PL91,2016,1
34,2020.0,SI04,2016,1
35,2020.0,TR10,2016,1
36,2020.0,TR22,2016,2
37,2020.0,TR51,2016,2
38,2020.0,TR81,2016,3
39,2020.0,TR83,2016,1
40,2020.0,UKD3,2016,1
41,2020.0,UKD4,2016,3
42,2020.0,UKE4,2016,2
43,2020.0,UKF1,2016,1
44,2020.0,UKF2,2016,2
45,2020.0,UKG3,2016,5
46,2020.0,UKH1,2016,2
47,2020.0,UKH2,2016,1
48,2020.0,UKI3,2016,8
49,2020.0,UKI7,2016,1
50,2020.0,UKJ1,2016,3
51,2020.0,UKJ2,2016,1
52,2020.0,UKM7,2016,1
53,2021.0,CY00,2016,1
54,2021.0,DE21,2016,3
55,2021.0,DE30,2016,1
56,2021.0,ES61,2016,1
57,2021.0,ITC1,2016,1
58,2021.0,ITC4,2016,1
59,2021.0,SK04,2016,2
60,2021.0,TR22,2016,1
61,2021.0,UKG1,2016,1
62,2021.0,UKH1,2016,1
63,2021.0,UKI3,2016,3
