,year,nuts_id,nuts_year_spec,impact_studies_3_count
0,2020.0,AT13,2016,1
1,2020.0,AT33,2016,3
2,2020.0,BE10,2016,3
3,2020.0,BE21,2016,2
4,2020.0,BE23,2016,3
5,2020.0,BE24,2016,1
6,2020.0,CH01,2016,5
7,2020.0,CH02,2016,3
8,2020.0,CH04,2016,9
9,2020.0,CZ06,2016,3
10,2020.0,DE12,2016,7
11,2020.0,DE13,2016,1
12,2020.0,DE14,2016,2
13,2020.0,DE21,2016,9
14,2020.0,DE23,2016,1
15,2020.0,DE30,2016,18
16,2020.0,DE60,2016,4
17,2020.0,DE71,2016,2
18,2020.0,DE72,2016,1
19,2020.0,DE73,2016,2
20,2020.0,DE92,2016,4
21,2020.0,DEA1,2016,4
22,2020.0,DEA2,2016,15
23,2020.0,DEA5,2016,1
24,2020.0,DED4,2016,5
25,2020.0,DEF0,2016,2
26,2020.0,DK04,2016,1
27,2020.0,EE00,2016,1
28,2020.0,EL30,2016,7
29,2020.0,EL61,2016,1
30,2020.0,ES11,2016,1
31,2020.0,ES21,2016,1
32,2020.0,ES24,2016,1
33,2020.0,ES30,2016,13
34,2020.0,ES41,2016,2
35,2020.0,ES51,2016,6
36,2020.0,ES52,2016,2
37,2020.0,ES61,2016,4
38,2020.0,FI1B,2016,3
39,2020.0,FI1D,2016,1
40,2020.0,FR10,2016,12
41,2020.0,FRF3,2016,2
42,2020.0,FRL0,2016,5
43,2020.0,IS00,2016,2
44,2020.0,ITC1,2016,1
45,2020.0,ITC3,2016,2
46,2020.0,ITC4,2016,32
47,2020.0,ITF3,2016,2
48,2020.0,ITF4,2016,1
49,2020.0,ITH2,2016,3
50,2020.0,ITH3,2016,3
51,2020.0,ITH4,2016,1
52,2020.0,ITH5,2016,6
53,2020.0,ITI1,2016,9
54,2020.0,ITI3,2016,1
55,2020.0,ITI4,2016,5
56,2020.0,LU00,2016,1
57,2020.0,NL11,2016,11
58,2020.0,NL22,2016,12
59,2020.0,NL31,2016,5
60,2020.0,NL32,2016,5
61,2020.0,NL33,2016,4
62,2020.0,NL42,2016,3
63,2020.0,NO01,2016,3
64,2020.0,NO04,2016,1
65,2020.0,PL91,2016,1
66,2020.0,RS11,2016,1
67,2020.0,RS21,2016,1
68,2020.0,SE11,2016,26
69,2020.0,SE12,2016,5
70,2020.0,SE22,2016,2
71,2020.0,SE23,2016,6
72,2020.0,TR10,2016,2
73,2020.0,TR42,2016,1
74,2020.0,TR51,2016,1
75,2020.0,UKC1,2016,3
76,2020.0,UKD3,2016,11
77,2020.0,UKD6,2016,1
78,2020.0,UKD7,2016,6
79,2020.0,UKE4,2016,1
80,2020.0,UKF1,2016,3
81,2020.0,UKF2,2016,1
82,2020.0,UKG3,2016,3
83,2020.0,UKH1,2016,21
84,2020.0,UKH2,2016,1
85,2020.0,UKI3,2016,36
86,2020.0,UKI4,2016,3
87,2020.0,UKJ1,2016,10
88,2020.0,UKJ3,2016,7
89,2020.0,UKK1,2016,2
90,2020.0,UKL2,2016,1
91,2020.0,UKM7,2016,20
92,2020.0,UKM8,2016,5
93,2020.0,UKN0,2016,3
94,2021.0,CH03,2016,1
95,2021.0,CH04,2016,1
96,2021.0,CH05,2016,1
97,2021.0,DE14,2016,1
98,2021.0,DE21,2016,2
99,2021.0,DE30,2016,1
100,2021.0,DE72,2016,1
101,2021.0,DEA2,2016,3
102,2021.0,DK01,2016,1
103,2021.0,ES30,2016,1
104,2021.0,FR10,2016,1
105,2021.0,FRL0,2016,1
106,2021.0,IE05,2016,1
107,2021.0,ITC4,2016,2
108,2021.0,ITF3,2016,1
109,2021.0,ITH4,2016,1
110,2021.0,ITI1,2016,1
111,2021.0,ITI2,2016,1
112,2021.0,NL22,2016,2
113,2021.0,NL33,2016,1
114,2021.0,SE11,2016,3
115,2021.0,SE12,2016,1
116,2021.0,SE23,2016,1
117,2021.0,SK01,2016,1
118,2021.0,TRB1,2016,1
119,2021.0,UKE4,2016,3
120,2021.0,UKH1,2016,6
121,2021.0,UKH3,2016,1
122,2021.0,UKI3,2016,2
123,2021.0,UKJ1,2016,1
