year,region_type,region_year_spec,region_id,region_level,indirect_impacts_count
0,2020,NUTS,2016,AT,0,5
1,2020,NUTS,2016,AT1,1,2
2,2020,NUTS,2016,AT13,2,2
3,2020,NUTS,2016,AT130,3,2
4,2020,NUTS,2016,AT2,1,1
5,2020,NUTS,2016,AT22,2,1
6,2020,NUTS,2016,AT221,3,1
7,2020,NUTS,2016,AT3,1,2
8,2020,NUTS,2016,AT32,2,1
9,2020,NUTS,2016,AT323,3,1
10,2020,NUTS,2016,AT33,2,1
11,2020,NUTS,2016,AT332,3,1
12,2020,NUTS,2016,BE,0,1
13,2020,NUTS,2016,BE3,1,1
14,2020,NUTS,2016,BE32,2,1
15,2020,NUTS,2016,BE323,3,1
16,2020,NUTS,2016,CH,0,2
17,2020,NUTS,2016,CH0,1,2
18,2020,NUTS,2016,CH01,2,1
19,2020,NUTS,2016,CH011,3,1
20,2020,NUTS,2016,CH04,2,1
21,2020,NUTS,2016,CH040,3,1
22,2020,NUTS,2016,CY,0,1
23,2020,NUTS,2016,CY0,1,1
24,2020,NUTS,2016,CY00,2,1
25,2020,NUTS,2016,CY000,3,1
26,2020,NUTS,2016,DE,0,19
27,2020,NUTS,2016,DE1,1,5
28,2020,NUTS,2016,DE12,2,1
29,2020,NUTS,2016,DE125,3,1
30,2020,NUTS,2016,DE13,2,1
31,2020,NUTS,2016,DE131,3,1
32,2020,NUTS,2016,DE14,2,3
33,2020,NUTS,2016,DE144,3,3
34,2020,NUTS,2016,DE3,1,1
35,2020,NUTS,2016,DE30,2,1
36,2020,NUTS,2016,DE300,3,1
37,2020,NUTS,2016,DE4,1,1
38,2020,NUTS,2016,DE40,2,1
39,2020,NUTS,2016,DE404,3,1
40,2020,NUTS,2016,DE9,1,2
41,2020,NUTS,2016,DE91,2,1
42,2020,NUTS,2016,DE91C,3,1
43,2020,NUTS,2016,DE92,2,1
44,2020,NUTS,2016,DE929,3,1
45,2020,NUTS,2016,DEA,1,6
46,2020,NUTS,2016,DEA2,2,3
47,2020,NUTS,2016,DEA22,3,3
48,2020,NUTS,2016,DEA3,2,1
49,2020,NUTS,2016,DEA33,3,1
50,2020,NUTS,2016,DEA4,2,1
51,2020,NUTS,2016,DEA41,3,1
52,2020,NUTS,2016,DEA5,2,1
53,2020,NUTS,2016,DEA51,3,1
54,2020,NUTS,2016,DEC,1,1
55,2020,NUTS,2016,DEC0,2,1
56,2020,NUTS,2016,DEC01,3,1
57,2020,NUTS,2016,DEE,1,3
58,2020,NUTS,2016,DEE0,2,3
59,2020,NUTS,2016,DEE03,3,3
60,2020,NUTS,2016,DK,0,4
61,2020,NUTS,2016,DK0,1,4
62,2020,NUTS,2016,DK01,2,3
63,2020,NUTS,2016,DK011,3,3
64,2020,NUTS,2016,DK05,2,1
65,2020,NUTS,2016,DK050,3,1
66,2020,NUTS,2016,EL,0,1
67,2020,NUTS,2016,EL5,1,1
68,2020,NUTS,2016,EL52,2,1
69,2020,NUTS,2016,EL522,3,1
70,2020,NUTS,2016,ES,0,10
71,2020,NUTS,2016,ES2,1,1
72,2020,NUTS,2016,ES24,2,1
73,2020,NUTS,2016,ES243,3,1
74,2020,NUTS,2016,ES3,1,4
75,2020,NUTS,2016,ES30,2,4
76,2020,NUTS,2016,ES300,3,4
77,2020,NUTS,2016,ES4,1,2
78,2020,NUTS,2016,ES42,2,1
79,2020,NUTS,2016,ES421,3,1
80,2020,NUTS,2016,ES43,2,1
81,2020,NUTS,2016,ES432,3,1
82,2020,NUTS,2016,ES5,1,2
83,2020,NUTS,2016,ES51,2,2
84,2020,NUTS,2016,ES511,3,1
85,2020,NUTS,2016,ES513,3,1
86,2020,NUTS,2016,ES6,1,1
87,2020,NUTS,2016,ES62,2,1
88,2020,NUTS,2016,ES620,3,1
89,2020,NUTS,2016,FI,0,1
90,2020,NUTS,2016,FI1,1,1
91,2020,NUTS,2016,FI1B,2,1
92,2020,NUTS,2016,FI1B1,3,1
93,2020,NUTS,2016,FR,0,3
94,2020,NUTS,2016,FR1,1,3
95,2020,NUTS,2016,FR10,2,3
96,2020,NUTS,2016,FR104,3,2
97,2020,NUTS,2016,FR107,3,1
98,2020,NUTS,2016,HR,0,2
99,2020,NUTS,2016,HR0,1,2
100,2020,NUTS,2016,HR04,2,2
101,2020,NUTS,2016,HR041,3,2
102,2020,NUTS,2016,IE,0,6
103,2020,NUTS,2016,IE0,1,6
104,2020,NUTS,2016,IE05,2,3
105,2020,NUTS,2016,IE051,3,2
106,2020,NUTS,2016,IE053,3,1
107,2020,NUTS,2016,IE06,2,3
108,2020,NUTS,2016,IE061,3,3
109,2020,NUTS,2016,IT,0,12
110,2020,NUTS,2016,ITC,1,8
111,2020,NUTS,2016,ITC3,2,4
112,2020,NUTS,2016,ITC33,3,4
113,2020,NUTS,2016,ITC4,2,4
114,2020,NUTS,2016,ITC4C,3,4
115,2020,NUTS,2016,ITF,1,1
116,2020,NUTS,2016,ITF1,2,1
117,2020,NUTS,2016,ITF11,3,1
118,2020,NUTS,2016,ITG,1,1
119,2020,NUTS,2016,ITG1,2,1
120,2020,NUTS,2016,ITG13,3,1
121,2020,NUTS,2016,ITH,1,1
122,2020,NUTS,2016,ITH5,2,1
123,2020,NUTS,2016,ITH55,3,1
124,2020,NUTS,2016,ITI,1,1
125,2020,NUTS,2016,ITI1,2,1
126,2020,NUTS,2016,ITI14,3,1
127,2020,NUTS,2016,NL,0,13
128,2020,NUTS,2016,NL1,1,3
129,2020,NUTS,2016,NL11,2,3
130,2020,NUTS,2016,NL113,3,3
131,2020,NUTS,2016,NL2,1,6
132,2020,NUTS,2016,NL21,2,3
133,2020,NUTS,2016,NL213,3,3
134,2020,NUTS,2016,NL22,2,3
135,2020,NUTS,2016,NL226,3,3
136,2020,NUTS,2016,NL3,1,4
137,2020,NUTS,2016,NL33,2,4
138,2020,NUTS,2016,NL337,3,1
139,2020,NUTS,2016,NL33C,3,3
140,2020,NUTS,2016,NO,0,4
141,2020,NUTS,2016,NO0,1,4
142,2020,NUTS,2016,NO01,2,3
143,2020,NUTS,2016,NO011,3,3
144,2020,NUTS,2016,NO05,2,1
145,2020,NUTS,2016,NO051,3,1
146,2020,NUTS,2016,PL,0,5
147,2020,NUTS,2016,PL4,1,1
148,2020,NUTS,2016,PL41,2,1
149,2020,NUTS,2016,PL415,3,1
150,2020,NUTS,2016,PL5,1,1
151,2020,NUTS,2016,PL51,2,1
152,2020,NUTS,2016,PL514,3,1
153,2020,NUTS,2016,PL6,1,2
154,2020,NUTS,2016,PL61,2,1
155,2020,NUTS,2016,PL613,3,1
156,2020,NUTS,2016,PL63,2,1
157,2020,NUTS,2016,PL633,3,1
158,2020,NUTS,2016,PL9,1,1
159,2020,NUTS,2016,PL91,2,1
160,2020,NUTS,2016,PL911,3,1
161,2020,NUTS,2016,PT,0,6
162,2020,NUTS,2016,PT1,1,6
163,2020,NUTS,2016,PT11,2,3
164,2020,NUTS,2016,PT11A,3,3
165,2020,NUTS,2016,PT17,2,3
166,2020,NUTS,2016,PT170,3,3
167,2020,NUTS,2016,SE,0,4
168,2020,NUTS,2016,SE1,1,4
169,2020,NUTS,2016,SE11,2,3
170,2020,NUTS,2016,SE110,3,3
171,2020,NUTS,2016,SE12,2,1
172,2020,NUTS,2016,SE124,3,1
173,2020,NUTS,2016,TR,0,3
174,2020,NUTS,2016,TR1,1,1
175,2020,NUTS,2016,TR10,2,1
176,2020,NUTS,2016,TR100,3,1
177,2020,NUTS,2016,TR4,1,1
178,2020,NUTS,2016,TR41,2,1
179,2020,NUTS,2016,TR411,3,1
180,2020,NUTS,2016,TR5,1,1
181,2020,NUTS,2016,TR51,2,1
182,2020,NUTS,2016,TR510,3,1
183,2020,NUTS,2016,UK,0,162
184,2020,NUTS,2016,UKC,1,3
185,2020,NUTS,2016,UKC1,2,1
186,2020,NUTS,2016,UKC12,3,1
187,2020,NUTS,2016,UKC2,2,2
188,2020,NUTS,2016,UKC22,3,2
189,2020,NUTS,2016,UKD,1,18
190,2020,NUTS,2016,UKD3,2,8
191,2020,NUTS,2016,UKD33,3,6
192,2020,NUTS,2016,UKD35,3,1
193,2020,NUTS,2016,UKD36,3,1
194,2020,NUTS,2016,UKD4,2,1
195,2020,NUTS,2016,UKD45,3,1
196,2020,NUTS,2016,UKD6,2,1
197,2020,NUTS,2016,UKD62,3,1
198,2020,NUTS,2016,UKD7,2,8
199,2020,NUTS,2016,UKD72,3,8
200,2020,NUTS,2016,UKE,1,7
201,2020,NUTS,2016,UKE1,2,1
202,2020,NUTS,2016,UKE11,3,1
203,2020,NUTS,2016,UKE2,2,1
204,2020,NUTS,2016,UKE21,3,1
205,2020,NUTS,2016,UKE3,2,1
206,2020,NUTS,2016,UKE32,3,1
207,2020,NUTS,2016,UKE4,2,4
208,2020,NUTS,2016,UKE42,3,4
209,2020,NUTS,2016,UKF,1,10
210,2020,NUTS,2016,UKF1,2,4
211,2020,NUTS,2016,UKF14,3,3
212,2020,NUTS,2016,UKF16,3,1
213,2020,NUTS,2016,UKF2,2,6
214,2020,NUTS,2016,UKF21,3,3
215,2020,NUTS,2016,UKF22,3,3
216,2020,NUTS,2016,UKG,1,11
217,2020,NUTS,2016,UKG2,2,2
218,2020,NUTS,2016,UKG24,3,2
219,2020,NUTS,2016,UKG3,2,9
220,2020,NUTS,2016,UKG31,3,8
221,2020,NUTS,2016,UKG33,3,1
222,2020,NUTS,2016,UKH,1,12
223,2020,NUTS,2016,UKH1,2,9
224,2020,NUTS,2016,UKH12,3,9
225,2020,NUTS,2016,UKH2,2,3
226,2020,NUTS,2016,UKH23,3,3
227,2020,NUTS,2016,UKI,1,49
228,2020,NUTS,2016,UKI3,2,41
229,2020,NUTS,2016,UKI31,3,12
230,2020,NUTS,2016,UKI32,3,18
231,2020,NUTS,2016,UKI33,3,11
232,2020,NUTS,2016,UKI4,2,8
233,2020,NUTS,2016,UKI42,3,2
234,2020,NUTS,2016,UKI43,3,1
235,2020,NUTS,2016,UKI44,3,5
236,2020,NUTS,2016,UKJ,1,17
237,2020,NUTS,2016,UKJ1,2,6
238,2020,NUTS,2016,UKJ14,3,6
239,2020,NUTS,2016,UKJ2,2,1
240,2020,NUTS,2016,UKJ22,3,1
241,2020,NUTS,2016,UKJ3,2,7
242,2020,NUTS,2016,UKJ32,3,5
243,2020,NUTS,2016,UKJ36,3,2
244,2020,NUTS,2016,UKJ4,2,3
245,2020,NUTS,2016,UKJ44,3,3
246,2020,NUTS,2016,UKK,1,15
247,2020,NUTS,2016,UKK1,2,15
248,2020,NUTS,2016,UKK11,3,8
249,2020,NUTS,2016,UKK12,3,4
250,2020,NUTS,2016,UKK13,3,2
251,2020,NUTS,2016,UKK15,3,1
252,2020,NUTS,2016,UKL,1,3
253,2020,NUTS,2016,UKL1,2,2
254,2020,NUTS,2016,UKL18,3,2
255,2020,NUTS,2016,UKL2,2,1
256,2020,NUTS,2016,UKL21,3,1
257,2020,NUTS,2016,UKM,1,16
258,2020,NUTS,2016,UKM5,2,1
259,2020,NUTS,2016,UKM50,3,1
