,year,nuts_id,nuts_year_spec,lockdown_social_distancing_2_count
0,2020.0,BE10,2016,2
1,2020.0,BE21,2016,9
2,2020.0,BE22,2016,4
3,2020.0,BE23,2016,1
4,2020.0,BE31,2016,1
5,2020.0,BE32,2016,1
6,2020.0,CH01,2016,8
7,2020.0,CH02,2016,5
8,2020.0,CH04,2016,10
9,2020.0,CH05,2016,1
10,2020.0,CY00,2016,2
11,2020.0,CZ01,2016,1
12,2020.0,DE12,2016,2
13,2020.0,DE21,2016,8
14,2020.0,DE30,2016,4
15,2020.0,DE71,2016,1
16,2020.0,DEA1,2016,2
17,2020.0,DEA2,2016,2
18,2020.0,DEA3,2016,1
19,2020.0,DEA4,2016,2
20,2020.0,DED4,2016,1
21,2020.0,DK01,2016,11
22,2020.0,DK02,2016,2
23,2020.0,DK03,2016,2
24,2020.0,EL30,2016,4
25,2020.0,EL43,2016,1
26,2020.0,ES11,2016,1
27,2020.0,ES21,2016,1
28,2020.0,ES24,2016,1
29,2020.0,ES30,2016,4
30,2020.0,ES41,2016,2
31,2020.0,ES51,2016,3
32,2020.0,ES52,2016,1
33,2020.0,ES62,2016,2
34,2020.0,FR10,2016,7
35,2020.0,FRI1,2016,1
36,2020.0,FRJ1,2016,1
37,2020.0,FRK2,2016,1
38,2020.0,FRL0,2016,2
39,2020.0,HU11,2016,1
40,2020.0,HU33,2016,1
41,2020.0,IE05,2016,1
42,2020.0,IE06,2016,8
43,2020.0,IS00,2016,1
44,2020.0,ITC1,2016,6
45,2020.0,ITC4,2016,10
46,2020.0,ITF3,2016,1
47,2020.0,ITF4,2016,1
48,2020.0,ITH2,2016,1
49,2020.0,ITH3,2016,3
50,2020.0,ITH4,2016,1
51,2020.0,ITI1,2016,1
52,2020.0,ITI4,2016,2
53,2020.0,NL22,2016,4
54,2020.0,NL31,2016,8
55,2020.0,NL33,2016,8
56,2020.0,NL41,2016,1
57,2020.0,NO01,2016,3
58,2020.0,NO03,2016,1
59,2020.0,NO05,2016,1
60,2020.0,NO07,2016,1
61,2020.0,PL21,2016,1
62,2020.0,PL22,2016,1
63,2020.0,PL72,2016,1
64,2020.0,PL84,2016,1
65,2020.0,PL91,2016,1
66,2020.0,SE11,2016,10
67,2020.0,SE12,2016,2
68,2020.0,SI04,2016,2
69,2020.0,SK04,2016,1
70,2020.0,TR10,2016,1
71,2020.0,TR51,2016,2
72,2020.0,TR72,2016,1
73,2020.0,TR83,2016,1
74,2020.0,UKD3,2016,3
75,2020.0,UKD4,2016,3
76,2020.0,UKD7,2016,2
77,2020.0,UKE2,2016,1
78,2020.0,UKE4,2016,1
79,2020.0,UKF1,2016,2
80,2020.0,UKF2,2016,1
81,2020.0,UKG1,2016,9
82,2020.0,UKG3,2016,1
83,2020.0,UKH1,2016,10
84,2020.0,UKH2,2016,11
85,2020.0,UKH3,2016,1
86,2020.0,UKI3,2016,68
87,2020.0,UKI4,2016,1
88,2020.0,UKJ1,2016,25
89,2020.0,UKJ2,2016,4
90,2020.0,UKJ3,2016,4
91,2020.0,UKK1,2016,8
92,2020.0,UKK2,2016,1
93,2020.0,UKK4,2016,5
94,2020.0,UKL1,2016,3
95,2020.0,UKM7,2016,8
96,2020.0,UKM8,2016,3
97,2021.0,AT13,2016,4
98,2021.0,AT22,2016,2
99,2021.0,AT31,2016,1
100,2021.0,AT33,2016,1
101,2021.0,BE10,2016,1
102,2021.0,CY00,2016,3
103,2021.0,DE21,2016,3
104,2021.0,DE30,2016,3
105,2021.0,DE40,2016,1
106,2021.0,DK01,2016,2
107,2021.0,EL30,2016,1
108,2021.0,ES30,2016,3
109,2021.0,FRH0,2016,1
110,2021.0,FRK2,2016,2
111,2021.0,NO04,2016,1
112,2021.0,PT11,2016,1
113,2021.0,SI04,2016,1
114,2021.0,UKD3,2016,2
115,2021.0,UKD7,2016,1
116,2021.0,UKH1,2016,2
117,2021.0,UKI3,2016,5
118,2021.0,UKI5,2016,1
119,2021.0,UKK1,2016,1
120,2021.0,UKK4,2016,1
121,2021.0,UKL1,2016,1
122,2021.0,UKM7,2016,1
123,2021.0,UKM8,2016,4
