year,region_type,region_year_spec,region_id,region_level,patient_impact_count
0,2020,NUTS,2016,BE,0,6
1,2020,NUTS,2016,BE1,1,2
2,2020,NUTS,2016,BE10,2,2
3,2020,NUTS,2016,BE100,3,2
4,2020,NUTS,2016,BE2,1,3
5,2020,NUTS,2016,BE21,2,3
6,2020,NUTS,2016,BE213,3,3
7,2020,NUTS,2016,BE3,1,1
8,2020,NUTS,2016,BE32,2,1
9,2020,NUTS,2016,BE323,3,1
10,2020,NUTS,2016,CH,0,8
11,2020,NUTS,2016,CH0,1,8
12,2020,NUTS,2016,CH01,2,3
13,2020,NUTS,2016,CH011,3,1
14,2020,NUTS,2016,CH013,3,2
15,2020,NUTS,2016,CH02,2,1
16,2020,NUTS,2016,CH021,3,1
17,2020,NUTS,2016,CH03,2,2
18,2020,NUTS,2016,CH031,3,2
19,2020,NUTS,2016,CH04,2,2
20,2020,NUTS,2016,CH040,3,2
21,2020,NUTS,2016,DE,0,19
22,2020,NUTS,2016,DE1,1,5
23,2020,NUTS,2016,DE12,2,4
24,2020,NUTS,2016,DE125,3,4
25,2020,NUTS,2016,DE13,2,1
26,2020,NUTS,2016,DE131,3,1
27,2020,NUTS,2016,DE2,1,3
28,2020,NUTS,2016,DE21,2,3
29,2020,NUTS,2016,DE212,3,3
30,2020,NUTS,2016,DE3,1,3
31,2020,NUTS,2016,DE30,2,3
32,2020,NUTS,2016,DE300,3,3
33,2020,NUTS,2016,DE7,1,3
34,2020,NUTS,2016,DE71,2,3
35,2020,NUTS,2016,DE712,3,2
36,2020,NUTS,2016,DE71C,3,1
37,2020,NUTS,2016,DEA,1,4
38,2020,NUTS,2016,DEA2,2,1
39,2020,NUTS,2016,DEA2D,3,1
40,2020,NUTS,2016,DEA3,2,2
41,2020,NUTS,2016,DEA33,3,2
42,2020,NUTS,2016,DEA5,2,1
43,2020,NUTS,2016,DEA51,3,1
44,2020,NUTS,2016,DED,1,1
45,2020,NUTS,2016,DED4,2,1
46,2020,NUTS,2016,DED41,3,1
47,2020,NUTS,2016,DK,0,10
48,2020,NUTS,2016,DK0,1,10
49,2020,NUTS,2016,DK01,2,9
50,2020,NUTS,2016,DK011,3,8
51,2020,NUTS,2016,DK012,3,1
52,2020,NUTS,2016,DK03,2,1
53,2020,NUTS,2016,DK031,3,1
54,2020,NUTS,2016,EL,0,7
55,2020,NUTS,2016,EL3,1,4
56,2020,NUTS,2016,EL30,2,4
57,2020,NUTS,2016,EL303,3,4
58,2020,NUTS,2016,EL5,1,3
59,2020,NUTS,2016,EL51,2,1
60,2020,NUTS,2016,EL512,3,1
61,2020,NUTS,2016,EL52,2,2
62,2020,NUTS,2016,EL522,3,2
63,2020,NUTS,2016,ES,0,16
64,2020,NUTS,2016,ES3,1,4
65,2020,NUTS,2016,ES30,2,4
66,2020,NUTS,2016,ES300,3,4
67,2020,NUTS,2016,ES4,1,2
68,2020,NUTS,2016,ES41,2,2
69,2020,NUTS,2016,ES418,3,2
70,2020,NUTS,2016,ES5,1,10
71,2020,NUTS,2016,ES51,2,9
72,2020,NUTS,2016,ES511,3,9
73,2020,NUTS,2016,ES52,2,1
74,2020,NUTS,2016,ES523,3,1
75,2020,NUTS,2016,FI,0,2
76,2020,NUTS,2016,FI1,1,2
77,2020,NUTS,2016,FI1B,2,2
78,2020,NUTS,2016,FI1B1,3,2
79,2020,NUTS,2016,FR,0,9
80,2020,NUTS,2016,FR1,1,7
81,2020,NUTS,2016,FR10,2,7
82,2020,NUTS,2016,FR101,3,1
83,2020,NUTS,2016,FR104,3,6
84,2020,NUTS,2016,FRF,1,1
85,2020,NUTS,2016,FRF1,2,1
86,2020,NUTS,2016,FRF11,3,1
87,2020,NUTS,2016,FRK,1,1
88,2020,NUTS,2016,FRK2,2,1
89,2020,NUTS,2016,FRK24,3,1
90,2020,NUTS,2016,HR,0,3
91,2020,NUTS,2016,HR0,1,3
92,2020,NUTS,2016,HR04,2,3
93,2020,NUTS,2016,HR041,3,3
94,2020,NUTS,2016,IE,0,2
95,2020,NUTS,2016,IE0,1,2
96,2020,NUTS,2016,IE04,2,1
97,2020,NUTS,2016,IE042,3,1
98,2020,NUTS,2016,IE05,2,1
99,2020,NUTS,2016,IE053,3,1
100,2020,NUTS,2016,IS,0,1
101,2020,NUTS,2016,IS0,1,1
102,2020,NUTS,2016,IS00,2,1
103,2020,NUTS,2016,IS001,3,1
104,2020,NUTS,2016,IT,0,22
105,2020,NUTS,2016,ITC,1,11
106,2020,NUTS,2016,ITC1,2,1
107,2020,NUTS,2016,ITC11,3,1
108,2020,NUTS,2016,ITC4,2,10
109,2020,NUTS,2016,ITC46,3,1
110,2020,NUTS,2016,ITC47,3,2
111,2020,NUTS,2016,ITC48,3,3
112,2020,NUTS,2016,ITC4C,3,4
113,2020,NUTS,2016,ITG,1,1
114,2020,NUTS,2016,ITG1,2,1
115,2020,NUTS,2016,ITG13,3,1
116,2020,NUTS,2016,ITH,1,5
117,2020,NUTS,2016,ITH3,2,2
118,2020,NUTS,2016,ITH31,3,2
119,2020,NUTS,2016,ITH5,2,3
120,2020,NUTS,2016,ITH54,3,1
121,2020,NUTS,2016,ITH55,3,2
122,2020,NUTS,2016,ITI,1,5
123,2020,NUTS,2016,ITI1,2,3
124,2020,NUTS,2016,ITI14,3,2
125,2020,NUTS,2016,ITI19,3,1
126,2020,NUTS,2016,ITI4,2,2
127,2020,NUTS,2016,ITI43,3,2
128,2020,NUTS,2016,LV,0,1
129,2020,NUTS,2016,LV0,1,1
130,2020,NUTS,2016,LV00,2,1
131,2020,NUTS,2016,LV006,3,1
132,2020,NUTS,2016,NL,0,13
133,2020,NUTS,2016,NL1,1,1
134,2020,NUTS,2016,NL11,2,1
135,2020,NUTS,2016,NL113,3,1
136,2020,NUTS,2016,NL3,1,12
137,2020,NUTS,2016,NL31,2,4
138,2020,NUTS,2016,NL310,3,4
139,2020,NUTS,2016,NL32,2,1
140,2020,NUTS,2016,NL329,3,1
141,2020,NUTS,2016,NL33,2,7
142,2020,NUTS,2016,NL337,3,3
143,2020,NUTS,2016,NL33C,3,4
144,2020,NUTS,2016,NO,0,6
145,2020,NUTS,2016,NO0,1,6
146,2020,NUTS,2016,NO01,2,3
147,2020,NUTS,2016,NO011,3,3
148,2020,NUTS,2016,NO03,2,1
149,2020,NUTS,2016,NO032,3,1
150,2020,NUTS,2016,NO05,2,1
151,2020,NUTS,2016,NO051,3,1
152,2020,NUTS,2016,NO06,2,1
153,2020,NUTS,2016,NO060,3,1
154,2020,NUTS,2016,PT,0,5
155,2020,NUTS,2016,PT1,1,5
156,2020,NUTS,2016,PT11,2,3
157,2020,NUTS,2016,PT11A,3,3
158,2020,NUTS,2016,PT17,2,2
159,2020,NUTS,2016,PT170,3,2
160,2020,NUTS,2016,SE,0,17
161,2020,NUTS,2016,SE1,1,10
162,2020,NUTS,2016,SE11,2,10
163,2020,NUTS,2016,SE110,3,10
164,2020,NUTS,2016,SE2,1,7
165,2020,NUTS,2016,SE22,2,2
166,2020,NUTS,2016,SE224,3,2
167,2020,NUTS,2016,SE23,2,5
168,2020,NUTS,2016,SE232,3,5
169,2020,NUTS,2016,TR,0,6
170,2020,NUTS,2016,TR1,1,3
171,2020,NUTS,2016,TR10,2,3
172,2020,NUTS,2016,TR100,3,3
173,2020,NUTS,2016,TR4,1,1
174,2020,NUTS,2016,TR42,2,1
175,2020,NUTS,2016,TR423,3,1
176,2020,NUTS,2016,TR5,1,1
177,2020,NUTS,2016,TR51,2,1
178,2020,NUTS,2016,TR510,3,1
179,2020,NUTS,2016,TR8,1,1
180,2020,NUTS,2016,TR83,2,1
181,2020,NUTS,2016,TR834,3,1
182,2020,NUTS,2016,UK,0,140
183,2020,NUTS,2016,UKC,1,3
184,2020,NUTS,2016,UKC1,2,1
185,2020,NUTS,2016,UKC14,3,1
186,2020,NUTS,2016,UKC2,2,2
187,2020,NUTS,2016,UKC22,3,2
188,2020,NUTS,2016,UKD,1,10
189,2020,NUTS,2016,UKD3,2,5
190,2020,NUTS,2016,UKD33,3,4
191,2020,NUTS,2016,UKD34,3,1
192,2020,NUTS,2016,UKD4,2,1
193,2020,NUTS,2016,UKD45,3,1
194,2020,NUTS,2016,UKD7,2,4
195,2020,NUTS,2016,UKD72,3,4
196,2020,NUTS,2016,UKE,1,8
197,2020,NUTS,2016,UKE1,2,1
198,2020,NUTS,2016,UKE11,3,1
199,2020,NUTS,2016,UKE2,2,1
200,2020,NUTS,2016,UKE21,3,1
201,2020,NUTS,2016,UKE3,2,1
202,2020,NUTS,2016,UKE32,3,1
203,2020,NUTS,2016,UKE4,2,5
204,2020,NUTS,2016,UKE42,3,5
205,2020,NUTS,2016,UKF,1,8
206,2020,NUTS,2016,UKF1,2,5
207,2020,NUTS,2016,UKF14,3,4
208,2020,NUTS,2016,UKF16,3,1
209,2020,NUTS,2016,UKF2,2,3
210,2020,NUTS,2016,UKF21,3,3
211,2020,NUTS,2016,UKG,1,9
212,2020,NUTS,2016,UKG1,2,1
213,2020,NUTS,2016,UKG13,3,1
214,2020,NUTS,2016,UKG2,2,4
215,2020,NUTS,2016,UKG24,3,4
216,2020,NUTS,2016,UKG3,2,4
217,2020,NUTS,2016,UKG31,3,4
218,2020,NUTS,2016,UKH,1,9
219,2020,NUTS,2016,UKH1,2,6
220,2020,NUTS,2016,UKH12,3,6
221,2020,NUTS,2016,UKH2,2,1
222,2020,NUTS,2016,UKH23,3,1
223,2020,NUTS,2016,UKH3,2,2
224,2020,NUTS,2016,UKH31,3,1
225,2020,NUTS,2016,UKH37,3,1
226,2020,NUTS,2016,UKI,1,42
227,2020,NUTS,2016,UKI3,2,36
228,2020,NUTS,2016,UKI31,3,16
229,2020,NUTS,2016,UKI32,3,8
230,2020,NUTS,2016,UKI33,3,9
231,2020,NUTS,2016,UKI34,3,3
232,2020,NUTS,2016,UKI4,2,6
233,2020,NUTS,2016,UKI42,3,5
234,2020,NUTS,2016,UKI44,3,1
235,2020,NUTS,2016,UKJ,1,24
236,2020,NUTS,2016,UKJ1,2,14
237,2020,NUTS,2016,UKJ11,3,1
238,2020,NUTS,2016,UKJ14,3,13
239,2020,NUTS,2016,UKJ2,2,3
240,2020,NUTS,2016,UKJ22,3,1
241,2020,NUTS,2016,UKJ25,3,2
242,2020,NUTS,2016,UKJ3,2,7
243,2020,NUTS,2016,UKJ32,3,5
244,2020,NUTS,2016,UKJ36,3,1
245,2020,NUTS,2016,UKJ37,3,1
246,2020,NUTS,2016,UKK,1,12
247,2020,NUTS,2016,UKK1,2,5
248,2020,NUTS,2016,UKK11,3,5
249,2020,NUTS,2016,UKK2,2,1
250,2020,NUTS,2016,UKK21,3,1
251,2020,NUTS,2016,UKK3,2,1
252,2020,NUTS,2016,UKK30,3,1
253,2020,NUTS,2016,UKK4,2,5
254,2020,NUTS,2016,UKK43,3,5
255,2020,NUTS,2016,UKL,1,6
256,2020,NUTS,2016,UKL2,2,6
257,2020,NUTS,2016,UKL22,3,6
258,2020,NUTS,2016,UKM,1,9
259,2020,NUTS,2016,UKM7,2,6
260,2020,NUTS,2016,UKM73,3,1
261,2020,NUTS,2016,UKM75,3,5
262,2020,NUTS,2016,UKM8,2,3
263,2020,NUTS,2016,UKM82,3,3
264,2021,NUTS,2021,BG,0,1
265,2021,NUTS,2021,BG3,1,1
266,2021,NUTS,2021,BG31,2,1
267,2021,NUTS,2021,BG314,3,1
268,2021,NUTS,2021,CH,0,3
269,2021,NUTS,2021,CH0,1,3
270,2021,NUTS,2021,CH01,2,3
271,2021,NUTS,2021,CH011,3,2
272,2021,NUTS,2021,CH013,3,1
273,2021,NUTS,2021,DE,0,1
274,2021,NUTS,2021,DED,1,1
275,2021,NUTS,2021,DED5,2,1
276,2021,NUTS,2021,DED51,3,1
277,2021,NUTS,2021,DK,0,2
278,2021,NUTS,2021,DK0,1,2
279,2021,NUTS,2021,DK01,2,2
280,2021,NUTS,2021,DK011,3,2
281,2021,NUTS,2021,EL,0,1
282,2021,NUTS,2021,EL5,1,1
283,2021,NUTS,2021,EL52,2,1
284,2021,NUTS,2021,EL522,3,1
