,year,nuts_id,nuts_year_spec,patient_impact_count
0,2020.0,BE10,2016,2
1,2020.0,BE21,2016,3
2,2020.0,BE32,2016,1
3,2020.0,CH01,2016,3
4,2020.0,CH02,2016,1
5,2020.0,CH03,2016,2
6,2020.0,CH04,2016,2
7,2020.0,DE12,2016,4
8,2020.0,DE13,2016,1
9,2020.0,DE21,2016,3
10,2020.0,DE30,2016,3
11,2020.0,DE71,2016,3
12,2020.0,DEA2,2016,1
13,2020.0,DEA3,2016,2
14,2020.0,DEA5,2016,1
15,2020.0,DED4,2016,1
16,2020.0,DK01,2016,9
17,2020.0,DK03,2016,1
18,2020.0,EL30,2016,4
19,2020.0,EL51,2016,1
20,2020.0,EL52,2016,2
21,2020.0,ES30,2016,4
22,2020.0,ES41,2016,2
23,2020.0,ES51,2016,9
24,2020.0,ES52,2016,1
25,2020.0,FI1B,2016,2
26,2020.0,FR10,2016,7
27,2020.0,FRF1,2016,1
28,2020.0,FRK2,2016,1
29,2020.0,HR04,2016,3
30,2020.0,IE04,2016,1
31,2020.0,IE05,2016,1
32,2020.0,IS00,2016,1
33,2020.0,ITC1,2016,1
34,2020.0,ITC4,2016,10
35,2020.0,ITG1,2016,1
36,2020.0,ITH3,2016,2
37,2020.0,ITH5,2016,3
38,2020.0,ITI1,2016,3
39,2020.0,ITI4,2016,2
40,2020.0,LV00,2016,1
41,2020.0,NL11,2016,1
42,2020.0,NL31,2016,4
43,2020.0,NL32,2016,1
44,2020.0,NL33,2016,7
45,2020.0,NO01,2016,3
46,2020.0,NO03,2016,1
47,2020.0,NO05,2016,1
48,2020.0,NO06,2016,1
49,2020.0,PT11,2016,3
50,2020.0,PT17,2016,2
51,2020.0,SE11,2016,10
52,2020.0,SE22,2016,2
53,2020.0,SE23,2016,5
54,2020.0,TR10,2016,3
55,2020.0,TR42,2016,1
56,2020.0,TR51,2016,1
57,2020.0,TR83,2016,1
58,2020.0,UKC1,2016,1
59,2020.0,UKC2,2016,2
60,2020.0,UKD3,2016,5
61,2020.0,UKD4,2016,1
62,2020.0,UKD7,2016,4
63,2020.0,UKE1,2016,1
64,2020.0,UKE2,2016,1
65,2020.0,UKE3,2016,1
66,2020.0,UKE4,2016,5
67,2020.0,UKF1,2016,5
68,2020.0,UKF2,2016,3
69,2020.0,UKG1,2016,1
70,2020.0,UKG2,2016,4
71,2020.0,UKG3,2016,4
72,2020.0,UKH1,2016,6
73,2020.0,UKH2,2016,1
74,2020.0,UKH3,2016,2
75,2020.0,UKI3,2016,36
76,2020.0,UKI4,2016,6
77,2020.0,UKJ1,2016,14
78,2020.0,UKJ2,2016,3
79,2020.0,UKJ3,2016,7
80,2020.0,UKK1,2016,5
81,2020.0,UKK2,2016,1
82,2020.0,UKK3,2016,1
83,2020.0,UKK4,2016,5
84,2020.0,UKL2,2016,6
85,2020.0,UKM7,2016,6
86,2020.0,UKM8,2016,3
87,2021.0,BG31,2016,1
88,2021.0,CH01,2016,3
89,2021.0,DED5,2016,1
90,2021.0,DK01,2016,2
91,2021.0,EL52,2016,1
92,2021.0,ES30,2016,1
93,2021.0,FI1B,2016,1
94,2021.0,ITC1,2016,1
95,2021.0,ITC3,2016,1
96,2021.0,ITC4,2016,2
97,2021.0,ITH3,2016,1
98,2021.0,ITH5,2016,1
99,2021.0,ITI1,2016,1
100,2021.0,NL31,2016,1
101,2021.0,NO01,2016,2
102,2021.0,NO05,2016,1
103,2021.0,SE11,2016,3
104,2021.0,SE22,2016,1
105,2021.0,SE23,2016,1
106,2021.0,UKE3,2016,1
107,2021.0,UKE4,2016,1
108,2021.0,UKG3,2016,1
109,2021.0,UKH1,2016,1
110,2021.0,UKI3,2016,5
111,2021.0,UKJ1,2016,4
112,2021.0,UKL2,2016,1
113,2021.0,UKM8,2016,1
