,year,nuts_id,nuts_year_spec,population_impact_count
0,2020.0,AT127,2016,1
1,2020.0,AT130,2016,3
2,2020.0,AT221,2016,1
3,2020.0,BE100,2016,1
4,2020.0,BE211,2016,2
5,2020.0,BE213,2016,2
6,2020.0,BE241,2016,1
7,2020.0,BE332,2016,1
8,2020.0,CH011,2016,1
9,2020.0,CH013,2016,7
10,2020.0,CH021,2016,3
11,2020.0,CH040,2016,7
12,2020.0,CH055,2016,1
13,2020.0,CY000,2016,1
14,2020.0,DE111,2016,1
15,2020.0,DE125,2016,2
16,2020.0,DE131,2016,3
17,2020.0,DE212,2016,14
18,2020.0,DE300,2016,3
19,2020.0,DE501,2016,1
20,2020.0,DE600,2016,2
21,2020.0,DE712,2016,5
22,2020.0,DE803,2016,3
23,2020.0,DE80N,2016,1
24,2020.0,DEA22,2016,1
25,2020.0,DEB21,2016,1
26,2020.0,DEB32,2016,1
27,2020.0,DK011,2016,4
28,2020.0,DK012,2016,2
29,2020.0,DK021,2016,1
30,2020.0,DK031,2016,2
31,2020.0,DK042,2016,2
32,2020.0,EL433,2016,2
33,2020.0,EL522,2016,1
34,2020.0,EL632,2016,1
35,2020.0,ES120,2016,1
36,2020.0,ES243,2016,1
37,2020.0,ES300,2016,7
38,2020.0,ES432,2016,1
39,2020.0,ES511,2016,7
40,2020.0,ES512,2016,1
41,2020.0,ES523,2016,3
42,2020.0,ES614,2016,1
43,2020.0,ES618,2016,2
44,2020.0,ES620,2016,1
45,2020.0,FI1B1,2016,4
46,2020.0,FR101,2016,2
47,2020.0,FR103,2016,1
48,2020.0,FR104,2016,9
49,2020.0,FRC11,2016,1
50,2020.0,FRF31,2016,1
51,2020.0,FRG04,2016,1
52,2020.0,FRJ13,2016,1
53,2020.0,FRK26,2016,1
54,2020.0,IE051,2016,1
55,2020.0,IE061,2016,2
56,2020.0,ITC11,2016,1
57,2020.0,ITC41,2016,1
58,2020.0,ITC46,2016,1
59,2020.0,ITC47,2016,1
60,2020.0,ITC48,2016,1
61,2020.0,ITC4C,2016,5
62,2020.0,ITF14,2016,1
63,2020.0,ITF33,2016,1
64,2020.0,ITF47,2016,1
65,2020.0,ITF61,2016,1
66,2020.0,ITG13,2016,1
67,2020.0,ITH31,2016,2
68,2020.0,ITH36,2016,3
69,2020.0,ITH44,2016,2
70,2020.0,ITH54,2016,1
71,2020.0,ITH55,2016,2
72,2020.0,ITH56,2016,1
73,2020.0,ITI14,2016,1
74,2020.0,ITI32,2016,1
75,2020.0,ITI43,2016,1
76,2020.0,MT001,2016,3
77,2020.0,NL113,2016,2
78,2020.0,NL221,2016,2
79,2020.0,NL226,2016,1
80,2020.0,NL310,2016,1
81,2020.0,NL329,2016,5
82,2020.0,NL33C,2016,4
83,2020.0,NO011,2016,3
84,2020.0,NO012,2016,1
85,2020.0,NO042,2016,1
86,2020.0,NO051,2016,1
87,2020.0,PL514,2016,2
88,2020.0,PL613,2016,1
89,2020.0,PL911,2016,1
90,2020.0,PT11A,2016,3
91,2020.0,PT11D,2016,1
92,2020.0,PT16E,2016,1
93,2020.0,PT170,2016,2
94,2020.0,RS110,2016,2
95,2020.0,SE110,2016,16
96,2020.0,SE121,2016,1
97,2020.0,SE124,2016,1
98,2020.0,SE224,2016,2
99,2020.0,SE232,2016,2
100,2020.0,SE331,2016,2
101,2020.0,TR100,2016,1
102,2020.0,UKD33,2016,4
103,2020.0,UKD34,2016,1
104,2020.0,UKD44,2016,1
105,2020.0,UKD72,2016,3
106,2020.0,UKE21,2016,1
107,2020.0,UKE31,2016,1
108,2020.0,UKE32,2016,1
109,2020.0,UKE42,2016,2
110,2020.0,UKF21,2016,4
111,2020.0,UKF22,2016,1
112,2020.0,UKG13,2016,1
113,2020.0,UKG31,2016,1
114,2020.0,UKG39,2016,1
115,2020.0,UKH12,2016,12
116,2020.0,UKH15,2016,1
117,2020.0,UKH17,2016,2
118,2020.0,UKH23,2016,1
119,2020.0,UKH25,2016,1
120,2020.0,UKI31,2016,30
121,2020.0,UKI32,2016,13
122,2020.0,UKI33,2016,14
123,2020.0,UKI42,2016,7
124,2020.0,UKI44,2016,1
125,2020.0,UKI51,2016,1
126,2020.0,UKI75,2016,1
127,2020.0,UKJ11,2016,1
128,2020.0,UKJ14,2016,20
129,2020.0,UKJ22,2016,2
130,2020.0,UKJ25,2016,1
131,2020.0,UKJ32,2016,6
132,2020.0,UKK11,2016,8
133,2020.0,UKK12,2016,1
134,2020.0,UKK43,2016,7
135,2020.0,UKL18,2016,2
136,2020.0,UKL21,2016,3
137,2020.0,UKL22,2016,2
138,2020.0,UKM50,2016,1
139,2020.0,UKM72,2016,2
140,2020.0,UKM75,2016,5
141,2020.0,UKM82,2016,7
142,2020.0,UKN06,2016,1
143,2021.0,CH040,2016,2
144,2021.0,CY000,2016,1
145,2021.0,DE142,2016,3
146,2021.0,DE300,2016,2
147,2021.0,DED51,2016,2
148,2021.0,FRF11,2016,1
149,2021.0,FRL04,2016,1
150,2021.0,ITH36,2016,1
151,2021.0,MT001,2016,1
152,2021.0,NL423,2016,1
153,2021.0,NO011,2016,1
154,2021.0,PL613,2016,1
155,2021.0,PL841,2016,2
156,2021.0,UKD33,2016,1
157,2021.0,UKD72,2016,1
158,2021.0,UKE42,2016,1
159,2021.0,UKF21,2016,1
160,2021.0,UKG13,2016,1
161,2021.0,UKH12,2016,1
162,2021.0,UKI31,2016,9
163,2021.0,UKI33,2016,3
164,2021.0,UKJ14,2016,5
165,2021.0,UKJ32,2016,1
166,2021.0,UKK11,2016,1
167,2021.0,UKK43,2016,1
168,2021.0,UKL21,2016,1
169,2021.0,UKM75,2016,3
170,2021.0,UKM82,2016,4
