,year,nuts_id,nuts_year_spec,repurposed_treatments_count
0,2020.0,BE,2016,4
1,2020.0,CH,2016,5
2,2020.0,DE,2016,6
3,2020.0,DK,2016,11
4,2020.0,EL,2016,9
5,2020.0,ES,2016,26
6,2020.0,FI,2016,1
7,2020.0,FR,2016,26
8,2020.0,HU,2016,2
9,2020.0,IE,2016,6
10,2020.0,IT,2016,25
11,2020.0,NL,2016,10
12,2020.0,NO,2016,3
13,2020.0,PL,2016,10
14,2020.0,PT,2016,1
15,2020.0,SE,2016,7
16,2020.0,TR,2016,2
17,2020.0,UK,2016,104
18,2021.0,BE,2016,1
19,2021.0,CH,2016,2
20,2021.0,DE,2016,1
21,2021.0,DK,2016,1
22,2021.0,EL,2016,2
23,2021.0,ES,2016,1
24,2021.0,FI,2016,1
25,2021.0,FR,2016,2
26,2021.0,IE,2016,1
27,2021.0,NL,2016,2
28,2021.0,PL,2016,9
29,2021.0,SI,2016,1
30,2021.0,UK,2016,29
