year,region_type,region_year_spec,region_id,region_level,serology_count
0,2020,NUTS,2016,AT,0,8
1,2020,NUTS,2016,AT1,1,6
2,2020,NUTS,2016,AT12,2,1
3,2020,NUTS,2016,AT126,3,1
4,2020,NUTS,2016,AT13,2,5
5,2020,NUTS,2016,AT130,3,5
6,2020,NUTS,2016,AT3,1,2
7,2020,NUTS,2016,AT33,2,2
8,2020,NUTS,2016,AT332,3,2
9,2020,NUTS,2016,BE,0,8
10,2020,NUTS,2016,BE1,1,1
11,2020,NUTS,2016,BE10,2,1
12,2020,NUTS,2016,BE100,3,1
13,2020,NUTS,2016,BE2,1,7
14,2020,NUTS,2016,BE21,2,4
15,2020,NUTS,2016,BE211,3,4
16,2020,NUTS,2016,BE23,2,3
17,2020,NUTS,2016,BE234,3,3
18,2020,NUTS,2016,CH,0,25
19,2020,NUTS,2016,CH0,1,25
20,2020,NUTS,2016,CH01,2,14
21,2020,NUTS,2016,CH011,3,4
22,2020,NUTS,2016,CH013,3,10
23,2020,NUTS,2016,CH02,2,3
24,2020,NUTS,2016,CH021,3,2
25,2020,NUTS,2016,CH025,3,1
26,2020,NUTS,2016,CH03,2,3
27,2020,NUTS,2016,CH031,3,2
28,2020,NUTS,2016,CH033,3,1
29,2020,NUTS,2016,CH04,2,3
30,2020,NUTS,2016,CH040,3,3
31,2020,NUTS,2016,CH05,2,2
32,2020,NUTS,2016,CH055,3,2
33,2020,NUTS,2016,CY,0,1
34,2020,NUTS,2016,CY0,1,1
35,2020,NUTS,2016,CY00,2,1
36,2020,NUTS,2016,CY000,3,1
37,2020,NUTS,2016,CZ,0,1
38,2020,NUTS,2016,CZ0,1,1
39,2020,NUTS,2016,CZ01,2,1
40,2020,NUTS,2016,CZ010,3,1
41,2020,NUTS,2016,DE,0,40
42,2020,NUTS,2016,DE1,1,2
43,2020,NUTS,2016,DE12,2,2
44,2020,NUTS,2016,DE125,3,2
45,2020,NUTS,2016,DE2,1,6
46,2020,NUTS,2016,DE21,2,2
47,2020,NUTS,2016,DE212,3,2
48,2020,NUTS,2016,DE27,2,4
49,2020,NUTS,2016,DE271,3,4
50,2020,NUTS,2016,DE3,1,13
51,2020,NUTS,2016,DE30,2,13
52,2020,NUTS,2016,DE300,3,13
53,2020,NUTS,2016,DE6,1,4
54,2020,NUTS,2016,DE60,2,4
55,2020,NUTS,2016,DE600,3,4
