,year,nuts_id,nuts_year_spec,serology_count
0,2020.0,AT,2016,8
1,2020.0,BE,2016,8
2,2020.0,CH,2016,25
3,2020.0,CY,2016,1
4,2020.0,CZ,2016,1
5,2020.0,DE,2016,40
6,2020.0,DK,2016,16
7,2020.0,EE,2016,4
8,2020.0,EL,2016,5
9,2020.0,ES,2016,10
10,2020.0,FI,2016,5
11,2020.0,FR,2016,21
12,2020.0,HR,2016,4
13,2020.0,HU,2016,2
14,2020.0,IE,2016,3
15,2020.0,IT,2016,33
16,2020.0,LU,2016,2
17,2020.0,LV,2016,1
18,2020.0,NL,2016,17
19,2020.0,NO,2016,2
20,2020.0,SE,2016,19
21,2020.0,SI,2016,1
22,2020.0,TR,2016,2
23,2020.0,UK,2016,171
24,2021.0,AT,2016,3
25,2021.0,CH,2016,6
26,2021.0,DE,2016,6
27,2021.0,DK,2016,6
28,2021.0,ES,2016,2
29,2021.0,FI,2016,1
30,2021.0,FR,2016,2
31,2021.0,IE,2016,1
32,2021.0,IT,2016,6
33,2021.0,PT,2016,1
34,2021.0,SE,2016,3
35,2021.0,UK,2016,25
