,year,nuts_id,nuts_year_spec,smoking_cancer_count
0,2020.0,BE21,2016,1
1,2020.0,ES30,2016,4
2,2020.0,ES51,2016,2
3,2020.0,FR10,2016,2
4,2020.0,FRE2,2016,1
5,2020.0,IE05,2016,1
6,2020.0,IE06,2016,1
7,2020.0,ITC4,2016,3
8,2020.0,ITH5,2016,1
9,2020.0,MT00,2016,1
10,2020.0,NL33,2016,2
11,2020.0,PT11,2016,1
12,2020.0,SE23,2016,2
13,2020.0,UKD3,2016,3
14,2020.0,UKD7,2016,4
15,2020.0,UKE3,2016,1
16,2020.0,UKF1,2016,2
17,2020.0,UKF2,2016,1
18,2020.0,UKG1,2016,1
19,2020.0,UKG3,2016,4
20,2020.0,UKH1,2016,5
21,2020.0,UKH2,2016,5
22,2020.0,UKH3,2016,2
23,2020.0,UKI3,2016,25
24,2020.0,UKI4,2016,2
25,2020.0,UKJ1,2016,9
26,2020.0,UKJ3,2016,1
27,2020.0,UKK3,2016,1
28,2020.0,UKK4,2016,1
29,2020.0,UKL2,2016,2
30,2020.0,UKM7,2016,5
31,2020.0,UKM8,2016,3
32,2020.0,UKN0,2016,1
33,2021.0,BE21,2016,1
34,2021.0,ES30,2016,1
35,2021.0,FRK2,2016,1
36,2021.0,SE23,2016,1
37,2021.0,UKD3,2016,1
38,2021.0,UKE2,2016,2
39,2021.0,UKJ1,2016,1
40,2021.0,UKJ3,2016,1
41,2021.0,UKM7,2016,2
42,2021.0,UKN0,2016,1
