,year,nuts_id,nuts_year_spec,vaccination_programmes_count
0,2019.0,CH01,2016,1
1,2019.0,UKI3,2016,1
2,2020.0,AT13,2016,1
3,2020.0,AT22,2016,2
4,2020.0,BE10,2016,2
5,2020.0,BE24,2016,1
6,2020.0,BE32,2016,4
7,2020.0,CH04,2016,4
8,2020.0,DE13,2016,1
9,2020.0,DE21,2016,1
10,2020.0,DE23,2016,1
11,2020.0,DE25,2016,1
12,2020.0,DE30,2016,2
13,2020.0,DE71,2016,1
14,2020.0,DEA2,2016,1
15,2020.0,DED4,2016,7
16,2020.0,DEE0,2016,1
17,2020.0,ES30,2016,2
18,2020.0,ES41,2016,1
19,2020.0,ES43,2016,1
20,2020.0,ES51,2016,3
21,2020.0,ES52,2016,2
22,2020.0,ES62,2016,1
23,2020.0,FI1B,2016,2
24,2020.0,FR10,2016,4
25,2020.0,FRL0,2016,1
26,2020.0,IE06,2016,1
27,2020.0,ITC1,2016,2
28,2020.0,ITC4,2016,2
29,2020.0,ITG2,2016,1
30,2020.0,ITH3,2016,5
31,2020.0,ITH4,2016,1
32,2020.0,ITI1,2016,2
33,2020.0,NL22,2016,3
34,2020.0,NL31,2016,3
35,2020.0,NL32,2016,2
36,2020.0,NL33,2016,1
37,2020.0,NO01,2016,1
38,2020.0,PT11,2016,1
39,2020.0,SE11,2016,3
40,2020.0,SE12,2016,1
41,2020.0,SE22,2016,1
42,2020.0,TR62,2016,2
43,2020.0,UKD4,2016,10
44,2020.0,UKE2,2016,1
45,2020.0,UKF1,2016,1
46,2020.0,UKG1,2016,3
47,2020.0,UKG3,2016,3
48,2020.0,UKH1,2016,4
49,2020.0,UKH2,2016,3
50,2020.0,UKI3,2016,37
51,2020.0,UKI4,2016,1
52,2020.0,UKJ1,2016,9
53,2020.0,UKJ3,2016,1
54,2020.0,UKM7,2016,5
55,2020.0,UKM8,2016,2
56,2020.0,UKM9,2016,2
57,2021.0,CH03,2016,1
58,2021.0,FR10,2016,2
59,2021.0,ITC4,2016,1
60,2021.0,ITG2,2016,1
61,2021.0,ITH3,2016,1
62,2021.0,ITH4,2016,2
63,2021.0,NO01,2016,1
64,2021.0,UKC1,2016,1
65,2021.0,UKC2,2016,3
66,2021.0,UKD4,2016,2
67,2021.0,UKH1,2016,8
68,2021.0,UKH2,2016,2
69,2021.0,UKI3,2016,13
70,2021.0,UKI4,2016,1
71,2021.0,UKJ1,2016,3
72,2021.0,UKK1,2016,1
73,2021.0,UKM7,2016,1
