,year,nuts_id,nuts_year_spec,vaccines_count
0,2020.0,BE10,2016,1
1,2020.0,BE21,2016,4
2,2020.0,BE23,2016,2
3,2020.0,CH01,2016,3
4,2020.0,DE92,2016,1
5,2020.0,FRF1,2016,1
6,2020.0,ITI1,2016,1
7,2020.0,NL22,2016,1
8,2020.0,NL33,2016,3
9,2020.0,PL91,2016,1
10,2020.0,SE11,2016,4
11,2020.0,SE12,2016,1
12,2020.0,UKC2,2016,1
13,2020.0,UKD3,2016,2
14,2020.0,UKD7,2016,1
15,2020.0,UKE4,2016,1
16,2020.0,UKF2,2016,2
17,2020.0,UKG1,2016,1
18,2020.0,UKG3,2016,1
19,2020.0,UKH1,2016,4
20,2020.0,UKH2,2016,4
21,2020.0,UKI3,2016,5
22,2020.0,UKJ1,2016,5
23,2020.0,UKJ2,2016,2
24,2020.0,UKK1,2016,2
25,2020.0,UKK4,2016,1
26,2020.0,UKL2,2016,1
27,2020.0,UKM7,2016,5
28,2020.0,UKM8,2016,5
29,2021.0,FI1B,2016,1
30,2021.0,ITC4,2016,1
31,2021.0,UKH1,2016,2
32,2021.0,UKI3,2016,1
33,2021.0,UKI4,2016,1
34,2021.0,UKJ1,2016,3
35,2021.0,UKJ4,2016,1
