,year,nuts_id,nuts_year_spec,variants_count
0,2018.0,DE7,2016,1
1,2019.0,UKH,2016,1
2,2019.0,UKJ,2016,2
3,2020.0,AT1,2016,6
4,2020.0,AT3,2016,1
5,2020.0,BE1,2016,3
6,2020.0,BE3,2016,1
7,2020.0,BG4,2016,1
8,2020.0,CH0,2016,20
9,2020.0,CY0,2016,1
10,2020.0,CZ0,2016,3
11,2020.0,DE1,2016,2
12,2020.0,DE2,2016,1
13,2020.0,DE3,2016,3
14,2020.0,DE4,2016,1
15,2020.0,DE6,2016,3
16,2020.0,DE7,2016,2
17,2020.0,DEA,2016,2
18,2020.0,DED,2016,4
19,2020.0,DK0,2016,2
20,2020.0,EL3,2016,3
21,2020.0,EL4,2016,4
22,2020.0,EL5,2016,1
23,2020.0,ES1,2016,2
24,2020.0,ES2,2016,1
25,2020.0,ES3,2016,6
26,2020.0,ES4,2016,3
27,2020.0,ES5,2016,2
28,2020.0,FI1,2016,3
29,2020.0,FR1,2016,5
30,2020.0,FRK,2016,1
31,2020.0,FRL,2016,1
32,2020.0,HU1,2016,2
33,2020.0,HU2,2016,2
34,2020.0,HU3,2016,1
35,2020.0,IE0,2016,2
36,2020.0,ITC,2016,17
37,2020.0,ITF,2016,1
38,2020.0,ITH,2016,1
39,2020.0,ITI,2016,7
40,2020.0,LV0,2016,2
41,2020.0,NL2,2016,5
42,2020.0,NL3,2016,6
43,2020.0,NO0,2016,2
44,2020.0,PL4,2016,1
45,2020.0,PT1,2016,1
46,2020.0,SE1,2016,2
47,2020.0,SI0,2016,1
48,2020.0,TR1,2016,3
49,2020.0,TRA,2016,1
50,2020.0,UKC,2016,1
51,2020.0,UKD,2016,2
52,2020.0,UKE,2016,1
53,2020.0,UKF,2016,1
54,2020.0,UKG,2016,8
55,2020.0,UKH,2016,25
56,2020.0,UKI,2016,20
57,2020.0,UKJ,2016,21
58,2020.0,UKK,2016,1
59,2020.0,UKL,2016,2
60,2020.0,UKM,2016,15
61,2021.0,CH0,2016,12
62,2021.0,CY0,2016,1
63,2021.0,DE3,2016,1
64,2021.0,DE4,2016,2
65,2021.0,DE7,2016,1
66,2021.0,DE9,2016,2
67,2021.0,DEA,2016,1
68,2021.0,DK0,2016,1
69,2021.0,EL3,2016,1
70,2021.0,EL5,2016,2
71,2021.0,EL6,2016,1
72,2021.0,ES3,2016,1
73,2021.0,FRY,2016,1
74,2021.0,IE0,2016,3
75,2021.0,ITC,2016,1
76,2021.0,ITH,2016,1
77,2021.0,ITI,2016,1
78,2021.0,NL2,2016,1
79,2021.0,PL9,2016,2
80,2021.0,SE2,2016,1
81,2021.0,SE3,2016,1
82,2021.0,UKD,2016,1
83,2021.0,UKF,2016,1
84,2021.0,UKG,2016,1
85,2021.0,UKH,2016,4
86,2021.0,UKI,2016,5
87,2021.0,UKJ,2016,4
88,2021.0,UKK,2016,1
89,2021.0,UKL,2016,1
90,2021.0,UKM,2016,9
