year,region_type,region_year_spec,region_id,region_level,detection_sequencing_count
2020,NUTS,2016,AT,0,1
2020,NUTS,2016,AT1,1,1
2020,NUTS,2016,AT13,2,1
2020,NUTS,2016,AT130,3,1
2020,NUTS,2016,BE,0,2
2020,NUTS,2016,BE2,1,1
2020,NUTS,2016,BE23,2,1
2020,NUTS,2016,BE234,3,1
2020,NUTS,2016,BE3,1,1
2020,NUTS,2016,BE33,2,1
2020,NUTS,2016,BE332,3,1
2020,NUTS,2016,CH,0,14
2020,NUTS,2016,CH0,1,14
2020,NUTS,2016,CH01,2,10
2020,NUTS,2016,CH011,3,5
2020,NUTS,2016,CH013,3,5
2020,NUTS,2016,CH03,2,2
2020,NUTS,2016,CH031,3,2
2020,NUTS,2016,CH04,2,2
2020,NUTS,2016,CH040,3,2
2020,NUTS,2016,CY,0,1
2020,NUTS,2016,CY0,1,1
2020,NUTS,2016,CY00,2,1
2020,NUTS,2016,CY000,3,1
2020,NUTS,2016,DE,0,16
2020,NUTS,2016,DE1,1,1
2020,NUTS,2016,DE13,2,1
2020,NUTS,2016,DE131,3,1
2020,NUTS,2016,DE2,1,4
2020,NUTS,2016,DE21,2,3
2020,NUTS,2016,DE212,3,3
2020,NUTS,2016,DE23,2,1
2020,NUTS,2016,DE232,3,1
2020,NUTS,2016,DE3,1,1
2020,NUTS,2016,DE30,2,1
2020,NUTS,2016,DE300,3,1
2020,NUTS,2016,DE7,1,2
2020,NUTS,2016,DE71,2,2
2020,NUTS,2016,DE712,3,2
2020,NUTS,2016,DEA,1,5
2020,NUTS,2016,DEA2,2,4
2020,NUTS,2016,DEA22,3,3
2020,NUTS,2016,DEA23,3,1
2020,NUTS,2016,DEA5,2,1
2020,NUTS,2016,DEA56,3,1
2020,NUTS,2016,DEB,1,1
2020,NUTS,2016,DEB3,2,1
2020,NUTS,2016,DEB3F,3,1
2020,NUTS,2016,DED,1,2
2020,NUTS,2016,DED5,2,2
2020,NUTS,2016,DED51,3,2
2020,NUTS,2016,EL,0,1
2020,NUTS,2016,EL3,1,1
2020,NUTS,2016,EL30,2,1
2020,NUTS,2016,EL303,3,1
2020,NUTS,2016,ES,0,10
2020,NUTS,2016,ES1,1,3
2020,NUTS,2016,ES11,2,3
2020,NUTS,2016,ES111,3,2
2020,NUTS,2016,ES114,3,1
2020,NUTS,2016,ES3,1,3
2020,NUTS,2016,ES30,2,3
2020,NUTS,2016,ES300,3,3
2020,NUTS,2016,ES5,1,3
2020,NUTS,2016,ES51,2,1
2020,NUTS,2016,ES511,3,1
2020,NUTS,2016,ES52,2,2
2020,NUTS,2016,ES523,3,2
2020,NUTS,2016,ES7,1,1
2020,NUTS,2016,ES70,2,1
2020,NUTS,2016,ES709,3,1
2020,NUTS,2016,FI,0,1
2020,NUTS,2016,FI1,1,1
2020,NUTS,2016,FI1B,2,1
2020,NUTS,2016,FI1B1,3,1
2020,NUTS,2016,FR,0,10
2020,NUTS,2016,FR1,1,8
2020,NUTS,2016,FR10,2,8
