year,region_type,region_year_spec,region_id,region_level,impact_studies_2_count
2020,NUTS,2016,AT,0,1
2020,NUTS,2016,AT1,1,1
2020,NUTS,2016,AT13,2,1
2020,NUTS,2016,AT130,3,1
2020,NUTS,2016,BE,0,7
2020,NUTS,2016,BE1,1,2
2020,NUTS,2016,BE10,2,2
2020,NUTS,2016,BE100,3,2
2020,NUTS,2016,BE2,1,5
2020,NUTS,2016,BE21,2,2
2020,NUTS,2016,BE213,3,2
2020,NUTS,2016,BE23,2,1
2020,NUTS,2016,BE234,3,1
2020,NUTS,2016,BE24,2,1
2020,NUTS,2016,BE242,3,1
2020,NUTS,2016,BE25,2,1
2020,NUTS,2016,BE255,3,1
2020,NUTS,2016,CH,0,5
2020,NUTS,2016,CH0,1,5
2020,NUTS,2016,CH02,2,1
2020,NUTS,2016,CH021,3,1
2020,NUTS,2016,CH03,2,1
2020,NUTS,2016,CH031,3,1
2020,NUTS,2016,CH04,2,2
2020,NUTS,2016,CH040,3,2
2020,NUTS,2016,CH05,2,1
2020,NUTS,2016,CH055,3,1
2020,NUTS,2016,CZ,0,2
2020,NUTS,2016,CZ0,1,2
2020,NUTS,2016,CZ01,2,2
2020,NUTS,2016,CZ010,3,2
2020,NUTS,2016,DE,0,22
2020,NUTS,2016,DE1,1,6
2020,NUTS,2016,DE11,2,1
2020,NUTS,2016,DE111,3,1
2020,NUTS,2016,DE13,2,1
2020,NUTS,2016,DE131,3,1
2020,NUTS,2016,DE14,2,4
2020,NUTS,2016,DE142,3,2
2020,NUTS,2016,DE144,3,2
2020,NUTS,2016,DE2,1,1
2020,NUTS,2016,DE26,2,1
2020,NUTS,2016,DE263,3,1
2020,NUTS,2016,DE3,1,6
2020,NUTS,2016,DE30,2,6
2020,NUTS,2016,DE300,3,6
2020,NUTS,2016,DE6,1,1
2020,NUTS,2016,DE60,2,1
2020,NUTS,2016,DE600,3,1
2020,NUTS,2016,DE7,1,2
2020,NUTS,2016,DE71,2,1
2020,NUTS,2016,DE712,3,1
2020,NUTS,2016,DE73,2,1
2020,NUTS,2016,DE731,3,1
2020,NUTS,2016,DEA,1,5
2020,NUTS,2016,DEA1,2,2
2020,NUTS,2016,DEA13,3,2
2020,NUTS,2016,DEA2,2,1
2020,NUTS,2016,DEA23,3,1
2020,NUTS,2016,DEA5,2,2
2020,NUTS,2016,DEA51,3,2
2020,NUTS,2016,DEC,1,1
2020,NUTS,2016,DEC0,2,1
2020,NUTS,2016,DEC01,3,1
2020,NUTS,2016,DK,0,2
2020,NUTS,2016,DK0,1,2
2020,NUTS,2016,DK01,2,2
2020,NUTS,2016,DK011,3,2
2020,NUTS,2016,EL,0,3
2020,NUTS,2016,EL3,1,1
2020,NUTS,2016,EL30,2,1
2020,NUTS,2016,EL303,3,1
2020,NUTS,2016,EL5,1,2
2020,NUTS,2016,EL51,2,1
2020,NUTS,2016,EL512,3,1
2020,NUTS,2016,EL52,2,1
2020,NUTS,2016,EL522,3,1
