year,region_type,region_year_spec,region_id,region_level,impact_studies_2_lq
2020,NUTS,2016,AT,0,0.4
2020,NUTS,2016,BE,0,2.54
2020,NUTS,2016,CH,0,0.81
2020,NUTS,2016,CZ,0,1.43
2020,NUTS,2016,DE,0,1.33
2020,NUTS,2016,DK,0,0.64
2020,NUTS,2016,EL,0,1.48
2020,NUTS,2016,ES,0,0.56
2020,NUTS,2016,FR,0,1.4
2020,NUTS,2016,HR,0,6.97
2020,NUTS,2016,IE,0,1.74
2020,NUTS,2016,IT,0,0.49
2020,NUTS,2016,LU,0,4.97
2020,NUTS,2016,NL,0,2.53
2020,NUTS,2016,NO,0,0.53
2020,NUTS,2016,PL,0,1.01
2020,NUTS,2016,SE,0,0.9
2020,NUTS,2016,UK,0,0.94
2020,NUTS,2016,AT1,1,0.61
2020,NUTS,2016,BE1,1,2.66
2020,NUTS,2016,BE2,1,3.41
2020,NUTS,2016,CH0,1,0.81
2020,NUTS,2016,CZ0,1,1.43
2020,NUTS,2016,DE1,1,2.5
2020,NUTS,2016,DE2,1,0.27
2020,NUTS,2016,DE3,1,2.84
2020,NUTS,2016,DE6,1,1.7
2020,NUTS,2016,DE7,1,1.68
2020,NUTS,2016,DEA,1,1.78
2020,NUTS,2016,DEC,1,4.47
2020,NUTS,2016,DK0,1,0.64
2020,NUTS,2016,EL3,1,1.11
2020,NUTS,2016,EL5,1,3.66
2020,NUTS,2016,ES3,1,0.91
2020,NUTS,2016,ES5,1,0.71
2020,NUTS,2016,FR1,1,1.54
2020,NUTS,2016,FRC,1,8.64
2020,NUTS,2016,FRI,1,2.41
2020,NUTS,2016,FRK,1,1.74
2020,NUTS,2016,FRL,1,2.66
2020,NUTS,2016,HR0,1,6.97
2020,NUTS,2016,IE0,1,1.74
2020,NUTS,2016,ITC,1,0.95
2020,NUTS,2016,ITF,1,0.74
2020,NUTS,2016,ITI,1,0.2
2020,NUTS,2016,LU0,1,4.97
2020,NUTS,2016,NL1,1,2.83
2020,NUTS,2016,NL2,1,1.93
2020,NUTS,2016,NL3,1,3.27
2020,NUTS,2016,NO0,1,0.53
2020,NUTS,2016,PL6,1,5.73
2020,NUTS,2016,PL8,1,4.12
2020,NUTS,2016,SE1,1,0.69
2020,NUTS,2016,SE2,1,1.62
2020,NUTS,2016,UKC,1,1.2
2020,NUTS,2016,UKD,1,4.41
2020,NUTS,2016,UKH,1,1.01
2020,NUTS,2016,UKI,1,0.28
2020,NUTS,2016,UKJ,1,0.95
2020,NUTS,2016,UKK,1,1.79
2020,NUTS,2016,UKM,1,0.55
2020,NUTS,2016,UKN,1,4.44
2020,NUTS,2016,AT13,2,0.7
2020,NUTS,2016,BE10,2,2.66
2020,NUTS,2016,BE21,2,3.89
2020,NUTS,2016,BE23,2,1.65
2020,NUTS,2016,BE24,2,4.33
2020,NUTS,2016,BE25,2,126.48
2020,NUTS,2016,CH02,2,1.23
2020,NUTS,2016,CH03,2,1.26
2020,NUTS,2016,CH04,2,0.98
2020,NUTS,2016,CH05,2,9.73
2020,NUTS,2016,CZ01,2,2.96
2020,NUTS,2016,DE11,2,4.55
2020,NUTS,2016,DE13,2,1.76
2020,NUTS,2016,DE14,2,5.39
2020,NUTS,2016,DE26,2,5.02
2020,NUTS,2016,DE30,2,2.84
2020,NUTS,2016,DE60,2,1.7
2020,NUTS,2016,DE71,2,1.8
2020,NUTS,2016,DE73,2,3.42
2020,NUTS,2016,DEA1,2,5.15
2020,NUTS,2016,DEA2,2,0.63
2020,NUTS,2016,DEA5,2,5.2
2020,NUTS,2016,DEC0,2,4.47
2020,NUTS,2016,DK01,2,1.13
2020,NUTS,2016,EL30,2,1.11
2020,NUTS,2016,EL51,2,10.79
2020,NUTS,2016,EL52,2,2.82
2020,NUTS,2016,ES30,2,0.91
2020,NUTS,2016,ES51,2,1.02
2020,NUTS,2016,FR10,2,1.54
2020,NUTS,2016,FRC1,2,13.38
2020,NUTS,2016,FRI1,2,3.23
2020,NUTS,2016,FRK2,2,1.74
2020,NUTS,2016,FRL0,2,2.66
2020,NUTS,2016,HR04,2,9.6
2020,NUTS,2016,IE06,2,2.97
2020,NUTS,2016,ITC4,2,1.22
2020,NUTS,2016,ITF3,2,1.07
2020,NUTS,2016,ITF4,2,1.02
2020,NUTS,2016,ITI4,2,0.36
2020,NUTS,2016,LU00,2,4.97
2020,NUTS,2016,NL11,2,2.85
2020,NUTS,2016,NL22,2,2.12
2020,NUTS,2016,NL31,2,3.36
2020,NUTS,2016,NL32,2,1.34
2020,NUTS,2016,NL33,2,4.74
2020,NUTS,2016,NO01,2,0.99
2020,NUTS,2016,PL63,2,10.54
2020,NUTS,2016,PL81,2,8.33
2020,NUTS,2016,SE11,2,0.5
2020,NUTS,2016,SE12,2,1.09
2020,NUTS,2016,SE23,2,3.0
2020,NUTS,2016,UKC1,2,1.98
2020,NUTS,2016,UKD3,2,3.03
2020,NUTS,2016,UKD7,2,7.52
2020,NUTS,2016,UKH1,2,0.79
2020,NUTS,2016,UKH2,2,2.11
2020,NUTS,2016,UKI3,2,0.35
2020,NUTS,2016,UKJ1,2,1.2
2020,NUTS,2016,UKJ4,2,4.36
2020,NUTS,2016,UKK1,2,1.34
2020,NUTS,2016,UKK4,2,3.43
2020,NUTS,2016,UKM7,2,0.47
2020,NUTS,2016,UKM8,2,0.86
2020,NUTS,2016,UKN0,2,4.44
2020,NUTS,2016,AT130,3,0.7
2020,NUTS,2016,BE100,3,2.66
2020,NUTS,2016,BE213,3,16.46
2020,NUTS,2016,BE234,3,1.65
2020,NUTS,2016,BE242,3,9.73
2020,NUTS,2016,BE255,3,231.88
2020,NUTS,2016,CH021,3,1.5
2020,NUTS,2016,CH031,3,1.38
2020,NUTS,2016,CH040,3,0.98
2020,NUTS,2016,CH055,3,9.73
2020,NUTS,2016,CZ010,3,2.96
2020,NUTS,2016,DE111,3,4.73
2020,NUTS,2016,DE131,3,2.14
2020,NUTS,2016,DE142,3,4.68
2020,NUTS,2016,DE144,3,6.41
2020,NUTS,2016,DE263,3,5.02
2020,NUTS,2016,DE300,3,2.84
2020,NUTS,2016,DE600,3,1.7
2020,NUTS,2016,DE712,3,2.37
2020,NUTS,2016,DE731,3,3.5
2020,NUTS,2016,DEA13,3,6.04
2020,NUTS,2016,DEA23,3,2.68
2020,NUTS,2016,DEA51,3,7.06
2020,NUTS,2016,DEC01,3,4.47
2020,NUTS,2016,DK011,3,1.48
2020,NUTS,2016,EL303,3,1.14
2020,NUTS,2016,EL512,3,10.79
2020,NUTS,2016,EL522,3,2.82
2020,NUTS,2016,ES300,3,0.91
2020,NUTS,2016,ES511,3,1.1
2020,NUTS,2016,FR104,3,2.21
2020,NUTS,2016,FR107,3,5.35
2020,NUTS,2016,FRC11,3,13.38
2020,NUTS,2016,FRI12,3,3.34
2020,NUTS,2016,FRK26,3,2.19
2020,NUTS,2016,FRL04,3,2.74
2020,NUTS,2016,HR041,3,10.49
2020,NUTS,2016,IE061,3,3.32
2020,NUTS,2016,ITC47,3,5.16
2020,NUTS,2016,ITC4C,3,1.11
2020,NUTS,2016,ITF33,3,1.41
2020,NUTS,2016,ITF47,3,1.35
2020,NUTS,2016,ITI43,3,0.37
2020,NUTS,2016,LU000,3,4.97
2020,NUTS,2016,NL113,3,2.85
2020,NUTS,2016,NL221,3,8.83
2020,NUTS,2016,NL226,3,1.2
2020,NUTS,2016,NL310,3,3.36
2020,NUTS,2016,NL329,3,1.34
2020,NUTS,2016,NL332,3,19.6
2020,NUTS,2016,NL337,3,2.77
2020,NUTS,2016,NL33C,3,7.91
2020,NUTS,2016,NO011,3,1.12
2020,NUTS,2016,PL633,3,10.54
2020,NUTS,2016,PL814,3,8.33
2020,NUTS,2016,SE110,3,0.5
2020,NUTS,2016,SE121,3,1.63
2020,NUTS,2016,SE232,3,3.05
2020,NUTS,2016,UKC14,3,2.47
2020,NUTS,2016,UKD33,3,2.8
2020,NUTS,2016,UKD34,3,6.41
2020,NUTS,2016,UKD72,3,7.78
2020,NUTS,2016,UKH12,3,0.89
2020,NUTS,2016,UKH23,3,2.38
2020,NUTS,2016,UKI31,3,0.69
2020,NUTS,2016,UKI33,3,0.41
2020,NUTS,2016,UKJ14,3,1.29
2020,NUTS,2016,UKJ44,3,5.12
2020,NUTS,2016,UKK11,3,1.9
2020,NUTS,2016,UKK41,3,61.84
2020,NUTS,2016,UKM75,3,0.58
2020,NUTS,2016,UKM82,3,0.9
2020,NUTS,2016,UKN06,3,5.43
2021,NUTS,2021,DE,0,2.58
2021,NUTS,2021,ES,0,0.96
2021,NUTS,2021,FR,0,1.24
2021,NUTS,2021,NL,0,1.31
2021,NUTS,2021,SE,0,4.29
2021,NUTS,2021,UK,0,1.35
2021,NUTS,2021,DE1,1,9.17
2021,NUTS,2021,DE2,1,3.29
2021,NUTS,2021,DE9,1,10.08
2021,NUTS,2021,ES5,1,3.09
2021,NUTS,2021,FRK,1,18.15
2021,NUTS,2021,NL3,1,2.34
2021,NUTS,2021,SE1,1,6.42
2021,NUTS,2021,UKD,1,2.62
2021,NUTS,2021,UKH,1,3.92
2021,NUTS,2021,UKI,1,0.85
2021,NUTS,2021,UKJ,1,1.59
2021,NUTS,2021,UKM,1,2.49
2021,NUTS,2021,DE12,2,32.08
2021,NUTS,2021,DE21,2,4.77
2021,NUTS,2021,DE92,2,24.1
2021,NUTS,2021,ES51,2,4.3
2021,NUTS,2021,FRK2,2,18.15
2021,NUTS,2021,NL33,2,5.29
2021,NUTS,2021,SE11,2,4.57
2021,NUTS,2021,SE12,2,10.79
2021,NUTS,2021,UKD7,2,6.77
2021,NUTS,2021,UKH1,2,5.46
2021,NUTS,2021,UKI3,2,1.04
2021,NUTS,2021,UKJ1,2,2.49
2021,NUTS,2021,UKM7,2,4.58
2021,NUTS,2021,DE125,3,52.17
2021,NUTS,2021,DE212,3,4.86
2021,NUTS,2021,DE929,3,24.65
2021,NUTS,2021,ES511,3,4.68
2021,NUTS,2021,FRK24,3,185.29
2021,NUTS,2021,NL332,3,141.41
2021,NUTS,2021,SE110,3,4.57
2021,NUTS,2021,SE121,3,17.22
2021,NUTS,2021,UKD72,3,7.03
2021,NUTS,2021,UKH12,3,6.24
2021,NUTS,2021,UKI31,3,3.04
2021,NUTS,2021,UKJ14,3,2.68
2021,NUTS,2021,UKM75,3,5.94
