year,region_type,region_year_spec,region_id,region_level,medrxiv_count
2017,NUTS,2016,UK,0,1
2017,NUTS,2016,UKM,1,1
2017,NUTS,2016,UKM7,2,1
2017,NUTS,2016,UKM72,3,1
2018,NUTS,2016,ES,0,3
2018,NUTS,2016,ES2,1,1
2018,NUTS,2016,ES22,2,1
2018,NUTS,2016,ES220,3,1
2018,NUTS,2016,ES3,1,1
2018,NUTS,2016,ES30,2,1
2018,NUTS,2016,ES300,3,1
2018,NUTS,2016,ES5,1,1
2018,NUTS,2016,ES51,2,1
2018,NUTS,2016,ES511,3,1
2019,NUTS,2016,AT,0,6
2019,NUTS,2016,AT1,1,2
2019,NUTS,2016,AT13,2,2
2019,NUTS,2016,AT130,3,2
2019,NUTS,2016,AT2,1,1
2019,NUTS,2016,AT22,2,1
2019,NUTS,2016,AT221,3,1
2019,NUTS,2016,AT3,1,3
2019,NUTS,2016,AT33,2,3
2019,NUTS,2016,AT332,3,3
2019,NUTS,2016,BE,0,18
2019,NUTS,2016,BE1,1,4
2019,NUTS,2016,BE10,2,4
2019,NUTS,2016,BE100,3,4
2019,NUTS,2016,BE2,1,14
2019,NUTS,2016,BE21,2,6
2019,NUTS,2016,BE211,3,5
2019,NUTS,2016,BE213,3,1
2019,NUTS,2016,BE22,2,3
2019,NUTS,2016,BE221,3,3
2019,NUTS,2016,BE23,2,3
2019,NUTS,2016,BE234,3,3
2019,NUTS,2016,BE24,2,2
2019,NUTS,2016,BE241,3,2
2019,NUTS,2016,BG,0,3
2019,NUTS,2016,BG4,1,3
2019,NUTS,2016,BG41,2,3
2019,NUTS,2016,BG411,3,3
2019,NUTS,2016,CH,0,69
2019,NUTS,2016,CH0,1,69
2019,NUTS,2016,CH01,2,23
2019,NUTS,2016,CH011,3,7
2019,NUTS,2016,CH013,3,16
2019,NUTS,2016,CH02,2,17
2019,NUTS,2016,CH021,3,13
2019,NUTS,2016,CH022,3,1
2019,NUTS,2016,CH024,3,1
2019,NUTS,2016,CH025,3,2
2019,NUTS,2016,CH03,2,9
2019,NUTS,2016,CH031,3,9
2019,NUTS,2016,CH04,2,16
2019,NUTS,2016,CH040,3,16
2019,NUTS,2016,CH05,2,4
2019,NUTS,2016,CH055,3,4
2019,NUTS,2016,CY,0,1
2019,NUTS,2016,CY0,1,1
2019,NUTS,2016,CY00,2,1
2019,NUTS,2016,CY000,3,1
2019,NUTS,2016,CZ,0,5
2019,NUTS,2016,CZ0,1,5
2019,NUTS,2016,CZ01,2,5
2019,NUTS,2016,CZ010,3,5
2019,NUTS,2016,DE,0,92
2019,NUTS,2016,DE1,1,17
2019,NUTS,2016,DE12,2,10
2019,NUTS,2016,DE125,3,10
2019,NUTS,2016,DE13,2,3
2019,NUTS,2016,DE131,3,3
2019,NUTS,2016,DE14,2,4
2019,NUTS,2016,DE142,3,4
2019,NUTS,2016,DE2,1,17
2019,NUTS,2016,DE21,2,11
2019,NUTS,2016,DE212,3,11
2019,NUTS,2016,DE23,2,2
2019,NUTS,2016,DE232,3,2
2019,NUTS,2016,DE25,2,2
2019,NUTS,2016,DE252,3,2
2019,NUTS,2016,DE26,2,2
2019,NUTS,2016,DE263,3,2
2019,NUTS,2016,DE3,1,18
2019,NUTS,2016,DE30,2,18
2019,NUTS,2016,DE300,3,18
2019,NUTS,2016,DE6,1,3
2019,NUTS,2016,DE60,2,3
2019,NUTS,2016,DE600,3,3
2019,NUTS,2016,DE7,1,4
2019,NUTS,2016,DE71,2,1
2019,NUTS,2016,DE712,3,1
2019,NUTS,2016,DE72,2,1
2019,NUTS,2016,DE721,3,1
2019,NUTS,2016,DE73,2,2
2019,NUTS,2016,DE731,3,2
2019,NUTS,2016,DE9,1,3
2019,NUTS,2016,DE91,2,2
2019,NUTS,2016,DE91C,3,2
2019,NUTS,2016,DE92,2,1
2019,NUTS,2016,DE929,3,1
2019,NUTS,2016,DEA,1,20
2019,NUTS,2016,DEA1,2,1
2019,NUTS,2016,DEA13,3,1
2019,NUTS,2016,DEA2,2,12
2019,NUTS,2016,DEA22,3,5
2019,NUTS,2016,DEA23,3,4
2019,NUTS,2016,DEA2D,3,3
2019,NUTS,2016,DEA3,2,3
2019,NUTS,2016,DEA33,3,3
2019,NUTS,2016,DEA5,2,4
2019,NUTS,2016,DEA51,3,3
2019,NUTS,2016,DEA56,3,1
2019,NUTS,2016,DEC,1,1
2019,NUTS,2016,DEC0,2,1
2019,NUTS,2016,DEC01,3,1
2019,NUTS,2016,DED,1,3
2019,NUTS,2016,DED4,2,2
2019,NUTS,2016,DED43,3,2
2019,NUTS,2016,DED5,2,1
2019,NUTS,2016,DED51,3,1
2019,NUTS,2016,DEE,1,5
2019,NUTS,2016,DEE0,2,5
2019,NUTS,2016,DEE02,3,1
2019,NUTS,2016,DEE03,3,4
2019,NUTS,2016,DEF,1,1
2019,NUTS,2016,DEF0,2,1
2019,NUTS,2016,DEF03,3,1
2019,NUTS,2016,DK,0,15
2019,NUTS,2016,DK0,1,15
2019,NUTS,2016,DK01,2,10
2019,NUTS,2016,DK011,3,7
2019,NUTS,2016,DK012,3,3
2019,NUTS,2016,DK03,2,2
2019,NUTS,2016,DK031,3,2
2019,NUTS,2016,DK04,2,2
2019,NUTS,2016,DK042,3,2
2019,NUTS,2016,DK05,2,1
2019,NUTS,2016,DK050,3,1
2019,NUTS,2016,EL,0,5
2019,NUTS,2016,EL3,1,1
2019,NUTS,2016,EL30,2,1
2019,NUTS,2016,EL303,3,1
2019,NUTS,2016,EL5,1,3
2019,NUTS,2016,EL52,2,2
2019,NUTS,2016,EL522,3,2
2019,NUTS,2016,EL54,2,1
2019,NUTS,2016,EL543,3,1
2019,NUTS,2016,EL6,1,1
2019,NUTS,2016,EL61,2,1
2019,NUTS,2016,EL613,3,1
2019,NUTS,2016,ES,0,45
2019,NUTS,2016,ES1,1,2
2019,NUTS,2016,ES11,2,1
2019,NUTS,2016,ES111,3,1
2019,NUTS,2016,ES12,2,1
2019,NUTS,2016,ES120,3,1
2019,NUTS,2016,ES2,1,4
2019,NUTS,2016,ES22,2,3
2019,NUTS,2016,ES220,3,3
2019,NUTS,2016,ES24,2,1
2019,NUTS,2016,ES243,3,1
2019,NUTS,2016,ES3,1,17
2019,NUTS,2016,ES30,2,17
2019,NUTS,2016,ES300,3,17
2019,NUTS,2016,ES4,1,2
2019,NUTS,2016,ES41,2,2
2019,NUTS,2016,ES413,3,1
2019,NUTS,2016,ES415,3,1
2019,NUTS,2016,ES5,1,16
2019,NUTS,2016,ES51,2,13
2019,NUTS,2016,ES511,3,13
2019,NUTS,2016,ES52,2,3
2019,NUTS,2016,ES523,3,3
2019,NUTS,2016,ES6,1,4
2019,NUTS,2016,ES61,2,4
2019,NUTS,2016,ES617,3,3
2019,NUTS,2016,ES618,3,1
2019,NUTS,2016,FI,0,7
2019,NUTS,2016,FI1,1,7
2019,NUTS,2016,FI19,2,2
2019,NUTS,2016,FI193,3,2
2019,NUTS,2016,FI1B,2,4
2019,NUTS,2016,FI1B1,3,4
2019,NUTS,2016,FI1C,2,1
2019,NUTS,2016,FI1C1,3,1
2019,NUTS,2016,FR,0,23
2019,NUTS,2016,FR1,1,15
2019,NUTS,2016,FR10,2,15
2019,NUTS,2016,FR101,3,2
2019,NUTS,2016,FR103,3,1
2019,NUTS,2016,FR104,3,11
2019,NUTS,2016,FR107,3,1
2019,NUTS,2016,FRE,1,1
2019,NUTS,2016,FRE1,2,1
2019,NUTS,2016,FRE11,3,1
2019,NUTS,2016,FRF,1,1
2019,NUTS,2016,FRF1,2,1
2019,NUTS,2016,FRF11,3,1
2019,NUTS,2016,FRG,1,1
2019,NUTS,2016,FRG0,2,1
2019,NUTS,2016,FRG02,3,1
2019,NUTS,2016,FRH,1,1
2019,NUTS,2016,FRH0,2,1
2019,NUTS,2016,FRH03,3,1
2019,NUTS,2016,FRI,1,1
2019,NUTS,2016,FRI1,2,1
2019,NUTS,2016,FRI12,3,1
2019,NUTS,2016,FRJ,1,1
2019,NUTS,2016,FRJ1,2,1
2019,NUTS,2016,FRJ13,3,1
2019,NUTS,2016,FRL,1,2
2019,NUTS,2016,FRL0,2,2
2019,NUTS,2016,FRL04,3,2
2019,NUTS,2016,HR,0,1
2019,NUTS,2016,HR0,1,1
2019,NUTS,2016,HR04,2,1
2019,NUTS,2016,HR041,3,1
2019,NUTS,2016,HU,0,2
2019,NUTS,2016,HU1,1,1
2019,NUTS,2016,HU11,2,1
2019,NUTS,2016,HU110,3,1
2019,NUTS,2016,HU2,1,1
2019,NUTS,2016,HU23,2,1
2019,NUTS,2016,HU231,3,1
2019,NUTS,2016,IE,0,10
2019,NUTS,2016,IE0,1,10
2019,NUTS,2016,IE04,2,1
2019,NUTS,2016,IE042,3,1
2019,NUTS,2016,IE05,2,5
2019,NUTS,2016,IE051,3,3
2019,NUTS,2016,IE053,3,2
2019,NUTS,2016,IE06,2,4
2019,NUTS,2016,IE061,3,4
2019,NUTS,2016,IS,0,2
2019,NUTS,2016,IS0,1,2
2019,NUTS,2016,IS00,2,2
2019,NUTS,2016,IS001,3,2
2019,NUTS,2016,IT,0,42
2019,NUTS,2016,ITC,1,15
2019,NUTS,2016,ITC1,2,1
2019,NUTS,2016,ITC11,3,1
2019,NUTS,2016,ITC4,2,14
2019,NUTS,2016,ITC47,3,1
2019,NUTS,2016,ITC48,3,1
2019,NUTS,2016,ITC4C,3,12
2019,NUTS,2016,ITF,1,3
2019,NUTS,2016,ITF1,2,1
2019,NUTS,2016,ITF12,3,1
2019,NUTS,2016,ITF3,2,1
2019,NUTS,2016,ITF33,3,1
2019,NUTS,2016,ITF4,2,1
2019,NUTS,2016,ITF47,3,1
2019,NUTS,2016,ITG,1,2
2019,NUTS,2016,ITG2,2,2
2019,NUTS,2016,ITG27,3,2
2019,NUTS,2016,ITH,1,11
2019,NUTS,2016,ITH3,2,1
2019,NUTS,2016,ITH31,3,1
2019,NUTS,2016,ITH4,2,1
2019,NUTS,2016,ITH42,3,1
2019,NUTS,2016,ITH5,2,9
2019,NUTS,2016,ITH52,3,3
2019,NUTS,2016,ITH54,3,1
2019,NUTS,2016,ITH55,3,5
2019,NUTS,2016,ITI,1,11
2019,NUTS,2016,ITI1,2,9
2019,NUTS,2016,ITI14,3,8
2019,NUTS,2016,ITI17,3,1
2019,NUTS,2016,ITI4,2,2
2019,NUTS,2016,ITI43,3,2
2019,NUTS,2016,NL,0,82
2019,NUTS,2016,NL1,1,11
2019,NUTS,2016,NL11,2,11
2019,NUTS,2016,NL113,3,11
2019,NUTS,2016,NL2,1,13
2019,NUTS,2016,NL21,2,1
2019,NUTS,2016,NL213,3,1
2019,NUTS,2016,NL22,2,12
2019,NUTS,2016,NL221,3,2
2019,NUTS,2016,NL226,3,10
2019,NUTS,2016,NL3,1,47
2019,NUTS,2016,NL31,2,13
2019,NUTS,2016,NL310,3,13
2019,NUTS,2016,NL32,2,20
2019,NUTS,2016,NL329,3,20
2019,NUTS,2016,NL33,2,14
2019,NUTS,2016,NL333,3,2
2019,NUTS,2016,NL337,3,5
2019,NUTS,2016,NL33C,3,7
2019,NUTS,2016,NL4,1,11
2019,NUTS,2016,NL42,2,11
2019,NUTS,2016,NL423,3,11
2019,NUTS,2016,NO,0,12
2019,NUTS,2016,NO0,1,12
2019,NUTS,2016,NO01,2,8
2019,NUTS,2016,NO011,3,7
2019,NUTS,2016,NO012,3,1
2019,NUTS,2016,NO04,2,1
2019,NUTS,2016,NO042,3,1
2019,NUTS,2016,NO05,2,3
2019,NUTS,2016,NO051,3,3
2019,NUTS,2016,PL,0,4
2019,NUTS,2016,PL4,1,3
2019,NUTS,2016,PL41,2,1
2019,NUTS,2016,PL415,3,1
2019,NUTS,2016,PL42,2,2
2019,NUTS,2016,PL424,3,2
2019,NUTS,2016,PL7,1,1
2019,NUTS,2016,PL71,2,1
2019,NUTS,2016,PL711,3,1
2019,NUTS,2016,PT,0,13
2019,NUTS,2016,PT1,1,12
2019,NUTS,2016,PT11,2,2
2019,NUTS,2016,PT11A,3,2
2019,NUTS,2016,PT16,2,3
2019,NUTS,2016,PT16E,3,2
2019,NUTS,2016,PT16J,3,1
2019,NUTS,2016,PT17,2,7
2019,NUTS,2016,PT170,3,7
2019,NUTS,2016,PT2,1,1
2019,NUTS,2016,PT20,2,1
2019,NUTS,2016,PT200,3,1
2019,NUTS,2016,SE,0,36
2019,NUTS,2016,SE1,1,22
2019,NUTS,2016,SE11,2,18
2019,NUTS,2016,SE110,3,18
2019,NUTS,2016,SE12,2,4
2019,NUTS,2016,SE121,3,3
2019,NUTS,2016,SE124,3,1
2019,NUTS,2016,SE2,1,13
2019,NUTS,2016,SE21,2,2
2019,NUTS,2016,SE211,3,1
2019,NUTS,2016,SE213,3,1
2019,NUTS,2016,SE22,2,4
2019,NUTS,2016,SE224,3,4
2019,NUTS,2016,SE23,2,7
2019,NUTS,2016,SE232,3,7
2019,NUTS,2016,SE3,1,1
2019,NUTS,2016,SE33,2,1
2019,NUTS,2016,SE331,3,1
2019,NUTS,2016,SK,0,2
2019,NUTS,2016,SK0,1,2
2019,NUTS,2016,SK01,2,2
2019,NUTS,2016,SK010,3,2
2019,NUTS,2016,TR,0,4
2019,NUTS,2016,TR3,1,1
2019,NUTS,2016,TR31,2,1
2019,NUTS,2016,TR310,3,1
2019,NUTS,2016,TR5,1,2
2019,NUTS,2016,TR51,2,2
2019,NUTS,2016,TR510,3,2
2019,NUTS,2016,TRA,1,1
2019,NUTS,2016,TRA1,2,1
2019,NUTS,2016,TRA11,3,1
2019,NUTS,2016,UK,0,437
2019,NUTS,2016,UKC,1,1
2019,NUTS,2016,UKC2,2,1
2019,NUTS,2016,UKC22,3,1
2019,NUTS,2016,UKD,1,25
2019,NUTS,2016,UKD3,2,13
2019,NUTS,2016,UKD33,3,11
2019,NUTS,2016,UKD34,3,1
2019,NUTS,2016,UKD37,3,1
2019,NUTS,2016,UKD4,2,3
2019,NUTS,2016,UKD42,3,1
2019,NUTS,2016,UKD44,3,2
2019,NUTS,2016,UKD6,2,1
2019,NUTS,2016,UKD61,3,1
2019,NUTS,2016,UKD7,2,8
2019,NUTS,2016,UKD72,3,8
2019,NUTS,2016,UKE,1,13
2019,NUTS,2016,UKE2,2,3
2019,NUTS,2016,UKE21,3,3
2019,NUTS,2016,UKE3,2,6
2019,NUTS,2016,UKE31,3,1
2019,NUTS,2016,UKE32,3,5
2019,NUTS,2016,UKE4,2,4
2019,NUTS,2016,UKE42,3,4
2019,NUTS,2016,UKF,1,20
2019,NUTS,2016,UKF1,2,7
2019,NUTS,2016,UKF14,3,6
2019,NUTS,2016,UKF16,3,1
2019,NUTS,2016,UKF2,2,13
2019,NUTS,2016,UKF21,3,9
2019,NUTS,2016,UKF22,3,4
2019,NUTS,2016,UKG,1,12
2019,NUTS,2016,UKG1,2,3
2019,NUTS,2016,UKG13,3,3
2019,NUTS,2016,UKG2,2,3
2019,NUTS,2016,UKG24,3,3
2019,NUTS,2016,UKG3,2,6
2019,NUTS,2016,UKG31,3,5
2019,NUTS,2016,UKG33,3,1
2019,NUTS,2016,UKH,1,60
2019,NUTS,2016,UKH1,2,53
2019,NUTS,2016,UKH12,3,50
2019,NUTS,2016,UKH17,3,3
2019,NUTS,2016,UKH2,2,5
2019,NUTS,2016,UKH23,3,5
2019,NUTS,2016,UKH3,2,2
2019,NUTS,2016,UKH34,3,2
2019,NUTS,2016,UKI,1,119
2019,NUTS,2016,UKI3,2,106
2019,NUTS,2016,UKI31,3,46
2019,NUTS,2016,UKI32,3,34
2019,NUTS,2016,UKI33,3,25
2019,NUTS,2016,UKI34,3,1
2019,NUTS,2016,UKI4,2,11
2019,NUTS,2016,UKI42,3,7
2019,NUTS,2016,UKI43,3,1
2019,NUTS,2016,UKI44,3,3
2019,NUTS,2016,UKI7,2,2
