year,region_type,region_year_spec,region_id,region_level,social_media_lq
2020,NUTS,2016,AT,0,1.65
2020,NUTS,2016,BE,0,0.57
2020,NUTS,2016,CH,0,1.43
2020,NUTS,2016,CY,0,1.37
2020,NUTS,2016,DE,0,1.85
2020,NUTS,2016,DK,0,0.83
2020,NUTS,2016,EE,0,4.36
2020,NUTS,2016,EL,0,0.77
2020,NUTS,2016,ES,0,0.41
2020,NUTS,2016,FI,0,0.7
2020,NUTS,2016,FR,0,0.91
2020,NUTS,2016,HU,0,3.43
2020,NUTS,2016,IE,0,0.6
2020,NUTS,2016,IT,0,0.69
2020,NUTS,2016,LU,0,12.92
2020,NUTS,2016,LV,0,3.65
2020,NUTS,2016,NL,0,0.72
2020,NUTS,2016,NO,0,0.27
2020,NUTS,2016,PL,0,1.22
2020,NUTS,2016,PT,0,0.33
2020,NUTS,2016,RO,0,1.08
2020,NUTS,2016,SE,0,0.58
2020,NUTS,2016,TR,0,0.95
2020,NUTS,2016,UK,0,1.03
2020,NUTS,2016,AT1,1,1.26
2020,NUTS,2016,AT2,1,1.38
2020,NUTS,2016,AT3,1,3.08
2020,NUTS,2016,BE2,1,1.06
2020,NUTS,2016,CH0,1,1.43
2020,NUTS,2016,CY0,1,1.37
2020,NUTS,2016,DE1,1,1.95
2020,NUTS,2016,DE2,1,0.99
2020,NUTS,2016,DE3,1,1.97
2020,NUTS,2016,DE5,1,10.96
2020,NUTS,2016,DE6,1,0.88
2020,NUTS,2016,DE7,1,0.44
2020,NUTS,2016,DE8,1,2.5
2020,NUTS,2016,DE9,1,1.07
2020,NUTS,2016,DEA,1,3.33
2020,NUTS,2016,DEB,1,4.82
2020,NUTS,2016,DED,1,2.76
2020,NUTS,2016,DK0,1,0.83
2020,NUTS,2016,EE0,1,4.36
2020,NUTS,2016,EL3,1,1.15
2020,NUTS,2016,EL5,1,0.95
2020,NUTS,2016,ES1,1,1.23
2020,NUTS,2016,ES2,1,0.83
2020,NUTS,2016,ES4,1,0.8
2020,NUTS,2016,ES5,1,0.56
2020,NUTS,2016,ES6,1,0.51
2020,NUTS,2016,FI1,1,0.7
2020,NUTS,2016,FR1,1,0.92
