year,region_type,region_year_spec,region_id,region_level,vaccination_programmes_lq
2020,NUTS,2016,AT,0,1.05
2020,NUTS,2016,BE,0,2.24
2020,NUTS,2016,CH,0,0.57
2020,NUTS,2016,DE,0,0.85
2020,NUTS,2016,ES,0,0.98
2020,NUTS,2016,FI,0,1.18
2020,NUTS,2016,FR,0,0.51
2020,NUTS,2016,IE,0,0.51
2020,NUTS,2016,IT,0,0.56
2020,NUTS,2016,NL,0,1.0
2020,NUTS,2016,NO,0,0.46
2020,NUTS,2016,PT,0,0.56
2020,NUTS,2016,SE,0,0.99
2020,NUTS,2016,TR,0,0.64
2020,NUTS,2016,UK,0,1.79
2020,NUTS,2016,AT1,1,0.54
2020,NUTS,2016,AT2,1,4.69
2020,NUTS,2016,BE1,1,2.34
2020,NUTS,2016,BE2,1,0.6
2020,NUTS,2016,BE3,1,6.57
2020,NUTS,2016,CH0,1,0.57
2020,NUTS,2016,DE1,1,0.37
2020,NUTS,2016,DE2,1,0.72
2020,NUTS,2016,DE3,1,0.84
2020,NUTS,2016,DE7,1,0.74
2020,NUTS,2016,DEA,1,0.31
2020,NUTS,2016,DED,1,4.68
2020,NUTS,2016,DEE,1,3.15
2020,NUTS,2016,ES3,1,0.54
2020,NUTS,2016,ES4,1,2.71
2020,NUTS,2016,ES5,1,1.58
2020,NUTS,2016,ES6,1,0.87
2020,NUTS,2016,FI1,1,1.18
2020,NUTS,2016,FR1,1,0.78
2020,NUTS,2016,FRL,1,1.17
2020,NUTS,2016,IE0,1,0.51
2020,NUTS,2016,ITC,1,0.48
2020,NUTS,2016,ITG,1,0.88
2020,NUTS,2016,ITH,1,1.28
2020,NUTS,2016,ITI,1,0.35
2020,NUTS,2016,NL2,1,1.27
2020,NUTS,2016,NL3,1,1.24
2020,NUTS,2016,NO0,1,0.46
2020,NUTS,2016,PT1,1,0.57
2020,NUTS,2016,SE1,1,1.21
2020,NUTS,2016,SE2,1,0.72
2020,NUTS,2016,TR6,1,10.86
2020,NUTS,2016,UKD,1,2.59
2020,NUTS,2016,UKE,1,0.39
2020,NUTS,2016,UKF,1,0.42
2020,NUTS,2016,UKG,1,2.15
2020,NUTS,2016,UKH,1,1.25
2020,NUTS,2016,UKI,1,3.18
2020,NUTS,2016,UKJ,1,1.4
2020,NUTS,2016,UKM,1,2.2
2020,NUTS,2016,AT13,2,0.61
2020,NUTS,2016,AT22,2,4.89
2020,NUTS,2016,BE10,2,2.34
2020,NUTS,2016,BE24,2,3.82
2020,NUTS,2016,BE32,2,35.57
2020,NUTS,2016,CH04,2,1.74
2020,NUTS,2016,DE13,2,1.55
2020,NUTS,2016,DE21,2,0.32
2020,NUTS,2016,DE23,2,4.63
2020,NUTS,2016,DE25,2,2.58
2020,NUTS,2016,DE30,2,0.84
2020,NUTS,2016,DE71,2,1.58
2020,NUTS,2016,DEA2,2,0.56
2020,NUTS,2016,DED4,2,6.1
2020,NUTS,2016,DEE0,2,3.15
2020,NUTS,2016,ES30,2,0.54
2020,NUTS,2016,ES41,2,1.67
2020,NUTS,2016,ES43,2,15.34
2020,NUTS,2016,ES51,2,1.35
2020,NUTS,2016,ES52,2,2.23
2020,NUTS,2016,ES62,2,2.64
2020,NUTS,2016,FI1B,2,2.34
2020,NUTS,2016,FR10,2,0.78
2020,NUTS,2016,FRL0,2,1.17
2020,NUTS,2016,IE06,2,0.87
2020,NUTS,2016,ITC1,2,1.79
2020,NUTS,2016,ITC4,2,0.31
2020,NUTS,2016,ITG2,2,2.26
2020,NUTS,2016,ITH3,2,2.77
2020,NUTS,2016,ITH4,2,1.45
2020,NUTS,2016,ITI1,2,1.0
2020,NUTS,2016,NL22,2,1.4
2020,NUTS,2016,NL31,2,2.96
2020,NUTS,2016,NL32,2,1.18
2020,NUTS,2016,NL33,2,0.46
2020,NUTS,2016,NO01,2,0.87
2020,NUTS,2016,PT11,2,1.59
2020,NUTS,2016,SE11,2,1.33
2020,NUTS,2016,SE12,2,0.96
2020,NUTS,2016,SE22,2,1.8
2020,NUTS,2016,TR62,2,18.31
2020,NUTS,2016,UKD4,2,23.78
2020,NUTS,2016,UKE2,2,2.21
2020,NUTS,2016,UKF1,2,0.83
2020,NUTS,2016,UKG1,2,3.95
2020,NUTS,2016,UKG3,2,1.72
2020,NUTS,2016,UKH1,2,0.93
2020,NUTS,2016,UKH2,2,2.8
2020,NUTS,2016,UKI3,2,3.76
2020,NUTS,2016,UKI4,2,0.62
2020,NUTS,2016,UKJ1,2,1.91
2020,NUTS,2016,UKJ3,2,0.91
2020,NUTS,2016,UKM7,2,2.05
2020,NUTS,2016,UKM8,2,1.52
2020,NUTS,2016,UKM9,2,36.63
2020,NUTS,2016,AT130,3,0.61
2020,NUTS,2016,AT221,3,4.89
2020,NUTS,2016,BE100,3,2.34
2020,NUTS,2016,BE241,3,6.89
2020,NUTS,2016,BE323,3,35.57
2020,NUTS,2016,CH040,3,1.74
2020,NUTS,2016,DE131,3,1.89
2020,NUTS,2016,DE212,3,0.32
2020,NUTS,2016,DE232,3,4.63
2020,NUTS,2016,DE252,3,2.62
2020,NUTS,2016,DE300,3,0.84
2020,NUTS,2016,DE712,3,2.09
2020,NUTS,2016,DEA26,3,6.04
2020,NUTS,2016,DED41,3,1.06
2020,NUTS,2016,DED43,3,30.05
2020,NUTS,2016,DEE03,3,6.04
2020,NUTS,2016,ES300,3,0.54
2020,NUTS,2016,ES415,3,7.22
2020,NUTS,2016,ES432,3,16.81
2020,NUTS,2016,ES511,3,1.45
2020,NUTS,2016,ES521,3,5.11
2020,NUTS,2016,ES523,3,1.5
2020,NUTS,2016,ES620,3,2.64
2020,NUTS,2016,FI1B1,3,2.34
2020,NUTS,2016,FR104,3,0.97
2020,NUTS,2016,FR107,3,4.72
2020,NUTS,2016,FRL04,3,1.21
2020,NUTS,2016,IE061,3,0.97
2020,NUTS,2016,ITC11,3,1.06
2020,NUTS,2016,ITC16,3,87.65
2020,NUTS,2016,ITC41,3,3.35
2020,NUTS,2016,ITC4C,3,0.2
2020,NUTS,2016,ITG27,3,3.86
2020,NUTS,2016,ITH31,3,3.98
2020,NUTS,2016,ITH36,3,2.45
2020,NUTS,2016,ITH44,3,2.09
2020,NUTS,2016,ITI14,3,1.94
2020,NUTS,2016,NL221,3,7.79
2020,NUTS,2016,NL226,3,0.53
2020,NUTS,2016,NL310,3,2.96
2020,NUTS,2016,NL329,3,1.18
2020,NUTS,2016,NL337,3,1.22
2020,NUTS,2016,NO011,3,0.99
2020,NUTS,2016,PT11A,3,2.06
2020,NUTS,2016,SE110,3,1.33
2020,NUTS,2016,SE121,3,1.44
2020,NUTS,2016,SE224,3,1.86
2020,NUTS,2016,TR622,3,32.72
2020,NUTS,2016,UKD44,3,32.64
2020,NUTS,2016,UKE21,3,2.24
2020,NUTS,2016,UKF14,3,1.06
2020,NUTS,2016,UKG13,3,4.14
2020,NUTS,2016,UKG31,3,2.08
2020,NUTS,2016,UKH12,3,0.52
2020,NUTS,2016,UKH17,3,4.54
2020,NUTS,2016,UKH23,3,3.14
2020,NUTS,2016,UKI31,3,3.33
2020,NUTS,2016,UKI32,3,3.57
2020,NUTS,2016,UKI33,3,5.01
2020,NUTS,2016,UKI42,3,0.89
2020,NUTS,2016,UKJ14,3,2.05
2020,NUTS,2016,UKJ32,3,1.25
2020,NUTS,2016,UKM71,3,7.35
2020,NUTS,2016,UKM75,3,1.53
2020,NUTS,2016,UKM77,3,11.16
2020,NUTS,2016,UKM82,3,1.59
2020,NUTS,2016,UKM92,3,129.17
2021,NUTS,2021,CH,0,0.58
2021,NUTS,2021,FR,0,0.85
2021,NUTS,2021,IT,0,0.82
2021,NUTS,2021,NO,0,1.67
2021,NUTS,2021,UK,0,2.69
2021,NUTS,2021,CH0,1,0.58
2021,NUTS,2021,FR1,1,1.57
2021,NUTS,2021,ITC,1,0.45
2021,NUTS,2021,ITG,1,3.15
2021,NUTS,2021,ITH,1,2.34
2021,NUTS,2021,NO0,1,1.67
2021,NUTS,2021,UKC,1,12.44
2021,NUTS,2021,UKD,1,1.79
2021,NUTS,2021,UKH,1,6.69
2021,NUTS,2021,UKI,1,4.04
2021,NUTS,2021,UKJ,1,1.62
2021,NUTS,2021,UKK,1,1.4
2021,NUTS,2021,UKM,1,0.85
2021,NUTS,2021,CH03,2,4.04
2021,NUTS,2021,FR10,2,1.57
2021,NUTS,2021,ITC4,2,0.61
2021,NUTS,2021,ITG2,2,7.42
2021,NUTS,2021,ITH3,2,2.0
2021,NUTS,2021,ITH4,2,11.9
2021,NUTS,2021,NO08,2,2.95
2021,NUTS,2021,UKC1,2,6.17
2021,NUTS,2021,UKC2,2,18.82
2021,NUTS,2021,UKD4,2,18.41
2021,NUTS,2021,UKH1,2,7.45
2021,NUTS,2021,UKH2,2,5.68
2021,NUTS,2021,UKI3,2,4.61
2021,NUTS,2021,UKI4,2,2.14
2021,NUTS,2021,UKJ1,2,2.55
2021,NUTS,2021,UKK1,2,1.94
