year,region_type,region_year_spec,region_id,region_level,biotech_fund_spec
2014,NUTS,2013,BE,0,1.13
2014,NUTS,2013,DE,0,0.74
2014,NUTS,2013,DK,0,0.6
2014,NUTS,2013,ES,0,0.19
2014,NUTS,2013,FR,0,1.29
2014,NUTS,2013,HU,0,0.75
2014,NUTS,2013,IE,0,0.99
2014,NUTS,2013,IT,0,0.28
2014,NUTS,2013,LU,0,1.05
2014,NUTS,2013,NL,0,0.76
2014,NUTS,2013,SE,0,0.08
2014,NUTS,2013,SI,0,0.7
2014,NUTS,2013,UK,0,1.29
2014,NUTS,2013,BE2,1,0.9
2014,NUTS,2013,BE3,1,1.39
2014,NUTS,2013,DE1,1,1.01
2014,NUTS,2013,DE2,1,0.04
2014,NUTS,2013,DE3,1,1.31
2014,NUTS,2013,DE6,1,1.41
2014,NUTS,2013,DE7,1,0.44
2014,NUTS,2013,DE9,1,1.26
2014,NUTS,2013,DEA,1,0.1
2014,NUTS,2013,DEC,1,1.41
2014,NUTS,2013,DED,1,1.29
2014,NUTS,2013,DK0,1,0.6
2014,NUTS,2013,ES4,1,1.23
2014,NUTS,2013,FR1,1,1.34
2014,NUTS,2013,FR5,1,0.27
2014,NUTS,2013,FR7,1,1.38
2014,NUTS,2013,FR8,1,0.16
2014,NUTS,2013,HU1,1,0.75
2014,NUTS,2013,IE0,1,0.99
2014,NUTS,2013,ITH,1,0.62
2014,NUTS,2013,ITI,1,0.23
2014,NUTS,2013,LU0,1,1.05
2014,NUTS,2013,NL3,1,0.93
2014,NUTS,2013,SE1,1,0.08
2014,NUTS,2013,SI0,1,0.7
2014,NUTS,2013,UKI,1,1.31
2014,NUTS,2013,BE21,2,0.74
2014,NUTS,2013,BE24,2,1.21
2014,NUTS,2013,BE31,2,1.41
2014,NUTS,2013,DE11,2,0.53
2014,NUTS,2013,DE12,2,1.27
2014,NUTS,2013,DE21,2,0.04
2014,NUTS,2013,DE30,2,1.31
2014,NUTS,2013,DE60,2,1.41
2014,NUTS,2013,DE72,2,1.41
2014,NUTS,2013,DE91,2,0.98
2014,NUTS,2013,DE92,2,1.29
2014,NUTS,2013,DE93,2,1.41
2014,NUTS,2013,DEA2,2,0.16
2014,NUTS,2013,DEC0,2,1.41
2014,NUTS,2013,DED2,2,1.39
2014,NUTS,2013,DK01,2,0.68
2014,NUTS,2013,ES42,2,1.41
2014,NUTS,2013,FR10,2,1.34
2014,NUTS,2013,FR51,2,0.32
2014,NUTS,2013,FR71,2,1.38
2014,NUTS,2013,FR82,2,0.17
2014,NUTS,2013,HU10,2,0.75
2014,NUTS,2013,IE02,2,0.99
2014,NUTS,2013,ITH5,2,0.75
2014,NUTS,2013,ITI4,2,0.25
2014,NUTS,2013,LU00,2,1.05
2014,NUTS,2013,NL31,2,1.25
2014,NUTS,2013,NL32,2,0.93
2014,NUTS,2013,NL33,2,0.89
2014,NUTS,2013,SE12,2,0.14
2014,NUTS,2013,SI04,2,0.7
2014,NUTS,2013,UKI3,2,1.31
2014,NUTS,2013,BE211,3,1.07
2014,NUTS,2013,BE242,3,1.21
2014,NUTS,2013,BE310,3,1.41
2014,NUTS,2013,DE111,3,0.53
2014,NUTS,2013,DE125,3,1.27
2014,NUTS,2013,DE21H,3,1.41
2014,NUTS,2013,DE300,3,1.31
2014,NUTS,2013,DE600,3,1.41
2014,NUTS,2013,DE724,3,1.41
2014,NUTS,2013,DE911,3,0.98
2014,NUTS,2013,DE929,3,1.29
2014,NUTS,2013,DE932,3,1.41
2014,NUTS,2013,DEA22,3,0.21
2014,NUTS,2013,DEA2D,3,1.41
2014,NUTS,2013,DEC05,3,1.41
2014,NUTS,2013,DED21,3,1.41
2014,NUTS,2013,DK011,3,0.91
2014,NUTS,2013,ES422,3,1.41
2014,NUTS,2013,FR101,3,1.34
2014,NUTS,2013,FR107,3,1.41
2014,NUTS,2013,FR512,3,0.88
2014,NUTS,2013,FR716,3,1.38
2014,NUTS,2013,FR824,3,1.1
2014,NUTS,2013,HU101,3,0.75
2014,NUTS,2013,IE021,3,0.99
2014,NUTS,2013,ITH55,3,0.75
2014,NUTS,2013,ITI43,3,0.25
2014,NUTS,2013,LU000,3,1.05
2014,NUTS,2013,NL310,3,1.25
2014,NUTS,2013,NL326,3,0.93
2014,NUTS,2013,NL333,3,1.41
2014,NUTS,2013,NL339,3,1.33
2014,NUTS,2013,SE121,3,1.41
2014,NUTS,2013,SI041,3,0.7
2014,NUTS,2013,UKI32,3,1.31
2015,NUTS,2013,AT,0,0.86
2015,NUTS,2013,BE,0,0.25
