year,region_type,region_year_spec,region_id,region_level,diagnosis_proj_count
2014,NUTS,2013,AT,0,1
2014,NUTS,2013,AT1,1,1
2014,NUTS,2013,AT13,2,1
2014,NUTS,2013,AT130,3,1
2014,NUTS,2013,BE,0,1
2014,NUTS,2013,BE2,1,1
2014,NUTS,2013,BE21,2,1
2014,NUTS,2013,BE213,3,1
2014,NUTS,2013,HU,0,1
2014,NUTS,2013,HU1,1,1
2014,NUTS,2013,HU10,2,1
2014,NUTS,2013,HU101,3,1
2014,NUTS,2013,IE,0,1
2014,NUTS,2013,IE0,1,1
2014,NUTS,2013,IE02,2,1
2014,NUTS,2013,IE021,3,1
2014,NUTS,2013,UK,0,2
2014,NUTS,2013,UKI,1,1
2014,NUTS,2013,UKI3,2,1
2014,NUTS,2013,UKI32,3,1
2014,NUTS,2013,UKN,1,1
2014,NUTS,2013,UKN0,2,1
2014,NUTS,2013,UKN01,3,1
2015,NUTS,2013,AT,0,8
2015,NUTS,2013,AT1,1,6
2015,NUTS,2013,AT13,2,6
2015,NUTS,2013,AT130,3,6
2015,NUTS,2013,AT2,1,2
2015,NUTS,2013,AT22,2,2
2015,NUTS,2013,AT221,3,2
2015,NUTS,2013,BE,0,14
2015,NUTS,2013,BE1,1,6
2015,NUTS,2013,BE10,2,6
2015,NUTS,2013,BE100,3,6
2015,NUTS,2013,BE2,1,6
2015,NUTS,2013,BE21,2,4
2015,NUTS,2013,BE211,3,2
2015,NUTS,2013,BE213,3,2
2015,NUTS,2013,BE24,2,2
2015,NUTS,2013,BE241,3,1
2015,NUTS,2013,BE242,3,1
2015,NUTS,2013,BE3,1,2
2015,NUTS,2013,BE31,2,2
2015,NUTS,2013,BE310,3,2
2015,NUTS,2013,DE,0,33
2015,NUTS,2013,DE1,1,5
2015,NUTS,2013,DE12,2,1
2015,NUTS,2013,DE125,3,1
2015,NUTS,2013,DE13,2,2
2015,NUTS,2013,DE131,3,1
2015,NUTS,2013,DE132,3,1
2015,NUTS,2013,DE14,2,2
2015,NUTS,2013,DE141,3,1
2015,NUTS,2013,DE144,3,1
2015,NUTS,2013,DE2,1,2
2015,NUTS,2013,DE21,2,2
2015,NUTS,2013,DE212,3,1
2015,NUTS,2013,DE21H,3,1
2015,NUTS,2013,DE3,1,5
2015,NUTS,2013,DE30,2,5
2015,NUTS,2013,DE300,3,5
2015,NUTS,2013,DE5,1,2
2015,NUTS,2013,DE50,2,2
2015,NUTS,2013,DE501,3,2
2015,NUTS,2013,DE6,1,3
2015,NUTS,2013,DE60,2,3
2015,NUTS,2013,DE600,3,3
2015,NUTS,2013,DE7,1,4
2015,NUTS,2013,DE71,2,4
2015,NUTS,2013,DE711,3,3
2015,NUTS,2013,DE715,3,1
2015,NUTS,2013,DEA,1,9
2015,NUTS,2013,DEA1,2,2
2015,NUTS,2013,DEA12,3,2
2015,NUTS,2013,DEA2,2,6
2015,NUTS,2013,DEA22,3,4
2015,NUTS,2013,DEA23,3,2
2015,NUTS,2013,DEA3,2,1
2015,NUTS,2013,DEA33,3,1
2015,NUTS,2013,DEB,1,1
2015,NUTS,2013,DEB3,2,1
2015,NUTS,2013,DEB3J,3,1
2015,NUTS,2013,DEG,1,2
2015,NUTS,2013,DEG0,2,2
2015,NUTS,2013,DEG03,3,2
2015,NUTS,2013,DK,0,18
2015,NUTS,2013,DK0,1,18
2015,NUTS,2013,DK01,2,12
2015,NUTS,2013,DK011,3,7
2015,NUTS,2013,DK012,3,4
2015,NUTS,2013,DK013,3,1
2015,NUTS,2013,DK03,2,2
2015,NUTS,2013,DK031,3,2
2015,NUTS,2013,DK04,2,2
2015,NUTS,2013,DK042,3,2
2015,NUTS,2013,DK05,2,2
2015,NUTS,2013,DK050,3,2
2015,NUTS,2013,EE,0,1
2015,NUTS,2013,EE0,1,1
2015,NUTS,2013,EE00,2,1
2015,NUTS,2013,EE008,3,1
2015,NUTS,2013,ES,0,8
2015,NUTS,2013,ES3,1,2
2015,NUTS,2013,ES30,2,2
2015,NUTS,2013,ES300,3,2
2015,NUTS,2013,ES5,1,6
2015,NUTS,2013,ES51,2,4
2015,NUTS,2013,ES511,3,3
2015,NUTS,2013,ES514,3,1
2015,NUTS,2013,ES52,2,2
2015,NUTS,2013,ES523,3,2
2015,NUTS,2013,FI,0,6
2015,NUTS,2013,FI1,1,6
2015,NUTS,2013,FI19,2,2
2015,NUTS,2013,FI195,3,1
2015,NUTS,2013,FI197,3,1
2015,NUTS,2013,FI1B,2,1
2015,NUTS,2013,FI1B1,3,1
2015,NUTS,2013,FI1C,2,1
2015,NUTS,2013,FI1C1,3,1
2015,NUTS,2013,FI1D,2,2
2015,NUTS,2013,FI1D2,3,2
2015,NUTS,2013,FR,0,15
2015,NUTS,2013,FR1,1,10
2015,NUTS,2013,FR10,2,10
2015,NUTS,2013,FR101,3,5
2015,NUTS,2013,FR104,3,1
2015,NUTS,2013,FR105,3,3
2015,NUTS,2013,FR107,3,1
2015,NUTS,2013,FR7,1,4
2015,NUTS,2013,FR71,2,2
2015,NUTS,2013,FR716,3,2
2015,NUTS,2013,FR72,2,2
2015,NUTS,2013,FR724,3,2
2015,NUTS,2013,FR8,1,1
2015,NUTS,2013,FR82,2,1
2015,NUTS,2013,FR824,3,1
2015,NUTS,2013,HR,0,1
2015,NUTS,2013,HR0,1,1
2015,NUTS,2013,HR04,2,1
2015,NUTS,2013,HR041,3,1
2015,NUTS,2013,HU,0,2
2015,NUTS,2013,HU1,1,2
2015,NUTS,2013,HU10,2,2
2015,NUTS,2013,HU101,3,2
2015,NUTS,2013,IE,0,4
2015,NUTS,2013,IE0,1,4
2015,NUTS,2013,IE01,2,2
2015,NUTS,2013,IE013,3,2
2015,NUTS,2013,IE02,2,2
2015,NUTS,2013,IE025,3,2
2015,NUTS,2013,IT,0,23
2015,NUTS,2013,ITC,1,5
2015,NUTS,2013,ITC1,2,2
2015,NUTS,2013,ITC11,3,2
2015,NUTS,2013,ITC4,2,3
2015,NUTS,2013,ITC4C,3,3
2015,NUTS,2013,ITF,1,1
2015,NUTS,2013,ITF1,2,1
2015,NUTS,2013,ITF14,3,1
2015,NUTS,2013,ITH,1,5
2015,NUTS,2013,ITH3,2,3
2015,NUTS,2013,ITH36,3,3
2015,NUTS,2013,ITH4,2,2
2015,NUTS,2013,ITH41,3,1
2015,NUTS,2013,ITH42,3,1
2015,NUTS,2013,ITI,1,12
2015,NUTS,2013,ITI1,2,2
2015,NUTS,2013,ITI19,3,2
2015,NUTS,2013,ITI3,2,2
2015,NUTS,2013,ITI32,3,2
2015,NUTS,2013,ITI4,2,8
2015,NUTS,2013,ITI43,3,8
2015,NUTS,2013,LU,0,1
2015,NUTS,2013,LU0,1,1
2015,NUTS,2013,LU00,2,1
2015,NUTS,2013,LU000,3,1
2015,NUTS,2013,LV,0,1
2015,NUTS,2013,LV0,1,1
2015,NUTS,2013,LV00,2,1
2015,NUTS,2013,LV006,3,1
2015,NUTS,2013,NL,0,28
2015,NUTS,2013,NL1,1,3
2015,NUTS,2013,NL11,2,3
2015,NUTS,2013,NL113,3,3
2015,NUTS,2013,NL2,1,5
2015,NUTS,2013,NL21,2,2
2015,NUTS,2013,NL213,3,2
2015,NUTS,2013,NL22,2,3
2015,NUTS,2013,NL221,3,3
2015,NUTS,2013,NL3,1,18
2015,NUTS,2013,NL31,2,5
2015,NUTS,2013,NL310,3,5
2015,NUTS,2013,NL32,2,5
2015,NUTS,2013,NL326,3,5
2015,NUTS,2013,NL33,2,8
2015,NUTS,2013,NL332,3,1
2015,NUTS,2013,NL333,3,1
2015,NUTS,2013,NL337,3,2
2015,NUTS,2013,NL339,3,3
2015,NUTS,2013,NL33A,3,1
2015,NUTS,2013,NL4,1,2
2015,NUTS,2013,NL41,2,1
2015,NUTS,2013,NL413,3,1
2015,NUTS,2013,NL42,2,1
2015,NUTS,2013,NL423,3,1
2015,NUTS,2013,PT,0,5
2015,NUTS,2013,PT1,1,5
2015,NUTS,2013,PT11,2,2
2015,NUTS,2013,PT112,3,1
2015,NUTS,2013,PT119,3,1
2015,NUTS,2013,PT16,2,1
2015,NUTS,2013,PT16E,3,1
2015,NUTS,2013,PT17,2,2
2015,NUTS,2013,PT170,3,2
2015,NUTS,2013,RO,0,2
2015,NUTS,2013,RO2,1,1
2015,NUTS,2013,RO21,2,1
2015,NUTS,2013,RO213,3,1
2015,NUTS,2013,RO3,1,1
2015,NUTS,2013,RO32,2,1
2015,NUTS,2013,RO322,3,1
2015,NUTS,2013,SE,0,11
2015,NUTS,2013,SE1,1,11
2015,NUTS,2013,SE11,2,6
