,year,region_type,region_year_spec,region_id,region_level,policy_fund_amount
0,2014,NUTS,2013,AT,0,2384559.78
1,2014,NUTS,2013,AT1,1,2384559.78
2,2014,NUTS,2013,AT12,2,160000.0
3,2014,NUTS,2013,AT123,3,160000.0
4,2014,NUTS,2013,AT13,2,2224559.78
5,2014,NUTS,2013,AT130,3,2224559.78
6,2014,NUTS,2013,BE,0,1727170.0
7,2014,NUTS,2013,BE1,1,1219680.0
8,2014,NUTS,2013,BE10,2,1219680.0
9,2014,NUTS,2013,BE100,3,1219680.0
10,2014,NUTS,2013,BE2,1,447677.5
11,2014,NUTS,2013,BE21,2,366677.5
12,2014,NUTS,2013,BE211,3,125125.0
13,2014,NUTS,2013,BE213,3,241552.5
14,2014,NUTS,2013,BE24,2,81000.0
15,2014,NUTS,2013,BE242,3,81000.0
16,2014,NUTS,2013,BE3,1,59812.5
17,2014,NUTS,2013,BE35,2,59812.5
18,2014,NUTS,2013,BE352,3,59812.5
19,2014,NUTS,2013,CZ,0,252218.23
20,2014,NUTS,2013,CZ0,1,252218.23
21,2014,NUTS,2013,CZ01,2,252218.23
22,2014,NUTS,2013,CZ010,3,252218.23
23,2014,NUTS,2013,DE,0,1032757.91
24,2014,NUTS,2013,DE1,1,173220.0
25,2014,NUTS,2013,DE12,2,173220.0
26,2014,NUTS,2013,DE125,3,173220.0
27,2014,NUTS,2013,DE2,1,111588.0
28,2014,NUTS,2013,DE21,2,111588.0
29,2014,NUTS,2013,DE212,3,111588.0
30,2014,NUTS,2013,DE3,1,75675.0
31,2014,NUTS,2013,DE30,2,75675.0
32,2014,NUTS,2013,DE300,3,75675.0
33,2014,NUTS,2013,DEA,1,672274.91
34,2014,NUTS,2013,DEA2,2,672274.91
35,2014,NUTS,2013,DEA23,3,530264.91
36,2014,NUTS,2013,DEA26,3,142010.0
37,2014,NUTS,2013,DK,0,297000.0
38,2014,NUTS,2013,DK0,1,297000.0
39,2014,NUTS,2013,DK01,2,297000.0
40,2014,NUTS,2013,DK011,3,297000.0
41,2014,NUTS,2013,EE,0,256062.5
42,2014,NUTS,2013,EE0,1,256062.5
43,2014,NUTS,2013,EE00,2,256062.5
44,2014,NUTS,2013,EE001,3,77500.0
45,2014,NUTS,2013,EE008,3,178562.5
46,2014,NUTS,2013,ES,0,2099412.48
47,2014,NUTS,2013,ES3,1,1726274.98
48,2014,NUTS,2013,ES30,2,1726274.98
49,2014,NUTS,2013,ES300,3,1726274.98
50,2014,NUTS,2013,ES5,1,320937.5
51,2014,NUTS,2013,ES51,2,320937.5
52,2014,NUTS,2013,ES511,3,212937.5
53,2014,NUTS,2013,ES512,3,108000.0
54,2014,NUTS,2013,ES6,1,52200.0
55,2014,NUTS,2013,ES61,2,52200.0
56,2014,NUTS,2013,ES611,3,12000.0
57,2014,NUTS,2013,ES614,3,22800.0
58,2014,NUTS,2013,ES617,3,6000.0
59,2014,NUTS,2013,ES618,3,11400.0
60,2014,NUTS,2013,FI,0,135000.0
61,2014,NUTS,2013,FI1,1,135000.0
62,2014,NUTS,2013,FI1D,2,135000.0
63,2014,NUTS,2013,FI1D6,3,135000.0
64,2014,NUTS,2013,FR,0,404760.0
65,2014,NUTS,2013,FR1,1,221760.0
66,2014,NUTS,2013,FR10,2,221760.0
67,2014,NUTS,2013,FR101,3,160675.0
68,2014,NUTS,2013,FR105,3,61085.0
69,2014,NUTS,2013,FR4,1,37000.0
70,2014,NUTS,2013,FR43,2,37000.0
71,2014,NUTS,2013,FR431,3,37000.0
72,2014,NUTS,2013,FR5,1,88000.0
73,2014,NUTS,2013,FR51,2,53000.0
74,2014,NUTS,2013,FR512,3,27000.0
75,2014,NUTS,2013,FR514,3,26000.0
76,2014,NUTS,2013,FR52,2,35000.0
77,2014,NUTS,2013,FR522,3,35000.0
78,2014,NUTS,2013,FR6,1,29000.0
79,2014,NUTS,2013,FR62,2,29000.0
80,2014,NUTS,2013,FR623,3,29000.0
81,2014,NUTS,2013,FR7,1,29000.0
82,2014,NUTS,2013,FR71,2,29000.0
83,2014,NUTS,2013,FR716,3,29000.0
84,2014,NUTS,2013,HR,0,135125.0
85,2014,NUTS,2013,HR0,1,135125.0
86,2014,NUTS,2013,HR04,2,135125.0
87,2014,NUTS,2013,HR042,3,135125.0
88,2014,NUTS,2013,HU,0,147825.0
89,2014,NUTS,2013,HU1,1,147825.0
90,2014,NUTS,2013,HU10,2,147825.0
91,2014,NUTS,2013,HU101,3,147825.0
92,2014,NUTS,2013,IT,0,3815277.72
93,2014,NUTS,2013,ITC,1,180500.0
94,2014,NUTS,2013,ITC1,2,180500.0
95,2014,NUTS,2013,ITC11,3,162500.0
96,2014,NUTS,2013,ITC12,3,18000.0
97,2014,NUTS,2013,ITH,1,122708.75
98,2014,NUTS,2013,ITH4,2,90208.75
99,2014,NUTS,2013,ITH44,3,90208.75
100,2014,NUTS,2013,ITH5,2,32500.0
101,2014,NUTS,2013,ITH55,3,32500.0
102,2014,NUTS,2013,ITI,1,3512068.97
103,2014,NUTS,2013,ITI1,2,26000.0
104,2014,NUTS,2013,ITI18,3,26000.0
105,2014,NUTS,2013,ITI3,2,342000.0
106,2014,NUTS,2013,ITI33,3,342000.0
107,2014,NUTS,2013,ITI4,2,3144068.97
108,2014,NUTS,2013,ITI43,3,3144068.97
109,2014,NUTS,2013,LU,0,104550.0
110,2014,NUTS,2013,LU0,1,104550.0
111,2014,NUTS,2013,LU00,2,104550.0
112,2014,NUTS,2013,LU000,3,104550.0
113,2014,NUTS,2013,LV,0,248900.0
114,2014,NUTS,2013,LV0,1,248900.0
115,2014,NUTS,2013,LV00,2,248900.0
116,2014,NUTS,2013,LV006,3,248900.0
117,2014,NUTS,2013,NL,0,1522839.33
118,2014,NUTS,2013,NL1,1,121218.75
119,2014,NUTS,2013,NL11,2,121218.75
120,2014,NUTS,2013,NL113,3,121218.75
121,2014,NUTS,2013,NL2,1,14981.25
122,2014,NUTS,2013,NL22,2,14981.25
123,2014,NUTS,2013,NL226,3,14981.25
124,2014,NUTS,2013,NL3,1,1359639.33
125,2014,NUTS,2013,NL31,2,99000.0
126,2014,NUTS,2013,NL310,3,99000.0
127,2014,NUTS,2013,NL32,2,129423.75
128,2014,NUTS,2013,NL326,3,129423.75
129,2014,NUTS,2013,NL33,2,1131215.58
130,2014,NUTS,2013,NL332,3,1131215.58
131,2014,NUTS,2013,NL4,1,27000.0
132,2014,NUTS,2013,NL41,2,27000.0
133,2014,NUTS,2013,NL413,3,27000.0
134,2014,NUTS,2013,PL,0,596937.5
135,2014,NUTS,2013,PL1,1,596937.5
136,2014,NUTS,2013,PL12,2,596937.5
137,2014,NUTS,2013,PL127,3,596937.5
138,2014,NUTS,2013,PT,0,899725.38
139,2014,NUTS,2013,PT1,1,899725.38
140,2014,NUTS,2013,PT17,2,899725.38
141,2014,NUTS,2013,PT170,3,899725.38
142,2014,NUTS,2013,RO,0,44625.0
143,2014,NUTS,2013,RO3,1,44625.0
144,2014,NUTS,2013,RO32,2,44625.0
145,2014,NUTS,2013,RO321,3,44625.0
146,2014,NUTS,2013,SE,0,795273.57
147,2014,NUTS,2013,SE1,1,795273.57
148,2014,NUTS,2013,SE11,2,340728.96
149,2014,NUTS,2013,SE110,3,340728.96
150,2014,NUTS,2013,SE12,2,454544.61
151,2014,NUTS,2013,SE122,3,454544.61
