year,region_type,region_year_spec,region_id,region_level,public_health_proj_count
2014,NUTS,2013,AT,0,2
2014,NUTS,2013,AT1,1,2
2014,NUTS,2013,AT13,2,2
2014,NUTS,2013,AT130,3,2
2014,NUTS,2013,BE,0,2
2014,NUTS,2013,BE1,1,2
2014,NUTS,2013,BE10,2,2
2014,NUTS,2013,BE100,3,2
2014,NUTS,2013,DE,0,4
2014,NUTS,2013,DE7,1,1
2014,NUTS,2013,DE71,2,1
2014,NUTS,2013,DE711,3,1
2014,NUTS,2013,DEA,1,3
2014,NUTS,2013,DEA2,2,3
2014,NUTS,2013,DEA22,3,2
2014,NUTS,2013,DEA23,3,1
2014,NUTS,2013,ES,0,2
2014,NUTS,2013,ES3,1,2
2014,NUTS,2013,ES30,2,2
2014,NUTS,2013,ES300,3,2
2014,NUTS,2013,FR,0,1
2014,NUTS,2013,FR1,1,1
2014,NUTS,2013,FR10,2,1
2014,NUTS,2013,FR101,3,1
2014,NUTS,2013,HU,0,2
2014,NUTS,2013,HU1,1,2
2014,NUTS,2013,HU10,2,2
2014,NUTS,2013,HU101,3,2
2014,NUTS,2013,IT,0,4
2014,NUTS,2013,ITF,1,1
2014,NUTS,2013,ITF3,2,1
2014,NUTS,2013,ITF33,3,1
2014,NUTS,2013,ITH,1,1
2014,NUTS,2013,ITH5,2,1
2014,NUTS,2013,ITH55,3,1
2014,NUTS,2013,ITI,1,2
2014,NUTS,2013,ITI4,2,2
2014,NUTS,2013,ITI43,3,2
2014,NUTS,2013,LV,0,1
2014,NUTS,2013,LV0,1,1
2014,NUTS,2013,LV00,2,1
2014,NUTS,2013,LV006,3,1
2014,NUTS,2013,NL,0,1
2014,NUTS,2013,NL3,1,1
2014,NUTS,2013,NL33,2,1
2014,NUTS,2013,NL332,3,1
2014,NUTS,2013,PT,0,1
2014,NUTS,2013,PT1,1,1
2014,NUTS,2013,PT17,2,1
2014,NUTS,2013,PT170,3,1
2014,NUTS,2013,UK,0,1
2014,NUTS,2013,UKI,1,1
2014,NUTS,2013,UKI3,2,1
2014,NUTS,2013,UKI32,3,1
2015,NUTS,2013,AT,0,12
2015,NUTS,2013,AT1,1,5
2015,NUTS,2013,AT12,2,2
2015,NUTS,2013,AT123,3,1
2015,NUTS,2013,AT127,3,1
2015,NUTS,2013,AT13,2,3
2015,NUTS,2013,AT130,3,3
2015,NUTS,2013,AT2,1,6
2015,NUTS,2013,AT22,2,6
2015,NUTS,2013,AT221,3,6
2015,NUTS,2013,AT3,1,1
2015,NUTS,2013,AT33,2,1
2015,NUTS,2013,AT332,3,1
2015,NUTS,2013,BE,0,22
2015,NUTS,2013,BE1,1,10
2015,NUTS,2013,BE10,2,10
2015,NUTS,2013,BE100,3,10
2015,NUTS,2013,BE2,1,12
2015,NUTS,2013,BE21,2,1
2015,NUTS,2013,BE213,3,1
2015,NUTS,2013,BE23,2,5
2015,NUTS,2013,BE234,3,4
2015,NUTS,2013,BE235,3,1
2015,NUTS,2013,BE24,2,6
2015,NUTS,2013,BE241,3,2
2015,NUTS,2013,BE242,3,4
2015,NUTS,2013,CZ,0,1
2015,NUTS,2013,CZ0,1,1
2015,NUTS,2013,CZ06,2,1
2015,NUTS,2013,CZ064,3,1
2015,NUTS,2013,DE,0,67
2015,NUTS,2013,DE1,1,18
2015,NUTS,2013,DE12,2,13
2015,NUTS,2013,DE122,3,2
2015,NUTS,2013,DE123,3,1
2015,NUTS,2013,DE125,3,10
2015,NUTS,2013,DE13,2,4
2015,NUTS,2013,DE131,3,4
2015,NUTS,2013,DE14,2,1
2015,NUTS,2013,DE146,3,1
2015,NUTS,2013,DE2,1,9
2015,NUTS,2013,DE21,2,6
2015,NUTS,2013,DE212,3,3
2015,NUTS,2013,DE21E,3,1
2015,NUTS,2013,DE21H,3,1
2015,NUTS,2013,DE21L,3,1
2015,NUTS,2013,DE25,2,3
2015,NUTS,2013,DE252,3,3
2015,NUTS,2013,DE3,1,9
2015,NUTS,2013,DE30,2,9
2015,NUTS,2013,DE300,3,9
2015,NUTS,2013,DE4,1,4
2015,NUTS,2013,DE40,2,4
2015,NUTS,2013,DE403,3,1
2015,NUTS,2013,DE404,3,2
2015,NUTS,2013,DE40A,3,1
2015,NUTS,2013,DE5,1,3
2015,NUTS,2013,DE50,2,3
2015,NUTS,2013,DE501,3,3
2015,NUTS,2013,DE7,1,4
2015,NUTS,2013,DE71,2,4
2015,NUTS,2013,DE711,3,1
2015,NUTS,2013,DE712,3,3
2015,NUTS,2013,DE8,1,2
2015,NUTS,2013,DE80,2,2
2015,NUTS,2013,DE803,3,2
2015,NUTS,2013,DE9,1,5
2015,NUTS,2013,DE91,2,2
2015,NUTS,2013,DE915,3,1
2015,NUTS,2013,DE91B,3,1
2015,NUTS,2013,DE92,2,2
2015,NUTS,2013,DE929,3,2
2015,NUTS,2013,DE94,2,1
2015,NUTS,2013,DE943,3,1
2015,NUTS,2013,DEA,1,6
2015,NUTS,2013,DEA1,2,2
2015,NUTS,2013,DEA12,3,1
2015,NUTS,2013,DEA14,3,1
2015,NUTS,2013,DEA2,2,2
2015,NUTS,2013,DEA22,3,2
2015,NUTS,2013,DEA3,2,1
2015,NUTS,2013,DEA33,3,1
2015,NUTS,2013,DEA4,2,1
2015,NUTS,2013,DEA41,3,1
2015,NUTS,2013,DEB,1,1
2015,NUTS,2013,DEB3,2,1
2015,NUTS,2013,DEB3J,3,1
2015,NUTS,2013,DED,1,3
2015,NUTS,2013,DED2,2,1
2015,NUTS,2013,DED21,3,1
2015,NUTS,2013,DED5,2,2
2015,NUTS,2013,DED51,3,2
2015,NUTS,2013,DEE,1,1
2015,NUTS,2013,DEE0,2,1
2015,NUTS,2013,DEE02,3,1
2015,NUTS,2013,DEG,1,2
2015,NUTS,2013,DEG0,2,2
2015,NUTS,2013,DEG03,3,2
2015,NUTS,2013,DK,0,8
2015,NUTS,2013,DK0,1,8
2015,NUTS,2013,DK01,2,5
2015,NUTS,2013,DK011,3,4
2015,NUTS,2013,DK013,3,1
2015,NUTS,2013,DK03,2,1
2015,NUTS,2013,DK031,3,1
2015,NUTS,2013,DK04,2,1
2015,NUTS,2013,DK042,3,1
2015,NUTS,2013,DK05,2,1
2015,NUTS,2013,DK050,3,1
2015,NUTS,2013,EE,0,3
2015,NUTS,2013,EE0,1,3
2015,NUTS,2013,EE00,2,3
2015,NUTS,2013,EE008,3,3
2015,NUTS,2013,ES,0,20
2015,NUTS,2013,ES2,1,2
2015,NUTS,2013,ES21,2,1
2015,NUTS,2013,ES213,3,1
2015,NUTS,2013,ES24,2,1
2015,NUTS,2013,ES243,3,1
2015,NUTS,2013,ES3,1,5
2015,NUTS,2013,ES30,2,5
2015,NUTS,2013,ES300,3,5
2015,NUTS,2013,ES5,1,12
2015,NUTS,2013,ES51,2,11
2015,NUTS,2013,ES511,3,11
2015,NUTS,2013,ES52,2,1
2015,NUTS,2013,ES523,3,1
2015,NUTS,2013,ES6,1,1
2015,NUTS,2013,ES61,2,1
2015,NUTS,2013,ES618,3,1
2015,NUTS,2013,FI,0,10
2015,NUTS,2013,FI1,1,10
2015,NUTS,2013,FI19,2,3
2015,NUTS,2013,FI197,3,3
2015,NUTS,2013,FI1B,2,6
2015,NUTS,2013,FI1B1,3,6
2015,NUTS,2013,FI1C,2,1
2015,NUTS,2013,FI1C1,3,1
2015,NUTS,2013,FR,0,20
2015,NUTS,2013,FR1,1,16
2015,NUTS,2013,FR10,2,16
2015,NUTS,2013,FR101,3,13
2015,NUTS,2013,FR105,3,3
2015,NUTS,2013,FR3,1,2
2015,NUTS,2013,FR30,2,2
2015,NUTS,2013,FR301,3,2
2015,NUTS,2013,FR4,1,2
2015,NUTS,2013,FR42,2,2
2015,NUTS,2013,FR421,3,2
2015,NUTS,2013,HR,0,1
2015,NUTS,2013,HR0,1,1
2015,NUTS,2013,HR04,2,1
2015,NUTS,2013,HR041,3,1
2015,NUTS,2013,HU,0,2
2015,NUTS,2013,HU1,1,1
2015,NUTS,2013,HU10,2,1
2015,NUTS,2013,HU101,3,1
2015,NUTS,2013,HU3,1,1
2015,NUTS,2013,HU32,2,1
