year,region_type,region_year_spec,region_id,region_level,systems_proj_count
2014,NUTS,2013,AT,0,1
2014,NUTS,2013,AT1,1,1
2014,NUTS,2013,AT13,2,1
2014,NUTS,2013,AT130,3,1
2014,NUTS,2013,BE,0,7
2014,NUTS,2013,BE1,1,6
2014,NUTS,2013,BE10,2,6
2014,NUTS,2013,BE100,3,6
2014,NUTS,2013,BE3,1,1
2014,NUTS,2013,BE33,2,1
2014,NUTS,2013,BE332,3,1
2014,NUTS,2013,CZ,0,1
2014,NUTS,2013,CZ0,1,1
2014,NUTS,2013,CZ01,2,1
2014,NUTS,2013,CZ010,3,1
2014,NUTS,2013,DE,0,14
2014,NUTS,2013,DE1,1,4
2014,NUTS,2013,DE11,2,3
2014,NUTS,2013,DE111,3,3
2014,NUTS,2013,DE12,2,1
2014,NUTS,2013,DE125,3,1
2014,NUTS,2013,DE3,1,1
2014,NUTS,2013,DE30,2,1
2014,NUTS,2013,DE300,3,1
2014,NUTS,2013,DE4,1,1
2014,NUTS,2013,DE40,2,1
2014,NUTS,2013,DE404,3,1
2014,NUTS,2013,DE9,1,4
2014,NUTS,2013,DE91,2,1
2014,NUTS,2013,DE911,3,1
2014,NUTS,2013,DE92,2,2
2014,NUTS,2013,DE929,3,2
2014,NUTS,2013,DE94,2,1
2014,NUTS,2013,DE944,3,1
2014,NUTS,2013,DEA,1,1
2014,NUTS,2013,DEA2,2,1
2014,NUTS,2013,DEA23,3,1
2014,NUTS,2013,DED,1,3
2014,NUTS,2013,DED2,2,1
2014,NUTS,2013,DED2E,3,1
2014,NUTS,2013,DED4,2,1
2014,NUTS,2013,DED41,3,1
2014,NUTS,2013,DED5,2,1
2014,NUTS,2013,DED51,3,1
2014,NUTS,2013,DK,0,1
2014,NUTS,2013,DK0,1,1
2014,NUTS,2013,DK01,2,1
2014,NUTS,2013,DK011,3,1
2014,NUTS,2013,EE,0,1
2014,NUTS,2013,EE0,1,1
2014,NUTS,2013,EE00,2,1
2014,NUTS,2013,EE008,3,1
2014,NUTS,2013,ES,0,12
2014,NUTS,2013,ES1,1,2
2014,NUTS,2013,ES12,2,1
2014,NUTS,2013,ES120,3,1
2014,NUTS,2013,ES13,2,1
2014,NUTS,2013,ES130,3,1
2014,NUTS,2013,ES2,1,1
2014,NUTS,2013,ES24,2,1
2014,NUTS,2013,ES243,3,1
2014,NUTS,2013,ES4,1,4
2014,NUTS,2013,ES41,2,3
2014,NUTS,2013,ES412,3,1
2014,NUTS,2013,ES418,3,2
2014,NUTS,2013,ES43,2,1
2014,NUTS,2013,ES431,3,1
2014,NUTS,2013,ES5,1,3
2014,NUTS,2013,ES51,2,3
2014,NUTS,2013,ES511,3,2
2014,NUTS,2013,ES512,3,1
2014,NUTS,2013,ES7,1,2
2014,NUTS,2013,ES70,2,2
2014,NUTS,2013,ES705,3,2
2014,NUTS,2013,FR,0,4
2014,NUTS,2013,FR1,1,1
2014,NUTS,2013,FR10,2,1
2014,NUTS,2013,FR101,3,1
2014,NUTS,2013,FR5,1,1
2014,NUTS,2013,FR51,2,1
2014,NUTS,2013,FR515,3,1
2014,NUTS,2013,FR8,1,2
2014,NUTS,2013,FR81,2,1
2014,NUTS,2013,FR813,3,1
2014,NUTS,2013,FR82,2,1
2014,NUTS,2013,FR824,3,1
2014,NUTS,2013,HR,0,3
2014,NUTS,2013,HR0,1,3
2014,NUTS,2013,HR03,2,1
2014,NUTS,2013,HR035,3,1
2014,NUTS,2013,HR04,2,2
2014,NUTS,2013,HR041,3,1
2014,NUTS,2013,HR042,3,1
2014,NUTS,2013,IE,0,1
2014,NUTS,2013,IE0,1,1
2014,NUTS,2013,IE02,2,1
2014,NUTS,2013,IE021,3,1
2014,NUTS,2013,IT,0,8
2014,NUTS,2013,ITH,1,3
2014,NUTS,2013,ITH1,2,3
2014,NUTS,2013,ITH10,3,3
2014,NUTS,2013,ITI,1,5
2014,NUTS,2013,ITI2,2,2
2014,NUTS,2013,ITI21,3,2
2014,NUTS,2013,ITI4,2,3
2014,NUTS,2013,ITI43,3,3
2014,NUTS,2013,LT,0,1
2014,NUTS,2013,LT0,1,1
2014,NUTS,2013,LT00,2,1
2014,NUTS,2013,LT00A,3,1
2014,NUTS,2013,LU,0,1
2014,NUTS,2013,LU0,1,1
2014,NUTS,2013,LU00,2,1
2014,NUTS,2013,LU000,3,1
2014,NUTS,2013,NL,0,4
2014,NUTS,2013,NL3,1,3
2014,NUTS,2013,NL32,2,1
2014,NUTS,2013,NL326,3,1
2014,NUTS,2013,NL33,2,2
2014,NUTS,2013,NL337,3,1
2014,NUTS,2013,NL339,3,1
2014,NUTS,2013,NL4,1,1
2014,NUTS,2013,NL41,2,1
2014,NUTS,2013,NL412,3,1
2014,NUTS,2013,PL,0,11
2014,NUTS,2013,PL1,1,1
2014,NUTS,2013,PL12,2,1
2014,NUTS,2013,PL127,3,1
2014,NUTS,2013,PL2,1,6
2014,NUTS,2013,PL21,2,6
2014,NUTS,2013,PL213,3,6
2014,NUTS,2013,PL4,1,4
2014,NUTS,2013,PL41,2,3
2014,NUTS,2013,PL415,3,3
2014,NUTS,2013,PL42,2,1
2014,NUTS,2013,PL424,3,1
2014,NUTS,2013,PT,0,2
2014,NUTS,2013,PT1,1,2
2014,NUTS,2013,PT16,2,1
2014,NUTS,2013,PT16D,3,1
2014,NUTS,2013,PT17,2,1
2014,NUTS,2013,PT170,3,1
2014,NUTS,2013,RO,0,8
2014,NUTS,2013,RO1,1,2
2014,NUTS,2013,RO11,2,1
2014,NUTS,2013,RO113,3,1
2014,NUTS,2013,RO12,2,1
2014,NUTS,2013,RO126,3,1
2014,NUTS,2013,RO2,1,1
2014,NUTS,2013,RO21,2,1
2014,NUTS,2013,RO213,3,1
2014,NUTS,2013,RO3,1,4
2014,NUTS,2013,RO32,2,4
2014,NUTS,2013,RO321,3,1
2014,NUTS,2013,RO322,3,3
2014,NUTS,2013,RO4,1,1
2014,NUTS,2013,RO42,2,1
2014,NUTS,2013,RO424,3,1
2014,NUTS,2013,SE,0,1
2014,NUTS,2013,SE1,1,1
2014,NUTS,2013,SE11,2,1
2014,NUTS,2013,SE110,3,1
2014,NUTS,2013,UK,0,5
2014,NUTS,2013,UKI,1,1
2014,NUTS,2013,UKI5,2,1
2014,NUTS,2013,UKI53,3,1
2014,NUTS,2013,UKL,1,1
2014,NUTS,2013,UKL1,2,1
2014,NUTS,2013,UKL18,3,1
2014,NUTS,2013,UKM,1,3
2014,NUTS,2013,UKM2,2,1
2014,NUTS,2013,UKM25,3,1
2014,NUTS,2013,UKM3,2,2
2014,NUTS,2013,UKM34,3,2
2015,NUTS,2013,AT,0,32
2015,NUTS,2013,AT1,1,23
2015,NUTS,2013,AT12,2,1
2015,NUTS,2013,AT126,3,1
2015,NUTS,2013,AT13,2,22
2015,NUTS,2013,AT130,3,22
2015,NUTS,2013,AT2,1,6
2015,NUTS,2013,AT22,2,6
2015,NUTS,2013,AT221,3,6
2015,NUTS,2013,AT3,1,3
2015,NUTS,2013,AT31,2,3
2015,NUTS,2013,AT312,3,2
2015,NUTS,2013,AT315,3,1
2015,NUTS,2013,BE,0,62
2015,NUTS,2013,BE1,1,36
2015,NUTS,2013,BE10,2,36
2015,NUTS,2013,BE100,3,36
2015,NUTS,2013,BE2,1,12
2015,NUTS,2013,BE23,2,3
2015,NUTS,2013,BE233,3,1
2015,NUTS,2013,BE234,3,1
2015,NUTS,2013,BE235,3,1
2015,NUTS,2013,BE24,2,6
2015,NUTS,2013,BE242,3,6
2015,NUTS,2013,BE25,2,3
2015,NUTS,2013,BE255,3,3
2015,NUTS,2013,BE3,1,14
2015,NUTS,2013,BE31,2,2
2015,NUTS,2013,BE310,3,2
2015,NUTS,2013,BE32,2,3
2015,NUTS,2013,BE322,3,1
2015,NUTS,2013,BE323,3,2
2015,NUTS,2013,BE33,2,4
2015,NUTS,2013,BE332,3,4
2015,NUTS,2013,BE34,2,2
2015,NUTS,2013,BE341,3,1
2015,NUTS,2013,BE344,3,1
2015,NUTS,2013,BE35,2,3
2015,NUTS,2013,BE352,3,3
2015,NUTS,2013,CY,0,2
2015,NUTS,2013,CY0,1,2
2015,NUTS,2013,CY00,2,2
2015,NUTS,2013,CY000,3,2
2015,NUTS,2013,CZ,0,10
2015,NUTS,2013,CZ0,1,10
2015,NUTS,2013,CZ01,2,6
2015,NUTS,2013,CZ010,3,6
2015,NUTS,2013,CZ06,2,3
2015,NUTS,2013,CZ064,3,3
2015,NUTS,2013,CZ08,2,1
2015,NUTS,2013,CZ080,3,1
2015,NUTS,2013,DE,0,159
