year,region_type,region_year_spec,region_id,region_level,hrst_st_rcat_ths_se
2011,NUTS,2010,AT,0,207.1
2012,NUTS,2010,AT,0,225.5
2013,NUTS,2010,AT,0,247.6
2014,NUTS,2010,AT,0,241.8
2015,NUTS,2010,AT,0,261.5
2016,NUTS,2010,AT,0,271.6
2017,NUTS,2010,AT,0,282.7
2018,NUTS,2010,AT,0,402.4
2019,NUTS,2010,AT,0,400.2
2020,NUTS,2010,AT,0,406.1
2011,NUTS,2010,AT1,1,101.2
2012,NUTS,2010,AT1,1,110.8
2013,NUTS,2010,AT1,1,122.8
2014,NUTS,2010,AT1,1,118.4
2015,NUTS,2010,AT1,1,128.1
2016,NUTS,2010,AT1,1,136.1
2017,NUTS,2010,AT1,1,142.0
2018,NUTS,2010,AT1,1,184.1
2019,NUTS,2010,AT1,1,181.7
2020,NUTS,2010,AT1,1,184.5
2011,NUTS,2010,AT11,2,5.2
2012,NUTS,2010,AT11,2,6.0
2013,NUTS,2010,AT11,2,6.5
2014,NUTS,2010,AT11,2,6.0
2015,NUTS,2010,AT11,2,6.4
2016,NUTS,2010,AT11,2,6.1
2017,NUTS,2010,AT11,2,5.6
2018,NUTS,2010,AT11,2,9.5
2019,NUTS,2010,AT11,2,9.7
2020,NUTS,2010,AT11,2,10.8
2011,NUTS,2010,AT12,2,35.4
2012,NUTS,2010,AT12,2,40.6
2013,NUTS,2010,AT12,2,40.3
2014,NUTS,2010,AT12,2,44.0
2015,NUTS,2010,AT12,2,48.0
2016,NUTS,2010,AT12,2,44.8
2017,NUTS,2010,AT12,2,51.9
2018,NUTS,2010,AT12,2,68.9
2019,NUTS,2010,AT12,2,67.3
2020,NUTS,2010,AT12,2,71.2
2011,NUTS,2010,AT13,2,60.6
2012,NUTS,2010,AT13,2,64.2
2013,NUTS,2010,AT13,2,76.0
2014,NUTS,2010,AT13,2,68.4
2015,NUTS,2010,AT13,2,73.7
2016,NUTS,2010,AT13,2,85.3
2017,NUTS,2010,AT13,2,84.5
2018,NUTS,2010,AT13,2,105.8
2019,NUTS,2010,AT13,2,104.7
2020,NUTS,2010,AT13,2,102.5
2011,NUTS,2010,AT2,1,39.5
2012,NUTS,2010,AT2,1,42.7
2013,NUTS,2010,AT2,1,45.9
2014,NUTS,2010,AT2,1,44.7
2015,NUTS,2010,AT2,1,47.2
2016,NUTS,2010,AT2,1,50.9
2017,NUTS,2010,AT2,1,53.2
2018,NUTS,2010,AT2,1,84.3
2019,NUTS,2010,AT2,1,78.0
2020,NUTS,2010,AT2,1,83.6
2011,NUTS,2010,AT21,2,10.1
2012,NUTS,2010,AT21,2,12.1
2013,NUTS,2010,AT21,2,12.0
2014,NUTS,2010,AT21,2,12.5
2015,NUTS,2010,AT21,2,11.6
2016,NUTS,2010,AT21,2,12.9
2017,NUTS,2010,AT21,2,15.0
2018,NUTS,2010,AT21,2,23.2
2019,NUTS,2010,AT21,2,21.0
