year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_avi_nr
2011,NUTS,2010,AT,0,9.5
2012,NUTS,2010,AT,0,6.0
2011,NUTS,2010,AT1,1,1.5
2012,NUTS,2010,AT1,1,2.0
2012,NUTS,2010,AT11,2,1.25
2012,NUTS,2010,AT112,3,0.5
2012,NUTS,2010,AT113,3,0.75
2011,NUTS,2010,AT12,2,0.5
2012,NUTS,2010,AT12,2,0.25
2012,NUTS,2010,AT122,3,0.25
2011,NUTS,2010,AT127,3,0.5
2011,NUTS,2010,AT13,2,1.0
2012,NUTS,2010,AT13,2,0.5
2011,NUTS,2010,AT130,3,1.0
2012,NUTS,2010,AT130,3,0.5
2012,NUTS,2010,AT2,1,2.0
2012,NUTS,2010,AT21,2,1.0
2012,NUTS,2010,AT212,3,1.0
2012,NUTS,2010,AT22,2,1.0
2012,NUTS,2010,AT221,3,1.0
2011,NUTS,2010,AT3,1,8.0
2012,NUTS,2010,AT3,1,2.0
2011,NUTS,2010,AT31,2,1.0
2012,NUTS,2010,AT31,2,2.0
2011,NUTS,2010,AT312,3,1.0
2012,NUTS,2010,AT315,3,2.0
2011,NUTS,2010,AT32,2,1.0
2011,NUTS,2010,AT323,3,1.0
2011,NUTS,2010,AT34,2,6.0
2011,NUTS,2010,AT342,3,6.0
2011,NUTS,2010,BE,0,0.9
2012,NUTS,2010,BE,0,1.0
2011,NUTS,2010,BE2,1,0.5
2011,NUTS,2010,BE21,2,0.5
2011,NUTS,2010,BE211,3,0.5
2011,NUTS,2010,BE3,1,0.4
2012,NUTS,2010,BE3,1,1.0
2012,NUTS,2010,BE31,2,0.5
2012,NUTS,2010,BE310,3,0.5
2011,NUTS,2010,BE32,2,0.2
2012,NUTS,2010,BE32,2,0.5
2012,NUTS,2010,BE321,3,0.5
2011,NUTS,2010,BE323,3,0.2
2011,NUTS,2010,BE33,2,0.2
2011,NUTS,2010,BE331,3,0.2
2012,NUTS,2010,BG,0,0.5
2012,NUTS,2010,BG3,1,0.25
2012,NUTS,2010,BG33,2,0.25
2012,NUTS,2010,BG332,3,0.25
2012,NUTS,2010,BG4,1,0.25
2012,NUTS,2010,BG42,2,0.25
2012,NUTS,2010,BG421,3,0.25
2011,NUTS,2010,CH,0,3.0
2012,NUTS,2010,CH,0,1.75
2011,NUTS,2010,CH0,1,3.0
2012,NUTS,2010,CH0,1,1.75
2012,NUTS,2010,CH01,2,0.85
2012,NUTS,2010,CH011,3,0.8
2012,NUTS,2010,CH012,3,0.05
2012,NUTS,2010,CH02,2,0.11
2012,NUTS,2010,CH022,3,0.05
2012,NUTS,2010,CH023,3,0.05
2012,NUTS,2010,CH03,2,0.37
2012,NUTS,2010,CH031,3,0.05
2012,NUTS,2010,CH032,3,0.26
2012,NUTS,2010,CH033,3,0.05
2011,NUTS,2010,CH04,2,2.0
2012,NUTS,2010,CH04,2,0.26
2011,NUTS,2010,CH040,3,2.0
2012,NUTS,2010,CH040,3,0.26
2011,NUTS,2010,CH05,2,1.0
2012,NUTS,2010,CH05,2,0.05
2011,NUTS,2010,CH055,3,1.0
2012,NUTS,2010,CH055,3,0.05
2012,NUTS,2010,CH06,2,0.11
2012,NUTS,2010,CH061,3,0.05
2012,NUTS,2010,CH063,3,0.05
2012,NUTS,2010,CZ,0,2.0
2012,NUTS,2010,CZ0,1,2.0
2012,NUTS,2010,CZ01,2,1.0
2012,NUTS,2010,CZ010,3,1.0
2012,NUTS,2010,CZ06,2,1.0
2012,NUTS,2010,CZ064,3,1.0
2011,NUTS,2010,DE,0,201.21
2012,NUTS,2010,DE,0,200.42
2011,NUTS,2010,DE1,1,26.46
2012,NUTS,2010,DE1,1,14.25
2011,NUTS,2010,DE11,2,13.22
2012,NUTS,2010,DE11,2,6.33
2011,NUTS,2010,DE111,3,0.53
2011,NUTS,2010,DE112,3,2.5
2012,NUTS,2010,DE113,3,0.58
2011,NUTS,2010,DE115,3,2.02
2012,NUTS,2010,DE115,3,0.25
2011,NUTS,2010,DE116,3,0.75
2012,NUTS,2010,DE116,3,0.5
2011,NUTS,2010,DE118,3,0.5
2012,NUTS,2010,DE118,3,0.17
2012,NUTS,2010,DE119,3,1.17
2011,NUTS,2010,DE11A,3,5.42
2012,NUTS,2010,DE11A,3,3.47
2011,NUTS,2010,DE11B,3,1.0
2011,NUTS,2010,DE11C,3,0.5
2012,NUTS,2010,DE11D,3,0.2
2011,NUTS,2010,DE12,2,0.2
2012,NUTS,2010,DE12,2,1.17
2012,NUTS,2010,DE122,3,0.83
2012,NUTS,2010,DE123,3,0.33
2011,NUTS,2010,DE12B,3,0.2
2011,NUTS,2010,DE13,2,3.0
2012,NUTS,2010,DE13,2,1.33
2011,NUTS,2010,DE131,3,0.17
2012,NUTS,2010,DE132,3,0.33
2011,NUTS,2010,DE133,3,0.17
2011,NUTS,2010,DE134,3,2.17
2012,NUTS,2010,DE134,3,0.5
2011,NUTS,2010,DE138,3,0.5
2012,NUTS,2010,DE138,3,0.5
2011,NUTS,2010,DE14,2,10.04
2012,NUTS,2010,DE14,2,5.42
2011,NUTS,2010,DE141,3,0.25
2011,NUTS,2010,DE143,3,1.0
2011,NUTS,2010,DE145,3,1.83
2011,NUTS,2010,DE146,3,0.33
2011,NUTS,2010,DE147,3,6.29
2012,NUTS,2010,DE147,3,4.42
2011,NUTS,2010,DE148,3,0.33
2012,NUTS,2010,DE148,3,1.0
2011,NUTS,2010,DE2,1,55.04
2012,NUTS,2010,DE2,1,41.33
2011,NUTS,2010,DE21,2,43.69
2012,NUTS,2010,DE21,2,30.67
2012,NUTS,2010,DE211,3,0.14
2011,NUTS,2010,DE212,3,7.73
2012,NUTS,2010,DE212,3,13.42
2011,NUTS,2010,DE216,3,0.83
2011,NUTS,2010,DE218,3,1.82
2012,NUTS,2010,DE218,3,1.0
2011,NUTS,2010,DE21A,3,1.62
2012,NUTS,2010,DE21A,3,0.5
