year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_gdp_beur_avi
2011,NUTS,2010,AT,0,0.031
2012,NUTS,2010,AT,0,0.019
2011,NUTS,2010,AT1,1,0.011
2012,NUTS,2010,AT1,1,0.014
2012,NUTS,2010,AT11,2,0.171
2012,NUTS,2010,AT112,3,0.117
2012,NUTS,2010,AT113,3,0.333
2011,NUTS,2010,AT12,2,0.01
2012,NUTS,2010,AT12,2,0.005
2012,NUTS,2010,AT122,3,0.036
2011,NUTS,2010,AT127,3,0.037
2011,NUTS,2010,AT13,2,0.012
2012,NUTS,2010,AT13,2,0.006
2011,NUTS,2010,AT130,3,0.012
2012,NUTS,2010,AT130,3,0.006
2012,NUTS,2010,AT2,1,0.034
2012,NUTS,2010,AT21,2,0.057
2012,NUTS,2010,AT212,3,0.317
2012,NUTS,2010,AT22,2,0.024
2012,NUTS,2010,AT221,3,0.055
2011,NUTS,2010,AT3,1,0.069
2012,NUTS,2010,AT3,1,0.017
2011,NUTS,2010,AT31,2,0.019
2012,NUTS,2010,AT31,2,0.037
2011,NUTS,2010,AT312,3,0.038
2012,NUTS,2010,AT315,3,0.259
2011,NUTS,2010,AT32,2,0.044
2011,NUTS,2010,AT323,3,0.061
2011,NUTS,2010,AT34,2,0.423
2011,NUTS,2010,AT342,3,0.574
2011,NUTS,2010,BE,0,0.002
2012,NUTS,2010,BE,0,0.003
2011,NUTS,2010,BE2,1,0.002
2011,NUTS,2010,BE21,2,0.007
2011,NUTS,2010,BE211,3,0.012
2011,NUTS,2010,BE3,1,0.004
2012,NUTS,2010,BE3,1,0.011
2012,NUTS,2010,BE31,2,0.035
2012,NUTS,2010,BE310,3,0.035
2011,NUTS,2010,BE32,2,0.007
2012,NUTS,2010,BE32,2,0.017
2012,NUTS,2010,BE321,3,0.301
2011,NUTS,2010,BE323,3,0.036
2011,NUTS,2010,BE33,2,0.007
2011,NUTS,2010,BE331,3,0.074
2012,NUTS,2010,BG,0,0.012
2012,NUTS,2010,BG3,1,0.016
2012,NUTS,2010,BG33,2,0.055
2012,NUTS,2010,BG332,3,0.351
2012,NUTS,2010,BG4,1,0.01
2012,NUTS,2010,BG42,2,0.042
2012,NUTS,2010,BG421,3,0.079
2012,NUTS,2010,CZ,0,0.012
2012,NUTS,2010,CZ0,1,0.012
2012,NUTS,2010,CZ01,2,0.025
2012,NUTS,2010,CZ010,3,0.025
2012,NUTS,2010,CZ06,2,0.042
2012,NUTS,2010,CZ064,3,0.058
2011,NUTS,2010,DE,0,0.074
2012,NUTS,2010,DE,0,0.073
2011,NUTS,2010,DE1,1,0.065
2012,NUTS,2010,DE1,1,0.034
2011,NUTS,2010,DE11,2,0.079
2012,NUTS,2010,DE11,2,0.037
2011,NUTS,2010,DE111,3,0.012
2011,NUTS,2010,DE112,3,0.129
2012,NUTS,2010,DE113,3,0.031
2011,NUTS,2010,DE115,3,0.106
2012,NUTS,2010,DE115,3,0.013
2011,NUTS,2010,DE116,3,0.061
2012,NUTS,2010,DE116,3,0.041
2011,NUTS,2010,DE118,3,0.038
2012,NUTS,2010,DE118,3,0.012
2012,NUTS,2010,DE119,3,0.261
2011,NUTS,2010,DE11A,3,0.848
2012,NUTS,2010,DE11A,3,0.522
2011,NUTS,2010,DE11B,3,0.225
2011,NUTS,2010,DE11C,3,0.119
2012,NUTS,2010,DE11D,3,0.018
2011,NUTS,2010,DE12,2,0.002
2012,NUTS,2010,DE12,2,0.011
2012,NUTS,2010,DE122,3,0.049
2012,NUTS,2010,DE123,3,0.023
2011,NUTS,2010,DE12B,3,0.04
2011,NUTS,2010,DE13,2,0.043
2012,NUTS,2010,DE13,2,0.019
2011,NUTS,2010,DE131,3,0.018
2012,NUTS,2010,DE132,3,0.051
