year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_gdp_beur_ht
2000,NUTS,2010,AT,0,0.701
2001,NUTS,2010,AT,0,0.876
2002,NUTS,2010,AT,0,0.987
2003,NUTS,2010,AT,0,1.041
2004,NUTS,2010,AT,0,0.821
2005,NUTS,2010,AT,0,0.947
2006,NUTS,2010,AT,0,1.144
2007,NUTS,2010,AT,0,1.072
2008,NUTS,2010,AT,0,0.645
2009,NUTS,2010,AT,0,0.756
2010,NUTS,2010,AT,0,0.643
2011,NUTS,2010,AT,0,0.7
2012,NUTS,2010,AT,0,0.619
2000,NUTS,2010,AT1,1,0.84
2001,NUTS,2010,AT1,1,1.188
2002,NUTS,2010,AT1,1,1.223
2003,NUTS,2010,AT1,1,1.406
2004,NUTS,2010,AT1,1,1.119
2005,NUTS,2010,AT1,1,1.356
2006,NUTS,2010,AT1,1,1.599
2007,NUTS,2010,AT1,1,1.557
2008,NUTS,2010,AT1,1,0.716
2009,NUTS,2010,AT1,1,0.553
2010,NUTS,2010,AT1,1,0.559
2011,NUTS,2010,AT1,1,0.665
2012,NUTS,2010,AT1,1,0.541
2000,NUTS,2010,AT11,2,0.459
2001,NUTS,2010,AT11,2,0.27
2002,NUTS,2010,AT11,2,0.209
2003,NUTS,2010,AT11,2,0.707
2004,NUTS,2010,AT11,2,0.496
2005,NUTS,2010,AT11,2,0.111
2006,NUTS,2010,AT11,2,0.548
2007,NUTS,2010,AT11,2,0.727
2008,NUTS,2010,AT11,2,0.452
2009,NUTS,2010,AT11,2,0.914
2010,NUTS,2010,AT11,2,0.519
2011,NUTS,2010,AT11,2,0.457
2012,NUTS,2010,AT11,2,0.411
2004,NUTS,2010,AT111,3,1.497
2009,NUTS,2010,AT111,3,1.383
2000,NUTS,2010,AT112,3,0.191
2001,NUTS,2010,AT112,3,0.216
2002,NUTS,2010,AT112,3,0.382
2003,NUTS,2010,AT112,3,0.945
2004,NUTS,2010,AT112,3,0.078
2005,NUTS,2010,AT112,3,0.195
2006,NUTS,2010,AT112,3,0.137
2007,NUTS,2010,AT112,3,0.423
2009,NUTS,2010,AT112,3,0.981
2010,NUTS,2010,AT112,3,0.197
2011,NUTS,2010,AT112,3,0.503
2012,NUTS,2010,AT112,3,0.117
2000,NUTS,2010,AT113,3,1.084
2001,NUTS,2010,AT113,3,0.463
2003,NUTS,2010,AT113,3,0.577
2004,NUTS,2010,AT113,3,0.88
2006,NUTS,2010,AT113,3,1.535
2007,NUTS,2010,AT113,3,1.567
2008,NUTS,2010,AT113,3,1.444
2009,NUTS,2010,AT113,3,0.624
2010,NUTS,2010,AT113,3,1.277
2011,NUTS,2010,AT113,3,0.533
2012,NUTS,2010,AT113,3,1.11
2000,NUTS,2010,AT12,2,0.773
2001,NUTS,2010,AT12,2,1.038
2002,NUTS,2010,AT12,2,0.92
2003,NUTS,2010,AT12,2,0.711
2004,NUTS,2010,AT12,2,0.372
2005,NUTS,2010,AT12,2,0.743
2006,NUTS,2010,AT12,2,0.776
2007,NUTS,2010,AT12,2,0.602
2008,NUTS,2010,AT12,2,0.52
2009,NUTS,2010,AT12,2,0.515
2010,NUTS,2010,AT12,2,0.453
2011,NUTS,2010,AT12,2,0.638
2012,NUTS,2010,AT12,2,0.578
2000,NUTS,2010,AT121,3,0.105
2001,NUTS,2010,AT121,3,0.17
2003,NUTS,2010,AT121,3,0.481
2004,NUTS,2010,AT121,3,0.128
2005,NUTS,2010,AT121,3,0.154
2006,NUTS,2010,AT121,3,0.645
2007,NUTS,2010,AT121,3,0.065
2008,NUTS,2010,AT121,3,0.186
2009,NUTS,2010,AT121,3,0.644
2010,NUTS,2010,AT121,3,0.197
2011,NUTS,2010,AT121,3,0.57
2012,NUTS,2010,AT121,3,0.072
2000,NUTS,2010,AT122,3,0.386
2001,NUTS,2010,AT122,3,0.619
2002,NUTS,2010,AT122,3,0.33
2003,NUTS,2010,AT122,3,0.173
2004,NUTS,2010,AT122,3,0.591
2005,NUTS,2010,AT122,3,0.754
2006,NUTS,2010,AT122,3,0.304
2007,NUTS,2010,AT122,3,0.325
2008,NUTS,2010,AT122,3,0.273
2009,NUTS,2010,AT122,3,0.305
2010,NUTS,2010,AT122,3,0.195
2011,NUTS,2010,AT122,3,0.299
2012,NUTS,2010,AT122,3,0.544
2000,NUTS,2010,AT123,3,0.356
2001,NUTS,2010,AT123,3,0.423
2002,NUTS,2010,AT123,3,0.25
2003,NUTS,2010,AT123,3,0.12
2004,NUTS,2010,AT123,3,0.234
2005,NUTS,2010,AT123,3,0.54
2006,NUTS,2010,AT123,3,0.448
2007,NUTS,2010,AT123,3,0.382
2008,NUTS,2010,AT123,3,0.345
2009,NUTS,2010,AT123,3,0.062
2010,NUTS,2010,AT123,3,0.046
2011,NUTS,2010,AT123,3,0.65
2012,NUTS,2010,AT123,3,0.043
2000,NUTS,2010,AT124,3,0.508
2001,NUTS,2010,AT124,3,1.64
2002,NUTS,2010,AT124,3,0.378
2003,NUTS,2010,AT124,3,0.234
2005,NUTS,2010,AT124,3,0.174
2006,NUTS,2010,AT124,3,0.481
2007,NUTS,2010,AT124,3,0.295
2008,NUTS,2010,AT124,3,0.337
2009,NUTS,2010,AT124,3,0.191
2010,NUTS,2010,AT124,3,0.432
2011,NUTS,2010,AT124,3,0.097
2012,NUTS,2010,AT124,3,0.239
2000,NUTS,2010,AT125,3,0.868
2001,NUTS,2010,AT125,3,0.187
2002,NUTS,2010,AT125,3,1.081
2003,NUTS,2010,AT125,3,0.763
2004,NUTS,2010,AT125,3,0.479
2005,NUTS,2010,AT125,3,1.352
2006,NUTS,2010,AT125,3,1.261
2007,NUTS,2010,AT125,3,1.597
2008,NUTS,2010,AT125,3,0.669
2009,NUTS,2010,AT125,3,0.149
2010,NUTS,2010,AT125,3,0.73
2011,NUTS,2010,AT125,3,0.551
2012,NUTS,2010,AT125,3,0.107
2000,NUTS,2010,AT126,3,1.343
2001,NUTS,2010,AT126,3,2.91
2002,NUTS,2010,AT126,3,2.229
2003,NUTS,2010,AT126,3,2.367
2004,NUTS,2010,AT126,3,0.646
2005,NUTS,2010,AT126,3,1.375
2006,NUTS,2010,AT126,3,1.149
2007,NUTS,2010,AT126,3,1.493
2008,NUTS,2010,AT126,3,1.512
2009,NUTS,2010,AT126,3,0.911
2010,NUTS,2010,AT126,3,0.898
2011,NUTS,2010,AT126,3,1.19
2012,NUTS,2010,AT126,3,1.619
2000,NUTS,2010,AT127,3,1.248
2001,NUTS,2010,AT127,3,0.852
2002,NUTS,2010,AT127,3,1.449
2003,NUTS,2010,AT127,3,0.655
2004,NUTS,2010,AT127,3,0.425
2005,NUTS,2010,AT127,3,0.894
2006,NUTS,2010,AT127,3,1.028
2007,NUTS,2010,AT127,3,0.552
2008,NUTS,2010,AT127,3,0.344
2009,NUTS,2010,AT127,3,0.704
2010,NUTS,2010,AT127,3,0.578
2011,NUTS,2010,AT127,3,0.737
2012,NUTS,2010,AT127,3,0.66
2000,NUTS,2010,AT13,2,0.911
2001,NUTS,2010,AT13,2,1.349
2002,NUTS,2010,AT13,2,1.477
2003,NUTS,2010,AT13,2,1.864
2004,NUTS,2010,AT13,2,1.615
2005,NUTS,2010,AT13,2,1.818
2006,NUTS,2010,AT13,2,2.169
2007,NUTS,2010,AT13,2,2.205
2008,NUTS,2010,AT13,2,0.857
2009,NUTS,2010,AT13,2,0.545
2010,NUTS,2010,AT13,2,0.625
2011,NUTS,2010,AT13,2,0.7
2012,NUTS,2010,AT13,2,0.53
2000,NUTS,2010,AT130,3,0.911
2001,NUTS,2010,AT130,3,1.349
2002,NUTS,2010,AT130,3,1.477
2003,NUTS,2010,AT130,3,1.864
2004,NUTS,2010,AT130,3,1.615
2005,NUTS,2010,AT130,3,1.818
2006,NUTS,2010,AT130,3,2.169
