year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_ht_p_mact
2011,NUTS,2010,AT,0,50.902
2012,NUTS,2010,AT,0,45.7
2011,NUTS,2010,AT1,1,50.131
2012,NUTS,2010,AT1,1,41.061
2011,NUTS,2010,AT11,2,22.773
2012,NUTS,2010,AT11,2,21.277
2011,NUTS,2010,AT12,2,37.839
2012,NUTS,2010,AT12,2,34.943
2011,NUTS,2010,AT13,2,66.615
2012,NUTS,2010,AT13,2,50.175
2011,NUTS,2010,AT2,1,49.743
2012,NUTS,2010,AT2,1,61.53
2011,NUTS,2010,AT21,2,17.575
2012,NUTS,2010,AT21,2,27.45
2011,NUTS,2010,AT22,2,63.983
2012,NUTS,2010,AT22,2,76.795
2011,NUTS,2010,AT3,1,52.102
2012,NUTS,2010,AT3,1,40.986
2011,NUTS,2010,AT31,2,39.003
2012,NUTS,2010,AT31,2,34.421
2011,NUTS,2010,AT32,2,27.738
2012,NUTS,2010,AT32,2,18.777
2011,NUTS,2010,AT33,2,62.092
2012,NUTS,2010,AT33,2,62.27
2011,NUTS,2010,AT34,2,118.665
2012,NUTS,2010,AT34,2,57.114
2011,NUTS,2010,BE,0,65.607
2012,NUTS,2010,BE,0,64.953
2011,NUTS,2010,BE1,1,56.83
2012,NUTS,2010,BE1,1,51.259
2011,NUTS,2010,BE10,2,56.83
2012,NUTS,2010,BE10,2,51.259
2011,NUTS,2010,BE2,1,81.712
2012,NUTS,2010,BE2,1,86.616
2011,NUTS,2010,BE21,2,84.67
2012,NUTS,2010,BE21,2,121.035
2011,NUTS,2010,BE22,2,24.655
2012,NUTS,2010,BE22,2,23.379
2011,NUTS,2010,BE23,2,103.046
2012,NUTS,2010,BE23,2,69.896
2011,NUTS,2010,BE24,2,150.991
2012,NUTS,2010,BE24,2,170.278
2011,NUTS,2010,BE25,2,26.043
2012,NUTS,2010,BE25,2,21.489
2011,NUTS,2010,BE3,1,36.269
2012,NUTS,2010,BE3,1,27.238
2011,NUTS,2010,BE31,2,139.587
2012,NUTS,2010,BE31,2,125.577
2011,NUTS,2010,BE32,2,25.485
2012,NUTS,2010,BE32,2,11.416
2011,NUTS,2010,BE33,2,26.709
2012,NUTS,2010,BE33,2,19.025
2011,NUTS,2010,BE34,2,16.75
2012,NUTS,2010,BE34,2,0.81
2011,NUTS,2010,BE35,2,11.084
2012,NUTS,2010,BE35,2,19.884
2011,NUTS,2010,BG,0,0.599
2012,NUTS,2010,BG,0,1.247
2012,NUTS,2010,BG3,1,0.722
2012,NUTS,2010,BG31,2,0.524
2012,NUTS,2010,BG32,2,1.346
2012,NUTS,2010,BG33,2,0.561
2012,NUTS,2010,BG34,2,0.521
2011,NUTS,2010,BG4,1,1.166
2012,NUTS,2010,BG4,1,1.741
2011,NUTS,2010,BG41,2,1.872
2012,NUTS,2010,BG41,2,2.422
2012,NUTS,2010,BG42,2,0.638
2011,NUTS,2010,CH,0,78.075
2012,NUTS,2010,CH,0,62.908
2011,NUTS,2010,CH0,1,76.705
2012,NUTS,2010,CH0,1,61.493
2011,NUTS,2010,CH01,2,90.171
2012,NUTS,2010,CH01,2,74.321
2011,NUTS,2010,CH02,2,56.936
2012,NUTS,2010,CH02,2,43.309
2011,NUTS,2010,CH03,2,99.888
2012,NUTS,2010,CH03,2,91.441
2011,NUTS,2010,CH04,2,121.022
2012,NUTS,2010,CH04,2,91.435
2011,NUTS,2010,CH05,2,39.844
2012,NUTS,2010,CH05,2,27.471
2011,NUTS,2010,CH06,2,57.793
2012,NUTS,2010,CH06,2,37.98
2011,NUTS,2010,CH07,2,25.444
2012,NUTS,2010,CH07,2,47.249
2012,NUTS,2010,CY,0,2.29
2012,NUTS,2010,CY0,1,2.29
2012,NUTS,2010,CY00,2,2.29
2011,NUTS,2010,CZ,0,4.859
2012,NUTS,2010,CZ,0,2.595
2011,NUTS,2010,CZ0,1,4.668
2012,NUTS,2010,CZ0,1,2.595
2011,NUTS,2010,CZ01,2,8.316
2012,NUTS,2010,CZ01,2,7.883
2011,NUTS,2010,CZ02,2,7.278
2012,NUTS,2010,CZ02,2,0.765
2011,NUTS,2010,CZ03,2,0.822
2011,NUTS,2010,CZ04,2,12.702
2012,NUTS,2010,CZ04,2,2.411
2011,NUTS,2010,CZ05,2,0.448
2011,NUTS,2010,CZ06,2,5.215
2012,NUTS,2010,CZ06,2,7.299
2011,NUTS,2010,CZ07,2,1.678
2012,NUTS,2010,CZ07,2,0.548
2011,NUTS,2010,CZ08,2,1.677
2012,NUTS,2010,CZ08,2,0.217
2011,NUTS,2010,DE,0,72.601
2012,NUTS,2010,DE,0,59.311
2011,NUTS,2010,DE1,1,118.513
2012,NUTS,2010,DE1,1,100.135
2011,NUTS,2010,DE11,2,108.12
2012,NUTS,2010,DE11,2,90.545
2011,NUTS,2010,DE12,2,170.117
2012,NUTS,2010,DE12,2,157.151
2011,NUTS,2010,DE13,2,90.773
2012,NUTS,2010,DE13,2,76.837
2011,NUTS,2010,DE14,2,99.3
2012,NUTS,2010,DE14,2,65.384
2011,NUTS,2010,DE2,1,132.662
2012,NUTS,2010,DE2,1,106.365
2011,NUTS,2010,DE21,2,212.818
2012,NUTS,2010,DE21,2,171.839
2011,NUTS,2010,DE22,2,34.735
2012,NUTS,2010,DE22,2,17.506
2011,NUTS,2010,DE23,2,99.4
2012,NUTS,2010,DE23,2,86.338
2011,NUTS,2010,DE24,2,58.494
2012,NUTS,2010,DE24,2,47.574
2011,NUTS,2010,DE25,2,208.981
2012,NUTS,2010,DE25,2,160.595
2011,NUTS,2010,DE26,2,50.917
2012,NUTS,2010,DE26,2,31.798
2011,NUTS,2010,DE27,2,49.055
2012,NUTS,2010,DE27,2,49.684
2011,NUTS,2010,DE3,1,94.915
2012,NUTS,2010,DE3,1,82.304
2011,NUTS,2010,DE30,2,94.915
2012,NUTS,2010,DE30,2,82.304
2011,NUTS,2010,DE4,1,33.652
2012,NUTS,2010,DE4,1,28.903
2011,NUTS,2010,DE40,2,33.652
2012,NUTS,2010,DE40,2,28.903
2011,NUTS,2010,DE5,1,76.514
2012,NUTS,2010,DE5,1,29.641
2011,NUTS,2010,DE50,2,76.514
2012,NUTS,2010,DE50,2,29.641
2011,NUTS,2010,DE6,1,86.27
2012,NUTS,2010,DE6,1,95.419
2011,NUTS,2010,DE60,2,86.27
2012,NUTS,2010,DE60,2,95.419
2011,NUTS,2010,DE7,1,74.437
2012,NUTS,2010,DE7,1,63.79
2011,NUTS,2010,DE71,2,97.988
2012,NUTS,2010,DE71,2,85.085
2011,NUTS,2010,DE72,2,56.454
2012,NUTS,2010,DE72,2,39.023
2011,NUTS,2010,DE73,2,15.042
2012,NUTS,2010,DE73,2,16.532
2011,NUTS,2010,DE8,1,8.201
2012,NUTS,2010,DE8,1,5.518
2011,NUTS,2010,DE80,2,8.201
2012,NUTS,2010,DE80,2,5.518
2011,NUTS,2010,DE9,1,44.29
2012,NUTS,2010,DE9,1,39.958
2011,NUTS,2010,DE91,2,56.464
2012,NUTS,2010,DE91,2,44.686
2011,NUTS,2010,DE92,2,80.057
2012,NUTS,2010,DE92,2,72.727
2011,NUTS,2010,DE93,2,34.813
2012,NUTS,2010,DE93,2,38.404
2011,NUTS,2010,DE94,2,12.294
2012,NUTS,2010,DE94,2,9.747
2011,NUTS,2010,DEA,1,51.124
2012,NUTS,2010,DEA,1,37.28
2011,NUTS,2010,DEA1,2,39.764
2012,NUTS,2010,DEA1,2,30.573
2011,NUTS,2010,DEA2,2,71.226
2012,NUTS,2010,DEA2,2,46.918
2011,NUTS,2010,DEA3,2,40.363
2012,NUTS,2010,DEA3,2,25.295
2011,NUTS,2010,DEA4,2,45.813
2012,NUTS,2010,DEA4,2,51.875
2011,NUTS,2010,DEA5,2,53.871
2012,NUTS,2010,DEA5,2,35.372
2011,NUTS,2010,DEB,1,43.027
2012,NUTS,2010,DEB,1,21.756
2011,NUTS,2010,DEB1,2,21.982
2012,NUTS,2010,DEB1,2,15.64
2011,NUTS,2010,DEB2,2,14.82
2012,NUTS,2010,DEB2,2,3.719
2011,NUTS,2010,DEB3,2,66.137
2012,NUTS,2010,DEB3,2,31.001
2011,NUTS,2010,DEC,1,27.685
2012,NUTS,2010,DEC,1,24.205
2011,NUTS,2010,DED,1,39.849
2012,NUTS,2010,DED,1,29.16
2011,NUTS,2010,DED2,2,71.726
2012,NUTS,2010,DED2,2,46.762
2011,NUTS,2010,DED4,2,17.266
2012,NUTS,2010,DED4,2,12.669
2011,NUTS,2010,DED5,2,22.344
2012,NUTS,2010,DED5,2,25.418
2011,NUTS,2010,DEE,1,13.98
2012,NUTS,2010,DEE,1,7.87
2011,NUTS,2010,DEE0,2,13.98
2012,NUTS,2010,DEE0,2,7.87
2011,NUTS,2010,DEF,1,29.647
2012,NUTS,2010,DEF,1,30.153
2011,NUTS,2010,DEF0,2,29.647
2012,NUTS,2010,DEF0,2,30.153
2011,NUTS,2010,DEG,1,31.401
2012,NUTS,2010,DEG,1,34.235
2011,NUTS,2010,DEG0,2,31.401
2012,NUTS,2010,DEG0,2,34.235
2011,NUTS,2010,DK,0,89.675
2012,NUTS,2010,DK,0,60.896
2011,NUTS,2010,DK0,1,89.248
2012,NUTS,2010,DK0,1,59.586
2011,NUTS,2010,DK01,2,188.944
2012,NUTS,2010,DK01,2,121.525
2011,NUTS,2010,DK02,2,26.235
2012,NUTS,2010,DK02,2,38.78
2011,NUTS,2010,DK03,2,23.096
2012,NUTS,2010,DK03,2,15.586
2011,NUTS,2010,DK04,2,58.897
2012,NUTS,2010,DK04,2,36.555
2011,NUTS,2010,DK05,2,64.764
2012,NUTS,2010,DK05,2,32.155
2011,NUTS,2010,EE,0,19.433
2012,NUTS,2010,EE,0,6.833
2011,NUTS,2010,EE0,1,19.433
2012,NUTS,2010,EE0,1,6.833
2011,NUTS,2010,EE00,2,19.433
2012,NUTS,2010,EE00,2,6.833
2011,NUTS,2010,EL,0,2.279
2012,NUTS,2010,EL,0,2.579
2011,NUTS,2010,EL3,1,3.503
2012,NUTS,2010,EL3,1,2.738
2011,NUTS,2010,EL30,2,3.503
2012,NUTS,2010,EL30,2,2.738
2012,NUTS,2010,EL4,1,2.408
2012,NUTS,2010,EL43,2,4.41
2011,NUTS,2010,ES,0,12.267
2012,NUTS,2010,ES,0,10.33
2011,NUTS,2010,ES1,1,6.415
2012,NUTS,2010,ES1,1,2.786
2011,NUTS,2010,ES11,2,10.178
2012,NUTS,2010,ES11,2,3.203
2012,NUTS,2010,ES12,2,2.777
2012,NUTS,2010,ES13,2,0.878
2011,NUTS,2010,ES2,1,9.99
2012,NUTS,2010,ES2,1,6.407
2011,NUTS,2010,ES21,2,11.797
2012,NUTS,2010,ES21,2,9.18
2011,NUTS,2010,ES22,2,9.357
2012,NUTS,2010,ES22,2,3.134
2012,NUTS,2010,ES23,2,12.571
2011,NUTS,2010,ES24,2,9.779
2012,NUTS,2010,ES24,2,2.084
2011,NUTS,2010,ES3,1,37.503
2012,NUTS,2010,ES3,1,33.421
2011,NUTS,2010,ES30,2,37.503
2012,NUTS,2010,ES30,2,33.421
2011,NUTS,2010,ES4,1,1.885
2012,NUTS,2010,ES4,1,1.457
2011,NUTS,2010,ES41,2,0.259
2012,NUTS,2010,ES41,2,0.949
2011,NUTS,2010,ES42,2,3.075
2012,NUTS,2010,ES42,2,2.777
2011,NUTS,2010,ES43,2,3.348
2011,NUTS,2010,ES5,1,14.209
2012,NUTS,2010,ES5,1,11.992
2011,NUTS,2010,ES51,2,21.655
2012,NUTS,2010,ES51,2,17.833
2011,NUTS,2010,ES52,2,5.598
2012,NUTS,2010,ES52,2,5.345
2011,NUTS,2010,ES53,2,0.554
2012,NUTS,2010,ES53,2,1.596
2011,NUTS,2010,ES6,1,2.489
2012,NUTS,2010,ES6,1,3.464
2011,NUTS,2010,ES61,2,2.792
2012,NUTS,2010,ES61,2,3.718
2011,NUTS,2010,ES62,2,1.075
2012,NUTS,2010,ES62,2,2.402
2011,NUTS,2010,ES7,1,2.76
2012,NUTS,2010,ES7,1,1.134
2011,NUTS,2010,ES70,2,2.76
2012,NUTS,2010,ES70,2,1.134
2011,NUTS,2010,FI,0,140.822
2012,NUTS,2010,FI,0,133.382
2011,NUTS,2010,FI1,1,139.581
2012,NUTS,2010,FI1,1,132.63
2011,NUTS,2010,FI19,2,140.806
2012,NUTS,2010,FI19,2,134.638
2011,NUTS,2010,FI1B,2,225.412
2012,NUTS,2010,FI1B,2,201.609
2011,NUTS,2010,FI1C,2,53.638
2012,NUTS,2010,FI1C,2,68.874
2011,NUTS,2010,FI1D,2,98.138
2012,NUTS,2010,FI1D,2,91.928
2011,NUTS,2010,FI2,1,87.5
2012,NUTS,2010,FI2,1,107.051
2011,NUTS,2010,FI20,2,87.5
2012,NUTS,2010,FI20,2,107.051
2011,NUTS,2010,FR,0,71.276
2012,NUTS,2010,FR,0,58.079
2011,NUTS,2010,FR1,1,138.769
2012,NUTS,2010,FR1,1,117.181
2011,NUTS,2010,FR10,2,138.769
2012,NUTS,2010,FR10,2,117.181
2011,NUTS,2010,FR2,1,20.202
2012,NUTS,2010,FR2,1,10.484
2011,NUTS,2010,FR21,2,13.964
2012,NUTS,2010,FR21,2,3.238
2011,NUTS,2010,FR22,2,10.345
2012,NUTS,2010,FR22,2,3.554
2011,NUTS,2010,FR23,2,32.606
2012,NUTS,2010,FR23,2,18.012
2011,NUTS,2010,FR24,2,19.091
2012,NUTS,2010,FR24,2,14.034
2011,NUTS,2010,FR25,2,36.397
2012,NUTS,2010,FR25,2,18.074
2011,NUTS,2010,FR26,2,10.609
2012,NUTS,2010,FR26,2,3.473
2011,NUTS,2010,FR3,1,16.818
2012,NUTS,2010,FR3,1,8.431
2011,NUTS,2010,FR30,2,16.818
2012,NUTS,2010,FR30,2,8.431
2011,NUTS,2010,FR4,1,15.606
