year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_lsr_p_mact
2011,NUTS,2010,AT,0,1.001
2012,NUTS,2010,AT,0,0.233
2011,NUTS,2010,AT1,1,1.808
2011,NUTS,2010,AT12,2,2.141
2011,NUTS,2010,AT13,2,1.785
2011,NUTS,2010,AT3,1,0.635
2012,NUTS,2010,AT3,1,0.627
2011,NUTS,2010,AT33,2,2.723
2012,NUTS,2010,AT34,2,5.136
2011,NUTS,2010,BE,0,0.5
2011,NUTS,2010,BE2,1,0.843
2011,NUTS,2010,BE23,2,3.255
2011,NUTS,2010,BE25,2,0.476
2011,NUTS,2010,CH,0,1.611
2012,NUTS,2010,CH,0,0.815
2011,NUTS,2010,CH0,1,1.611
2012,NUTS,2010,CH0,1,0.815
2012,NUTS,2010,CH01,2,1.138
2011,NUTS,2010,CH02,2,0.984
2012,NUTS,2010,CH02,2,1.041
2011,NUTS,2010,CH03,2,2.128
2011,NUTS,2010,CH04,2,0.608
2012,NUTS,2010,CH04,2,0.598
2011,NUTS,2010,CH05,2,4.589
2012,NUTS,2010,CH05,2,1.892
2011,NUTS,2010,CH06,2,3.378
2011,NUTS,2010,CZ,0,0.038
2011,NUTS,2010,CZ0,1,0.038
2011,NUTS,2010,CZ01,2,0.303
2011,NUTS,2010,DE,0,1.055
2012,NUTS,2010,DE,0,0.768
2011,NUTS,2010,DE1,1,1.649
2012,NUTS,2010,DE1,1,1.688
2011,NUTS,2010,DE11,2,1.437
2012,NUTS,2010,DE11,2,2.359
2011,NUTS,2010,DE12,2,0.602
2011,NUTS,2010,DE13,2,4.627
2012,NUTS,2010,DE13,2,2.004
2012,NUTS,2010,DE14,2,2.332
2011,NUTS,2010,DE2,1,1.622
2012,NUTS,2010,DE2,1,1.185
2011,NUTS,2010,DE21,2,3.736
2012,NUTS,2010,DE21,2,2.589
2011,NUTS,2010,DE23,2,1.764
2011,NUTS,2010,DE24,2,1.805
2012,NUTS,2010,DE24,2,0.449
2012,NUTS,2010,DE25,2,1.653
2011,NUTS,2010,DE3,1,4.049
2012,NUTS,2010,DE3,1,1.426
2011,NUTS,2010,DE30,2,4.049
2012,NUTS,2010,DE30,2,1.426
2011,NUTS,2010,DE4,1,1.614
2012,NUTS,2010,DE4,1,2.29
2011,NUTS,2010,DE40,2,1.614
2012,NUTS,2010,DE40,2,2.29
2011,NUTS,2010,DE6,1,1.938
2011,NUTS,2010,DE60,2,1.938
2011,NUTS,2010,DE9,1,0.257
2012,NUTS,2010,DE9,1,0.766
2011,NUTS,2010,DE91,2,1.27
2012,NUTS,2010,DE92,2,2.817
2011,NUTS,2010,DEA,1,0.543
2011,NUTS,2010,DEA2,2,0.947
2011,NUTS,2010,DEA5,2,1.538
2011,NUTS,2010,DEB,1,0.618
2011,NUTS,2010,DEB1,2,1.45
2011,NUTS,2010,DEB3,2,0.169
2011,NUTS,2010,DED,1,0.338
2012,NUTS,2010,DED,1,0.729
2011,NUTS,2010,DED2,2,0.863
2012,NUTS,2010,DED2,2,1.868
2011,NUTS,2010,DEF,1,1.74
2012,NUTS,2010,DEF,1,0.706
2011,NUTS,2010,DEF0,2,1.74
2012,NUTS,2010,DEF0,2,0.706
2011,NUTS,2010,DEG,1,2.325
2012,NUTS,2010,DEG,1,2.705
2011,NUTS,2010,DEG0,2,2.325
2012,NUTS,2010,DEG0,2,2.705
2011,NUTS,2010,DK,0,1.453
2012,NUTS,2010,DK,0,1.548
2011,NUTS,2010,DK0,1,1.453
2012,NUTS,2010,DK0,1,1.376
2011,NUTS,2010,DK01,2,4.514
2012,NUTS,2010,DK01,2,3.632
2012,NUTS,2010,DK02,2,1.421
2011,NUTS,2010,ES,0,0.085
