year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_nr_cte
1978,NUTS,2010,AT,0,1.0
1979,NUTS,2010,AT,0,4.0
1980,NUTS,2010,AT,0,2.0
1981,NUTS,2010,AT,0,3.0
1982,NUTS,2010,AT,0,4.5
1983,NUTS,2010,AT,0,7.5
1984,NUTS,2010,AT,0,9.33
1985,NUTS,2010,AT,0,5.0
1986,NUTS,2010,AT,0,8.7
1987,NUTS,2010,AT,0,5.3
1988,NUTS,2010,AT,0,9.7
1989,NUTS,2010,AT,0,16.58
1990,NUTS,2010,AT,0,20.83
1991,NUTS,2010,AT,0,10.67
1992,NUTS,2010,AT,0,9.08
1993,NUTS,2010,AT,0,11.5
1994,NUTS,2010,AT,0,27.0
1995,NUTS,2010,AT,0,29.75
1996,NUTS,2010,AT,0,29.37
1997,NUTS,2010,AT,0,29.67
1998,NUTS,2010,AT,0,42.33
1999,NUTS,2010,AT,0,53.97
2000,NUTS,2010,AT,0,40.06
2001,NUTS,2010,AT,0,53.12
2002,NUTS,2010,AT,0,100.05
2003,NUTS,2010,AT,0,91.5
2004,NUTS,2010,AT,0,59.32
2005,NUTS,2010,AT,0,99.02
2006,NUTS,2010,AT,0,117.37
2007,NUTS,2010,AT,0,111.45
2008,NUTS,2010,AT,0,48.38
2009,NUTS,2010,AT,0,42.47
2010,NUTS,2010,AT,0,41.77
2011,NUTS,2010,AT,0,54.12
2012,NUTS,2010,AT,0,48.2
1978,NUTS,2010,AT1,1,1.0
1979,NUTS,2010,AT1,1,3.0
1980,NUTS,2010,AT1,1,1.0
1981,NUTS,2010,AT1,1,2.0
1982,NUTS,2010,AT1,1,1.5
1983,NUTS,2010,AT1,1,5.0
1984,NUTS,2010,AT1,1,6.5
1985,NUTS,2010,AT1,1,3.5
1986,NUTS,2010,AT1,1,4.7
1987,NUTS,2010,AT1,1,5.3
1988,NUTS,2010,AT1,1,7.95
1989,NUTS,2010,AT1,1,10.58
1990,NUTS,2010,AT1,1,15.83
1991,NUTS,2010,AT1,1,8.67
1992,NUTS,2010,AT1,1,7.08
1993,NUTS,2010,AT1,1,6.17
1994,NUTS,2010,AT1,1,18.2
1995,NUTS,2010,AT1,1,20.42
1996,NUTS,2010,AT1,1,22.57
1997,NUTS,2010,AT1,1,19.58
1998,NUTS,2010,AT1,1,27.84
1999,NUTS,2010,AT1,1,32.18
2000,NUTS,2010,AT1,1,29.22
2001,NUTS,2010,AT1,1,39.39
2002,NUTS,2010,AT1,1,69.05
2003,NUTS,2010,AT1,1,68.75
2004,NUTS,2010,AT1,1,50.33
2005,NUTS,2010,AT1,1,81.15
2006,NUTS,2010,AT1,1,92.37
2007,NUTS,2010,AT1,1,79.89
2008,NUTS,2010,AT1,1,31.65
2009,NUTS,2010,AT1,1,14.87
2010,NUTS,2010,AT1,1,19.27
2011,NUTS,2010,AT1,1,32.62
2012,NUTS,2010,AT1,1,24.78
1992,NUTS,2010,AT11,2,0.5
1994,NUTS,2010,AT11,2,0.33
1997,NUTS,2010,AT11,2,1.25
1998,NUTS,2010,AT11,2,0.2
1999,NUTS,2010,AT11,2,2.0
2000,NUTS,2010,AT11,2,0.25
2002,NUTS,2010,AT11,2,0.25
2004,NUTS,2010,AT11,2,1.25
2005,NUTS,2010,AT11,2,0.5
2006,NUTS,2010,AT11,2,0.13
2007,NUTS,2010,AT11,2,0.83
2009,NUTS,2010,AT11,2,1.08
2010,NUTS,2010,AT11,2,0.95
2011,NUTS,2010,AT11,2,0.67
2004,NUTS,2010,AT111,3,1.0
1994,NUTS,2010,AT112,3,0.33
1997,NUTS,2010,AT112,3,1.25
1998,NUTS,2010,AT112,3,0.2
1999,NUTS,2010,AT112,3,2.0
2002,NUTS,2010,AT112,3,0.25
2004,NUTS,2010,AT112,3,0.25
2005,NUTS,2010,AT112,3,0.5
2006,NUTS,2010,AT112,3,0.13
2007,NUTS,2010,AT112,3,0.5
2009,NUTS,2010,AT112,3,1.08
2010,NUTS,2010,AT112,3,0.75
1992,NUTS,2010,AT113,3,0.5
2000,NUTS,2010,AT113,3,0.25
2007,NUTS,2010,AT113,3,0.33
2010,NUTS,2010,AT113,3,0.2
2011,NUTS,2010,AT113,3,0.67
1979,NUTS,2010,AT12,2,1.17
1981,NUTS,2010,AT12,2,0.5
1983,NUTS,2010,AT12,2,0.33
1984,NUTS,2010,AT12,2,0.5
1985,NUTS,2010,AT12,2,2.5
1986,NUTS,2010,AT12,2,1.0
1987,NUTS,2010,AT12,2,2.65
1988,NUTS,2010,AT12,2,2.03
1989,NUTS,2010,AT12,2,1.08
1990,NUTS,2010,AT12,2,5.67
1991,NUTS,2010,AT12,2,1.33
1992,NUTS,2010,AT12,2,1.5
1993,NUTS,2010,AT12,2,0.83
1994,NUTS,2010,AT12,2,5.83
1995,NUTS,2010,AT12,2,7.92
1996,NUTS,2010,AT12,2,5.78
1997,NUTS,2010,AT12,2,6.08
1998,NUTS,2010,AT12,2,8.51
1999,NUTS,2010,AT12,2,6.97
2000,NUTS,2010,AT12,2,8.0
2001,NUTS,2010,AT12,2,13.33
2002,NUTS,2010,AT12,2,16.93
2003,NUTS,2010,AT12,2,11.18
2004,NUTS,2010,AT12,2,7.17
2005,NUTS,2010,AT12,2,17.58
2006,NUTS,2010,AT12,2,12.87
2007,NUTS,2010,AT12,2,10.4
2008,NUTS,2010,AT12,2,5.73
2009,NUTS,2010,AT12,2,5.58
2010,NUTS,2010,AT12,2,6.17
2011,NUTS,2010,AT12,2,8.08
2012,NUTS,2010,AT12,2,10.25
1995,NUTS,2010,AT121,3,1.0
1996,NUTS,2010,AT121,3,0.45
1999,NUTS,2010,AT121,3,0.33
2001,NUTS,2010,AT121,3,0.33
2003,NUTS,2010,AT121,3,1.0
2005,NUTS,2010,AT121,3,0.14
2006,NUTS,2010,AT121,3,1.5
2007,NUTS,2010,AT121,3,0.41
2009,NUTS,2010,AT121,3,1.75
1981,NUTS,2010,AT122,3,0.25
1983,NUTS,2010,AT122,3,0.33
1995,NUTS,2010,AT122,3,1.0
1997,NUTS,2010,AT122,3,1.0
1998,NUTS,2010,AT122,3,1.25
1999,NUTS,2010,AT122,3,0.53
2000,NUTS,2010,AT122,3,1.0
2001,NUTS,2010,AT122,3,0.67
2002,NUTS,2010,AT122,3,1.5
2003,NUTS,2010,AT122,3,0.5
2004,NUTS,2010,AT122,3,2.58
2005,NUTS,2010,AT122,3,4.17
2007,NUTS,2010,AT122,3,1.0
2010,NUTS,2010,AT122,3,1.25
2011,NUTS,2010,AT122,3,1.0
2012,NUTS,2010,AT122,3,1.5
1979,NUTS,2010,AT123,3,0.33
1985,NUTS,2010,AT123,3,0.5
1987,NUTS,2010,AT123,3,1.65
1988,NUTS,2010,AT123,3,0.5
1989,NUTS,2010,AT123,3,0.5
1990,NUTS,2010,AT123,3,2.5
1991,NUTS,2010,AT123,3,0.33
1995,NUTS,2010,AT123,3,2.0
1997,NUTS,2010,AT123,3,0.33
1999,NUTS,2010,AT123,3,1.03
2001,NUTS,2010,AT123,3,0.5
2002,NUTS,2010,AT123,3,0.33
2005,NUTS,2010,AT123,3,0.92
2006,NUTS,2010,AT123,3,0.33
2008,NUTS,2010,AT123,3,0.5
1990,NUTS,2010,AT124,3,1.0
1993,NUTS,2010,AT124,3,0.5
1995,NUTS,2010,AT124,3,1.0
1996,NUTS,2010,AT124,3,1.75
1998,NUTS,2010,AT124,3,3.0
2000,NUTS,2010,AT124,3,0.83
2001,NUTS,2010,AT124,3,4.67
2002,NUTS,2010,AT124,3,1.08
2003,NUTS,2010,AT124,3,1.0
2005,NUTS,2010,AT124,3,0.79
2006,NUTS,2010,AT124,3,1.5
2008,NUTS,2010,AT124,3,1.25
1995,NUTS,2010,AT125,3,0.83
1997,NUTS,2010,AT125,3,0.25
1998,NUTS,2010,AT125,3,0.5
1999,NUTS,2010,AT125,3,0.33
2000,NUTS,2010,AT125,3,1.5
2002,NUTS,2010,AT125,3,0.42
2003,NUTS,2010,AT125,3,1.0
2004,NUTS,2010,AT125,3,0.67
2005,NUTS,2010,AT125,3,2.08
2006,NUTS,2010,AT125,3,0.33
2007,NUTS,2010,AT125,3,0.29
2008,NUTS,2010,AT125,3,0.4
2010,NUTS,2010,AT125,3,0.83
2011,NUTS,2010,AT125,3,1.33
1979,NUTS,2010,AT126,3,0.33
1986,NUTS,2010,AT126,3,0.5
1988,NUTS,2010,AT126,3,0.83
1989,NUTS,2010,AT126,3,0.33
1991,NUTS,2010,AT126,3,0.33
1992,NUTS,2010,AT126,3,0.25
1994,NUTS,2010,AT126,3,1.83
1996,NUTS,2010,AT126,3,1.25
1997,NUTS,2010,AT126,3,4.0
1998,NUTS,2010,AT126,3,1.83
1999,NUTS,2010,AT126,3,2.0
2000,NUTS,2010,AT126,3,1.83
2001,NUTS,2010,AT126,3,5.0
2002,NUTS,2010,AT126,3,5.67
2003,NUTS,2010,AT126,3,3.58
2004,NUTS,2010,AT126,3,2.17
2005,NUTS,2010,AT126,3,4.06
2006,NUTS,2010,AT126,3,3.83
2007,NUTS,2010,AT126,3,2.83
2008,NUTS,2010,AT126,3,2.0
2009,NUTS,2010,AT126,3,3.0
2010,NUTS,2010,AT126,3,1.0
