year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_nr_smc
1977,NUTS,2010,AT,0,1.0
1981,NUTS,2010,AT,0,1.0
1982,NUTS,2010,AT,0,1.38
1983,NUTS,2010,AT,0,3.25
1984,NUTS,2010,AT,0,2.0
1985,NUTS,2010,AT,0,7.33
1986,NUTS,2010,AT,0,5.33
1987,NUTS,2010,AT,0,6.62
1988,NUTS,2010,AT,0,7.0
1989,NUTS,2010,AT,0,4.5
1990,NUTS,2010,AT,0,5.83
1991,NUTS,2010,AT,0,5.67
1992,NUTS,2010,AT,0,7.25
1993,NUTS,2010,AT,0,8.14
1994,NUTS,2010,AT,0,2.25
1995,NUTS,2010,AT,0,5.0
1996,NUTS,2010,AT,0,10.91
1997,NUTS,2010,AT,0,18.19
1998,NUTS,2010,AT,0,18.6
1999,NUTS,2010,AT,0,21.79
2000,NUTS,2010,AT,0,24.46
2001,NUTS,2010,AT,0,28.65
2002,NUTS,2010,AT,0,33.6
2003,NUTS,2010,AT,0,37.17
2004,NUTS,2010,AT,0,40.35
2005,NUTS,2010,AT,0,29.28
2006,NUTS,2010,AT,0,76.66
2007,NUTS,2010,AT,0,67.23
2008,NUTS,2010,AT,0,45.2
2009,NUTS,2010,AT,0,64.11
2010,NUTS,2010,AT,0,58.48
2011,NUTS,2010,AT,0,48.29
2012,NUTS,2010,AT,0,47.7
1977,NUTS,2010,AT1,1,1.0
1982,NUTS,2010,AT1,1,1.0
1983,NUTS,2010,AT1,1,2.0
1985,NUTS,2010,AT1,1,3.67
1986,NUTS,2010,AT1,1,2.17
1987,NUTS,2010,AT1,1,1.17
1988,NUTS,2010,AT1,1,1.5
1989,NUTS,2010,AT1,1,1.5
1991,NUTS,2010,AT1,1,2.97
1992,NUTS,2010,AT1,1,2.17
1994,NUTS,2010,AT1,1,1.33
1995,NUTS,2010,AT1,1,1.0
1996,NUTS,2010,AT1,1,1.5
1998,NUTS,2010,AT1,1,3.76
1999,NUTS,2010,AT1,1,2.33
2000,NUTS,2010,AT1,1,1.44
2001,NUTS,2010,AT1,1,6.08
2002,NUTS,2010,AT1,1,7.83
2003,NUTS,2010,AT1,1,5.58
