year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_p_mact_avi
2011,NUTS,2010,AT,0,2.237
2012,NUTS,2010,AT,0,1.397
2011,NUTS,2010,AT1,1,0.835
2012,NUTS,2010,AT1,1,1.097
2012,NUTS,2010,AT11,2,8.865
2011,NUTS,2010,AT12,2,0.612
2012,NUTS,2010,AT12,2,0.304
2011,NUTS,2010,AT13,2,1.19
2012,NUTS,2010,AT13,2,0.582
2012,NUTS,2010,AT2,1,2.28
2012,NUTS,2010,AT21,2,3.685
2012,NUTS,2010,AT22,2,1.65
2011,NUTS,2010,AT3,1,5.079
2012,NUTS,2010,AT3,1,1.255
2011,NUTS,2010,AT31,2,1.354
2012,NUTS,2010,AT31,2,2.685
2011,NUTS,2010,AT32,2,3.602
2011,NUTS,2010,AT34,2,31.283
2011,NUTS,2010,BE,0,0.185
2012,NUTS,2010,BE,0,0.204
2011,NUTS,2010,BE2,1,0.173
2011,NUTS,2010,BE21,2,0.631
2011,NUTS,2010,BE3,1,0.271
2012,NUTS,2010,BE3,1,0.667
2012,NUTS,2010,BE31,2,2.887
2011,NUTS,2010,BE32,2,0.377
2012,NUTS,2010,BE32,2,0.933
2011,NUTS,2010,BE33,2,0.441
2012,NUTS,2010,BG,0,0.15
2012,NUTS,2010,BG3,1,0.154
2012,NUTS,2010,BG33,2,0.561
2012,NUTS,2010,BG4,1,0.145
2012,NUTS,2010,BG42,2,0.38
2011,NUTS,2010,CH,0,0.659
2012,NUTS,2010,CH,0,0.38
2011,NUTS,2010,CH0,1,0.659
2012,NUTS,2010,CH0,1,0.38
2012,NUTS,2010,CH01,2,1.04
2012,NUTS,2010,CH02,2,0.107
2012,NUTS,2010,CH03,2,0.589
2011,NUTS,2010,CH04,2,2.433
2012,NUTS,2010,CH04,2,0.311
2011,NUTS,2010,CH05,2,1.53
2012,NUTS,2010,CH05,2,0.076
2012,NUTS,2010,CH06,2,0.243
2012,NUTS,2010,CZ,0,0.38
2012,NUTS,2010,CZ0,1,0.38
2012,NUTS,2010,CZ01,2,1.496
2012,NUTS,2010,CZ06,2,1.2
2011,NUTS,2010,DE,0,4.885
2012,NUTS,2010,DE,0,4.847
2011,NUTS,2010,DE1,1,4.806
2012,NUTS,2010,DE1,1,2.561
2011,NUTS,2010,DE11,2,6.506
2012,NUTS,2010,DE11,2,3.079
2011,NUTS,2010,DE12,2,0.145
2012,NUTS,2010,DE12,2,0.837
2011,NUTS,2010,DE13,2,2.604
2012,NUTS,2010,DE13,2,1.139
2011,NUTS,2010,DE14,2,10.653
2012,NUTS,2010,DE14,2,5.746
2011,NUTS,2010,DE2,1,8.345
2012,NUTS,2010,DE2,1,6.185
2011,NUTS,2010,DE21,2,18.761
2012,NUTS,2010,DE21,2,12.868
2011,NUTS,2010,DE22,2,3.036
2012,NUTS,2010,DE22,2,2.487
2012,NUTS,2010,DE23,2,0.437
2011,NUTS,2010,DE24,2,1.498
2011,NUTS,2010,DE25,2,0.644
2012,NUTS,2010,DE25,2,3.118
2011,NUTS,2010,DE27,2,8.613
2012,NUTS,2010,DE27,2,6.436
2011,NUTS,2010,DE3,1,2.603
2012,NUTS,2010,DE3,1,1.9
2011,NUTS,2010,DE30,2,2.603
2012,NUTS,2010,DE30,2,1.9
2011,NUTS,2010,DE4,1,0.758
2012,NUTS,2010,DE4,1,0.191
2011,NUTS,2010,DE40,2,0.758
2012,NUTS,2010,DE40,2,0.191
2011,NUTS,2010,DE5,1,33.83
2012,NUTS,2010,DE5,1,17.629
2011,NUTS,2010,DE50,2,33.83
2012,NUTS,2010,DE50,2,17.629
2011,NUTS,2010,DE6,1,47.149
2012,NUTS,2010,DE6,1,60.416
2011,NUTS,2010,DE60,2,47.149
2012,NUTS,2010,DE60,2,60.416
2011,NUTS,2010,DE7,1,1.804
2012,NUTS,2010,DE7,1,3.999
2011,NUTS,2010,DE71,2,1.193
2012,NUTS,2010,DE71,2,2.28
2011,NUTS,2010,DE72,2,1.907
2012,NUTS,2010,DE72,2,6.138
2011,NUTS,2010,DE73,2,3.655
2012,NUTS,2010,DE73,2,7.699
2012,NUTS,2010,DE8,1,0.24
2012,NUTS,2010,DE80,2,0.24
2011,NUTS,2010,DE9,1,6.261
2012,NUTS,2010,DE9,1,9.301
2011,NUTS,2010,DE91,2,5.398
2012,NUTS,2010,DE91,2,4.637
2011,NUTS,2010,DE92,2,0.91
2012,NUTS,2010,DE92,2,5.935
2011,NUTS,2010,DE93,2,21.322
2012,NUTS,2010,DE93,2,28.896
2011,NUTS,2010,DE94,2,0.985
2012,NUTS,2010,DE94,2,1.888
2011,NUTS,2010,DEA,1,0.949
2012,NUTS,2010,DEA,1,0.625
2012,NUTS,2010,DEA1,2,0.16
2011,NUTS,2010,DEA2,2,1.183
2012,NUTS,2010,DEA2,2,0.944
2011,NUTS,2010,DEA4,2,0.83
2012,NUTS,2010,DEA4,2,1.477
2011,NUTS,2010,DEA5,2,2.782
2012,NUTS,2010,DEA5,2,0.865
2011,NUTS,2010,DEB,1,3.378
2012,NUTS,2010,DEB,1,0.162
2011,NUTS,2010,DEB1,2,7.157
2011,NUTS,2010,DEB3,2,1.489
2012,NUTS,2010,DEB3,2,0.324
2011,NUTS,2010,DEC,1,2.11
2011,NUTS,2010,DED,1,0.476
2012,NUTS,2010,DED,1,0.646
2011,NUTS,2010,DED2,2,1.216
2012,NUTS,2010,DED2,2,1.245
2012,NUTS,2010,DED4,2,0.446
2012,NUTS,2010,DEE,1,0.344
2012,NUTS,2010,DEE0,2,0.344
2011,NUTS,2010,DEF,1,7.422
2012,NUTS,2010,DEF,1,16.287
2011,NUTS,2010,DEF0,2,7.422
2012,NUTS,2010,DEF0,2,16.287
2011,NUTS,2010,DEG,1,1.282
2012,NUTS,2010,DEG,1,0.287
2011,NUTS,2010,DEG0,2,1.282
2012,NUTS,2010,DEG0,2,0.287
2011,NUTS,2010,DK,0,2.565
2012,NUTS,2010,DK,0,0.344
2011,NUTS,2010,DK0,1,2.565
2012,NUTS,2010,DK0,1,0.344
2011,NUTS,2010,DK01,2,0.531
2011,NUTS,2010,DK02,2,3.597
2011,NUTS,2010,DK03,2,5.745
2012,NUTS,2010,DK03,2,1.655
2011,NUTS,2010,DK04,2,3.021
2011,NUTS,2010,ES,0,1.159
2012,NUTS,2010,ES,0,1.55
2011,NUTS,2010,ES2,1,0.447
2012,NUTS,2010,ES2,1,0.302
2012,NUTS,2010,ES21,2,0.626
2011,NUTS,2010,ES22,2,3.119
2011,NUTS,2010,ES3,1,6.706
2012,NUTS,2010,ES3,1,8.864
2011,NUTS,2010,ES30,2,6.706
2012,NUTS,2010,ES30,2,8.864
2011,NUTS,2010,ES4,1,0.368
2012,NUTS,2010,ES4,1,0.184
2012,NUTS,2010,ES41,2,0.42
2011,NUTS,2010,ES42,2,0.979
2011,NUTS,2010,ES5,1,0.284
2012,NUTS,2010,ES5,1,0.286
2011,NUTS,2010,ES51,2,0.504
2012,NUTS,2010,ES51,2,0.511
2012,NUTS,2010,ES6,1,0.448
2012,NUTS,2010,ES61,2,0.289
2012,NUTS,2010,ES62,2,1.372
2011,NUTS,2010,FI,0,0.746
2012,NUTS,2010,FI,0,0.268
2011,NUTS,2010,FI1,1,0.75
2012,NUTS,2010,FI1,1,0.251
2011,NUTS,2010,FI1B,2,1.187
2012,NUTS,2010,FI1B,2,0.787
2011,NUTS,2010,FI1C,2,1.783
2011,NUTS,2010,FR,0,8.713
2012,NUTS,2010,FR,0,6.725
2011,NUTS,2010,FR1,1,12.223
2012,NUTS,2010,FR1,1,10.336
2011,NUTS,2010,FR10,2,12.223
2012,NUTS,2010,FR10,2,10.336
2011,NUTS,2010,FR2,1,6.733
2012,NUTS,2010,FR2,1,3.547
2011,NUTS,2010,FR22,2,0.583
2012,NUTS,2010,FR22,2,0.888
2011,NUTS,2010,FR23,2,24.189
2012,NUTS,2010,FR23,2,10.746
2011,NUTS,2010,FR24,2,8.447
2012,NUTS,2010,FR24,2,6.379
2011,NUTS,2010,FR25,2,0.803
2011,NUTS,2010,FR26,2,2.078
2011,NUTS,2010,FR3,1,0.757
2011,NUTS,2010,FR30,2,0.757
2011,NUTS,2010,FR4,1,0.101
2011,NUTS,2010,FR41,2,0.238
2011,NUTS,2010,FR5,1,2.632
2012,NUTS,2010,FR5,1,1.032
2011,NUTS,2010,FR51,2,3.699
2012,NUTS,2010,FR51,2,1.449
2011,NUTS,2010,FR52,2,0.717
2012,NUTS,2010,FR52,2,0.353
2011,NUTS,2010,FR53,2,3.861
2012,NUTS,2010,FR53,2,1.374
2011,NUTS,2010,FR6,1,28.895
2012,NUTS,2010,FR6,1,20.902
2011,NUTS,2010,FR61,2,5.822
2012,NUTS,2010,FR61,2,7.304
2011,NUTS,2010,FR62,2,60.562
2012,NUTS,2010,FR62,2,40.479
2012,NUTS,2010,FR63,2,0.801
2011,NUTS,2010,FR7,1,1.737
2012,NUTS,2010,FR7,1,1.354
2011,NUTS,2010,FR71,2,1.399
2012,NUTS,2010,FR71,2,1.632
2011,NUTS,2010,FR72,2,3.369
2011,NUTS,2010,FR8,1,13.442
2012,NUTS,2010,FR8,1,14.063
2011,NUTS,2010,FR81,2,0.912
2011,NUTS,2010,FR82,2,20.432
2012,NUTS,2010,FR82,2,21.488
2012,NUTS,2010,FR83,2,6.039
2011,NUTS,2010,HU,0,0.059
2011,NUTS,2010,HU1,1,0.189
2011,NUTS,2010,HU10,2,0.189
2011,NUTS,2010,IT,0,1.196
2012,NUTS,2010,IT,0,0.752
2011,NUTS,2010,ITC,1,2.896
2012,NUTS,2010,ITC,1,1.932
2011,NUTS,2010,ITC1,2,3.36
2011,NUTS,2010,ITC3,2,2.973
2012,NUTS,2010,ITC3,2,1.482
2011,NUTS,2010,ITC4,2,2.715
2012,NUTS,2010,ITC4,2,2.881
2011,NUTS,2010,ITF,1,0.209
2012,NUTS,2010,ITF,1,0.399
2011,NUTS,2010,ITF3,2,0.541
2012,NUTS,2010,ITF3,2,1.018
2011,NUTS,2010,ITG,1,0.424
2012,NUTS,2010,ITG,1,0.414
2011,NUTS,2010,ITG1,2,0.596
2012,NUTS,2010,ITG1,2,0.581
2011,NUTS,2010,ITH,1,0.617
2012,NUTS,2010,ITH,1,0.187
2011,NUTS,2010,ITH1,2,4.057
2011,NUTS,2010,ITH3,2,0.113
2012,NUTS,2010,ITH4,2,1.861
2011,NUTS,2010,ITH5,2,0.98
2011,NUTS,2010,ITI,1,0.505
2012,NUTS,2010,ITI,1,0.191
2011,NUTS,2010,ITI1,2,0.152
2011,NUTS,2010,ITI2,2,0.864
2011,NUTS,2010,ITI4,2,0.831
2012,NUTS,2010,ITI4,2,0.404
2012,NUTS,2010,LU,0,4.018
2012,NUTS,2010,LU0,1,4.018
2012,NUTS,2010,LU00,2,4.018
2012,NUTS,2010,LV,0,0.97
2012,NUTS,2010,LV0,1,0.97
2012,NUTS,2010,LV00,2,0.97
2011,NUTS,2010,NL,0,0.596
2012,NUTS,2010,NL,0,1.174
2011,NUTS,2010,NL2,1,0.651
2012,NUTS,2010,NL2,1,1.17
2012,NUTS,2010,NL21,2,0.846
2011,NUTS,2010,NL22,2,1.15
2012,NUTS,2010,NL22,2,1.116
2012,NUTS,2010,NL23,2,2.329
2011,NUTS,2010,NL3,1,0.675
2012,NUTS,2010,NL3,1,1.705
2012,NUTS,2010,NL31,2,0.613
2011,NUTS,2010,NL32,2,1.058
2012,NUTS,2010,NL32,2,3.183
2011,NUTS,2010,NL33,2,0.688
2012,NUTS,2010,NL33,2,1.119
2011,NUTS,2010,NL4,1,0.643
2012,NUTS,2010,NL4,1,0.53
2011,NUTS,2010,NL41,2,0.922
2012,NUTS,2010,NL41,2,0.759
2011,NUTS,2010,NO,0,1.527
2012,NUTS,2010,NO,0,0.562
2011,NUTS,2010,NO0,1,1.527
2012,NUTS,2010,NO0,1,0.562
2011,NUTS,2010,NO01,2,1.539
2012,NUTS,2010,NO01,2,1.133
2012,NUTS,2010,NO03,2,1.516
2011,NUTS,2010,NO04,2,5.242
2011,NUTS,2010,NO05,2,2.201
2011,NUTS,2010,PL,0,0.083
2012,NUTS,2010,PL,0,0.077
2011,NUTS,2010,PL1,1,0.361
2012,NUTS,2010,PL1,1,0.1
2011,NUTS,2010,PL12,2,0.548
2012,NUTS,2010,PL12,2,0.15
2012,NUTS,2010,PL2,1,0.169
2012,NUTS,2010,PL22,2,0.285
2012,NUTS,2010,PL5,1,0.203
2012,NUTS,2010,PL51,2,0.27
2011,NUTS,2010,PT,0,0.184
2011,NUTS,2010,PT1,1,0.193
2011,NUTS,2010,PT17,2,0.703
2011,NUTS,2010,SE,0,1.594
2012,NUTS,2010,SE,0,1.729
2011,NUTS,2010,SE1,1,4.049
2012,NUTS,2010,SE1,1,3.243
2011,NUTS,2010,SE11,2,0.711
2012,NUTS,2010,SE11,2,1.474
2011,NUTS,2010,SE12,2,8.876
2012,NUTS,2010,SE12,2,5.814
2012,NUTS,2010,SE2,1,1.03
2012,NUTS,2010,SE21,2,0.585
2012,NUTS,2010,SE22,2,2.729
2011,NUTS,2010,SK,0,0.56
2012,NUTS,2010,SK,0,0.369
2011,NUTS,2010,SK0,1,0.56
2012,NUTS,2010,SK0,1,0.369
2011,NUTS,2010,SK02,2,1.615
2012,NUTS,2010,SK02,2,1.07
2011,NUTS,2010,TR,0,0.038
2012,NUTS,2010,TR,0,0.037
2011,NUTS,2010,TR5,1,0.405
2012,NUTS,2010,TR5,1,0.396
2011,NUTS,2010,TR51,2,0.593
2012,NUTS,2010,TR51,2,0.572
2011,NUTS,2010,UK,0,3.036
2012,NUTS,2010,UK,0,2.392
2011,NUTS,2010,UKC,1,0.534
2011,NUTS,2010,UKC2,2,0.97
2011,NUTS,2010,UKD,1,1.438
2012,NUTS,2010,UKD,1,0.285
2011,NUTS,2010,UKD4,2,7.067
2012,NUTS,2010,UKD4,2,1.393
2011,NUTS,2010,UKE,1,0.769
2012,NUTS,2010,UKE,1,0.189
2011,NUTS,2010,UKE1,2,4.268
2012,NUTS,2010,UKE3,2,0.743
2011,NUTS,2010,UKF,1,9.452
2012,NUTS,2010,UKF,1,2.608
2011,NUTS,2010,UKF1,2,20.042
2012,NUTS,2010,UKF1,2,4.704
2011,NUTS,2010,UKF2,2,1.131
2012,NUTS,2010,UKF2,2,1.119
2011,NUTS,2010,UKG,1,0.812
2012,NUTS,2010,UKG,1,1.559
2011,NUTS,2010,UKG1,2,1.851
2012,NUTS,2010,UKG1,2,3.276
2011,NUTS,2010,UKG2,2,0.628
2012,NUTS,2010,UKG2,2,1.262
2011,NUTS,2010,UKG3,2,0.395
2012,NUTS,2010,UKG3,2,0.832
2011,NUTS,2010,UKH,1,2.206
2012,NUTS,2010,UKH,1,1.577
2011,NUTS,2010,UKH1,2,0.812
2011,NUTS,2010,UKH2,2,4.068
2012,NUTS,2010,UKH2,2,4.124
2011,NUTS,2010,UKH3,2,2.248
2012,NUTS,2010,UKH3,2,1.122
2011,NUTS,2010,UKI,1,0.311
2012,NUTS,2010,UKI,1,0.612
2011,NUTS,2010,UKI1,2,0.576
2011,NUTS,2010,UKI2,2,0.13
2011,NUTS,2010,UKJ,1,1.999
2012,NUTS,2010,UKJ,1,0.964
2011,NUTS,2010,UKJ1,2,1.72
2012,NUTS,2010,UKJ1,2,0.802
2011,NUTS,2010,UKJ2,2,1.423
2011,NUTS,2010,UKJ3,2,3.403
2012,NUTS,2010,UKJ3,2,3.408
2011,NUTS,2010,UKJ4,2,1.752
2011,NUTS,2010,UKK,1,16.116
2012,NUTS,2010,UKK,1,14.058
2011,NUTS,2010,UKK1,2,32.737
2012,NUTS,2010,UKK1,2,28.618
2011,NUTS,2010,UKK2,2,4.76
2012,NUTS,2010,UKK2,2,1.607
2012,NUTS,2010,UKK3,2,5.272
2012,NUTS,2010,UKL,1,7.03
2012,NUTS,2010,UKL1,2,10.964
2012,NUTS,2010,UKL2,2,0.587
2012,NUTS,2010,UKM,1,0.185
2012,NUTS,2010,UKM3,2,0.458
2011,NUTS,2010,UKN,1,3.49
2011,NUTS,2010,UKN0,2,3.49
