year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_p_mact_cab
2011,NUTS,2010,AT,0,11.657
2012,NUTS,2010,AT,0,13.854
2011,NUTS,2010,AT1,1,10.478
2012,NUTS,2010,AT1,1,12.868
2011,NUTS,2010,AT12,2,12.234
2012,NUTS,2010,AT12,2,13.987
2011,NUTS,2010,AT13,2,10.506
2012,NUTS,2010,AT13,2,13.908
2011,NUTS,2010,AT2,1,15.239
2012,NUTS,2010,AT2,1,13.792
2012,NUTS,2010,AT21,2,13.817
2011,NUTS,2010,AT22,2,21.977
2012,NUTS,2010,AT22,2,13.781
2011,NUTS,2010,AT3,1,10.806
2012,NUTS,2010,AT3,1,14.808
2011,NUTS,2010,AT31,2,9.114
2012,NUTS,2010,AT31,2,16.579
2011,NUTS,2010,AT32,2,13.509
2012,NUTS,2010,AT32,2,9.227
2011,NUTS,2010,AT33,2,5.447
2012,NUTS,2010,AT33,2,18.692
2011,NUTS,2010,AT34,2,23.67
2012,NUTS,2010,AT34,2,8.577
2011,NUTS,2010,BE,0,15.484
2012,NUTS,2010,BE,0,19.142
2011,NUTS,2010,BE1,1,12.07
2012,NUTS,2010,BE1,1,21.125
2011,NUTS,2010,BE10,2,12.07
2012,NUTS,2010,BE10,2,21.125
2011,NUTS,2010,BE2,1,20.578
2012,NUTS,2010,BE2,1,27.478
2011,NUTS,2010,BE21,2,28.994
2012,NUTS,2010,BE21,2,48.671
2011,NUTS,2010,BE22,2,7.453
2012,NUTS,2010,BE22,2,2.583
2011,NUTS,2010,BE23,2,19.994
2012,NUTS,2010,BE23,2,24.785
2011,NUTS,2010,BE24,2,31.483
2012,NUTS,2010,BE24,2,37.384
2011,NUTS,2010,BE25,2,7.944
2012,NUTS,2010,BE25,2,7.558
2011,NUTS,2010,BE3,1,6.002
2012,NUTS,2010,BE3,1,2.416
2011,NUTS,2010,BE31,2,20.649
2012,NUTS,2010,BE31,2,8.372
2011,NUTS,2010,BE32,2,2.92
2011,NUTS,2010,BE33,2,6.22
2012,NUTS,2010,BE33,2,4.724
2011,NUTS,2010,BE35,2,4.926
2011,NUTS,2010,BG,0,0.599
2012,NUTS,2010,BG,0,0.798
2012,NUTS,2010,BG3,1,0.568
2012,NUTS,2010,BG31,2,0.524
2012,NUTS,2010,BG32,2,1.346
2012,NUTS,2010,BG34,2,0.521
2011,NUTS,2010,BG4,1,1.166
2012,NUTS,2010,BG4,1,1.015
2011,NUTS,2010,BG41,2,1.872
2012,NUTS,2010,BG41,2,1.483
2012,NUTS,2010,BG42,2,0.258
2011,NUTS,2010,CH,0,22.743
2012,NUTS,2010,CH,0,20.964
2011,NUTS,2010,CH0,1,22.633
2012,NUTS,2010,CH0,1,20.658
2011,NUTS,2010,CH01,2,22.638
2012,NUTS,2010,CH01,2,29.52
2011,NUTS,2010,CH02,2,17.818
2012,NUTS,2010,CH02,2,15.337
2011,NUTS,2010,CH03,2,23.856
2012,NUTS,2010,CH03,2,22.383
2011,NUTS,2010,CH04,2,38.942
2012,NUTS,2010,CH04,2,33.696
2011,NUTS,2010,CH05,2,12.756
2012,NUTS,2010,CH05,2,8.824
2011,NUTS,2010,CH06,2,23.581
2012,NUTS,2010,CH06,2,11.16
2011,NUTS,2010,CH07,2,4.611
2012,NUTS,2010,CH07,2,11.344
2012,NUTS,2010,CY,0,2.29
2012,NUTS,2010,CY0,1,2.29
2012,NUTS,2010,CY00,2,2.29
2011,NUTS,2010,CZ,0,1.939
2012,NUTS,2010,CZ,0,1.067
2011,NUTS,2010,CZ0,1,1.748
2012,NUTS,2010,CZ0,1,1.067
2011,NUTS,2010,CZ01,2,4.067
2012,NUTS,2010,CZ01,2,5.34
2011,NUTS,2010,CZ02,2,2.939
2011,NUTS,2010,CZ04,2,3.588
2011,NUTS,2010,CZ06,2,3.098
2012,NUTS,2010,CZ06,2,1.897
2012,NUTS,2010,CZ07,2,0.548
2012,NUTS,2010,CZ08,2,0.217
2011,NUTS,2010,DE,0,23.051
2012,NUTS,2010,DE,0,20.232
2011,NUTS,2010,DE1,1,46.359
2012,NUTS,2010,DE1,1,40.729
2011,NUTS,2010,DE11,2,31.26
2012,NUTS,2010,DE11,2,20.686
2011,NUTS,2010,DE12,2,91.757
2012,NUTS,2010,DE12,2,93.761
2011,NUTS,2010,DE13,2,25.46
2012,NUTS,2010,DE13,2,29.836
2011,NUTS,2010,DE14,2,38.005
2012,NUTS,2010,DE14,2,19.317
2011,NUTS,2010,DE2,1,47.765
2012,NUTS,2010,DE2,1,39.49
2011,NUTS,2010,DE21,2,82.218
2012,NUTS,2010,DE21,2,63.875
2011,NUTS,2010,DE22,2,8.047
2012,NUTS,2010,DE22,2,2.834
2011,NUTS,2010,DE23,2,25.397
2012,NUTS,2010,DE23,2,28.04
2011,NUTS,2010,DE24,2,9.027
2012,NUTS,2010,DE24,2,14.792
2011,NUTS,2010,DE25,2,77.753
2012,NUTS,2010,DE25,2,61.917
2011,NUTS,2010,DE26,2,22.34
2012,NUTS,2010,DE26,2,9.86
2011,NUTS,2010,DE27,2,14.83
2012,NUTS,2010,DE27,2,24.134
2011,NUTS,2010,DE3,1,34.5
2012,NUTS,2010,DE3,1,27.241
2011,NUTS,2010,DE30,2,34.5
2012,NUTS,2010,DE30,2,27.241
2011,NUTS,2010,DE4,1,9.057
2012,NUTS,2010,DE4,1,10.818
2011,NUTS,2010,DE40,2,9.057
2012,NUTS,2010,DE40,2,10.818
2011,NUTS,2010,DE5,1,13.451
2012,NUTS,2010,DE5,1,4.68
2011,NUTS,2010,DE50,2,13.451
2012,NUTS,2010,DE50,2,4.68
2011,NUTS,2010,DE6,1,10.608
2012,NUTS,2010,DE6,1,11.584
