year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_p_mhab_cte
1990,NUTS,2010,AT,0,2.725
1991,NUTS,2010,AT,0,1.384
1992,NUTS,2010,AT,0,1.164
1993,NUTS,2010,AT,0,1.459
1994,NUTS,2010,AT,0,3.405
1995,NUTS,2010,AT,0,3.745
1996,NUTS,2010,AT,0,3.693
1997,NUTS,2010,AT,0,3.725
1998,NUTS,2010,AT,0,5.31
1999,NUTS,2010,AT,0,6.761
2000,NUTS,2010,AT,0,5.006
2001,NUTS,2010,AT,0,6.623
2002,NUTS,2010,AT,0,12.408
2003,NUTS,2010,AT,0,11.296
2004,NUTS,2010,AT,0,7.285
2005,NUTS,2010,AT,0,12.074
2006,NUTS,2010,AT,0,14.219
2007,NUTS,2010,AT,0,13.455
2008,NUTS,2010,AT,0,5.823
2009,NUTS,2010,AT,0,5.095
2010,NUTS,2010,AT,0,5.001
2011,NUTS,2010,AT,0,6.462
2012,NUTS,2010,AT,0,5.733
2000,NUTS,2010,AT1,1,8.697
2001,NUTS,2010,AT1,1,11.691
2002,NUTS,2010,AT1,1,20.354
2003,NUTS,2010,AT1,1,20.11
2004,NUTS,2010,AT1,1,14.612
2005,NUTS,2010,AT1,1,23.322
2006,NUTS,2010,AT1,1,26.301
2007,NUTS,2010,AT1,1,22.633
2008,NUTS,2010,AT1,1,8.921
2009,NUTS,2010,AT1,1,4.17
2010,NUTS,2010,AT1,1,5.383
2011,NUTS,2010,AT1,1,9.069
2012,NUTS,2010,AT1,1,6.85
2000,NUTS,2010,AT11,2,0.905
2002,NUTS,2010,AT11,2,0.904
2004,NUTS,2010,AT11,2,4.516
2005,NUTS,2010,AT11,2,1.798
2006,NUTS,2010,AT11,2,0.466
2007,NUTS,2010,AT11,2,2.964
2009,NUTS,2010,AT11,2,3.819
2010,NUTS,2010,AT11,2,3.349
2011,NUTS,2010,AT11,2,2.354
2004,NUTS,2010,AT111,3,26.567
2002,NUTS,2010,AT112,3,1.772
2004,NUTS,2010,AT112,3,1.761
2005,NUTS,2010,AT112,3,3.494
2006,NUTS,2010,AT112,3,0.901
2007,NUTS,2010,AT112,3,3.445
2009,NUTS,2010,AT112,3,7.315
2010,NUTS,2010,AT112,3,5.048
2007,NUTS,2010,AT113,3,3.386
2010,NUTS,2010,AT113,3,2.049
2011,NUTS,2010,AT113,3,6.868
2000,NUTS,2010,AT12,2,5.211
2001,NUTS,2010,AT12,2,8.659
2002,NUTS,2010,AT12,2,10.96
2003,NUTS,2010,AT12,2,7.216
2004,NUTS,2010,AT12,2,4.604
2005,NUTS,2010,AT12,2,11.205
2006,NUTS,2010,AT12,2,8.143
2007,NUTS,2010,AT12,2,6.547
2008,NUTS,2010,AT12,2,3.591
2009,NUTS,2010,AT12,2,3.481
2010,NUTS,2010,AT12,2,3.842
2011,NUTS,2010,AT12,2,5.02
2012,NUTS,2010,AT12,2,6.349
2001,NUTS,2010,AT121,3,1.39
2003,NUTS,2010,AT121,3,4.211
2005,NUTS,2010,AT121,3,0.586
2006,NUTS,2010,AT121,3,6.245
2007,NUTS,2010,AT121,3,1.704
2009,NUTS,2010,AT121,3,7.248
2001,NUTS,2010,AT122,3,2.733
2002,NUTS,2010,AT122,3,6.093
2003,NUTS,2010,AT122,3,2.026
2004,NUTS,2010,AT122,3,10.401
2005,NUTS,2010,AT122,3,16.708
2007,NUTS,2010,AT122,3,3.976
2010,NUTS,2010,AT122,3,4.953
2011,NUTS,2010,AT122,3,3.958
2012,NUTS,2010,AT122,3,5.927
2001,NUTS,2010,AT123,3,3.527
2002,NUTS,2010,AT123,3,2.318
2005,NUTS,2010,AT123,3,6.334
2006,NUTS,2010,AT123,3,2.255
2008,NUTS,2010,AT123,3,3.393
2001,NUTS,2010,AT124,3,20.841
2002,NUTS,2010,AT124,3,4.835
2003,NUTS,2010,AT124,3,4.487
2005,NUTS,2010,AT124,3,3.556
2006,NUTS,2010,AT124,3,6.754
2008,NUTS,2010,AT124,3,5.654
2002,NUTS,2010,AT125,3,3.406
2003,NUTS,2010,AT125,3,8.113
2004,NUTS,2010,AT125,3,5.44
2005,NUTS,2010,AT125,3,16.86
2006,NUTS,2010,AT125,3,2.67
2007,NUTS,2010,AT125,3,2.345
2008,NUTS,2010,AT125,3,3.232
2010,NUTS,2010,AT125,3,6.707
2011,NUTS,2010,AT125,3,10.767
2001,NUTS,2010,AT126,3,18.125
2002,NUTS,2010,AT126,3,20.399
2003,NUTS,2010,AT126,3,12.786
2004,NUTS,2010,AT126,3,7.668
2005,NUTS,2010,AT126,3,14.166
2006,NUTS,2010,AT126,3,13.176
2007,NUTS,2010,AT126,3,9.613
2008,NUTS,2010,AT126,3,6.709
2009,NUTS,2010,AT126,3,9.944
2010,NUTS,2010,AT126,3,3.294
2011,NUTS,2010,AT126,3,11.991
2012,NUTS,2010,AT126,3,17.034
2001,NUTS,2010,AT127,3,7.434
2002,NUTS,2010,AT127,3,26.994
2003,NUTS,2010,AT127,3,13.851
2004,NUTS,2010,AT127,3,5.856
2005,NUTS,2010,AT127,3,17.891
2006,NUTS,2010,AT127,3,17.543
2007,NUTS,2010,AT127,3,18.942
2008,NUTS,2010,AT127,3,5.055
2009,NUTS,2010,AT127,3,2.634
2010,NUTS,2010,AT127,3,9.718
2011,NUTS,2010,AT127,3,6.53
2012,NUTS,2010,AT127,3,10.905
2000,NUTS,2010,AT13,2,13.542
2001,NUTS,2010,AT13,2,16.764
2002,NUTS,2010,AT13,2,33.015
2003,NUTS,2010,AT13,2,36.143
2004,NUTS,2010,AT13,2,26.031
2005,NUTS,2010,AT13,2,38.632
2006,NUTS,2010,AT13,2,48.032
2007,NUTS,2010,AT13,2,41.33
2008,NUTS,2010,AT13,2,15.51
2009,NUTS,2010,AT13,2,4.881
2010,NUTS,2010,AT13,2,7.189
