year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_p_mhab_ht
1990,NUTS,2010,AT,0,6.941
1991,NUTS,2010,AT,0,7.142
1992,NUTS,2010,AT,0,7.391
1993,NUTS,2010,AT,0,7.01
1994,NUTS,2010,AT,0,9.619
1995,NUTS,2010,AT,0,9.512
1996,NUTS,2010,AT,0,9.836
1997,NUTS,2010,AT,0,11.095
1998,NUTS,2010,AT,0,13.137
1999,NUTS,2010,AT,0,18.91
2000,NUTS,2010,AT,0,18.67
2001,NUTS,2010,AT,0,24.026
2002,NUTS,2010,AT,0,27.712
2003,NUTS,2010,AT,0,29.685
2004,NUTS,2010,AT,0,24.362
2005,NUTS,2010,AT,0,29.21
2006,NUTS,2010,AT,0,36.94
2007,NUTS,2010,AT,0,36.528
2008,NUTS,2010,AT,0,22.657
2009,NUTS,2010,AT,0,25.96
2010,NUTS,2010,AT,0,22.676
2011,NUTS,2010,AT,0,25.807
2012,NUTS,2010,AT,0,23.336
2000,NUTS,2010,AT1,1,23.995
2001,NUTS,2010,AT1,1,34.841
2002,NUTS,2010,AT1,1,36.746
2003,NUTS,2010,AT1,1,42.496
2004,NUTS,2010,AT1,1,35.012
2005,NUTS,2010,AT1,1,43.583
2006,NUTS,2010,AT1,1,53.72
2007,NUTS,2010,AT1,1,54.738
2008,NUTS,2010,AT1,1,25.989
2009,NUTS,2010,AT1,1,19.706
2010,NUTS,2010,AT1,1,20.34
2011,NUTS,2010,AT1,1,25.046
2012,NUTS,2010,AT1,1,20.687
2000,NUTS,2010,AT11,2,7.928
2001,NUTS,2010,AT11,2,4.82
2002,NUTS,2010,AT11,2,3.904
2003,NUTS,2010,AT11,2,13.56
2004,NUTS,2010,AT11,2,10.044
2005,NUTS,2010,AT11,2,2.266
2006,NUTS,2010,AT11,2,11.5
2007,NUTS,2010,AT11,2,16.068
2008,NUTS,2010,AT11,2,10.214
2009,NUTS,2010,AT11,2,20.617
2010,NUTS,2010,AT11,2,12.161
2011,NUTS,2010,AT11,2,11.139
2012,NUTS,2010,AT11,2,10.498
2004,NUTS,2010,AT111,3,26.567
2009,NUTS,2010,AT111,3,26.687
2001,NUTS,2010,AT112,3,4.13
2002,NUTS,2010,AT112,3,7.657
2003,NUTS,2010,AT112,3,19.454
2004,NUTS,2010,AT112,3,1.761
2005,NUTS,2010,AT112,3,4.403
2006,NUTS,2010,AT112,3,3.19
2007,NUTS,2010,AT112,3,10.336
2009,NUTS,2010,AT112,3,24.249
2010,NUTS,2010,AT112,3,5.048
2011,NUTS,2010,AT112,3,13.376
2012,NUTS,2010,AT112,3,3.322
2001,NUTS,2010,AT113,3,7.668
2003,NUTS,2010,AT113,3,10.259
2004,NUTS,2010,AT113,3,15.743
2006,NUTS,2010,AT113,3,28.203
2007,NUTS,2010,AT113,3,30.781
2008,NUTS,2010,AT113,3,29.509
2009,NUTS,2010,AT113,3,12.798
2010,NUTS,2010,AT113,3,27.665
2011,NUTS,2010,AT113,3,11.993
2012,NUTS,2010,AT113,3,25.583
2000,NUTS,2010,AT12,2,16.911
2001,NUTS,2010,AT12,2,23.015
2002,NUTS,2010,AT12,2,20.755
2003,NUTS,2010,AT12,2,16.408
2004,NUTS,2010,AT12,2,9.067
2005,NUTS,2010,AT12,2,18.541
2006,NUTS,2010,AT12,2,20.329
2007,NUTS,2010,AT12,2,16.858
2008,NUTS,2010,AT12,2,15.042
2009,NUTS,2010,AT12,2,14.455
2010,NUTS,2010,AT12,2,13.033
2011,NUTS,2010,AT12,2,19.217
2012,NUTS,2010,AT12,2,17.795
2001,NUTS,2010,AT121,3,3.496
2003,NUTS,2010,AT121,3,10.105
2004,NUTS,2010,AT121,3,2.815
2005,NUTS,2010,AT121,3,3.514
2006,NUTS,2010,AT121,3,15.655
2007,NUTS,2010,AT121,3,1.704
2008,NUTS,2010,AT121,3,4.981
2009,NUTS,2010,AT121,3,16.567
2010,NUTS,2010,AT121,3,5.183
2011,NUTS,2010,AT121,3,15.892
2012,NUTS,2010,AT121,3,2.075
2001,NUTS,2010,AT122,3,12.277
2002,NUTS,2010,AT122,3,6.621
2003,NUTS,2010,AT122,3,3.566
2004,NUTS,2010,AT122,3,12.577
2005,NUTS,2010,AT122,3,16.708
2006,NUTS,2010,AT122,3,6.974
2007,NUTS,2010,AT122,3,8.071
2008,NUTS,2010,AT122,3,6.954
2009,NUTS,2010,AT122,3,7.413
2010,NUTS,2010,AT122,3,4.953
2011,NUTS,2010,AT122,3,7.915
2012,NUTS,2010,AT122,3,14.817
2001,NUTS,2010,AT123,3,11.64
2002,NUTS,2010,AT123,3,7.025
2003,NUTS,2010,AT123,3,3.5
2004,NUTS,2010,AT123,3,6.95
2005,NUTS,2010,AT123,3,16.661
2006,NUTS,2010,AT123,3,14.625
2007,NUTS,2010,AT123,3,13.271
2008,NUTS,2010,AT123,3,12.35
2009,NUTS,2010,AT123,3,2.233
2010,NUTS,2010,AT123,3,1.689
2011,NUTS,2010,AT123,3,24.756
2012,NUTS,2010,AT123,3,1.683
2001,NUTS,2010,AT124,3,29.767
2002,NUTS,2010,AT124,3,7.073
2003,NUTS,2010,AT124,3,4.487
2005,NUTS,2010,AT124,3,3.556
2006,NUTS,2010,AT124,3,10.132
2007,NUTS,2010,AT124,3,6.591
2008,NUTS,2010,AT124,3,7.916
2009,NUTS,2010,AT124,3,4.348
2010,NUTS,2010,AT124,3,10.225
2011,NUTS,2010,AT124,3,2.415
2012,NUTS,2010,AT124,3,6.063
2001,NUTS,2010,AT125,3,2.677
2002,NUTS,2010,AT125,3,15.569
2003,NUTS,2010,AT125,3,11.358
2004,NUTS,2010,AT125,3,7.47
2005,NUTS,2010,AT125,3,20.913
2006,NUTS,2010,AT125,3,20.466
2007,NUTS,2010,AT125,3,28.135
2008,NUTS,2010,AT125,3,12.199
2009,NUTS,2010,AT125,3,2.663
2010,NUTS,2010,AT125,3,13.172
2011,NUTS,2010,AT125,3,10.767
2012,NUTS,2010,AT125,3,2.026
2001,NUTS,2010,AT126,3,53.469
2002,NUTS,2010,AT126,3,41.662
2003,NUTS,2010,AT126,3,45.217
2004,NUTS,2010,AT126,3,13.356
2005,NUTS,2010,AT126,3,28.75
2006,NUTS,2010,AT126,3,25.63
2007,NUTS,2010,AT126,3,35.295
2008,NUTS,2010,AT126,3,38.575
2009,NUTS,2010,AT126,3,22.209
2010,NUTS,2010,AT126,3,22.364
2011,NUTS,2010,AT126,3,31.726
2012,NUTS,2010,AT126,3,44.03
2001,NUTS,2010,AT127,3,28.024
2002,NUTS,2010,AT127,3,48.883
2003,NUTS,2010,AT127,3,22.229
2004,NUTS,2010,AT127,3,15.494
2005,NUTS,2010,AT127,3,33.141
