year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_p_mhab_mge
2011,NUTS,2010,AT,0,7.102
2012,NUTS,2010,AT,0,4.86
2011,NUTS,2010,AT1,1,9.005
2012,NUTS,2010,AT1,1,6.787
2011,NUTS,2010,AT11,2,1.757
2011,NUTS,2010,AT112,3,3.344
2011,NUTS,2010,AT12,2,5.033
2012,NUTS,2010,AT12,2,5.253
2011,NUTS,2010,AT123,3,18.011
2011,NUTS,2010,AT124,3,2.415
2011,NUTS,2010,AT126,3,11.566
2012,NUTS,2010,AT126,3,15.347
2011,NUTS,2010,AT127,3,4.27
2012,NUTS,2010,AT127,3,11.653
2011,NUTS,2010,AT13,2,13.971
2012,NUTS,2010,AT13,2,9.359
2011,NUTS,2010,AT130,3,13.971
2012,NUTS,2010,AT130,3,9.359
2011,NUTS,2010,AT2,1,6.454
2012,NUTS,2010,AT2,1,2.884
2011,NUTS,2010,AT21,2,1.114
2012,NUTS,2010,AT21,2,0.809
2011,NUTS,2010,AT211,3,1.449
2012,NUTS,2010,AT211,3,1.625
2011,NUTS,2010,AT213,3,1.437
2011,NUTS,2010,AT22,2,8.918
2012,NUTS,2010,AT22,2,3.839
2011,NUTS,2010,AT221,3,25.272
2012,NUTS,2010,AT221,3,10.95
2011,NUTS,2010,AT222,3,2.763
2011,NUTS,2010,AT224,3,1.499
2012,NUTS,2010,AT224,3,0.75
2011,NUTS,2010,AT3,1,5.151
2012,NUTS,2010,AT3,1,3.711
2011,NUTS,2010,AT31,2,1.56
2012,NUTS,2010,AT31,2,0.983
2011,NUTS,2010,AT312,3,4.005
2012,NUTS,2010,AT312,3,1.358
2012,NUTS,2010,AT313,3,2.449
2012,NUTS,2010,AT315,3,0.609
2011,NUTS,2010,AT32,2,4.168
2012,NUTS,2010,AT32,2,2.511
2011,NUTS,2010,AT323,3,6.383
2012,NUTS,2010,AT323,3,3.842
2011,NUTS,2010,AT33,2,15.731
2012,NUTS,2010,AT33,2,10.54
2011,NUTS,2010,AT332,3,27.169
2012,NUTS,2010,AT332,3,14.536
2011,NUTS,2010,AT334,3,33.633
2012,NUTS,2010,AT335,3,13.744
2012,NUTS,2010,AT34,2,2.696
2012,NUTS,2010,AT342,3,3.533
2011,NUTS,2010,BE,0,6.227
2012,NUTS,2010,BE,0,4.107
2011,NUTS,2010,BE1,1,3.809
2012,NUTS,2010,BE1,1,1.501
2011,NUTS,2010,BE10,2,3.809
2012,NUTS,2010,BE10,2,1.501
2011,NUTS,2010,BE100,3,3.809
2012,NUTS,2010,BE100,3,1.501
2011,NUTS,2010,BE2,1,6.651
2012,NUTS,2010,BE2,1,4.748
2011,NUTS,2010,BE21,2,1.872
2012,NUTS,2010,BE21,2,2.54
2011,NUTS,2010,BE211,3,2.657
2012,NUTS,2010,BE211,3,2.744
2011,NUTS,2010,BE212,3,1.982
2012,NUTS,2010,BE212,3,3.029
2012,NUTS,2010,BE213,3,1.712
2011,NUTS,2010,BE22,2,1.275
2012,NUTS,2010,BE22,2,1.925
2011,NUTS,2010,BE221,3,0.605
2012,NUTS,2010,BE221,3,2.14
2012,NUTS,2010,BE222,3,3.18
2011,NUTS,2010,BE223,3,4.163
2011,NUTS,2010,BE23,2,18.731
2012,NUTS,2010,BE23,2,9.613
2011,NUTS,2010,BE231,3,3.899
2012,NUTS,2010,BE231,3,2.4
2011,NUTS,2010,BE232,3,3.602
2012,NUTS,2010,BE232,3,2.555
2011,NUTS,2010,BE233,3,9.064
2011,NUTS,2010,BE234,3,37.648
2012,NUTS,2010,BE234,3,20.656
2011,NUTS,2010,BE235,3,26.761
2012,NUTS,2010,BE235,3,12.355
2011,NUTS,2010,BE236,3,5.213
2012,NUTS,2010,BE236,3,1.035
2011,NUTS,2010,BE24,2,7.762
2012,NUTS,2010,BE24,2,8.558
2011,NUTS,2010,BE241,3,2.415
2012,NUTS,2010,BE241,3,3.221
2011,NUTS,2010,BE242,3,14.334
2012,NUTS,2010,BE242,3,15.129
2011,NUTS,2010,BE25,2,1.781
2012,NUTS,2010,BE25,2,0.571
2012,NUTS,2010,BE251,3,1.182
2011,NUTS,2010,BE252,3,4.997
2011,NUTS,2010,BE254,3,5.3
2011,NUTS,2010,BE255,3,2.163
2012,NUTS,2010,BE257,3,3.611
2011,NUTS,2010,BE3,1,6.176
2012,NUTS,2010,BE3,1,3.781
2011,NUTS,2010,BE31,2,29.741
2012,NUTS,2010,BE31,2,11.581
2011,NUTS,2010,BE310,3,29.741
2012,NUTS,2010,BE310,3,11.581
2011,NUTS,2010,BE32,2,5.327
2012,NUTS,2010,BE32,2,3.219
2011,NUTS,2010,BE322,3,5.254
2011,NUTS,2010,BE323,3,5.754
2012,NUTS,2010,BE323,3,7.847
2011,NUTS,2010,BE324,3,41.058
2012,NUTS,2010,BE324,3,7.168
2011,NUTS,2010,BE325,3,0.705
2012,NUTS,2010,BE325,3,2.157
2011,NUTS,2010,BE327,3,1.375
2012,NUTS,2010,BE327,3,9.104
