year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_smc_nr
2011,NUTS,2010,AT,0,48.29
2012,NUTS,2010,AT,0,47.7
2011,NUTS,2010,AT1,1,6.0
2012,NUTS,2010,AT1,1,4.25
2011,NUTS,2010,AT11,2,2.0
2012,NUTS,2010,AT11,2,1.75
2011,NUTS,2010,AT112,3,1.5
2011,NUTS,2010,AT113,3,0.5
2012,NUTS,2010,AT113,3,1.75
2011,NUTS,2010,AT12,2,3.0
2012,NUTS,2010,AT12,2,0.75
2011,NUTS,2010,AT121,3,2.5
2011,NUTS,2010,AT122,3,0.5
2012,NUTS,2010,AT122,3,0.25
2012,NUTS,2010,AT127,3,0.5
2011,NUTS,2010,AT13,2,1.0
2012,NUTS,2010,AT13,2,1.75
2011,NUTS,2010,AT130,3,1.0
2012,NUTS,2010,AT130,3,1.75
2011,NUTS,2010,AT2,1,15.83
2012,NUTS,2010,AT2,1,27.87
2011,NUTS,2010,AT21,2,3.17
2012,NUTS,2010,AT21,2,1.5
2011,NUTS,2010,AT211,3,1.92
2012,NUTS,2010,AT211,3,1.5
2011,NUTS,2010,AT212,3,1.0
2011,NUTS,2010,AT213,3,0.25
2011,NUTS,2010,AT22,2,12.67
2012,NUTS,2010,AT22,2,26.37
2011,NUTS,2010,AT221,3,7.67
2012,NUTS,2010,AT221,3,18.7
2011,NUTS,2010,AT222,3,0.5
2011,NUTS,2010,AT223,3,0.5
2012,NUTS,2010,AT223,3,1.03
2012,NUTS,2010,AT224,3,0.7
2011,NUTS,2010,AT225,3,4.0
2012,NUTS,2010,AT225,3,5.94
2011,NUTS,2010,AT3,1,26.46
2012,NUTS,2010,AT3,1,15.33
2011,NUTS,2010,AT31,2,15.96
2012,NUTS,2010,AT31,2,7.23
2011,NUTS,2010,AT311,3,12.37
2012,NUTS,2010,AT311,3,6.14
2011,NUTS,2010,AT312,3,1.92
2012,NUTS,2010,AT312,3,0.83
2011,NUTS,2010,AT314,3,1.42
2012,NUTS,2010,AT314,3,0.25
2011,NUTS,2010,AT315,3,0.25
2012,NUTS,2010,AT32,2,1.33
2012,NUTS,2010,AT323,3,1.33
2011,NUTS,2010,AT33,2,0.5
2012,NUTS,2010,AT33,2,1.82
2011,NUTS,2010,AT332,3,0.5
2012,NUTS,2010,AT332,3,1.65
2012,NUTS,2010,AT335,3,0.17
2011,NUTS,2010,AT34,2,10.0
2012,NUTS,2010,AT34,2,4.95
2011,NUTS,2010,AT341,3,2.83
2012,NUTS,2010,AT341,3,1.33
2011,NUTS,2010,AT342,3,7.17
2012,NUTS,2010,AT342,3,3.62
2012,NUTS,2010,ATX,1,0.25
2012,NUTS,2010,ATXX,2,0.25
2012,NUTS,2010,ATXXX,3,0.25
2011,NUTS,2010,BE,0,69.72
2012,NUTS,2010,BE,0,64.93
2011,NUTS,2010,BE1,1,7.43
2012,NUTS,2010,BE1,1,4.88
2011,NUTS,2010,BE10,2,7.43
2012,NUTS,2010,BE10,2,4.88
2011,NUTS,2010,BE100,3,7.43
2012,NUTS,2010,BE100,3,4.88
2011,NUTS,2010,BE2,1,51.14
2012,NUTS,2010,BE2,1,53.57
2011,NUTS,2010,BE21,2,1.92
2012,NUTS,2010,BE21,2,5.42
2011,NUTS,2010,BE211,3,0.25
2012,NUTS,2010,BE211,3,3.67
2011,NUTS,2010,BE212,3,0.5
2011,NUTS,2010,BE213,3,1.17
2012,NUTS,2010,BE213,3,1.75
2011,NUTS,2010,BE22,2,0.66
2012,NUTS,2010,BE22,2,1.58
2011,NUTS,2010,BE221,3,0.66
2012,NUTS,2010,BE221,3,1.25
2012,NUTS,2010,BE222,3,0.33
2011,NUTS,2010,BE23,2,4.33
2011,NUTS,2010,BE232,3,1.0
2011,NUTS,2010,BE233,3,0.17
2011,NUTS,2010,BE234,3,1.33
2011,NUTS,2010,BE235,3,1.0
2011,NUTS,2010,BE236,3,0.83
2011,NUTS,2010,BE24,2,40.73
2012,NUTS,2010,BE24,2,45.57
2011,NUTS,2010,BE241,3,0.45
2012,NUTS,2010,BE241,3,1.67
2011,NUTS,2010,BE242,3,40.28
2012,NUTS,2010,BE242,3,43.9
2011,NUTS,2010,BE25,2,3.5
2012,NUTS,2010,BE25,2,1.0
2011,NUTS,2010,BE251,3,0.5
2011,NUTS,2010,BE253,3,0.33
2011,NUTS,2010,BE255,3,1.67
2012,NUTS,2010,BE255,3,1.0
2011,NUTS,2010,BE257,3,1.0
2011,NUTS,2010,BE3,1,11.14
2012,NUTS,2010,BE3,1,6.48
2011,NUTS,2010,BE31,2,2.42
2012,NUTS,2010,BE31,2,2.9
2011,NUTS,2010,BE310,3,2.42
2012,NUTS,2010,BE310,3,2.9
2011,NUTS,2010,BE32,2,3.92
2012,NUTS,2010,BE32,2,0.85
2011,NUTS,2010,BE322,3,1.92
2011,NUTS,2010,BE323,3,0.33
2012,NUTS,2010,BE323,3,0.14
2012,NUTS,2010,BE325,3,0.17
2011,NUTS,2010,BE326,3,1.33
2011,NUTS,2010,BE327,3,0.33
2012,NUTS,2010,BE327,3,0.54
2011,NUTS,2010,BE33,2,2.31
2012,NUTS,2010,BE33,2,0.89
2011,NUTS,2010,BE331,3,0.14
2012,NUTS,2010,BE331,3,0.25
2011,NUTS,2010,BE332,3,0.67
2012,NUTS,2010,BE332,3,0.5
2011,NUTS,2010,BE334,3,1.0
2012,NUTS,2010,BE334,3,0.14
2011,NUTS,2010,BE336,3,0.5
2011,NUTS,2010,BE34,2,2.0
2011,NUTS,2010,BE341,3,1.0
2011,NUTS,2010,BE344,3,1.0
2011,NUTS,2010,BE35,2,0.5
2012,NUTS,2010,BE35,2,1.83
2011,NUTS,2010,BE352,3,0.5
2012,NUTS,2010,BE352,3,1.83
2011,NUTS,2010,CH,0,77.15
2012,NUTS,2010,CH,0,73.99
2011,NUTS,2010,CH0,1,73.67
2012,NUTS,2010,CH0,1,70.59
2011,NUTS,2010,CH01,2,7.67
2012,NUTS,2010,CH01,2,12.27
2011,NUTS,2010,CH011,3,6.33
2012,NUTS,2010,CH011,3,10.27
2011,NUTS,2010,CH013,3,1.33
2012,NUTS,2010,CH013,3,2.0
2011,NUTS,2010,CH02,2,11.38
2012,NUTS,2010,CH02,2,18.13
2011,NUTS,2010,CH021,3,4.2
2012,NUTS,2010,CH021,3,5.7
2011,NUTS,2010,CH022,3,3.25
2012,NUTS,2010,CH022,3,2.14
2011,NUTS,2010,CH023,3,1.95
2012,NUTS,2010,CH023,3,1.18
2011,NUTS,2010,CH024,3,1.73
2012,NUTS,2010,CH024,3,9.1
2011,NUTS,2010,CH025,3,0.25
2011,NUTS,2010,CH03,2,19.73
2012,NUTS,2010,CH03,2,16.57
2011,NUTS,2010,CH031,3,1.05
2012,NUTS,2010,CH031,3,0.2
2011,NUTS,2010,CH032,3,2.92
2012,NUTS,2010,CH032,3,0.69
2011,NUTS,2010,CH033,3,15.77
2012,NUTS,2010,CH033,3,15.68
2011,NUTS,2010,CH04,2,17.85
2012,NUTS,2010,CH04,2,13.85
2011,NUTS,2010,CH040,3,17.85
2012,NUTS,2010,CH040,3,13.85
2011,NUTS,2010,CH05,2,9.6
2012,NUTS,2010,CH05,2,5.1
2012,NUTS,2010,CH054,3,1.0
2011,NUTS,2010,CH055,3,4.9
2012,NUTS,2010,CH055,3,2.65
2011,NUTS,2010,CH056,3,3.2
2012,NUTS,2010,CH056,3,0.45
2011,NUTS,2010,CH057,3,1.5
2012,NUTS,2010,CH057,3,1.0
2011,NUTS,2010,CH06,2,4.43
2012,NUTS,2010,CH06,2,3.18
2011,NUTS,2010,CH061,3,0.33
2012,NUTS,2010,CH061,3,1.33
2011,NUTS,2010,CH063,3,1.03
2012,NUTS,2010,CH063,3,0.34
2011,NUTS,2010,CH064,3,0.5
2011,NUTS,2010,CH066,3,2.57
2012,NUTS,2010,CH066,3,1.5
2011,NUTS,2010,CH07,2,3.0
2012,NUTS,2010,CH07,2,1.5
2011,NUTS,2010,CH070,3,3.0
2012,NUTS,2010,CH070,3,1.5
2012,NUTS,2010,CHX,1,0.25
2012,NUTS,2010,CHXX,2,0.25
2012,NUTS,2010,CHXXX,3,0.25
2011,NUTS,2010,CHZ,1,3.48
2012,NUTS,2010,CHZ,1,3.14
2011,NUTS,2010,CHZZ,2,3.48
2012,NUTS,2010,CHZZ,2,3.14
2011,NUTS,2010,CHZZZ,3,3.48
2012,NUTS,2010,CHZZZ,3,3.14
2011,NUTS,2010,CZ,0,3.0
2012,NUTS,2010,CZ,0,2.17
2011,NUTS,2010,CZ0,1,3.0
2012,NUTS,2010,CZ0,1,2.17
2011,NUTS,2010,CZ01,2,1.0
2012,NUTS,2010,CZ01,2,1.17
2011,NUTS,2010,CZ010,3,1.0
2012,NUTS,2010,CZ010,3,1.17
2011,NUTS,2010,CZ02,2,0.33
2011,NUTS,2010,CZ020,3,0.33
2011,NUTS,2010,CZ03,2,0.5
2011,NUTS,2010,CZ032,3,0.5
2011,NUTS,2010,CZ04,2,0.5
2011,NUTS,2010,CZ042,3,0.5
2011,NUTS,2010,CZ06,2,0.67
2012,NUTS,2010,CZ06,2,1.0
2011,NUTS,2010,CZ064,3,0.67
2012,NUTS,2010,CZ064,3,1.0
2011,NUTS,2010,DE,0,521.01
2012,NUTS,2010,DE,0,355.98
2011,NUTS,2010,DE1,1,127.78
2012,NUTS,2010,DE1,1,85.46
2011,NUTS,2010,DE11,2,42.44
2012,NUTS,2010,DE11,2,33.23
2011,NUTS,2010,DE111,3,7.49
2012,NUTS,2010,DE111,3,9.87
2011,NUTS,2010,DE112,3,3.45
2012,NUTS,2010,DE112,3,2.07
2011,NUTS,2010,DE113,3,4.96
2012,NUTS,2010,DE113,3,2.02
2011,NUTS,2010,DE114,3,0.33
2012,NUTS,2010,DE114,3,2.0
2011,NUTS,2010,DE115,3,13.17
2012,NUTS,2010,DE115,3,7.28
2011,NUTS,2010,DE116,3,5.93
2012,NUTS,2010,DE116,3,1.58
2011,NUTS,2010,DE117,3,0.14
2012,NUTS,2010,DE117,3,4.5
2011,NUTS,2010,DE118,3,4.17
2012,NUTS,2010,DE118,3,1.67
2012,NUTS,2010,DE119,3,0.75
2012,NUTS,2010,DE11A,3,1.25
2011,NUTS,2010,DE11B,3,1.2
2012,NUTS,2010,DE11B,3,0.25
2011,NUTS,2010,DE11C,3,0.2
2011,NUTS,2010,DE11D,3,1.4
2011,NUTS,2010,DE12,2,30.22
2012,NUTS,2010,DE12,2,17.09
2011,NUTS,2010,DE122,3,11.97
2012,NUTS,2010,DE122,3,3.23
2011,NUTS,2010,DE123,3,4.98
2012,NUTS,2010,DE123,3,4.8
2011,NUTS,2010,DE124,3,0.33
2011,NUTS,2010,DE125,3,1.91
2012,NUTS,2010,DE125,3,0.7
2011,NUTS,2010,DE126,3,4.9
2012,NUTS,2010,DE126,3,3.89
2011,NUTS,2010,DE128,3,4.23
2012,NUTS,2010,DE128,3,2.77
2011,NUTS,2010,DE12A,3,0.7
2011,NUTS,2010,DE12B,3,0.33
2012,NUTS,2010,DE12B,3,1.7
2011,NUTS,2010,DE12C,3,0.87
2011,NUTS,2010,DE13,2,34.31
2012,NUTS,2010,DE13,2,28.37
2011,NUTS,2010,DE131,3,10.4
2012,NUTS,2010,DE131,3,13.67
2011,NUTS,2010,DE132,3,8.39
2012,NUTS,2010,DE132,3,2.82
2011,NUTS,2010,DE133,3,5.64
2012,NUTS,2010,DE133,3,3.9
2011,NUTS,2010,DE134,3,0.7
2012,NUTS,2010,DE134,3,1.0
2011,NUTS,2010,DE135,3,0.62
2011,NUTS,2010,DE136,3,1.7
2012,NUTS,2010,DE136,3,1.0
2011,NUTS,2010,DE137,3,0.5
2012,NUTS,2010,DE137,3,0.5
2011,NUTS,2010,DE138,3,4.1
2012,NUTS,2010,DE138,3,4.0
2011,NUTS,2010,DE139,3,1.92
2011,NUTS,2010,DE13A,3,0.33
2012,NUTS,2010,DE13A,3,1.49
2011,NUTS,2010,DE14,2,20.82
2012,NUTS,2010,DE14,2,6.77
2011,NUTS,2010,DE141,3,7.43
2012,NUTS,2010,DE141,3,1.95
2011,NUTS,2010,DE142,3,5.77
2012,NUTS,2010,DE142,3,1.08
2011,NUTS,2010,DE143,3,0.5
2012,NUTS,2010,DE143,3,1.03
2011,NUTS,2010,DE144,3,1.78
2012,NUTS,2010,DE144,3,0.5
2011,NUTS,2010,DE145,3,1.33
2012,NUTS,2010,DE145,3,1.2
2011,NUTS,2010,DE146,3,2.17
2011,NUTS,2010,DE147,3,1.33
2011,NUTS,2010,DE148,3,0.5
2012,NUTS,2010,DE148,3,1.0
2011,NUTS,2010,DE2,1,127.78
2012,NUTS,2010,DE2,1,74.69
2011,NUTS,2010,DE21,2,35.27
2012,NUTS,2010,DE21,2,31.17
2011,NUTS,2010,DE212,3,17.69
2012,NUTS,2010,DE212,3,13.96
2011,NUTS,2010,DE213,3,0.33
