year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_smc_p_mact
2011,NUTS,2010,AT,0,11.373
2012,NUTS,2010,AT,0,11.11
2011,NUTS,2010,AT1,1,3.339
2012,NUTS,2010,AT1,1,2.332
2011,NUTS,2010,AT11,2,14.368
2012,NUTS,2010,AT11,2,12.411
2011,NUTS,2010,AT12,2,3.67
2012,NUTS,2010,AT12,2,0.912
2011,NUTS,2010,AT13,2,1.19
2012,NUTS,2010,AT13,2,2.037
2011,NUTS,2010,AT2,1,18.11
2012,NUTS,2010,AT2,1,31.768
2011,NUTS,2010,AT21,2,11.828
2012,NUTS,2010,AT21,2,5.527
2011,NUTS,2010,AT22,2,20.904
2012,NUTS,2010,AT22,2,43.522
2011,NUTS,2010,AT3,1,16.8
2012,NUTS,2010,AT3,1,9.619
2011,NUTS,2010,AT31,2,21.614
2012,NUTS,2010,AT31,2,9.706
2012,NUTS,2010,AT32,2,4.757
2011,NUTS,2010,AT33,2,1.362
2012,NUTS,2010,AT33,2,4.86
2011,NUTS,2010,AT34,2,52.138
2012,NUTS,2010,AT34,2,25.424
2011,NUTS,2010,BE,0,14.357
2012,NUTS,2010,BE,0,13.27
2011,NUTS,2010,BE1,1,14.947
2012,NUTS,2010,BE1,1,9.599
2011,NUTS,2010,BE10,2,14.947
2012,NUTS,2010,BE10,2,9.599
2011,NUTS,2010,BE2,1,17.74
2012,NUTS,2010,BE2,1,18.56
2011,NUTS,2010,BE21,2,2.425
2012,NUTS,2010,BE21,2,6.827
2011,NUTS,2010,BE22,2,1.685
2012,NUTS,2010,BE22,2,4.082
2011,NUTS,2010,BE23,2,6.466
2011,NUTS,2010,BE24,2,80.749
2012,NUTS,2010,BE24,2,89.758
2011,NUTS,2010,BE25,2,6.668
2012,NUTS,2010,BE25,2,1.914
2011,NUTS,2010,BE3,1,7.546
2012,NUTS,2010,BE3,1,4.325
2011,NUTS,2010,BE31,2,14.277
2012,NUTS,2010,BE31,2,16.744
2011,NUTS,2010,BE32,2,7.384
2012,NUTS,2010,BE32,2,1.586
2011,NUTS,2010,BE33,2,5.095
2012,NUTS,2010,BE33,2,1.937
2011,NUTS,2010,BE34,2,16.75
2011,NUTS,2010,BE35,2,2.463
2012,NUTS,2010,BE35,2,8.875
2011,NUTS,2010,CH,0,16.956
2012,NUTS,2010,CH,0,16.082
2011,NUTS,2010,CH0,1,16.191
2012,NUTS,2010,CH0,1,15.343
2011,NUTS,2010,CH01,2,9.483
2012,NUTS,2010,CH01,2,15.011
2011,NUTS,2010,CH02,2,11.196
2012,NUTS,2010,CH02,2,17.633
2011,NUTS,2010,CH03,2,31.568
2012,NUTS,2010,CH03,2,26.36
2011,NUTS,2010,CH04,2,21.715
2012,NUTS,2010,CH04,2,16.567
2011,NUTS,2010,CH05,2,14.683
2012,NUTS,2010,CH05,2,7.719
2011,NUTS,2010,CH06,2,9.977
2012,NUTS,2010,CH06,2,7.014
2011,NUTS,2010,CH07,2,16.667
2012,NUTS,2010,CH07,2,8.508
2011,NUTS,2010,CZ,0,0.574
2012,NUTS,2010,CZ,0,0.413
2011,NUTS,2010,CZ0,1,0.574
2012,NUTS,2010,CZ0,1,0.413
2011,NUTS,2010,CZ01,2,1.517
2012,NUTS,2010,CZ01,2,1.75
2011,NUTS,2010,CZ02,2,0.513
2011,NUTS,2010,CZ03,2,0.822
2011,NUTS,2010,CZ04,2,0.897
2011,NUTS,2010,CZ06,2,0.811
2012,NUTS,2010,CZ06,2,1.2
2011,NUTS,2010,DE,0,12.65
2012,NUTS,2010,DE,0,8.609
2011,NUTS,2010,DE1,1,23.208
2012,NUTS,2010,DE1,1,15.359
2011,NUTS,2010,DE11,2,20.886
2012,NUTS,2010,DE11,2,16.162
2011,NUTS,2010,DE12,2,21.908
2012,NUTS,2010,DE12,2,12.227
2011,NUTS,2010,DE13,2,29.783
2012,NUTS,2010,DE13,2,24.302
2011,NUTS,2010,DE14,2,22.09
2012,NUTS,2010,DE14,2,7.178
2011,NUTS,2010,DE2,1,19.374
2012,NUTS,2010,DE2,1,11.178
2011,NUTS,2010,DE21,2,15.145
2012,NUTS,2010,DE21,2,13.078
2011,NUTS,2010,DE22,2,8.933
2012,NUTS,2010,DE22,2,3.511
2011,NUTS,2010,DE23,2,38.554
2012,NUTS,2010,DE23,2,18.169
2011,NUTS,2010,DE24,2,15.508
2012,NUTS,2010,DE24,2,9.292
2011,NUTS,2010,DE25,2,37.9
2012,NUTS,2010,DE25,2,19.526
2011,NUTS,2010,DE26,2,23.074
2012,NUTS,2010,DE26,2,8.896
2011,NUTS,2010,DE27,2,7.023
2012,NUTS,2010,DE27,2,1.952
2011,NUTS,2010,DE3,1,8.775
2012,NUTS,2010,DE3,1,12.311
2011,NUTS,2010,DE30,2,8.775
2012,NUTS,2010,DE30,2,12.311
2011,NUTS,2010,DE4,1,6.761
2012,NUTS,2010,DE4,1,5.55
2011,NUTS,2010,DE40,2,6.761
2012,NUTS,2010,DE40,2,5.55
2011,NUTS,2010,DE5,1,1.025
2012,NUTS,2010,DE5,1,4.68
2011,NUTS,2010,DE50,2,1.025
2012,NUTS,2010,DE50,2,4.68
2011,NUTS,2010,DE6,1,5.481
2012,NUTS,2010,DE6,1,9.096
2011,NUTS,2010,DE60,2,5.481
2012,NUTS,2010,DE60,2,9.096
2011,NUTS,2010,DE7,1,22.355
2012,NUTS,2010,DE7,1,17.081
2011,NUTS,2010,DE71,2,31.611
2012,NUTS,2010,DE71,2,25.058
2011,NUTS,2010,DE72,2,6.787
2012,NUTS,2010,DE72,2,1.289
2011,NUTS,2010,DE73,2,6.238
2012,NUTS,2010,DE73,2,4.862
2011,NUTS,2010,DE8,1,1.345
2011,NUTS,2010,DE80,2,1.345
