year,region_type,region_year_spec,region_id,region_level,pat_ep_rtot_nr
1977,NUTS,2010,AT,0,30.67
1978,NUTS,2010,AT,0,152.45
1979,NUTS,2010,AT,0,267.25
1980,NUTS,2010,AT,0,263.97
1981,NUTS,2010,AT,0,307.08
1982,NUTS,2010,AT,0,374.5
1983,NUTS,2010,AT,0,397.82
1984,NUTS,2010,AT,0,512.35
1985,NUTS,2010,AT,0,576.66
1986,NUTS,2010,AT,0,533.76
1987,NUTS,2010,AT,0,610.3
1988,NUTS,2010,AT,0,648.81
1989,NUTS,2010,AT,0,665.87
1990,NUTS,2010,AT,0,643.88
1991,NUTS,2010,AT,0,655.95
1992,NUTS,2010,AT,0,617.98
1993,NUTS,2010,AT,0,657.98
1994,NUTS,2010,AT,0,681.45
1995,NUTS,2010,AT,0,672.35
1996,NUTS,2010,AT,0,763.01
1997,NUTS,2010,AT,0,969.24
1998,NUTS,2010,AT,0,953.73
1999,NUTS,2010,AT,0,1074.04
2000,NUTS,2010,AT,0,1183.42
2001,NUTS,2010,AT,0,1204.54
2002,NUTS,2010,AT,0,1290.22
2003,NUTS,2010,AT,0,1392.74
2004,NUTS,2010,AT,0,1446.29
2005,NUTS,2010,AT,0,1529.31
2006,NUTS,2010,AT,0,1753.68
2007,NUTS,2010,AT,0,1722.64
2008,NUTS,2010,AT,0,1628.33
2009,NUTS,2010,AT,0,1705.28
2010,NUTS,2010,AT,0,1760.07
2011,NUTS,2010,AT,0,1794.27
2012,NUTS,2010,AT,0,1604.89
1977,NUTS,2010,AT1,1,9.67
1978,NUTS,2010,AT1,1,56.37
1979,NUTS,2010,AT1,1,94.62
1980,NUTS,2010,AT1,1,89.4
1981,NUTS,2010,AT1,1,119.92
1982,NUTS,2010,AT1,1,122.55
1983,NUTS,2010,AT1,1,151.4
1984,NUTS,2010,AT1,1,219.31
1985,NUTS,2010,AT1,1,224.27
1986,NUTS,2010,AT1,1,207.71
1987,NUTS,2010,AT1,1,250.93
1988,NUTS,2010,AT1,1,246.67
1989,NUTS,2010,AT1,1,234.57
1990,NUTS,2010,AT1,1,254.18
1991,NUTS,2010,AT1,1,269.17
1992,NUTS,2010,AT1,1,222.54
1993,NUTS,2010,AT1,1,257.28
1994,NUTS,2010,AT1,1,267.71
1995,NUTS,2010,AT1,1,235.42
1996,NUTS,2010,AT1,1,280.01
1997,NUTS,2010,AT1,1,321.35
1998,NUTS,2010,AT1,1,335.96
1999,NUTS,2010,AT1,1,380.56
2000,NUTS,2010,AT1,1,380.86
2001,NUTS,2010,AT1,1,417.92
2002,NUTS,2010,AT1,1,462.23
