year,region_type,region_year_spec,region_id,region_level,pat_ep_rtot_p_mact
2011,NUTS,2010,AT,0,422.559
2012,NUTS,2010,AT,0,373.804
2011,NUTS,2010,AT1,1,283.546
2012,NUTS,2010,AT1,1,260.969
2011,NUTS,2010,AT11,2,126.221
2012,NUTS,2010,AT11,2,127.163
2011,NUTS,2010,AT12,2,280.23
2012,NUTS,2010,AT12,2,285.429
2011,NUTS,2010,AT13,2,312.826
2012,NUTS,2010,AT13,2,259.52
2011,NUTS,2010,AT2,1,386.008
2012,NUTS,2010,AT2,1,362.544
2011,NUTS,2010,AT21,2,256.082
2012,NUTS,2010,AT21,2,209.801
2011,NUTS,2010,AT22,2,443.458
2012,NUTS,2010,AT22,2,430.962
2011,NUTS,2010,AT3,1,583.117
2012,NUTS,2010,AT3,1,491.793
2011,NUTS,2010,AT31,2,550.0
2012,NUTS,2010,AT31,2,479.38
2011,NUTS,2010,AT32,2,369.272
2012,NUTS,2010,AT32,2,270.458
2011,NUTS,2010,AT33,2,395.398
2012,NUTS,2010,AT33,2,353.004
2011,NUTS,2010,AT34,2,1379.458
2012,NUTS,2010,AT34,2,1124.14
2011,NUTS,2010,BE,0,309.94
2012,NUTS,2010,BE,0,261.381
2011,NUTS,2010,BE1,1,257.312
2012,NUTS,2010,BE1,1,216.149
2011,NUTS,2010,BE10,2,257.312
2012,NUTS,2010,BE10,2,216.149
2011,NUTS,2010,BE2,1,341.666
2012,NUTS,2010,BE2,1,303.7
2011,NUTS,2010,BE21,2,300.101
2012,NUTS,2010,BE21,2,331.402
2011,NUTS,2010,BE22,2,258.908
2012,NUTS,2010,BE22,2,155.515
2011,NUTS,2010,BE23,2,334.12
2012,NUTS,2010,BE23,2,277.867
2011,NUTS,2010,BE24,2,572.898
2012,NUTS,2010,BE24,2,503.388
2011,NUTS,2010,BE25,2,253.572
2012,NUTS,2010,BE25,2,210.754
2011,NUTS,2010,BE3,1,261.848
2012,NUTS,2010,BE3,1,191.237
2011,NUTS,2010,BE31,2,708.496
2012,NUTS,2010,BE31,2,514.088
2011,NUTS,2010,BE32,2,185.647
2012,NUTS,2010,BE32,2,94.609
2011,NUTS,2010,BE33,2,213.432
2012,NUTS,2010,BE33,2,207.074
2011,NUTS,2010,BE34,2,342.379
2012,NUTS,2010,BE34,2,252.998
2011,NUTS,2010,BE35,2,149.015
2012,NUTS,2010,BE35,2,99.03
2011,NUTS,2010,BG,0,7.895
2012,NUTS,2010,BG,0,9.141
2011,NUTS,2010,BG3,1,3.796
2012,NUTS,2010,BG3,1,3.671
2012,NUTS,2010,BG31,2,3.609
2011,NUTS,2010,BG32,2,9.94
2012,NUTS,2010,BG32,2,8.154
2011,NUTS,2010,BG33,2,5.643
2012,NUTS,2010,BG33,2,3.368
2012,NUTS,2010,BG34,2,0.521
2011,NUTS,2010,BG4,1,11.783
2012,NUTS,2010,BG4,1,13.808
2011,NUTS,2010,BG41,2,17.367
2012,NUTS,2010,BG41,2,18.665
2011,NUTS,2010,BG42,2,2.578
2012,NUTS,2010,BG42,2,5.953
2011,NUTS,2010,CH,0,716.881
2012,NUTS,2010,CH,0,574.415
2011,NUTS,2010,CH0,1,704.387
2012,NUTS,2010,CH0,1,564.032
2011,NUTS,2010,CH01,2,680.255
2012,NUTS,2010,CH01,2,491.094
2011,NUTS,2010,CH02,2,523.327
2012,NUTS,2010,CH02,2,411.661
2011,NUTS,2010,CH03,2,1090.864
2012,NUTS,2010,CH03,2,952.561
2011,NUTS,2010,CH04,2,779.367
2012,NUTS,2010,CH04,2,641.423
2011,NUTS,2010,CH05,2,645.916
2012,NUTS,2010,CH05,2,509.566
2011,NUTS,2010,CH06,2,661.419
2012,NUTS,2010,CH06,2,456.33
2011,NUTS,2010,CH07,2,469.167
2012,NUTS,2010,CH07,2,520.023
2011,NUTS,2010,CY,0,13.026
2012,NUTS,2010,CY,0,5.725
2011,NUTS,2010,CY0,1,13.026
2012,NUTS,2010,CY0,1,5.725
2011,NUTS,2010,CY00,2,13.026
2012,NUTS,2010,CY00,2,5.725
2011,NUTS,2010,CZ,0,42.491
2012,NUTS,2010,CZ,0,34.905
2011,NUTS,2010,CZ0,1,41.015
2012,NUTS,2010,CZ0,1,34.148
2011,NUTS,2010,CZ01,2,63.399
2012,NUTS,2010,CZ01,2,56.739
2011,NUTS,2010,CZ02,2,35.785
2012,NUTS,2010,CZ02,2,26.507
2011,NUTS,2010,CZ03,2,21.588
2012,NUTS,2010,CZ03,2,12.974
2011,NUTS,2010,CZ04,2,29.727
2012,NUTS,2010,CZ04,2,14.503
2011,NUTS,2010,CZ05,2,63.326
2012,NUTS,2010,CZ05,2,55.125
2011,NUTS,2010,CZ06,2,47.374
2012,NUTS,2010,CZ06,2,55.246
2011,NUTS,2010,CZ07,2,34.559
2012,NUTS,2010,CZ07,2,21.933
2011,NUTS,2010,CZ08,2,22.308
2012,NUTS,2010,CZ08,2,13.664
2011,NUTS,2010,DE,0,554.789
2012,NUTS,2010,DE,0,447.456
2011,NUTS,2010,DE1,1,1002.198
2012,NUTS,2010,DE1,1,753.795
2011,NUTS,2010,DE11,2,1196.127
2012,NUTS,2010,DE11,2,841.376
2011,NUTS,2010,DE12,2,954.922
2012,NUTS,2010,DE12,2,716.735
2011,NUTS,2010,DE13,2,782.309
2012,NUTS,2010,DE13,2,695.057
2011,NUTS,2010,DE14,2,922.048
2012,NUTS,2010,DE14,2,690.5
2011,NUTS,2010,DE2,1,826.647
2012,NUTS,2010,DE2,1,693.093
2011,NUTS,2010,DE21,2,1031.969
2012,NUTS,2010,DE21,2,862.767
2011,NUTS,2010,DE22,2,356.806
2012,NUTS,2010,DE22,2,300.693
2011,NUTS,2010,DE23,2,899.03
2012,NUTS,2010,DE23,2,783.875
2011,NUTS,2010,DE24,2,516.664
2012,NUTS,2010,DE24,2,399.065
2011,NUTS,2010,DE25,2,1088.732
2012,NUTS,2010,DE25,2,886.997
2011,NUTS,2010,DE26,2,669.808
2012,NUTS,2010,DE26,2,617.389
2011,NUTS,2010,DE27,2,633.741
2012,NUTS,2010,DE27,2,514.169
2011,NUTS,2010,DE3,1,396.68
2012,NUTS,2010,DE3,1,328.33
2011,NUTS,2010,DE30,2,396.68
2012,NUTS,2010,DE30,2,328.33
2011,NUTS,2010,DE4,1,185.38
2012,NUTS,2010,DE4,1,168.166
2011,NUTS,2010,DE40,2,185.38
2012,NUTS,2010,DE40,2,168.166
2011,NUTS,2010,DE5,1,219.199
2012,NUTS,2010,DE5,1,175.538
2011,NUTS,2010,DE50,2,219.199
2012,NUTS,2010,DE50,2,175.538
2011,NUTS,2010,DE6,1,476.714
2012,NUTS,2010,DE6,1,396.384
2011,NUTS,2010,DE60,2,476.714
2012,NUTS,2010,DE60,2,396.384
2011,NUTS,2010,DE7,1,587.718
2012,NUTS,2010,DE7,1,426.841
2011,NUTS,2010,DE71,2,696.462
2012,NUTS,2010,DE71,2,475.514
2011,NUTS,2010,DE72,2,494.795
2012,NUTS,2010,DE72,2,387.262
2011,NUTS,2010,DE73,2,321.897
2012,NUTS,2010,DE73,2,304.457
2011,NUTS,2010,DE8,1,91.327
2012,NUTS,2010,DE8,1,77.006
2011,NUTS,2010,DE80,2,91.327
2012,NUTS,2010,DE80,2,77.006
2011,NUTS,2010,DE9,1,376.841
2012,NUTS,2010,DE9,1,304.089
2011,NUTS,2010,DE91,2,453.048
2012,NUTS,2010,DE91,2,362.928
2011,NUTS,2010,DE92,2,474.792
2012,NUTS,2010,DE92,2,402.16
2011,NUTS,2010,DE93,2,320.432
2012,NUTS,2010,DE93,2,249.36
2011,NUTS,2010,DE94,2,282.565
2012,NUTS,2010,DE94,2,219.227
2011,NUTS,2010,DEA,1,506.668
2012,NUTS,2010,DEA,1,424.504
2011,NUTS,2010,DEA1,2,541.336
2012,NUTS,2010,DEA1,2,461.654
2011,NUTS,2010,DEA2,2,535.836
2012,NUTS,2010,DEA2,2,423.87
2011,NUTS,2010,DEA3,2,384.701
2012,NUTS,2010,DEA3,2,305.209
2011,NUTS,2010,DEA4,2,598.381
2012,NUTS,2010,DEA4,2,547.298
2011,NUTS,2010,DEA5,2,456.75
2012,NUTS,2010,DEA5,2,386.646
2011,NUTS,2010,DEB,1,547.78
2012,NUTS,2010,DEB,1,405.709
2011,NUTS,2010,DEB1,2,387.015
2012,NUTS,2010,DEB1,2,261.663
2011,NUTS,2010,DEB2,2,193.331
2012,NUTS,2010,DEB2,2,165.824
2011,NUTS,2010,DEB3,2,761.542
2012,NUTS,2010,DEB3,2,574.835
2011,NUTS,2010,DEC,1,315.826
2012,NUTS,2010,DEC,1,277.243
2011,NUTS,2010,DED,1,210.663
2012,NUTS,2010,DED,1,182.443
2011,NUTS,2010,DED2,2,308.501
2012,NUTS,2010,DED2,2,234.134
2011,NUTS,2010,DED4,2,163.569
2012,NUTS,2010,DED4,2,152.258
2011,NUTS,2010,DED5,2,124.446
2012,NUTS,2010,DED5,2,145.22
2011,NUTS,2010,DEE,1,81.713
2012,NUTS,2010,DEE,1,69.889
2011,NUTS,2010,DEE0,2,81.713
2012,NUTS,2010,DEE0,2,69.889
2011,NUTS,2010,DEF,1,354.031
2012,NUTS,2010,DEF,1,294.552
2011,NUTS,2010,DEF0,2,354.031
2012,NUTS,2010,DEF0,2,294.552
2011,NUTS,2010,DEG,1,231.085
2012,NUTS,2010,DEG,1,223.667
2011,NUTS,2010,DEG0,2,231.085
2012,NUTS,2010,DEG0,2,223.667
2011,NUTS,2010,DK,0,496.82
2012,NUTS,2010,DK,0,357.897
2011,NUTS,2010,DK0,1,494.357
2012,NUTS,2010,DK0,1,350.213
2011,NUTS,2010,DK01,2,648.131
2012,NUTS,2010,DK01,2,439.1
2011,NUTS,2010,DK02,2,244.844
2012,NUTS,2010,DK02,2,155.683
2011,NUTS,2010,DK03,2,363.313
2012,NUTS,2010,DK03,2,266.016
2011,NUTS,2010,DK04,2,638.006
2012,NUTS,2010,DK04,2,488.042
2011,NUTS,2010,DK05,2,304.077
2012,NUTS,2010,DK05,2,199.728
2011,NUTS,2010,EE,0,37.645
2012,NUTS,2010,EE,0,25.505
2011,NUTS,2010,EE0,1,37.645
2012,NUTS,2010,EE0,1,25.505
2011,NUTS,2010,EE00,2,37.645
2012,NUTS,2010,EE00,2,25.505
2011,NUTS,2010,EL,0,17.068
2012,NUTS,2010,EL,0,16.407
2011,NUTS,2010,EL3,1,23.704
2012,NUTS,2010,EL3,1,27.186
2011,NUTS,2010,EL30,2,23.704
2012,NUTS,2010,EL30,2,27.186
2011,NUTS,2010,EL4,1,19.894
2012,NUTS,2010,EL4,1,13.46
2011,NUTS,2010,EL42,2,19.455
2011,NUTS,2010,EL43,2,25.441
2012,NUTS,2010,EL43,2,24.653
2011,NUTS,2010,ES,0,62.715
2012,NUTS,2010,ES,0,54.633
2011,NUTS,2010,ES1,1,35.384
2012,NUTS,2010,ES1,1,23.852
2011,NUTS,2010,ES11,2,33.875
2012,NUTS,2010,ES11,2,22.812
2011,NUTS,2010,ES12,2,35.564
2012,NUTS,2010,ES12,2,20.131
2011,NUTS,2010,ES13,2,42.081
2012,NUTS,2010,ES13,2,35.1
2011,NUTS,2010,ES2,1,142.717
2012,NUTS,2010,ES2,1,115.476
2011,NUTS,2010,ES21,2,144.5
2012,NUTS,2010,ES21,2,131.476
2011,NUTS,2010,ES22,2,147.068
2012,NUTS,2010,ES22,2,121.968
2011,NUTS,2010,ES23,2,25.741
2012,NUTS,2010,ES23,2,26.21
2011,NUTS,2010,ES24,2,166.25
2012,NUTS,2010,ES24,2,108.054
2011,NUTS,2010,ES3,1,90.927
2012,NUTS,2010,ES3,1,71.114
2011,NUTS,2010,ES30,2,90.927
2012,NUTS,2010,ES30,2,71.114
2011,NUTS,2010,ES4,1,14.878
2012,NUTS,2010,ES4,1,18.299
2011,NUTS,2010,ES41,2,20.165
2012,NUTS,2010,ES41,2,26.156
2011,NUTS,2010,ES42,2,13.336
2012,NUTS,2010,ES42,2,16.748
2011,NUTS,2010,ES43,2,5.353
2012,NUTS,2010,ES43,2,2.957
2011,NUTS,2010,ES5,1,87.277
2012,NUTS,2010,ES5,1,77.951
2011,NUTS,2010,ES51,2,123.321
2012,NUTS,2010,ES51,2,109.567
2011,NUTS,2010,ES52,2,47.314
2012,NUTS,2010,ES52,2,43.276
2011,NUTS,2010,ES53,2,13.995
2012,NUTS,2010,ES53,2,16.412
2011,NUTS,2010,ES6,1,17.764
2012,NUTS,2010,ES6,1,23.387
2011,NUTS,2010,ES61,2,16.282
2012,NUTS,2010,ES61,2,20.758
2011,NUTS,2010,ES62,2,27.677
2012,NUTS,2010,ES62,2,40.332
2011,NUTS,2010,ES7,1,9.816
2012,NUTS,2010,ES7,1,9.549
2011,NUTS,2010,ES70,2,9.816
2012,NUTS,2010,ES70,2,9.549
2011,NUTS,2010,FI,0,499.322
2012,NUTS,2010,FI,0,494.614
2011,NUTS,2010,FI1,1,495.107
2012,NUTS,2010,FI1,1,492.758
2011,NUTS,2010,FI19,2,496.83
2012,NUTS,2010,FI19,2,466.882
2011,NUTS,2010,FI1B,2,752.534
2012,NUTS,2010,FI1B,2,746.882
2011,NUTS,2010,FI1C,2,303.887
2012,NUTS,2010,FI1C,2,347.849
2011,NUTS,2010,FI1D,2,310.923
2012,NUTS,2010,FI1D,2,295.555
2011,NUTS,2010,FI2,1,373.026
2012,NUTS,2010,FI2,1,219.231
2011,NUTS,2010,FI20,2,373.026
2012,NUTS,2010,FI20,2,219.231
2011,NUTS,2010,FR,0,306.523
2012,NUTS,2010,FR,0,239.39
2011,NUTS,2010,FR1,1,532.835
2012,NUTS,2010,FR1,1,411.821
2011,NUTS,2010,FR10,2,532.835
2012,NUTS,2010,FR10,2,411.821
2011,NUTS,2010,FR2,1,195.526
2012,NUTS,2010,FR2,1,150.898
2011,NUTS,2010,FR21,2,154.05
2012,NUTS,2010,FR21,2,145.412
2011,NUTS,2010,FR22,2,194.472
2012,NUTS,2010,FR22,2,120.09
2011,NUTS,2010,FR23,2,275.97
2012,NUTS,2010,FR23,2,199.338
2011,NUTS,2010,FR24,2,217.606
2012,NUTS,2010,FR24,2,185.528
2011,NUTS,2010,FR25,2,119.01
2012,NUTS,2010,FR25,2,83.25
2011,NUTS,2010,FR26,2,170.443
2012,NUTS,2010,FR26,2,141.819
2011,NUTS,2010,FR3,1,100.815
2012,NUTS,2010,FR3,1,89.29
2011,NUTS,2010,FR30,2,100.815
2012,NUTS,2010,FR30,2,89.29
2011,NUTS,2010,FR4,1,249.24
2012,NUTS,2010,FR4,1,207.473
2011,NUTS,2010,FR41,2,134.732
2012,NUTS,2010,FR41,2,129.615
2011,NUTS,2010,FR42,2,340.141
2012,NUTS,2010,FR42,2,286.881
2011,NUTS,2010,FR43,2,322.922
2012,NUTS,2010,FR43,2,227.262
2011,NUTS,2010,FR5,1,202.114
2012,NUTS,2010,FR5,1,168.627
2011,NUTS,2010,FR51,2,157.516
2012,NUTS,2010,FR51,2,132.2
2011,NUTS,2010,FR52,2,292.483
2012,NUTS,2010,FR52,2,259.724
2011,NUTS,2010,FR53,2,132.291
2012,NUTS,2010,FR53,2,81.382
2011,NUTS,2010,FR6,1,190.98
2012,NUTS,2010,FR6,1,157.382
2011,NUTS,2010,FR61,2,148.938
2012,NUTS,2010,FR61,2,118.336
2011,NUTS,2010,FR62,2,248.547
2012,NUTS,2010,FR62,2,210.644
2011,NUTS,2010,FR63,2,138.896
2012,NUTS,2010,FR63,2,112.208
2011,NUTS,2010,FR7,1,586.557
2012,NUTS,2010,FR7,1,424.303
2011,NUTS,2010,FR71,2,623.628
2012,NUTS,2010,FR71,2,465.502
2011,NUTS,2010,FR72,2,407.951
2012,NUTS,2010,FR72,2,223.755
2011,NUTS,2010,FR8,1,218.079
2012,NUTS,2010,FR8,1,176.491
2011,NUTS,2010,FR81,2,155.897
