year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_bes_mio_pps
2011,NUTS,2010,AT,0,5104.314
2012,NUTS,2010,AT,0,5938.312
2013,NUTS,2010,AT,0,6134.872
2014,NUTS,2010,AT,0,6569.808
2015,NUTS,2010,AT,0,6748.099
2016,NUTS,2010,AT,0,6993.038
2017,NUTS,2010,AT,0,6989.584
2018,NUTS,2010,AT,0,7374.712
2019,NUTS,2010,AT,0,7721.422
2020,NUTS,2010,AT,0,7363.926
2011,NUTS,2010,AT1,1,1950.591
2013,NUTS,2010,AT1,1,2013.61
2015,NUTS,2010,AT1,1,2204.843
2017,NUTS,2010,AT1,1,2180.572
2019,NUTS,2010,AT1,1,2380.072
2011,NUTS,2010,AT11,2,45.823
2013,NUTS,2010,AT11,2,53.859
2015,NUTS,2010,AT11,2,61.741
2017,NUTS,2010,AT11,2,57.401
2019,NUTS,2010,AT11,2,57.665
2011,NUTS,2010,AT12,2,550.65
2013,NUTS,2010,AT12,2,612.564
2015,NUTS,2010,AT12,2,675.736
2017,NUTS,2010,AT12,2,699.432
2019,NUTS,2010,AT12,2,748.184
2011,NUTS,2010,AT13,2,1354.118
2013,NUTS,2010,AT13,2,1347.187
2015,NUTS,2010,AT13,2,1467.367
2017,NUTS,2010,AT13,2,1423.738
2019,NUTS,2010,AT13,2,1574.223
2011,NUTS,2010,AT2,1,1422.76
2013,NUTS,2010,AT2,1,1763.51
2015,NUTS,2010,AT2,1,2003.972
2017,NUTS,2010,AT2,1,1982.761
2019,NUTS,2010,AT2,1,2301.087
2011,NUTS,2010,AT21,2,379.01
2013,NUTS,2010,AT21,2,407.21
2015,NUTS,2010,AT21,2,481.353
2017,NUTS,2010,AT21,2,464.586
2019,NUTS,2010,AT21,2,553.961
2011,NUTS,2010,AT22,2,1043.75
2013,NUTS,2010,AT22,2,1356.3
2015,NUTS,2010,AT22,2,1522.62
2017,NUTS,2010,AT22,2,1518.175
2019,NUTS,2010,AT22,2,1747.127
2011,NUTS,2010,AT3,1,1730.963
2013,NUTS,2010,AT3,1,2357.752
2015,NUTS,2010,AT3,1,2539.284
2017,NUTS,2010,AT3,1,2826.251
2019,NUTS,2010,AT3,1,3040.263
2011,NUTS,2010,AT31,2,1030.797
2013,NUTS,2010,AT31,2,1427.401
2015,NUTS,2010,AT31,2,1512.741
2017,NUTS,2010,AT31,2,1768.775
2019,NUTS,2010,AT31,2,1903.161
2011,NUTS,2010,AT32,2,159.663
2013,NUTS,2010,AT32,2,205.13
2015,NUTS,2010,AT32,2,222.58
2017,NUTS,2010,AT32,2,263.774
2019,NUTS,2010,AT32,2,290.552
2011,NUTS,2010,AT33,2,373.291
2013,NUTS,2010,AT33,2,519.305
2015,NUTS,2010,AT33,2,552.127
2017,NUTS,2010,AT33,2,534.008
2019,NUTS,2010,AT33,2,562.939
2011,NUTS,2010,AT34,2,167.212
2013,NUTS,2010,AT34,2,205.916
2015,NUTS,2010,AT34,2,251.835
2017,NUTS,2010,AT34,2,259.695
2019,NUTS,2010,AT34,2,283.611
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,42.795
2013,NUTS,2010,BA,0,52.857
2014,NUTS,2010,BA,0,13.888
2019,NUTS,2010,BA,0,25.664
2011,NUTS,2010,BE,0,5029.928
2012,NUTS,2010,BE,0,5525.164
2013,NUTS,2010,BE,0,5688.445
2014,NUTS,2010,BE,0,5977.765
2015,NUTS,2010,BE,0,6358.49
2016,NUTS,2010,BE,0,6618.706
2017,NUTS,2010,BE,0,7378.141
2018,NUTS,2010,BE,0,8346.705
2019,NUTS,2010,BE,0,9885.074
2020,NUTS,2010,BE,0,10368.735
2011,NUTS,2010,BE1,1,432.314
2012,NUTS,2010,BE1,1,470.885
2013,NUTS,2010,BE1,1,482.232
2014,NUTS,2010,BE1,1,602.741
2015,NUTS,2010,BE1,1,670.134
2016,NUTS,2010,BE1,1,772.626
2017,NUTS,2010,BE1,1,892.088
2018,NUTS,2010,BE1,1,1047.944
2019,NUTS,2010,BE1,1,1150.159
2011,NUTS,2010,BE10,2,432.314
2012,NUTS,2010,BE10,2,470.885
2013,NUTS,2010,BE10,2,482.232
2014,NUTS,2010,BE10,2,602.741
2015,NUTS,2010,BE10,2,670.134
2016,NUTS,2010,BE10,2,772.626
2017,NUTS,2010,BE10,2,892.088
2018,NUTS,2010,BE10,2,1047.944
2019,NUTS,2010,BE10,2,1150.159
2011,NUTS,2010,BE2,1,3067.902
2012,NUTS,2010,BE2,1,3496.93
2013,NUTS,2010,BE2,1,3599.424
2014,NUTS,2010,BE2,1,3791.28
2015,NUTS,2010,BE2,1,4066.185
2016,NUTS,2010,BE2,1,4188.497
2017,NUTS,2010,BE2,1,4634.652
2018,NUTS,2010,BE2,1,4864.401
