year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_bes_pps_hab_kp05
1998,NUTS,2010,AT,0,278.7
2002,NUTS,2010,AT,0,381.0
2004,NUTS,2010,AT,0,415.8
2005,NUTS,2010,AT,0,476.4
2006,NUTS,2010,AT,0,491.1
2007,NUTS,2010,AT,0,521.5
2008,NUTS,2010,AT,0,550.7
2009,NUTS,2010,AT,0,524.3
2010,NUTS,2010,AT,0,562.3
2011,NUTS,2010,AT,0,567.8
2012,NUTS,2010,AT,0,636.8
2013,NUTS,2010,AT,0,646.0
2014,NUTS,2010,AT,0,678.7
2015,NUTS,2010,AT,0,673.1
2016,NUTS,2010,AT,0,680.5
2017,NUTS,2010,AT,0,673.6
2018,NUTS,2010,AT,0,694.2
2019,NUTS,2010,AT,0,715.1
2020,NUTS,2010,AT,0,669.4
1998,NUTS,2010,AT1,1,346.5
2002,NUTS,2010,AT1,1,418.6
2004,NUTS,2010,AT1,1,438.4
2006,NUTS,2010,AT1,1,489.1
2007,NUTS,2010,AT1,1,516.3
2009,NUTS,2010,AT1,1,513.9
2011,NUTS,2010,AT1,1,505.3
2013,NUTS,2010,AT1,1,491.5
2015,NUTS,2010,AT1,1,507.2
2017,NUTS,2010,AT1,1,481.9
2019,NUTS,2010,AT1,1,504.8
1998,NUTS,2010,AT11,2,22.3
2002,NUTS,2010,AT11,2,106.5
2004,NUTS,2010,AT11,2,87.2
2006,NUTS,2010,AT11,2,98.2
2007,NUTS,2010,AT11,2,105.6
2009,NUTS,2010,AT11,2,134.1
2011,NUTS,2010,AT11,2,150.0
2013,NUTS,2010,AT11,2,167.2
2015,NUTS,2010,AT11,2,183.3
2017,NUTS,2010,AT11,2,166.2
2019,NUTS,2010,AT11,2,161.2
1998,NUTS,2010,AT12,2,122.6
2002,NUTS,2010,AT12,2,168.1
2004,NUTS,2010,AT12,2,185.3
2006,NUTS,2010,AT12,2,242.1
2007,NUTS,2010,AT12,2,262.6
2009,NUTS,2010,AT12,2,278.0
2011,NUTS,2010,AT12,2,318.8
2013,NUTS,2010,AT12,2,336.8
2015,NUTS,2010,AT12,2,353.5
2017,NUTS,2010,AT12,2,355.0
2019,NUTS,2010,AT12,2,365.9
1998,NUTS,2010,AT13,2,627.3
2002,NUTS,2010,AT13,2,719.7
2004,NUTS,2010,AT13,2,743.5
2006,NUTS,2010,AT13,2,791.3
2007,NUTS,2010,AT13,2,828.1
2009,NUTS,2010,AT13,2,802.9
2011,NUTS,2010,AT13,2,740.9
2013,NUTS,2010,AT13,2,688.6
2015,NUTS,2010,AT13,2,699.1
2017,NUTS,2010,AT13,2,644.5
2019,NUTS,2010,AT13,2,680.7
1998,NUTS,2010,AT2,1,271.7
2002,NUTS,2010,AT2,1,446.8
2004,NUTS,2010,AT2,1,492.0
2006,NUTS,2010,AT2,1,575.6
2007,NUTS,2010,AT2,1,641.8
2009,NUTS,2010,AT2,1,602.6
2011,NUTS,2010,AT2,1,751.8
2013,NUTS,2010,AT2,1,888.5
2015,NUTS,2010,AT2,1,964.5
2017,NUTS,2010,AT2,1,932.1
2019,NUTS,2010,AT2,1,1046.6
1998,NUTS,2010,AT21,2,179.6
2002,NUTS,2010,AT21,2,344.7
2004,NUTS,2010,AT21,2,470.7
2006,NUTS,2010,AT21,2,574.8
2007,NUTS,2010,AT21,2,594.9
2009,NUTS,2010,AT21,2,512.5
2011,NUTS,2010,AT21,2,634.3
2013,NUTS,2010,AT21,2,652.4
2015,NUTS,2010,AT21,2,739.2
2017,NUTS,2010,AT21,2,700.0
2019,NUTS,2010,AT21,2,810.3
1998,NUTS,2010,AT22,2,315.3
2002,NUTS,2010,AT22,2,495.0
2004,NUTS,2010,AT22,2,502.0
2006,NUTS,2010,AT22,2,576.0
2007,NUTS,2010,AT22,2,663.6
2009,NUTS,2010,AT22,2,644.5
2011,NUTS,2010,AT22,2,806.0
2013,NUTS,2010,AT22,2,996.8
2015,NUTS,2010,AT22,2,1067.3
2017,NUTS,2010,AT22,2,1037.4
2019,NUTS,2010,AT22,2,1153.2
1998,NUTS,2010,AT3,1,204.5
2002,NUTS,2010,AT3,1,298.1
2004,NUTS,2010,AT3,1,344.3
2006,NUTS,2010,AT3,1,443.7
2007,NUTS,2010,AT3,1,456.9
2009,NUTS,2010,AT3,1,490.8
2011,NUTS,2010,AT3,1,534.9
2013,NUTS,2010,AT3,1,690.5
2015,NUTS,2010,AT3,1,705.2
2017,NUTS,2010,AT3,1,758.7
2019,NUTS,2010,AT3,1,782.9
1998,NUTS,2010,AT31,2,251.7
2002,NUTS,2010,AT31,2,365.5
2004,NUTS,2010,AT31,2,432.4
2006,NUTS,2010,AT31,2,568.2
2007,NUTS,2010,AT31,2,597.7
2009,NUTS,2010,AT31,2,614.5
2011,NUTS,2010,AT31,2,681.0
2013,NUTS,2010,AT31,2,895.6
2015,NUTS,2010,AT31,2,901.3
2017,NUTS,2010,AT31,2,1020.7
2019,NUTS,2010,AT31,2,1053.6
1998,NUTS,2010,AT32,2,84.5
2002,NUTS,2010,AT32,2,137.2
2004,NUTS,2010,AT32,2,173.6
2006,NUTS,2010,AT32,2,215.0
2007,NUTS,2010,AT32,2,211.9
2009,NUTS,2010,AT32,2,227.3
2011,NUTS,2010,AT32,2,281.8
2013,NUTS,2010,AT32,2,343.2
2015,NUTS,2010,AT32,2,353.9
2017,NUTS,2010,AT32,2,406.0
2019,NUTS,2010,AT32,2,429.4
1998,NUTS,2010,AT33,2,192.9
2002,NUTS,2010,AT33,2,258.1
2004,NUTS,2010,AT33,2,300.5
2006,NUTS,2010,AT33,2,408.3
2007,NUTS,2010,AT33,2,393.0
2009,NUTS,2010,AT33,2,466.8
2011,NUTS,2010,AT33,2,491.6
2013,NUTS,2010,AT33,2,645.6
2015,NUTS,2010,AT33,2,648.7
2017,NUTS,2010,AT33,2,605.1
2019,NUTS,2010,AT33,2,612.0
1998,NUTS,2010,AT34,2,217.6
2002,NUTS,2010,AT34,2,347.0
2004,NUTS,2010,AT34,2,334.0
2006,NUTS,2010,AT34,2,361.7
2007,NUTS,2010,AT34,2,390.7
2009,NUTS,2010,AT34,2,440.2
2011,NUTS,2010,AT34,2,421.9
2013,NUTS,2010,AT34,2,491.9
2015,NUTS,2010,AT34,2,569.6
2017,NUTS,2010,AT34,2,564.8
2019,NUTS,2010,AT34,2,590.2
2012,NUTS,2010,BA,0,9.4
1995,NUTS,2010,BE,0,260.2
1996,NUTS,2010,BE,0,279.9
1997,NUTS,2010,BE,0,300.9
1998,NUTS,2010,BE,0,308.2
1999,NUTS,2010,BE,0,333.1
2000,NUTS,2010,BE,0,353.5
2001,NUTS,2010,BE,0,377.8
2002,NUTS,2010,BE,0,345.6
2003,NUTS,2010,BE,0,332.8
2004,NUTS,2010,BE,0,336.5
2005,NUTS,2010,BE,0,331.9
2006,NUTS,2010,BE,0,350.7
2007,NUTS,2010,BE,0,367.9
2008,NUTS,2010,BE,0,376.8
2009,NUTS,2010,BE,0,365.8
2010,NUTS,2010,BE,0,391.4
2011,NUTS,2010,BE,0,422.9
2012,NUTS,2010,BE,0,451.3
2013,NUTS,2010,BE,0,458.1
2014,NUTS,2010,BE,0,474.6
2015,NUTS,2010,BE,0,494.0
2016,NUTS,2010,BE,0,506.6
2017,NUTS,2010,BE,0,554.9
2018,NUTS,2010,BE,0,616.1
2019,NUTS,2010,BE,0,711.7
2020,NUTS,2010,BE,0,725.2
1995,NUTS,2010,BE1,1,432.7
1996,NUTS,2010,BE1,1,467.1
1997,NUTS,2010,BE1,1,470.1
1998,NUTS,2010,BE1,1,302.4
1999,NUTS,2010,BE1,1,309.0
2000,NUTS,2010,BE1,1,311.6
2001,NUTS,2010,BE1,1,331.2
2002,NUTS,2010,BE1,1,314.8
2003,NUTS,2010,BE1,1,289.0
2004,NUTS,2010,BE1,1,291.2
2005,NUTS,2010,BE1,1,287.3
2006,NUTS,2010,BE1,1,429.1
2007,NUTS,2010,BE1,1,420.0
2008,NUTS,2010,BE1,1,445.4
2009,NUTS,2010,BE1,1,411.4
2010,NUTS,2010,BE1,1,369.5
2011,NUTS,2010,BE1,1,351.8
2012,NUTS,2010,BE1,1,370.0
2013,NUTS,2010,BE1,1,371.2
2014,NUTS,2010,BE1,1,456.2
2015,NUTS,2010,BE1,1,494.1
2016,NUTS,2010,BE1,1,556.8
2017,NUTS,2010,BE1,1,635.1
2018,NUTS,2010,BE1,1,731.4
2019,NUTS,2010,BE1,1,780.6
1995,NUTS,2010,BE10,2,432.7
1996,NUTS,2010,BE10,2,467.1
1997,NUTS,2010,BE10,2,470.1
1998,NUTS,2010,BE10,2,302.4
1999,NUTS,2010,BE10,2,309.0
2000,NUTS,2010,BE10,2,311.6
2001,NUTS,2010,BE10,2,331.2
2002,NUTS,2010,BE10,2,314.8
2003,NUTS,2010,BE10,2,289.0
2004,NUTS,2010,BE10,2,291.2
2005,NUTS,2010,BE10,2,287.3
2006,NUTS,2010,BE10,2,429.1
2007,NUTS,2010,BE10,2,420.0
2008,NUTS,2010,BE10,2,445.4
2009,NUTS,2010,BE10,2,411.4
