year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_eur_hab_bes
1981,NUTS,2010,AT,0,51.5
1984,NUTS,2010,AT,0,73.2
1985,NUTS,2010,AT,0,79.5
1989,NUTS,2010,AT,0,121.6
1993,NUTS,2010,AT,0,165.0
1998,NUTS,2010,AT,0,269.2
2002,NUTS,2010,AT,0,388.3
2004,NUTS,2010,AT,0,436.8
2005,NUTS,2010,AT,0,513.0
2006,NUTS,2010,AT,0,539.0
2007,NUTS,2010,AT,0,585.0
2008,NUTS,2010,AT,0,629.8
2009,NUTS,2010,AT,0,611.0
2010,NUTS,2010,AT,0,661.0
2011,NUTS,2010,AT,0,679.7
2012,NUTS,2010,AT,0,777.9
2013,NUTS,2010,AT,0,802.0
2014,NUTS,2010,AT,0,860.9
2015,NUTS,2010,AT,0,873.4
2016,NUTS,2010,AT,0,899.3
2017,NUTS,2010,AT,0,899.2
2018,NUTS,2010,AT,0,943.4
2019,NUTS,2010,AT,0,987.6
2020,NUTS,2010,AT,0,945.8
1993,NUTS,2010,AT1,1,223.0
1998,NUTS,2010,AT1,1,334.7
2002,NUTS,2010,AT1,1,426.5
2004,NUTS,2010,AT1,1,460.5
2006,NUTS,2010,AT1,1,536.7
2007,NUTS,2010,AT1,1,579.1
2009,NUTS,2010,AT1,1,598.8
2011,NUTS,2010,AT1,1,604.8
2013,NUTS,2010,AT1,1,610.1
2015,NUTS,2010,AT1,1,658.2
2017,NUTS,2010,AT1,1,643.4
2019,NUTS,2010,AT1,1,697.1
1993,NUTS,2010,AT11,2,33.4
1998,NUTS,2010,AT11,2,21.5
2002,NUTS,2010,AT11,2,108.5
2004,NUTS,2010,AT11,2,91.6
2006,NUTS,2010,AT11,2,107.8
2007,NUTS,2010,AT11,2,118.5
2009,NUTS,2010,AT11,2,156.3
2011,NUTS,2010,AT11,2,179.6
2013,NUTS,2010,AT11,2,207.6
2015,NUTS,2010,AT11,2,237.9
2017,NUTS,2010,AT11,2,221.9
2019,NUTS,2010,AT11,2,222.7
1993,NUTS,2010,AT12,2,60.6
1998,NUTS,2010,AT12,2,118.4
2002,NUTS,2010,AT12,2,171.3
2004,NUTS,2010,AT12,2,194.6
2006,NUTS,2010,AT12,2,265.6
2007,NUTS,2010,AT12,2,294.6
2009,NUTS,2010,AT12,2,323.9
2011,NUTS,2010,AT12,2,381.6
2013,NUTS,2010,AT12,2,418.2
2015,NUTS,2010,AT12,2,458.8
2017,NUTS,2010,AT12,2,473.9
2019,NUTS,2010,AT12,2,505.4
1993,NUTS,2010,AT13,2,416.0
1998,NUTS,2010,AT13,2,605.9
2002,NUTS,2010,AT13,2,733.4
2004,NUTS,2010,AT13,2,780.9
2006,NUTS,2010,AT13,2,868.4
2007,NUTS,2010,AT13,2,928.9
2009,NUTS,2010,AT13,2,935.6
2011,NUTS,2010,AT13,2,886.9
2013,NUTS,2010,AT13,2,854.9
2015,NUTS,2010,AT13,2,907.2
2017,NUTS,2010,AT13,2,860.4
2019,NUTS,2010,AT13,2,940.1
1993,NUTS,2010,AT2,1,102.9
1998,NUTS,2010,AT2,1,262.4
2002,NUTS,2010,AT2,1,455.4
2004,NUTS,2010,AT2,1,516.8
2006,NUTS,2010,AT2,1,631.6
2007,NUTS,2010,AT2,1,719.9
2009,NUTS,2010,AT2,1,702.3
2011,NUTS,2010,AT2,1,899.9
2013,NUTS,2010,AT2,1,1103.1
2015,NUTS,2010,AT2,1,1251.6
2017,NUTS,2010,AT2,1,1244.3
2019,NUTS,2010,AT2,1,1445.3
1993,NUTS,2010,AT21,2,30.7
1998,NUTS,2010,AT21,2,173.5
2002,NUTS,2010,AT21,2,351.3
2004,NUTS,2010,AT21,2,494.3
2006,NUTS,2010,AT21,2,630.8
2007,NUTS,2010,AT21,2,667.4
