year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_gov_eur_hab
1981,NUTS,2010,AT,0,8.3
1985,NUTS,2010,AT,0,12.2
1989,NUTS,2010,AT,0,15.5
1993,NUTS,2010,AT,0,26.2
1998,NUTS,2010,AT,0,27.3
2002,NUTS,2010,AT,0,33.0
2004,NUTS,2010,AT,0,33.1
2005,NUTS,2010,AT,0,38.3
2006,NUTS,2010,AT,0,40.0
2007,NUTS,2010,AT,0,44.3
2008,NUTS,2010,AT,0,48.5
2009,NUTS,2010,AT,0,47.9
2010,NUTS,2010,AT,0,50.6
2011,NUTS,2010,AT,0,50.8
2012,NUTS,2010,AT,0,50.6
2013,NUTS,2010,AT,0,50.3
2014,NUTS,2010,AT,0,55.0
2015,NUTS,2010,AT,0,56.0
2016,NUTS,2010,AT,0,90.8
2017,NUTS,2010,AT,0,91.9
2018,NUTS,2010,AT,0,96.5
2019,NUTS,2010,AT,0,103.1
2020,NUTS,2010,AT,0,99.7
1993,NUTS,2010,AT1,1,43.7
1998,NUTS,2010,AT1,1,45.4
2002,NUTS,2010,AT1,1,53.5
2004,NUTS,2010,AT1,1,50.7
2006,NUTS,2010,AT1,1,
2007,NUTS,2010,AT1,1,
2009,NUTS,2010,AT1,1,
2011,NUTS,2010,AT1,1,78.9
2013,NUTS,2010,AT1,1,73.7
2015,NUTS,2010,AT1,1,
2017,NUTS,2010,AT1,1,
2019,NUTS,2010,AT1,1,168.7
1993,NUTS,2010,AT11,2,7.8
1998,NUTS,2010,AT11,2,7.2
2002,NUTS,2010,AT11,2,7.2
2004,NUTS,2010,AT11,2,10.4
2006,NUTS,2010,AT11,2,
2007,NUTS,2010,AT11,2,
2009,NUTS,2010,AT11,2,
2011,NUTS,2010,AT11,2,9.5
2013,NUTS,2010,AT11,2,10.6
2015,NUTS,2010,AT11,2,
2017,NUTS,2010,AT11,2,
2019,NUTS,2010,AT11,2,
1993,NUTS,2010,AT12,2,7.4
1998,NUTS,2010,AT12,2,9.1
2002,NUTS,2010,AT12,2,8.7
2004,NUTS,2010,AT12,2,9.5
2006,NUTS,2010,AT12,2,16.9
2007,NUTS,2010,AT12,2,19.2
2009,NUTS,2010,AT12,2,23.4
2011,NUTS,2010,AT12,2,23.7
2013,NUTS,2010,AT12,2,26.1
2015,NUTS,2010,AT12,2,47.5
2017,NUTS,2010,AT12,2,62.6
2019,NUTS,2010,AT12,2,
1993,NUTS,2010,AT13,2,85.6
1998,NUTS,2010,AT13,2,88.3
2002,NUTS,2010,AT13,2,105.8
2004,NUTS,2010,AT13,2,97.6
2006,NUTS,2010,AT13,2,115.8
2007,NUTS,2010,AT13,2,129.4
2009,NUTS,2010,AT13,2,136.2
2011,NUTS,2010,AT13,2,142.7
2013,NUTS,2010,AT13,2,128.2
2015,NUTS,2010,AT13,2,133.0
2017,NUTS,2010,AT13,2,250.4
2019,NUTS,2010,AT13,2,277.6
1993,NUTS,2010,AT2,1,12.7
1998,NUTS,2010,AT2,1,16.5
2002,NUTS,2010,AT2,1,23.8
2004,NUTS,2010,AT2,1,26.5
2006,NUTS,2010,AT2,1,34.8
2007,NUTS,2010,AT2,1,
2009,NUTS,2010,AT2,1,
2011,NUTS,2010,AT2,1,
2013,NUTS,2010,AT2,1,
2015,NUTS,2010,AT2,1,38.2
2017,NUTS,2010,AT2,1,
2019,NUTS,2010,AT2,1,71.0
1993,NUTS,2010,AT21,2,11.0
1998,NUTS,2010,AT21,2,14.2
2002,NUTS,2010,AT21,2,13.0
2004,NUTS,2010,AT21,2,16.9
2006,NUTS,2010,AT21,2,19.5
2007,NUTS,2010,AT21,2,
2009,NUTS,2010,AT21,2,
2011,NUTS,2010,AT21,2,20.6
2013,NUTS,2010,AT21,2,
2015,NUTS,2010,AT21,2,
2017,NUTS,2010,AT21,2,
2019,NUTS,2010,AT21,2,
1993,NUTS,2010,AT22,2,13.5
1998,NUTS,2010,AT22,2,18.5
2002,NUTS,2010,AT22,2,28.9
2004,NUTS,2010,AT22,2,30.9
2006,NUTS,2010,AT22,2,42.0
2007,NUTS,2010,AT22,2,
2009,NUTS,2010,AT22,2,43.3
2011,NUTS,2010,AT22,2,
2013,NUTS,2010,AT22,2,
2015,NUTS,2010,AT22,2,
2017,NUTS,2010,AT22,2,
