year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_hes_eur_hab
1981,NUTS,2010,AT,0,30.2
1985,NUTS,2010,AT,0,50.6
1989,NUTS,2010,AT,0,67.2
1993,NUTS,2010,AT,0,103.2
1998,NUTS,2010,AT,0,125.8
2002,NUTS,2010,AT,0,157.0
2004,NUTS,2010,AT,0,172.1
2005,NUTS,2010,AT,0,181.7
2006,NUTS,2010,AT,0,184.5
2007,NUTS,2010,AT,0,197.7
2008,NUTS,2010,AT,0,226.8
2009,NUTS,2010,AT,0,234.2
2010,NUTS,2010,AT,0,249.6
2011,NUTS,2010,AT,0,252.8
2012,NUTS,2010,AT,0,271.4
2013,NUTS,2010,AT,0,275.4
2014,NUTS,2010,AT,0,286.1
2015,NUTS,2010,AT,0,287.5
2016,NUTS,2010,AT,0,284.6
2017,NUTS,2010,AT,0,288.8
2018,NUTS,2010,AT,0,303.0
2019,NUTS,2010,AT,0,306.1
2020,NUTS,2010,AT,0,311.2
1993,NUTS,2010,AT1,1,133.4
1998,NUTS,2010,AT1,1,168.4
2002,NUTS,2010,AT1,1,
2004,NUTS,2010,AT1,1,
2006,NUTS,2010,AT1,1,
2007,NUTS,2010,AT1,1,
2009,NUTS,2010,AT1,1,
2011,NUTS,2010,AT1,1,316.1
2013,NUTS,2010,AT1,1,352.3
2015,NUTS,2010,AT1,1,
2017,NUTS,2010,AT1,1,
2019,NUTS,2010,AT1,1,376.9
2002,NUTS,2010,AT11,2,
2004,NUTS,2010,AT11,2,
2006,NUTS,2010,AT11,2,
2007,NUTS,2010,AT11,2,
2009,NUTS,2010,AT11,2,
2011,NUTS,2010,AT11,2,10.7
2013,NUTS,2010,AT11,2,16.8
2015,NUTS,2010,AT11,2,
2017,NUTS,2010,AT11,2,
2019,NUTS,2010,AT11,2,36.8
1993,NUTS,2010,AT12,2,0.3
1998,NUTS,2010,AT12,2,0.7
2002,NUTS,2010,AT12,2,4.0
2004,NUTS,2010,AT12,2,5.3
2006,NUTS,2010,AT12,2,9.0
2007,NUTS,2010,AT12,2,9.8
2009,NUTS,2010,AT12,2,15.8
2011,NUTS,2010,AT12,2,23.1
2013,NUTS,2010,AT12,2,45.3
2015,NUTS,2010,AT12,2,52.4
2017,NUTS,2010,AT12,2,77.2
2019,NUTS,2010,AT12,2,81.8
1993,NUTS,2010,AT13,2,287.4
1998,NUTS,2010,AT13,2,364.8
2002,NUTS,2010,AT13,2,436.3
2004,NUTS,2010,AT13,2,466.8
2006,NUTS,2010,AT13,2,477.8
2007,NUTS,2010,AT13,2,508.8
2009,NUTS,2010,AT13,2,609.5
2011,NUTS,2010,AT13,2,644.1
2013,NUTS,2010,AT13,2,692.9
2015,NUTS,2010,AT13,2,706.3
2017,NUTS,2010,AT13,2,662.1
2019,NUTS,2010,AT13,2,690.4
1993,NUTS,2010,AT2,1,94.4
1998,NUTS,2010,AT2,1,132.0
2002,NUTS,2010,AT2,1,
2004,NUTS,2010,AT2,1,
2006,NUTS,2010,AT2,1,194.2
2007,NUTS,2010,AT2,1,206.9
2009,NUTS,2010,AT2,1,237.1
2011,NUTS,2010,AT2,1,263.7
2013,NUTS,2010,AT2,1,277.6
2015,NUTS,2010,AT2,1,
2017,NUTS,2010,AT2,1,304.4
2019,NUTS,2010,AT2,1,317.5
1993,NUTS,2010,AT21,2,22.5
1998,NUTS,2010,AT21,2,30.1
2002,NUTS,2010,AT21,2,
2004,NUTS,2010,AT21,2,
2006,NUTS,2010,AT21,2,53.8
2007,NUTS,2010,AT21,2,58.4
2009,NUTS,2010,AT21,2,73.2
2011,NUTS,2010,AT21,2,81.7
2013,NUTS,2010,AT21,2,81.2
2015,NUTS,2010,AT21,2,69.2
2017,NUTS,2010,AT21,2,78.9
2019,NUTS,2010,AT21,2,82.4
1993,NUTS,2010,AT22,2,128.3
1998,NUTS,2010,AT22,2,180.4
2002,NUTS,2010,AT22,2,229.5
2004,NUTS,2010,AT22,2,236.9
2006,NUTS,2010,AT22,2,259.7
2007,NUTS,2010,AT22,2,275.9
2009,NUTS,2010,AT22,2,313.2
2011,NUTS,2010,AT22,2,347.7
2013,NUTS,2010,AT22,2,367.6
2015,NUTS,2010,AT22,2,398.6
2017,NUTS,2010,AT22,2,406.7
2019,NUTS,2010,AT22,2,423.6
1993,NUTS,2010,AT3,1,62.3
1998,NUTS,2010,AT3,1,72.7
2002,NUTS,2010,AT3,1,94.4
2004,NUTS,2010,AT3,1,113.4
2006,NUTS,2010,AT3,1,
2007,NUTS,2010,AT3,1,
2009,NUTS,2010,AT3,1,
2011,NUTS,2010,AT3,1,171.0
2013,NUTS,2010,AT3,1,181.9
2015,NUTS,2010,AT3,1,
2017,NUTS,2010,AT3,1,
2019,NUTS,2010,AT3,1,213.5
1993,NUTS,2010,AT31,2,27.8
1998,NUTS,2010,AT31,2,33.5
2002,NUTS,2010,AT31,2,52.4
2004,NUTS,2010,AT31,2,49.8
2006,NUTS,2010,AT31,2,53.9
2007,NUTS,2010,AT31,2,61.2
2009,NUTS,2010,AT31,2,76.1
2011,NUTS,2010,AT31,2,90.9
2013,NUTS,2010,AT31,2,100.1
2015,NUTS,2010,AT31,2,99.7
2017,NUTS,2010,AT31,2,106.5
2019,NUTS,2010,AT31,2,119.9
1993,NUTS,2010,AT32,2,96.3
1998,NUTS,2010,AT32,2,85.5
2002,NUTS,2010,AT32,2,
2004,NUTS,2010,AT32,2,
2006,NUTS,2010,AT32,2,126.8
2007,NUTS,2010,AT32,2,138.0
2009,NUTS,2010,AT32,2,168.3
2011,NUTS,2010,AT32,2,174.9
2013,NUTS,2010,AT32,2,186.4
2015,NUTS,2010,AT32,2,198.6
2017,NUTS,2010,AT32,2,211.5
2019,NUTS,2010,AT32,2,262.6
1993,NUTS,2010,AT33,2,141.0
1998,NUTS,2010,AT33,2,181.9
2002,NUTS,2010,AT33,2,217.0
2004,NUTS,2010,AT33,2,291.8
2006,NUTS,2010,AT33,2,331.5
2007,NUTS,2010,AT33,2,354.3
2009,NUTS,2010,AT33,2,398.3
2011,NUTS,2010,AT33,2,407.8
2013,NUTS,2010,AT33,2,423.7
2015,NUTS,2010,AT33,2,443.6
2017,NUTS,2010,AT33,2,442.5
2019,NUTS,2010,AT33,2,458.7
2002,NUTS,2010,AT34,2,
2004,NUTS,2010,AT34,2,
2006,NUTS,2010,AT34,2,
2007,NUTS,2010,AT34,2,
2009,NUTS,2010,AT34,2,
2011,NUTS,2010,AT34,2,17.4
2013,NUTS,2010,AT34,2,22.2
2015,NUTS,2010,AT34,2,
2017,NUTS,2010,AT34,2,
2019,NUTS,2010,AT34,2,27.1
2012,NUTS,2010,BA,0,2.5
1983,NUTS,2010,BE,0,28.6
1984,NUTS,2010,BE,0,31.4
1985,NUTS,2010,BE,0,33.7
1986,NUTS,2010,BE,0,35.8
1987,NUTS,2010,BE,0,39.1
1988,NUTS,2010,BE,0,38.6
1989,NUTS,2010,BE,0,61.2
1991,NUTS,2010,BE,0,69.7
1993,NUTS,2010,BE,0,68.5
1994,NUTS,2010,BE,0,74.1
1995,NUTS,2010,BE,0,80.7
1996,NUTS,2010,BE,0,81.4
1997,NUTS,2010,BE,0,85.8
1998,NUTS,2010,BE,0,90.6
1999,NUTS,2010,BE,0,94.9
2000,NUTS,2010,BE,0,98.1
2001,NUTS,2010,BE,0,103.2
2002,NUTS,2010,BE,0,106.7
2003,NUTS,2010,BE,0,111.0
2004,NUTS,2010,BE,0,113.1
2005,NUTS,2010,BE,0,118.6
2006,NUTS,2010,BE,0,120.2
2007,NUTS,2010,BE,0,126.9
2008,NUTS,2010,BE,0,139.4
2009,NUTS,2010,BE,0,152.8
2010,NUTS,2010,BE,0,162.4
2011,NUTS,2010,BE,0,165.9
2012,NUTS,2010,BE,0,169.6
2013,NUTS,2010,BE,0,178.7
2014,NUTS,2010,BE,0,176.4
2015,NUTS,2010,BE,0,183.0
2016,NUTS,2010,BE,0,203.0
2017,NUTS,2010,BE,0,207.4
2018,NUTS,2010,BE,0,212.6
2019,NUTS,2010,BE,0,220.3
2020,NUTS,2010,BE,0,240.9
2002,NUTS,2010,BE1,1,247.3
2003,NUTS,2010,BE1,1,233.4
2004,NUTS,2010,BE1,1,233.0
2005,NUTS,2010,BE1,1,237.2
2006,NUTS,2010,BE1,1,234.0
2007,NUTS,2010,BE1,1,241.3
2008,NUTS,2010,BE1,1,283.5
2009,NUTS,2010,BE1,1,320.1
2010,NUTS,2010,BE1,1,321.5
2011,NUTS,2010,BE1,1,310.9
2012,NUTS,2010,BE1,1,322.2
2013,NUTS,2010,BE1,1,351.5
2014,NUTS,2010,BE1,1,338.2
2015,NUTS,2010,BE1,1,343.1
2016,NUTS,2010,BE1,1,383.5
2017,NUTS,2010,BE1,1,396.3
2018,NUTS,2010,BE1,1,383.8
2019,NUTS,2010,BE1,1,387.3
2002,NUTS,2010,BE10,2,247.3
2003,NUTS,2010,BE10,2,233.4
2004,NUTS,2010,BE10,2,233.0
2005,NUTS,2010,BE10,2,237.2
2006,NUTS,2010,BE10,2,234.0
2007,NUTS,2010,BE10,2,241.3
2008,NUTS,2010,BE10,2,283.5
2009,NUTS,2010,BE10,2,320.1
2010,NUTS,2010,BE10,2,321.5
2011,NUTS,2010,BE10,2,310.9
2012,NUTS,2010,BE10,2,322.2
2013,NUTS,2010,BE10,2,351.5
2014,NUTS,2010,BE10,2,338.2
2015,NUTS,2010,BE10,2,343.1
2016,NUTS,2010,BE10,2,383.5
2017,NUTS,2010,BE10,2,396.3
2018,NUTS,2010,BE10,2,383.8
2019,NUTS,2010,BE10,2,387.3
2002,NUTS,2010,BE2,1,90.5
2003,NUTS,2010,BE2,1,100.1
2004,NUTS,2010,BE2,1,103.8
2005,NUTS,2010,BE2,1,110.4
