year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_hes_mio_pps
2011,NUTS,2010,AT,0,1898.64
2012,NUTS,2010,AT,0,2071.568
2013,NUTS,2010,AT,0,2106.755
2014,NUTS,2010,AT,0,2183.429
2015,NUTS,2010,AT,0,2221.209
2016,NUTS,2010,AT,0,2213.236
2017,NUTS,2010,AT,0,2244.535
2018,NUTS,2010,AT,0,2368.208
2019,NUTS,2010,AT,0,2392.913
2020,NUTS,2010,AT,0,2422.892
2011,NUTS,2010,AT1,1,1019.601
2013,NUTS,2010,AT1,1,1162.727
2019,NUTS,2010,AT1,1,1286.844
2011,NUTS,2010,AT11,2,2.72
2013,NUTS,2010,AT11,2,4.351
2019,NUTS,2010,AT11,2,9.542
2011,NUTS,2010,AT12,2,33.396
2013,NUTS,2010,AT12,2,66.418
2015,NUTS,2010,AT12,2,77.212
2017,NUTS,2010,AT12,2,113.932
2019,NUTS,2010,AT12,2,121.121
2011,NUTS,2010,AT13,2,983.485
2013,NUTS,2010,AT13,2,1091.959
2015,NUTS,2010,AT13,2,1142.483
2017,NUTS,2010,AT13,2,1095.705
2019,NUTS,2010,AT13,2,1156.181
2011,NUTS,2010,AT2,1,416.883
2013,NUTS,2010,AT2,1,443.761
2017,NUTS,2010,AT2,1,485.027
2019,NUTS,2010,AT2,1,505.56
2011,NUTS,2010,AT21,2,40.759
2013,NUTS,2010,AT21,2,40.837
2015,NUTS,2010,AT21,2,34.74
2017,NUTS,2010,AT21,2,39.21
2019,NUTS,2010,AT21,2,40.814
2011,NUTS,2010,AT22,2,376.124
2013,NUTS,2010,AT22,2,402.924
2015,NUTS,2010,AT22,2,438.208
2017,NUTS,2010,AT22,2,445.817
2019,NUTS,2010,AT22,2,464.746
2011,NUTS,2010,AT3,1,462.156
2013,NUTS,2010,AT3,1,500.267
2019,NUTS,2010,AT3,1,600.509
2011,NUTS,2010,AT31,2,114.881
2013,NUTS,2010,AT31,2,128.551
2015,NUTS,2010,AT31,2,128.899
2017,NUTS,2010,AT31,2,138.248
2019,NUTS,2010,AT31,2,156.886
2011,NUTS,2010,AT32,2,82.792
2013,NUTS,2010,AT32,2,89.714
2015,NUTS,2010,AT32,2,96.242
2017,NUTS,2010,AT32,2,102.939
2019,NUTS,2010,AT32,2,128.658
2011,NUTS,2010,AT33,2,258.728
2013,NUTS,2010,AT33,2,274.524
2015,NUTS,2010,AT33,2,290.928
2017,NUTS,2010,AT33,2,292.564
2019,NUTS,2010,AT33,2,305.529
2011,NUTS,2010,AT34,2,5.755
2013,NUTS,2010,AT34,2,7.478
2019,NUTS,2010,AT34,2,9.436
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,19.468
2013,NUTS,2010,BA,0,32.245
2014,NUTS,2010,BA,0,45.699
2019,NUTS,2010,BA,0,39.271
2011,NUTS,2010,BE,0,1635.753
2012,NUTS,2010,BE,0,1687.429
2013,NUTS,2010,BE,0,1781.441
2014,NUTS,2010,BE,0,1766.041
2015,NUTS,2010,BE,0,1848.195
2016,NUTS,2010,BE,0,2041.368
2017,NUTS,2010,BE,0,2083.958
2018,NUTS,2010,BE,0,2144.522
2019,NUTS,2010,BE,0,2238.544
2020,NUTS,2010,BE,0,2488.463
2011,NUTS,2010,BE1,1,316.646
2012,NUTS,2010,BE1,1,333.366
2013,NUTS,2010,BE1,1,366.532
2014,NUTS,2010,BE1,1,355.134
2015,NUTS,2010,BE1,1,365.008
2016,NUTS,2010,BE1,1,409.529
2017,NUTS,2010,BE1,1,420.738
2018,NUTS,2010,BE1,1,409.362
2019,NUTS,2010,BE1,1,417.491
2011,NUTS,2010,BE10,2,316.646
2012,NUTS,2010,BE10,2,333.366
2013,NUTS,2010,BE10,2,366.532
2014,NUTS,2010,BE10,2,355.134
2015,NUTS,2010,BE10,2,365.008
2016,NUTS,2010,BE10,2,409.529
2017,NUTS,2010,BE10,2,420.738
2018,NUTS,2010,BE10,2,409.362
2019,NUTS,2010,BE10,2,417.491
2011,NUTS,2010,BE2,1,924.232
2012,NUTS,2010,BE2,1,960.262
2013,NUTS,2010,BE2,1,1014.471
2014,NUTS,2010,BE2,1,1003.311
2015,NUTS,2010,BE2,1,1043.838
2016,NUTS,2010,BE2,1,1145.051
2017,NUTS,2010,BE2,1,1147.495
2018,NUTS,2010,BE2,1,1228.67
2019,NUTS,2010,BE2,1,1334.953
2011,NUTS,2010,BE3,1,394.841
2012,NUTS,2010,BE3,1,393.801
2013,NUTS,2010,BE3,1,400.439
2014,NUTS,2010,BE3,1,407.596
