year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_mio_eur_hes
1981,NUTS,2010,AT,0,228.315
1985,NUTS,2010,AT,0,382.965
1989,NUTS,2010,AT,0,510.625
1993,NUTS,2010,AT,0,813.369
1998,NUTS,2010,AT,0,1002.901
2002,NUTS,2010,AT,0,1266.104
2004,NUTS,2010,AT,0,1401.649
2005,NUTS,2010,AT,0,1490.337
2006,NUTS,2010,AT,0,1523.16
2007,NUTS,2010,AT,0,1637.277
2008,NUTS,2010,AT,0,1884.56
2009,NUTS,2010,AT,0,1951.845
2010,NUTS,2010,AT,0,2084.397
2011,NUTS,2010,AT,0,2117.553
2012,NUTS,2010,AT,0,2281.625
2013,NUTS,2010,AT,0,2327.754
2014,NUTS,2010,AT,0,2434.305
2015,NUTS,2010,AT,0,2468.207
2016,NUTS,2010,AT,0,2476.39
2017,NUTS,2010,AT,0,2533.182
2018,NUTS,2010,AT,0,2672.76
2019,NUTS,2010,AT,0,2711.41
2020,NUTS,2010,AT,0,2769.85
1981,NUTS,2010,AT1,1,134.644
1985,NUTS,2010,AT1,1,235.38
1989,NUTS,2010,AT1,1,298.158
1993,NUTS,2010,AT1,1,442.39
1998,NUTS,2010,AT1,1,563.17
2011,NUTS,2010,AT1,1,1137.161
2013,NUTS,2010,AT1,1,1284.697
2019,NUTS,2010,AT1,1,1458.123
1985,NUTS,2010,AT11,2,0.062
1989,NUTS,2010,AT11,2,0.142
2011,NUTS,2010,AT11,2,3.034
2013,NUTS,2010,AT11,2,4.807
2019,NUTS,2010,AT11,2,10.812
1981,NUTS,2010,AT12,2,0.093
1985,NUTS,2010,AT12,2,0.317
1989,NUTS,2010,AT12,2,0.208
1993,NUTS,2010,AT12,2,0.455
1998,NUTS,2010,AT12,2,0.993
2002,NUTS,2010,AT12,2,6.163
2004,NUTS,2010,AT12,2,8.3
2006,NUTS,2010,AT12,2,14.176
2007,NUTS,2010,AT12,2,15.502
2009,NUTS,2010,AT12,2,25.404
2011,NUTS,2010,AT12,2,37.246
2013,NUTS,2010,AT12,2,73.385
2015,NUTS,2010,AT12,2,85.798
2017,NUTS,2010,AT12,2,128.584
2019,NUTS,2010,AT12,2,137.242
1981,NUTS,2010,AT13,2,134.543
1985,NUTS,2010,AT13,2,235.002
1989,NUTS,2010,AT13,2,297.818
1993,NUTS,2010,AT13,2,441.935
1998,NUTS,2010,AT13,2,562.177
