year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_mio_pps_kp05_pnp
1998,NUTS,2010,AT,0,10.783
2002,NUTS,2010,AT,0,20.506
2004,NUTS,2010,AT,0,20.551
2005,NUTS,2010,AT,0,16.609
2006,NUTS,2010,AT,0,15.053
2007,NUTS,2010,AT,0,15.491
2008,NUTS,2010,AT,0,24.193
2009,NUTS,2010,AT,0,30.812
2010,NUTS,2010,AT,0,33.352
2011,NUTS,2010,AT,0,34.017
2012,NUTS,2010,AT,0,33.243
2013,NUTS,2010,AT,0,32.4
2014,NUTS,2010,AT,0,38.357
2015,NUTS,2010,AT,0,39.562
2016,NUTS,2010,AT,0,41.237
2017,NUTS,2010,AT,0,46.108
2018,NUTS,2010,AT,0,47.786
2019,NUTS,2010,AT,0,48.792
2020,NUTS,2010,AT,0,47.63
1998,NUTS,2010,AT1,1,8.226
2006,NUTS,2010,AT1,1,13.827
2007,NUTS,2010,AT1,1,13.828
2009,NUTS,2010,AT1,1,30.151
2011,NUTS,2010,AT1,1,31.397
2013,NUTS,2010,AT1,1,30.4
2015,NUTS,2010,AT1,1,36.77
2017,NUTS,2010,AT1,1,42.953
2019,NUTS,2010,AT1,1,44.926
2006,NUTS,2010,AT11,2,0.0
2007,NUTS,2010,AT11,2,0.0
2009,NUTS,2010,AT11,2,0.0
2011,NUTS,2010,AT11,2,0.0
2015,NUTS,2010,AT11,2,0.0
2017,NUTS,2010,AT11,2,0.0
1998,NUTS,2010,AT12,2,1.028
2002,NUTS,2010,AT12,2,0.586
2004,NUTS,2010,AT12,2,0.431
2006,NUTS,2010,AT12,2,0.736
2007,NUTS,2010,AT12,2,0.727
2009,NUTS,2010,AT12,2,11.548
2011,NUTS,2010,AT12,2,14.105
2013,NUTS,2010,AT12,2,13.963
2015,NUTS,2010,AT12,2,16.202
2017,NUTS,2010,AT12,2,18.91
1998,NUTS,2010,AT13,2,8.226
2002,NUTS,2010,AT13,2,16.389
2004,NUTS,2010,AT13,2,16.998
2006,NUTS,2010,AT13,2,13.09
2007,NUTS,2010,AT13,2,13.1
2009,NUTS,2010,AT13,2,18.603
2011,NUTS,2010,AT13,2,17.292
2013,NUTS,2010,AT13,2,16.436
2015,NUTS,2010,AT13,2,20.569
2017,NUTS,2010,AT13,2,24.043
2019,NUTS,2010,AT13,2,26.031
2006,NUTS,2010,AT2,1,0.373
2019,NUTS,2010,AT2,1,0.566
2006,NUTS,2010,AT21,2,0.0
2011,NUTS,2010,AT21,2,0.395
2002,NUTS,2010,AT22,2,0.678
2004,NUTS,2010,AT22,2,1.022
2006,NUTS,2010,AT22,2,0.373
2009,NUTS,2010,AT22,2,0.0
1998,NUTS,2010,AT3,1,2.057
2002,NUTS,2010,AT3,1,2.621
2004,NUTS,2010,AT3,1,2.1
2006,NUTS,2010,AT3,1,0.854
2007,NUTS,2010,AT3,1,1.582
2019,NUTS,2010,AT3,1,3.301
1998,NUTS,2010,AT31,2,1.028
2002,NUTS,2010,AT31,2,0.444
2004,NUTS,2010,AT31,2,0.369
2006,NUTS,2010,AT31,2,0.563
2009,NUTS,2010,AT31,2,0.463
2011,NUTS,2010,AT31,2,0.957
2013,NUTS,2010,AT31,2,0.943
2015,NUTS,2010,AT31,2,0.569
2017,NUTS,2010,AT31,2,0.67
2019,NUTS,2010,AT31,2,1.042
2006,NUTS,2010,AT32,2,0.0
2009,NUTS,2010,AT32,2,0.0
2015,NUTS,2010,AT32,2,1.523
2017,NUTS,2010,AT32,2,2.022
2019,NUTS,2010,AT32,2,1.862
1998,NUTS,2010,AT33,2,1.028
2002,NUTS,2010,AT33,2,1.982
2004,NUTS,2010,AT33,2,1.442
2006,NUTS,2010,AT33,2,0.291
2011,NUTS,2010,AT33,2,0.152
2013,NUTS,2010,AT33,2,0.139
2019,NUTS,2010,AT33,2,0.398
2006,NUTS,2010,AT34,2,0.0
2007,NUTS,2010,AT34,2,0.182
2009,NUTS,2010,AT34,2,0.0
2011,NUTS,2010,AT34,2,0.0
2019,NUTS,2010,AT34,2,0.0
2002,NUTS,2010,ATZ,1,0.0
2004,NUTS,2010,ATZ,1,0.0
2006,NUTS,2010,ATZ,1,0.0
2007,NUTS,2010,ATZ,1,0.0
2009,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2002,NUTS,2010,ATZZ,2,0.0
2004,NUTS,2010,ATZZ,2,0.0
2006,NUTS,2010,ATZZ,2,0.0
2007,NUTS,2010,ATZZ,2,0.0
2009,NUTS,2010,ATZZ,2,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,0.149
2013,NUTS,2010,BA,0,0.093
2014,NUTS,2010,BA,0,0.88
2019,NUTS,2010,BA,0,0.026
1995,NUTS,2010,BE,0,51.597
1996,NUTS,2010,BE,0,54.134
1997,NUTS,2010,BE,0,55.002
1998,NUTS,2010,BE,0,55.402
1999,NUTS,2010,BE,0,56.092
2000,NUTS,2010,BE,0,58.967
2001,NUTS,2010,BE,0,61.238
2002,NUTS,2010,BE,0,63.551
2003,NUTS,2010,BE,0,62.18
2004,NUTS,2010,BE,0,72.647
2005,NUTS,2010,BE,0,66.88
2006,NUTS,2010,BE,0,73.521
2007,NUTS,2010,BE,0,70.279
2008,NUTS,2010,BE,0,57.793
2009,NUTS,2010,BE,0,59.456
2010,NUTS,2010,BE,0,57.8
2011,NUTS,2010,BE,0,61.0
2012,NUTS,2010,BE,0,28.628
2013,NUTS,2010,BE,0,27.422
2014,NUTS,2010,BE,0,34.739
2015,NUTS,2010,BE,0,43.611
2016,NUTS,2010,BE,0,50.818
2017,NUTS,2010,BE,0,50.169
2018,NUTS,2010,BE,0,70.986
2019,NUTS,2010,BE,0,83.089
2020,NUTS,2010,BE,0,90.876
1995,NUTS,2010,BE1,1,18.454
1996,NUTS,2010,BE1,1,20.501
1997,NUTS,2010,BE1,1,21.221
1998,NUTS,2010,BE1,1,21.921
1999,NUTS,2010,BE1,1,22.428
2000,NUTS,2010,BE1,1,24.771
2001,NUTS,2010,BE1,1,26.698
2002,NUTS,2010,BE1,1,28.266
2003,NUTS,2010,BE1,1,27.575
2004,NUTS,2010,BE1,1,38.078
2005,NUTS,2010,BE1,1,31.874
2006,NUTS,2010,BE1,1,38.883
2007,NUTS,2010,BE1,1,35.012
2008,NUTS,2010,BE1,1,21.675
2009,NUTS,2010,BE1,1,22.634
2010,NUTS,2010,BE1,1,20.822
2011,NUTS,2010,BE1,1,23.404
