year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_pnp_mio_nac
2011,NUTS,2010,AT,0,40.719
2012,NUTS,2010,AT,0,40.61
2013,NUTS,2010,AT,0,40.223
2014,NUTS,2010,AT,0,48.655
2015,NUTS,2010,AT,0,51.338
2016,NUTS,2010,AT,0,54.5
2017,NUTS,2010,AT,0,61.551
2018,NUTS,2010,AT,0,64.94
2019,NUTS,2010,AT,0,67.384
2020,NUTS,2010,AT,0,67.3
2011,NUTS,2010,AT1,1,37.583
2013,NUTS,2010,AT1,1,37.74
2015,NUTS,2010,AT1,1,47.715
2017,NUTS,2010,AT1,1,57.339
2019,NUTS,2010,AT1,1,62.044
2011,NUTS,2010,AT11,2,0.0
2015,NUTS,2010,AT11,2,0.0
2017,NUTS,2010,AT11,2,0.0
2011,NUTS,2010,AT12,2,16.884
2013,NUTS,2010,AT12,2,17.335
2015,NUTS,2010,AT12,2,21.024
2017,NUTS,2010,AT12,2,25.243
2011,NUTS,2010,AT13,2,20.699
2013,NUTS,2010,AT13,2,20.405
2015,NUTS,2010,AT13,2,26.691
2017,NUTS,2010,AT13,2,32.096
2019,NUTS,2010,AT13,2,35.95
2019,NUTS,2010,AT2,1,0.781
2011,NUTS,2010,AT21,2,0.473
2019,NUTS,2010,AT3,1,4.559
2011,NUTS,2010,AT31,2,1.145
2013,NUTS,2010,AT31,2,1.171
2015,NUTS,2010,AT31,2,0.738
2017,NUTS,2010,AT31,2,0.894
2019,NUTS,2010,AT31,2,1.439
2015,NUTS,2010,AT32,2,1.976
2017,NUTS,2010,AT32,2,2.699
2019,NUTS,2010,AT32,2,2.571
2011,NUTS,2010,AT33,2,0.182
2013,NUTS,2010,AT33,2,0.173
2019,NUTS,2010,AT33,2,0.549
2011,NUTS,2010,AT34,2,0.0
2019,NUTS,2010,AT34,2,0.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,0.17
2013,NUTS,2010,BA,0,0.106
2014,NUTS,2010,BA,0,1.01
2019,NUTS,2010,BA,0,0.033
2011,NUTS,2010,BE,0,73.6
2012,NUTS,2010,BE,0,35.218
2013,NUTS,2010,BE,0,34.164
2014,NUTS,2010,BE,0,43.704
2015,NUTS,2010,BE,0,55.596
2016,NUTS,2010,BE,0,66.029
2017,NUTS,2010,BE,0,66.378
2018,NUTS,2010,BE,0,95.348
2019,NUTS,2010,BE,0,113.562
2020,NUTS,2010,BE,0,125.8
2011,NUTS,2010,BE1,1,28.238
2012,NUTS,2010,BE1,1,20.573
2013,NUTS,2010,BE1,1,19.7
2014,NUTS,2010,BE1,1,28.29
2015,NUTS,2010,BE1,1,33.411
2016,NUTS,2010,BE1,1,39.474
2017,NUTS,2010,BE1,1,39.09
2018,NUTS,2010,BE1,1,65.807
2019,NUTS,2010,BE1,1,76.661
2011,NUTS,2010,BE10,2,28.238
2012,NUTS,2010,BE10,2,20.573
2013,NUTS,2010,BE10,2,19.7
2014,NUTS,2010,BE10,2,28.29
2015,NUTS,2010,BE10,2,33.411
2016,NUTS,2010,BE10,2,39.474
2017,NUTS,2010,BE10,2,39.09
2018,NUTS,2010,BE10,2,65.807
2019,NUTS,2010,BE10,2,76.661
2011,NUTS,2010,BE2,1,45.197
2012,NUTS,2010,BE2,1,14.645
2013,NUTS,2010,BE2,1,14.464
2014,NUTS,2010,BE2,1,15.334
2015,NUTS,2010,BE2,1,22.104
2016,NUTS,2010,BE2,1,26.43
2017,NUTS,2010,BE2,1,27.16
2018,NUTS,2010,BE2,1,29.406
2019,NUTS,2010,BE2,1,36.759
2011,NUTS,2010,BE3,1,0.149
2012,NUTS,2010,BE3,1,0.0
2013,NUTS,2010,BE3,1,0.0
2014,NUTS,2010,BE3,1,0.08
2015,NUTS,2010,BE3,1,0.08
2016,NUTS,2010,BE3,1,0.125
2017,NUTS,2010,BE3,1,0.128
2018,NUTS,2010,BE3,1,0.135
2019,NUTS,2010,BE3,1,0.142
2012,NUTS,2010,BEZ,1,0.0
2013,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2012,NUTS,2010,BEZZ,2,0.0
2013,NUTS,2010,BEZZ,2,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
2011,NUTS,2010,BG,0,2.937
2012,NUTS,2010,BG,0,7.043
2013,NUTS,2010,BG,0,3.129
2014,NUTS,2010,BG,0,5.028
2015,NUTS,2010,BG,0,4.656
2016,NUTS,2010,BG,0,2.2
2017,NUTS,2010,BG,0,6.459
2018,NUTS,2010,BG,0,4.839
2019,NUTS,2010,BG,0,6.296
2020,NUTS,2010,BG,0,6.873
2011,NUTS,2010,BG3,1,0.099
2012,NUTS,2010,BG3,1,0.031
2014,NUTS,2010,BG3,1,0.256
2015,NUTS,2010,BG3,1,0.246
2016,NUTS,2010,BG3,1,0.048
2017,NUTS,2010,BG3,1,0.164
2018,NUTS,2010,BG3,1,0.36
2019,NUTS,2010,BG3,1,0.127
2011,NUTS,2010,BG31,2,0.0
2012,NUTS,2010,BG31,2,0.0
2013,NUTS,2010,BG31,2,0.0
2014,NUTS,2010,BG31,2,0.0
2017,NUTS,2010,BG31,2,0.0
2012,NUTS,2010,BG32,2,0.0
2013,NUTS,2010,BG32,2,0.0
2014,NUTS,2010,BG32,2,0.0
2015,NUTS,2010,BG32,2,0.0
2016,NUTS,2010,BG32,2,0.0
2017,NUTS,2010,BG32,2,0.0
2018,NUTS,2010,BG32,2,0.0
2019,NUTS,2010,BG32,2,0.0
2015,NUTS,2010,BG33,2,0.223
2013,NUTS,2010,BG34,2,0.0
2016,NUTS,2010,BG34,2,0.0
2011,NUTS,2010,BG4,1,2.838
2012,NUTS,2010,BG4,1,7.012
2014,NUTS,2010,BG4,1,4.772
2015,NUTS,2010,BG4,1,4.41
2016,NUTS,2010,BG4,1,2.152
2017,NUTS,2010,BG4,1,6.295
2018,NUTS,2010,BG4,1,4.479
2019,NUTS,2010,BG4,1,6.169
2012,NUTS,2010,BG41,2,6.79
2013,NUTS,2010,BG41,2,2.257
2014,NUTS,2010,BG41,2,4.667
2015,NUTS,2010,BG41,2,4.253
2016,NUTS,2010,BG41,2,1.017
2017,NUTS,2010,BG41,2,4.872
2018,NUTS,2010,BG41,2,3.033
2019,NUTS,2010,BG41,2,3.627
